# freq/cm-1  Intensity 
-1.70966e+02   1.48554e-05
-1.70466e+02   1.48670e-05
-1.69966e+02   1.48786e-05
-1.69466e+02   1.48902e-05
-1.68966e+02   1.49018e-05
-1.68466e+02   1.49135e-05
-1.67966e+02   1.49251e-05
-1.67466e+02   1.49368e-05
-1.66966e+02   1.49485e-05
-1.66466e+02   1.49603e-05
-1.65966e+02   1.49720e-05
-1.65466e+02   1.49838e-05
-1.64966e+02   1.49956e-05
-1.64466e+02   1.50074e-05
-1.63966e+02   1.50192e-05
-1.63466e+02   1.50310e-05
-1.62966e+02   1.50429e-05
-1.62466e+02   1.50548e-05
-1.61966e+02   1.50667e-05
-1.61466e+02   1.50786e-05
-1.60966e+02   1.50905e-05
-1.60466e+02   1.51025e-05
-1.59966e+02   1.51145e-05
-1.59466e+02   1.51265e-05
-1.58966e+02   1.51385e-05
-1.58466e+02   1.51505e-05
-1.57966e+02   1.51626e-05
-1.57466e+02   1.51747e-05
-1.56966e+02   1.51868e-05
-1.56466e+02   1.51989e-05
-1.55966e+02   1.52111e-05
-1.55466e+02   1.52232e-05
-1.54966e+02   1.52354e-05
-1.54466e+02   1.52476e-05
-1.53966e+02   1.52599e-05
-1.53466e+02   1.52721e-05
-1.52966e+02   1.52844e-05
-1.52466e+02   1.52967e-05
-1.51966e+02   1.53090e-05
-1.51466e+02   1.53213e-05
-1.50966e+02   1.53337e-05
-1.50466e+02   1.53461e-05
-1.49966e+02   1.53585e-05
-1.49466e+02   1.53709e-05
-1.48966e+02   1.53833e-05
-1.48466e+02   1.53958e-05
-1.47966e+02   1.54083e-05
-1.47466e+02   1.54208e-05
-1.46966e+02   1.54333e-05
-1.46466e+02   1.54459e-05
-1.45966e+02   1.54585e-05
-1.45466e+02   1.54711e-05
-1.44966e+02   1.54837e-05
-1.44466e+02   1.54964e-05
-1.43966e+02   1.55090e-05
-1.43466e+02   1.55217e-05
-1.42966e+02   1.55344e-05
-1.42466e+02   1.55472e-05
-1.41966e+02   1.55599e-05
-1.41466e+02   1.55727e-05
-1.40966e+02   1.55855e-05
-1.40466e+02   1.55984e-05
-1.39966e+02   1.56112e-05
-1.39466e+02   1.56241e-05
-1.38966e+02   1.56370e-05
-1.38466e+02   1.56500e-05
-1.37966e+02   1.56629e-05
-1.37466e+02   1.56759e-05
-1.36966e+02   1.56889e-05
-1.36466e+02   1.57019e-05
-1.35966e+02   1.57150e-05
-1.35466e+02   1.57281e-05
-1.34966e+02   1.57412e-05
-1.34466e+02   1.57543e-05
-1.33966e+02   1.57675e-05
-1.33466e+02   1.57807e-05
-1.32966e+02   1.57939e-05
-1.32466e+02   1.58071e-05
-1.31966e+02   1.58204e-05
-1.31466e+02   1.58336e-05
-1.30966e+02   1.58470e-05
-1.30466e+02   1.58603e-05
-1.29966e+02   1.58737e-05
-1.29466e+02   1.58870e-05
-1.28966e+02   1.59005e-05
-1.28466e+02   1.59139e-05
-1.27966e+02   1.59274e-05
-1.27466e+02   1.59409e-05
-1.26966e+02   1.59544e-05
-1.26466e+02   1.59680e-05
-1.25966e+02   1.59815e-05
-1.25466e+02   1.59952e-05
-1.24966e+02   1.60088e-05
-1.24466e+02   1.60225e-05
-1.23966e+02   1.60361e-05
-1.23466e+02   1.60499e-05
-1.22966e+02   1.60636e-05
-1.22466e+02   1.60774e-05
-1.21966e+02   1.60912e-05
-1.21466e+02   1.61050e-05
-1.20966e+02   1.61189e-05
-1.20466e+02   1.61328e-05
-1.19966e+02   1.61467e-05
-1.19466e+02   1.61607e-05
-1.18966e+02   1.61747e-05
-1.18466e+02   1.61887e-05
-1.17966e+02   1.62027e-05
-1.17466e+02   1.62168e-05
-1.16966e+02   1.62309e-05
-1.16466e+02   1.62450e-05
-1.15966e+02   1.62592e-05
-1.15466e+02   1.62734e-05
-1.14966e+02   1.62876e-05
-1.14466e+02   1.63019e-05
-1.13966e+02   1.63162e-05
-1.13466e+02   1.63305e-05
-1.12966e+02   1.63449e-05
-1.12466e+02   1.63593e-05
-1.11966e+02   1.63737e-05
-1.11466e+02   1.63882e-05
-1.10966e+02   1.64026e-05
-1.10466e+02   1.64172e-05
-1.09966e+02   1.64317e-05
-1.09466e+02   1.64463e-05
-1.08966e+02   1.64609e-05
-1.08466e+02   1.64756e-05
-1.07966e+02   1.64903e-05
-1.07466e+02   1.65050e-05
-1.06966e+02   1.65198e-05
-1.06466e+02   1.65346e-05
-1.05966e+02   1.65494e-05
-1.05466e+02   1.65643e-05
-1.04966e+02   1.65792e-05
-1.04466e+02   1.65941e-05
-1.03966e+02   1.66091e-05
-1.03466e+02   1.66241e-05
-1.02966e+02   1.66391e-05
-1.02466e+02   1.66542e-05
-1.01966e+02   1.66694e-05
-1.01466e+02   1.66845e-05
-1.00966e+02   1.66997e-05
-1.00466e+02   1.67149e-05
-9.99657e+01   1.67302e-05
-9.94657e+01   1.67455e-05
-9.89657e+01   1.67609e-05
-9.84657e+01   1.67763e-05
-9.79657e+01   1.67917e-05
-9.74657e+01   1.68072e-05
-9.69657e+01   1.68227e-05
-9.64657e+01   1.68383e-05
-9.59657e+01   1.68538e-05
-9.54657e+01   1.68695e-05
-9.49657e+01   1.68852e-05
-9.44657e+01   1.69009e-05
-9.39657e+01   1.69166e-05
-9.34657e+01   1.69324e-05
-9.29657e+01   1.69483e-05
-9.24657e+01   1.69642e-05
-9.19657e+01   1.69801e-05
-9.14657e+01   1.69961e-05
-9.09657e+01   1.70121e-05
-9.04657e+01   1.70282e-05
-8.99657e+01   1.70443e-05
-8.94657e+01   1.70604e-05
-8.89657e+01   1.70766e-05
-8.84657e+01   1.70929e-05
