
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3477      1.00000
      2     -24.0244      1.00000
      3     -23.9721      1.00000
      4     -23.9538      1.00000
      5     -23.9186      1.00000
      6     -23.8752      1.00000
      7     -23.6343      1.00000
      8     -23.1821      1.00000
      9     -23.1715      1.00000
     10     -23.1441      1.00000
     11     -23.1167      1.00000
     12     -23.0324      1.00000
     13     -22.9557      1.00000
     14     -22.7975      1.00000
     15     -22.7778      1.00000
     16     -22.7507      1.00000
     17     -22.7094      1.00000
     18     -22.5447      1.00000
     19     -22.2804      1.00000
     20     -21.8522      1.00000
     21     -21.8264      1.00000
     22     -21.7848      1.00000
     23     -21.7808      1.00000
     24     -21.7675      1.00000
     25     -21.7509      1.00000
     26     -21.7344      1.00000
     27     -21.7202      1.00000
     28     -21.6981      1.00000
     29     -21.6555      1.00000
     30     -21.5082      1.00000
     31     -21.4362      1.00000
     32     -21.3772      1.00000
     33     -21.2983      1.00000
     34     -21.2830      1.00000
     35     -21.2486      1.00000
     36     -21.0909      1.00000
     37     -20.9930      1.00000
     38     -20.8693      1.00000
     39     -20.8485      1.00000
     40     -20.8260      1.00000
     41     -20.8094      1.00000
     42     -20.7424      1.00000
     43     -20.7195      1.00000
     44     -20.6431      1.00000
     45     -20.6313      1.00000
     46     -20.6126      1.00000
     47     -20.5918      1.00000
     48     -14.5222      1.00000
     49     -14.4673      1.00000
     50     -14.4615      1.00000
     51     -14.4009      1.00000
     52     -14.3738      1.00000
     53     -14.3553      1.00000
     54     -14.3281      1.00000
     55     -14.2734      1.00000
     56     -14.2479      1.00000
     57     -14.1533      1.00000
     58     -14.0339      1.00000
     59     -13.9816      1.00000
     60     -13.7685      1.00000
     61     -13.7190      1.00000
     62     -13.6663      1.00000
     63     -13.5805      1.00000
     64     -13.4889      1.00000
     65     -13.4369      1.00000
     66     -13.2724      1.00000
     67     -13.1427      1.00000
     68     -12.9972      1.00000
     69     -12.9809      1.00000
     70     -12.9499      1.00000
     71     -12.9384      1.00000
     72     -12.9224      1.00000
     73     -12.9110      1.00000
     74     -12.8930      1.00000
     75     -12.7725      1.00000
     76     -12.4683      1.00000
     77     -12.4607      1.00000
     78     -12.2322      1.00000
     79     -12.1886      1.00000
     80     -12.1267      1.00000
     81     -12.0927      1.00000
     82     -12.0700      1.00000
     83     -11.8620      1.00000
     84     -11.7254      1.00000
     85     -11.5708      1.00000
     86     -11.4953      1.00000
     87     -11.3947      1.00000
     88     -11.1308      1.00000
     89     -11.1036      1.00000
     90     -10.8917      1.00000
     91     -10.7232      1.00000
     92     -10.6337      1.00000
     93     -10.6134      1.00000
     94     -10.6097      1.00000
     95     -10.5993      1.00000
     96     -10.5606      1.00000
     97     -10.5156      1.00000
     98     -10.4277      1.00000
     99     -10.3366      1.00000
    100     -10.3074      1.00000
    101     -10.2840      1.00000
    102     -10.2246      1.00000
    103     -10.2196      1.00000
    104     -10.1745      1.00000
    105     -10.1607      1.00000
    106     -10.1564      1.00000
    107     -10.1506      1.00000
    108     -10.1188      1.00000
    109     -10.1080      1.00000
    110     -10.1035      1.00000
    111     -10.0754      1.00000
    112     -10.0563      1.00000
    113     -10.0457      1.00000
