
 Fermi energy:        -2.2886083388

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3008      1.00000
      2     -23.9762      1.00000
      3     -23.9292      1.00000
      4     -23.8912      1.00000
      5     -23.8502      1.00000
      6     -23.8028      1.00000
      7     -23.6075      1.00000
      8     -23.1212      1.00000
      9     -23.1067      1.00000
     10     -23.0857      1.00000
     11     -23.0798      1.00000
     12     -22.9769      1.00000
     13     -22.8978      1.00000
     14     -22.7401      1.00000
     15     -22.7163      1.00000
     16     -22.6905      1.00000
     17     -22.6664      1.00000
     18     -22.5112      1.00000
     19     -22.2605      1.00000
     20     -21.7981      1.00000
     21     -21.7649      1.00000
     22     -21.7103      1.00000
     23     -21.7079      1.00000
     24     -21.7021      1.00000
     25     -21.6999      1.00000
     26     -21.6675      1.00000
     27     -21.6655      1.00000
     28     -21.6524      1.00000
     29     -21.6181      1.00000
     30     -21.4604      1.00000
     31     -21.3865      1.00000
     32     -21.3070      1.00000
     33     -21.2439      1.00000
     34     -21.2289      1.00000
     35     -21.2016      1.00000
     36     -21.0482      1.00000
     37     -20.9165      1.00000
     38     -20.7998      1.00000
     39     -20.7909      1.00000
     40     -20.7641      1.00000
     41     -20.7477      1.00000
     42     -20.6757      1.00000
     43     -20.6440      1.00000
     44     -20.5867      1.00000
     45     -20.5826      1.00000
     46     -20.5462      1.00000
     47     -20.5165      1.00000
     48     -14.4363      1.00000
     49     -14.4330      1.00000
     50     -14.3846      1.00000
     51     -14.3559      1.00000
     52     -14.3244      1.00000
     53     -14.3065      1.00000
     54     -14.2600      1.00000
     55     -14.2362      1.00000
     56     -14.1717      1.00000
     57     -14.0881      1.00000
     58     -13.9729      1.00000
     59     -13.9193      1.00000
     60     -13.7384      1.00000
     61     -13.7009      1.00000
     62     -13.5837      1.00000
     63     -13.5103      1.00000
     64     -13.4497      1.00000
     65     -13.4324      1.00000
     66     -13.2043      1.00000
     67     -13.1260      1.00000
     68     -12.9046      1.00000
     69     -12.8943      1.00000
     70     -12.8906      1.00000
     71     -12.8866      1.00000
     72     -12.8524      1.00000
     73     -12.8351      1.00000
     74     -12.8264      1.00000
     75     -12.6767      1.00000
     76     -12.4509      1.00000
     77     -12.3395      1.00000
     78     -12.1624      1.00000
     79     -12.1481      1.00000
     80     -12.0744      1.00000
     81     -12.0269      1.00000
     82     -12.0218      1.00000
     83     -11.8109      1.00000
     84     -11.6705      1.00000
     85     -11.5311      1.00000
     86     -11.3910      1.00000
     87     -11.3067      1.00000
     88     -11.0790      1.00000
     89     -11.0402      1.00000
     90     -10.8967      1.00000
     91     -10.6352      1.00000
     92     -10.5629      1.00000
     93     -10.5610      1.00000
     94     -10.5557      1.00000
     95     -10.5284      1.00000
     96     -10.4438      1.00000
     97     -10.4305      1.00000
     98     -10.3647      1.00000
     99     -10.1979      1.00000
    100     -10.1862      1.00000
    101     -10.1573      1.00000
    102     -10.1287      1.00000
    103     -10.1229      1.00000
    104     -10.1138      1.00000
    105     -10.1055      1.00000
    106     -10.0906      1.00000
    107     -10.0869      1.00000
    108     -10.0611      1.00000
    109     -10.0392      1.00000
    110     -10.0299      1.00000
    111     -10.0173      1.00000
    112      -9.9932      1.00000
    113      -9.9861      1.00000
    114      -9.9486      1.00000
    115      -9.8866      1.00000
    116      -9.7940      1.00000
    117      -9.7859      1.00000
    118      -9.5774      1.00000
    119      -9.5425      1.00000
    120      -9.5205      1.00000
    121      -9.3763      1.00000
    122      -9.3280      1.00000
    123      -9.3257      1.00000
    124      -9.2664      1.00000
    125      -9.1615      1.00000
    126      -9.0104      1.00000
    127      -8.9306      1.00000
    128      -8.9290      1.00000
    129      -8.8830      1.00000
    130      -8.8377      1.00000
    131      -8.8039      1.00000
    132      -8.7861      1.00000
    133      -8.6558      1.00000
    134      -8.6033      1.00000
    135      -8.5930      1.00000
    136      -8.5613      1.00000
    137      -8.5225      1.00000
    138      -8.5143      1.00000
    139      -8.5025      1.00000
    140      -8.4645      1.00000
    141      -8.4563      1.00000
    142      -8.4539      1.00000
    143      -8.4274      1.00000
    144      -8.3832      1.00000
    145      -8.3334      1.00000
    146      -8.2996      1.00000
    147      -8.2473      1.00000
    148      -8.2335      1.00000
    149      -8.1288      1.00000
    150      -8.0503      1.00000
    151      -8.0483      1.00000
    152      -8.0137      1.00000
    153      -7.7563      1.00000
    154      -7.6358      1.00000
    155      -7.4658      1.00000
    156      -7.3371      1.00000
    157      -7.2703      1.00000
    158      -7.2193      1.00000
    159      -7.1551      1.00000
    160      -7.1223      1.00000
    161      -7.0533      1.00000
    162      -6.9731      1.00000
    163      -6.9341      1.00000
    164      -6.9168      1.00000
    165      -6.9129      1.00000
    166      -6.9005      1.00000
    167      -6.8736      1.00000
    168      -6.8526      1.00000
    169      -6.8373      1.00000
    170      -6.7975      1.00000
    171      -6.5537      1.00000
    172      -6.5276      1.00000
    173      -6.4797      1.00000
    174      -6.4580      1.00000
    175      -6.3468      1.00000
    176      -6.2603      1.00000
    177      -6.2276      1.00000
    178      -6.2175      1.00000
