# freq/cm-1  Intensity 
-1.92503e+02   4.37632e-05
-1.92003e+02   4.37976e-05
-1.91503e+02   4.38320e-05
-1.91003e+02   4.38665e-05
-1.90503e+02   4.39010e-05
-1.90003e+02   4.39356e-05
-1.89503e+02   4.39702e-05
-1.89003e+02   4.40049e-05
-1.88503e+02   4.40396e-05
-1.88003e+02   4.40744e-05
-1.87503e+02   4.41093e-05
-1.87003e+02   4.41442e-05
-1.86503e+02   4.41791e-05
-1.86003e+02   4.42141e-05
-1.85503e+02   4.42492e-05
-1.85003e+02   4.42843e-05
-1.84503e+02   4.43195e-05
-1.84003e+02   4.43547e-05
-1.83503e+02   4.43900e-05
-1.83003e+02   4.44253e-05
-1.82503e+02   4.44607e-05
-1.82003e+02   4.44961e-05
-1.81503e+02   4.45316e-05
-1.81003e+02   4.45672e-05
-1.80503e+02   4.46028e-05
-1.80003e+02   4.46385e-05
-1.79503e+02   4.46742e-05
-1.79003e+02   4.47100e-05
-1.78503e+02   4.47458e-05
-1.78003e+02   4.47817e-05
-1.77503e+02   4.48177e-05
-1.77003e+02   4.48537e-05
-1.76503e+02   4.48897e-05
-1.76003e+02   4.49259e-05
-1.75503e+02   4.49620e-05
-1.75003e+02   4.49983e-05
-1.74503e+02   4.50346e-05
-1.74003e+02   4.50709e-05
-1.73503e+02   4.51073e-05
-1.73003e+02   4.51438e-05
-1.72503e+02   4.51804e-05
-1.72003e+02   4.52169e-05
-1.71503e+02   4.52536e-05
-1.71003e+02   4.52903e-05
-1.70503e+02   4.53271e-05
-1.70003e+02   4.53639e-05
-1.69503e+02   4.54008e-05
-1.69003e+02   4.54378e-05
-1.68503e+02   4.54748e-05
-1.68003e+02   4.55118e-05
-1.67503e+02   4.55490e-05
-1.67003e+02   4.55862e-05
-1.66503e+02   4.56234e-05
-1.66003e+02   4.56608e-05
-1.65503e+02   4.56981e-05
-1.65003e+02   4.57356e-05
-1.64503e+02   4.57731e-05
-1.64003e+02   4.58107e-05
-1.63503e+02   4.58483e-05
-1.63003e+02   4.58860e-05
-1.62503e+02   4.59237e-05
-1.62003e+02   4.59616e-05
-1.61503e+02   4.59994e-05
-1.61003e+02   4.60374e-05
-1.60503e+02   4.60754e-05
-1.60003e+02   4.61135e-05
-1.59503e+02   4.61516e-05
-1.59003e+02   4.61898e-05
-1.58503e+02   4.62281e-05
-1.58003e+02   4.62664e-05
-1.57503e+02   4.63048e-05
-1.57003e+02   4.63433e-05
-1.56503e+02   4.63818e-05
-1.56003e+02   4.64204e-05
-1.55503e+02   4.64591e-05
-1.55003e+02   4.64978e-05
-1.54503e+02   4.65366e-05
-1.54003e+02   4.65755e-05
-1.53503e+02   4.66144e-05
-1.53003e+02   4.66534e-05
-1.52503e+02   4.66925e-05
-1.52003e+02   4.67316e-05
-1.51503e+02   4.67709e-05
-1.51003e+02   4.68101e-05
-1.50503e+02   4.68495e-05
-1.50003e+02   4.68889e-05
-1.49503e+02   4.69284e-05
-1.49003e+02   4.69679e-05
-1.48503e+02   4.70075e-05
-1.48003e+02   4.70472e-05
-1.47503e+02   4.70870e-05
-1.47003e+02   4.71268e-05
-1.46503e+02   4.71667e-05
-1.46003e+02   4.72067e-05
-1.45503e+02   4.72468e-05
-1.45003e+02   4.72869e-05
-1.44503e+02   4.73271e-05
-1.44003e+02   4.73673e-05
-1.43503e+02   4.74077e-05
-1.43003e+02   4.74481e-05
-1.42503e+02   4.74886e-05
-1.42003e+02   4.75291e-05
-1.41503e+02   4.75698e-05
-1.41003e+02   4.76105e-05
-1.40503e+02   4.76512e-05
-1.40003e+02   4.76921e-05
-1.39503e+02   4.77330e-05
-1.39003e+02   4.77740e-05
-1.38503e+02   4.78151e-05
-1.38003e+02   4.78563e-05
-1.37503e+02   4.78975e-05
-1.37003e+02   4.79388e-05
-1.36503e+02   4.79802e-05
-1.36003e+02   4.80217e-05
-1.35503e+02   4.80632e-05
-1.35003e+02   4.81048e-05
-1.34503e+02   4.81465e-05
-1.34003e+02   4.81883e-05
-1.33503e+02   4.82302e-05
-1.33003e+02   4.82721e-05
-1.32503e+02   4.83141e-05
-1.32003e+02   4.83562e-05
-1.31503e+02   4.83984e-05
-1.31003e+02   4.84406e-05
-1.30503e+02   4.84830e-05
-1.30003e+02   4.85254e-05
-1.29503e+02   4.85679e-05
-1.29003e+02   4.86104e-05
-1.28503e+02   4.86531e-05
-1.28003e+02   4.86959e-05
-1.27503e+02   4.87387e-05
-1.27003e+02   4.87816e-05
-1.26503e+02   4.88246e-05
-1.26003e+02   4.88677e-05
-1.25503e+02   4.89108e-05
-1.25003e+02   4.89541e-05
-1.24503e+02   4.89974e-05
-1.24003e+02   4.90408e-05
-1.23503e+02   4.90843e-05
-1.23003e+02   4.91279e-05
-1.22503e+02   4.91716e-05
-1.22003e+02   4.92154e-05
-1.21503e+02   4.92592e-05
-1.21003e+02   4.93031e-05
-1.20503e+02   4.93472e-05
-1.20003e+02   4.93913e-05
-1.19503e+02   4.94355e-05
-1.19003e+02   4.94798e-05
-1.18503e+02   4.95242e-05
-1.18003e+02   4.95687e-05
-1.17503e+02   4.96132e-05
-1.17003e+02   4.96579e-05
-1.16503e+02   4.97026e-05
-1.16003e+02   4.97475e-05
-1.15503e+02   4.97924e-05
-1.15003e+02   4.98374e-05
-1.14503e+02   4.98825e-05
-1.14003e+02   4.99278e-05
-1.13503e+02   4.99731e-05
-1.13003e+02   5.00185e-05
-1.12503e+02   5.00640e-05
-1.12003e+02   5.01096e-05
-1.11503e+02   5.01553e-05
-1.11003e+02   5.02010e-05
-1.10503e+02   5.02469e-05
-1.10003e+02   5.02929e-05
-1.09503e+02   5.03390e-05
-1.09003e+02   5.03852e-05
-1.08503e+02   5.04314e-05
-1.08003e+02   5.04778e-05
-1.07503e+02   5.05243e-05
-1.07003e+02   5.05709e-05
-1.06503e+02   5.06175e-05
-1.06003e+02   5.06643e-05
-1.05503e+02   5.07112e-05
-1.05003e+02   5.07582e-05
-1.04503e+02   5.08053e-05
-1.04003e+02   5.08524e-05
-1.03503e+02   5.08997e-05
-1.03003e+02   5.09471e-05
-1.02503e+02   5.09946e-05
-1.02003e+02   5.10423e-05
-1.01503e+02   5.10900e-05
-1.01003e+02   5.11378e-05
-1.00503e+02   5.11857e-05
-1.00003e+02   5.12338e-05
-9.95026e+01   5.12819e-05
-9.90026e+01   5.13302e-05
-9.85026e+01   5.13785e-05
-9.80026e+01   5.14270e-05
-9.75026e+01   5.14756e-05
-9.70026e+01   5.15243e-05
-9.65026e+01   5.15731e-05
-9.60026e+01   5.16220e-05
-9.55026e+01   5.16710e-05
-9.50026e+01   5.17202e-05
-9.45026e+01   5.17695e-05
-9.40026e+01   5.18188e-05
-9.35026e+01   5.18683e-05
-9.30026e+01   5.19180e-05
-9.25026e+01   5.19677e-05
-9.20026e+01   5.20175e-05
-9.15026e+01   5.20675e-05
-9.10026e+01   5.21176e-05
-9.05026e+01   5.21678e-05
-9.00026e+01   5.22181e-05
-8.95026e+01   5.22686e-05
-8.90026e+01   5.23191e-05
-8.85026e+01   5.23698e-05
-8.80026e+01   5.24206e-05
-8.75026e+01   5.24716e-05
-8.70026e+01   5.25227e-05
-8.65026e+01   5.25738e-05
-8.60026e+01   5.26252e-05
-8.55026e+01   5.26766e-05
-8.50026e+01   5.27282e-05
-8.45026e+01   5.27799e-05
-8.40026e+01   5.28317e-05
-8.35026e+01   5.28837e-05
-8.30026e+01   5.29358e-05
-8.25026e+01   5.29880e-05
-8.20026e+01   5.30404e-05
-8.15026e+01   5.30928e-05
-8.10026e+01   5.31455e-05
-8.05026e+01   5.31982e-05
-8.00026e+01   5.32511e-05
-7.95026e+01   5.33042e-05
-7.90026e+01   5.33573e-05
-7.85026e+01   5.34107e-05
-7.80026e+01   5.34641e-05
-7.75026e+01   5.35177e-05
-7.70026e+01   5.35714e-05
-7.65026e+01   5.36253e-05
-7.60026e+01   5.36793e-05
-7.55026e+01   5.37335e-05
-7.50026e+01   5.37878e-05
-7.45026e+01   5.38423e-05
-7.40026e+01   5.38969e-05
