
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.2896      1.00000
      2     -24.4522      1.00000
      3     -24.1278      1.00000
      4     -24.0493      1.00000
      5     -23.9989      1.00000
      6     -23.9379      1.00000
      7     -23.8113      1.00000
      8     -23.5946      1.00000
      9     -23.2701      1.00000
     10     -23.2392      1.00000
     11     -23.1932      1.00000
     12     -23.0856      1.00000
     13     -23.0266      1.00000
     14     -22.9333      1.00000
     15     -22.8507      1.00000
     16     -22.8359      1.00000
     17     -22.7587      1.00000
     18     -22.6187      1.00000
     19     -22.5631      1.00000
     20     -22.1109      1.00000
     21     -21.9754      1.00000
     22     -21.8701      1.00000
     23     -21.8382      1.00000
     24     -21.8243      1.00000
     25     -21.7996      1.00000
     26     -21.7689      1.00000
     27     -21.7506      1.00000
     28     -21.7251      1.00000
     29     -21.6797      1.00000
     30     -21.5616      1.00000
     31     -21.4802      1.00000
     32     -21.4473      1.00000
     33     -21.3288      1.00000
     34     -21.3047      1.00000
     35     -21.2509      1.00000
     36     -21.1492      1.00000
     37     -21.0394      1.00000
     38     -20.9266      1.00000
     39     -20.8845      1.00000
     40     -20.8278      1.00000
     41     -20.8005      1.00000
     42     -20.7638      1.00000
     43     -20.7164      1.00000
     44     -20.6483      1.00000
     45     -20.6222      1.00000
     46     -20.5666      1.00000
     47     -20.5113      1.00000
     48     -18.4969      1.00000
     49     -14.7684      1.00000
     50     -14.6476      1.00000
     51     -14.5923      1.00000
     52     -14.4984      1.00000
     53     -14.4521      1.00000
     54     -14.4314      1.00000
     55     -14.3421      1.00000
     56     -14.3030      1.00000
     57     -14.2530      1.00000
     58     -14.2153      1.00000
     59     -14.1438      1.00000
     60     -14.0276      1.00000
     61     -13.8574      1.00000
     62     -13.7847      1.00000
     63     -13.7074      1.00000
     64     -13.6932      1.00000
     65     -13.5566      1.00000
     66     -13.4537      1.00000
     67     -13.3296      1.00000
     68     -13.1229      1.00000
     69     -13.0716      1.00000
     70     -12.9971      1.00000
     71     -12.9826      1.00000
     72     -12.9567      1.00000
     73     -12.9295      1.00000
     74     -12.8893      1.00000
     75     -12.8392      1.00000
     76     -12.7708      1.00000
     77     -12.5723      1.00000
     78     -12.5455      1.00000
     79     -12.4502      1.00000
     80     -12.2314      1.00000
     81     -12.1747      1.00000
     82     -12.1386      1.00000
     83     -11.9281      1.00000
     84     -11.8816      1.00000
     85     -11.6842      1.00000
     86     -11.5249      1.00000
     87     -11.4426      1.00000
     88     -11.3229      1.00000
     89     -11.2706      1.00000
     90     -11.0910      1.00000
     91     -10.8043      1.00000
     92     -10.7588      1.00000
     93     -10.7133      1.00000
     94     -10.7001      1.00000
     95     -10.6308      1.00000
     96     -10.6092      1.00000
     97     -10.5052      1.00000
     98     -10.4582      1.00000
     99     -10.3659      1.00000
    100     -10.3623      1.00000
    101     -10.3089      1.00000
    102     -10.2721      1.00000
    103     -10.2568      1.00000
    104     -10.2411      1.00000
    105     -10.2277      1.00000
    106     -10.1741      1.00000
    107     -10.1601      1.00000
    108     -10.1556      1.00000
    109     -10.1461      1.00000
    110     -10.1187      1.00000
    111     -10.0853      1.00000
    112     -10.0532      1.00000
    113     -10.0458      1.00000
    114     -10.0181      1.00000
    115     -10.0038      1.00000
    116      -9.9782      1.00000
    117      -9.8987      1.00000
    118      -9.8411      1.00000
    119      -9.6018      1.00000
    120      -9.5552      1.00000
    121      -9.4959      1.00000
    122      -9.3796      1.00000
    123      -9.3497      1.00000
    124      -9.2752      1.00000
    125      -9.2374      1.00000
    126      -9.2333      1.00000
    127      -9.0404      1.00000
    128      -9.0251      1.00000
    129      -9.0163      1.00000
    130      -8.9858      1.00000
    131      -8.9254      1.00000
    132      -8.8418      1.00000
    133      -8.7784      1.00000
    134      -8.7650      1.00000
    135      -8.7051      1.00000
    136      -8.6632      1.00000
    137      -8.6363      1.00000
    138      -8.5865      1.00000
    139      -8.5813      1.00000
    140      -8.5236      1.00000
    141      -8.5086      1.00000
    142      -8.4920      1.00000
    143      -8.4677      1.00000
    144      -8.4483      1.00000
    145      -8.3871      1.00000
    146      -8.3819      1.00000
    147      -8.3552      1.00000
    148      -8.3326      1.00000
    149      -8.2093      1.00000
    150      -8.1332      1.00000
    151      -8.1312      1.00000
    152      -8.0918      1.00000
    153      -8.0707      1.00000
    154      -7.7971      1.00000
    155      -7.6267      1.00000
    156      -7.3896      1.00000
    157      -7.3372      1.00000
    158      -7.2579      1.00000
    159      -7.2158      1.00000
    160      -7.1626      1.00000
    161      -7.1444      1.00000
    162      -7.0590      1.00000
    163      -7.0529      1.00000
    164      -7.0353      1.00000
    165      -7.0320      1.00000
    166      -7.0159      1.00000
    167      -6.9777      1.00000
    168      -6.9609      1.00000
    169      -6.9282      1.00000
    170      -6.8845      1.00000
    171      -6.7080      1.00000
    172      -6.7048      1.00000
    173      -6.5648      1.00000
    174      -6.5267      1.00000
    175      -6.4619      1.00000
    176      -6.4532      1.00000
    177      -6.3260      1.00000
    178      -6.2968      1.00000
    179      -6.2395      1.00000
    180      -6.1250      1.00000
    181      -5.9263      1.00000
    182      -5.6572      1.00000
    183      -5.6092      1.00000
    184      -5.5839      1.00000
    185      -5.5491      1.00000
    186      -5.4576      1.00000
    187      -5.4115      1.00000
    188      -5.2891      1.00000
    189      -5.2682      1.00000
    190      -5.2603      1.00000
    191      -5.2040      1.00000
    192      -4.2274      1.00000
    193      -3.9002      1.00000
    194      -2.9743      1.00000
    195      -0.9903      0.00000
    196       0.3585      1.00000
    197       0.7320      0.00000
    198       0.9746      0.00000
    199       1.0064      0.00000
    200       1.0427      0.00000
    201       1.0678      0.00000
    202       1.0967      0.00000
    203       1.1116      0.00000
    204       1.1362      0.00000
    205       1.1798      0.00000
    206       1.2409      0.00000
    207       1.2637      0.00000
    208       1.3057      0.00000
    209       1.3253      0.00000
    210       1.4006      0.00000
    211       1.4758      0.00000
    212       1.4910      0.00000
    213       1.5244      0.00000
    214       1.6073      0.00000
    215       1.6416      0.00000
    216       1.6926      0.00000
    217       1.7085      0.00000
    218       1.7299      0.00000
    219       1.7547      0.00000
    220       1.7750      0.00000
    221       1.8176      0.00000
    222       1.8498      0.00000
    223       1.8661      0.00000
    224       1.8941      0.00000
    225       1.9211      0.00000
    226       1.9389      0.00000
    227       1.9478      0.00000
    228       1.9647      0.00000
    229       1.9800      0.00000
    230       1.9983      0.00000
    231       2.0041      0.00000
    232       2.0145      0.00000
    233       2.0731      0.00000
    234       2.2771      0.00000
    235       2.2964      0.00000
    236       2.3521      0.00000
    237       2.3629      0.00000
    238       2.3738      0.00000
    239       2.3803      0.00000
    240       2.4007      0.00000
    241       2.8261      0.00000
    242       2.8803      0.00000
    243       2.8913      0.00000
    244       2.9456      0.00000
    245       2.9970      0.00000
    246       3.0043      0.00000
    247       3.0265      0.00000
    248       3.0276      0.00000
    249       3.0362      0.00000
    250       3.0594      0.00000
    251       3.0637      0.00000
    252       3.0798      0.00000
 Fermi energy:         0.0000000000

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.2757      1.00000
      2     -24.4406      1.00000
      3     -24.1140      1.00000
      4     -24.0462      1.00000
      5     -23.9944      1.00000
      6     -23.9364      1.00000
      7     -23.8057      1.00000
      8     -23.5810      1.00000
      9     -23.2619      1.00000
     10     -23.2338      1.00000
     11     -23.1829      1.00000
     12     -23.0818      1.00000
     13     -23.0206      1.00000
     14     -22.9270      1.00000
     15     -22.8461      1.00000
     16     -22.8297      1.00000
     17     -22.7518      1.00000
     18     -22.6098      1.00000
     19     -22.5503      1.00000
     20     -22.0929      1.00000
     21     -21.9659      1.00000
     22     -21.8667      1.00000
     23     -21.8354      1.00000
     24     -21.8208      1.00000
     25     -21.7875      1.00000
     26     -21.7673      1.00000
     27     -21.7400      1.00000
     28     -21.7235      1.00000
     29     -21.6763      1.00000
     30     -21.5584      1.00000
     31     -21.4767      1.00000
     32     -21.4413      1.00000
     33     -21.3241      1.00000
     34     -21.3009      1.00000
     35     -21.2473      1.00000
     36     -21.1366      1.00000
     37     -21.0344      1.00000
     38     -20.9243      1.00000
     39     -20.8801      1.00000
     40     -20.8240      1.00000
     41     -20.7971      1.00000
     42     -20.7627      1.00000
     43     -20.7142      1.00000
     44     -20.6467      1.00000
     45     -20.6187      1.00000
     46     -20.5653      1.00000
     47     -20.5079      1.00000
     48     -18.4664      1.00000
     49     -14.6900      1.00000
     50     -14.6276      1.00000
     51     -14.5484      1.00000
     52     -14.4759      1.00000
     53     -14.4360      1.00000
     54     -14.4145      1.00000
     55     -14.3277      1.00000
     56     -14.2803      1.00000
     57     -14.2449      1.00000
     58     -14.2098      1.00000
     59     -14.1294      1.00000
     60     -13.9851      1.00000
     61     -13.8213      1.00000
     62     -13.7728      1.00000
     63     -13.6916      1.00000
     64     -13.6681      1.00000
     65     -13.5429      1.00000
     66     -13.4385      1.00000
     67     -13.2868      1.00000
     68     -13.1027      1.00000
     69     -13.0466      1.00000
     70     -12.9856      1.00000
     71     -12.9713      1.00000
     72     -12.9525      1.00000
     73     -12.9223      1.00000
     74     -12.8847      1.00000
     75     -12.8232      1.00000
     76     -12.7511      1.00000
     77     -12.5540      1.00000
     78     -12.5105      1.00000
     79     -12.4182      1.00000
     80     -12.2205      1.00000
     81     -12.1611      1.00000
     82     -12.1276      1.00000
     83     -11.8978      1.00000
     84     -11.8447      1.00000
     85     -11.6214      1.00000
     86     -11.5144      1.00000
     87     -11.4090      1.00000
     88     -11.3095      1.00000
     89     -11.2518      1.00000
     90     -11.0578      1.00000
     91     -10.7926      1.00000
     92     -10.7340      1.00000
