
 Fermi energy:        -0.1135035439

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.2946      1.00000
      2     -23.9756      1.00000
      3     -23.6682      1.00000
      4     -23.6482      1.00000
      5     -23.5285      1.00000
      6     -23.4823      1.00000
      7     -23.3093      1.00000
      8     -22.9945      1.00000
      9     -22.7791      1.00000
     10     -22.7720      1.00000
     11     -22.6927      1.00000
     12     -22.6493      1.00000
     13     -22.5751      1.00000
     14     -22.4947      1.00000
     15     -22.3523      1.00000
     16     -22.3131      1.00000
     17     -22.1802      1.00000
     18     -22.0503      1.00000
     19     -21.9421      1.00000
     20     -21.4846      1.00000
     21     -21.4763      1.00000
     22     -21.4178      1.00000
     23     -21.3957      1.00000
     24     -21.3847      1.00000
     25     -21.3108      1.00000
     26     -21.3012      1.00000
     27     -21.2341      1.00000
     28     -21.2002      1.00000
     29     -21.1554      1.00000
     30     -21.0596      1.00000
     31     -20.9962      1.00000
     32     -20.9053      1.00000
     33     -20.8717      1.00000
     34     -20.8089      1.00000
     35     -20.6998      1.00000
     36     -20.5854      1.00000
     37     -20.5128      1.00000
     38     -20.4835      1.00000
     39     -20.3955      1.00000
     40     -20.3921      1.00000
     41     -20.3007      1.00000
     42     -20.2424      1.00000
     43     -20.2084      1.00000
     44     -20.1756      1.00000
     45     -20.1154      1.00000
     46     -20.0244      1.00000
     47     -19.9139      1.00000
     48     -17.4293      1.00000
     49     -14.1620      1.00000
     50     -14.0777      1.00000
     51     -14.0682      1.00000
     52     -14.0436      1.00000
     53     -13.9614      1.00000
     54     -13.9417      1.00000
     55     -13.8739      1.00000
     56     -13.8264      1.00000
     57     -13.8075      1.00000
     58     -13.6377      1.00000
     59     -13.5621      1.00000
     60     -13.4030      1.00000
     61     -13.3157      1.00000
     62     -13.2649      1.00000
     63     -13.1893      1.00000
     64     -13.1562      1.00000
     65     -13.0868      1.00000
     66     -12.9559      1.00000
     67     -12.7384      1.00000
     68     -12.5822      1.00000
     69     -12.5545      1.00000
     70     -12.5170      1.00000
     71     -12.4811      1.00000
     72     -12.4539      1.00000
     73     -12.4417      1.00000
     74     -12.3919      1.00000
     75     -12.2931      1.00000
     76     -12.1725      1.00000
     77     -11.9951      1.00000
     78     -11.9247      1.00000
     79     -11.8270      1.00000
     80     -11.7571      1.00000
     81     -11.6839      1.00000
     82     -11.5832      1.00000
     83     -11.3553      1.00000
     84     -11.2680      1.00000
     85     -11.0975      1.00000
     86     -10.9732      1.00000
     87     -10.8453      1.00000
     88     -10.7831      1.00000
     89     -10.6502      1.00000
     90     -10.5103      1.00000
     91     -10.3596      1.00000
     92     -10.2784      1.00000
     93     -10.2383      1.00000
     94     -10.2048      1.00000
     95     -10.1605      1.00000
     96     -10.1373      1.00000
     97      -9.9844      1.00000
     98      -9.9150      1.00000
     99      -9.8760      1.00000
    100      -9.8569      1.00000
    101      -9.8106      1.00000
    102      -9.8049      1.00000
    103      -9.7796      1.00000
    104      -9.7791      1.00000
    105      -9.7451      1.00000
    106      -9.7159      1.00000
    107      -9.7034      1.00000
    108      -9.6818      1.00000
    109      -9.6684      1.00000
    110      -9.6047      1.00000
    111      -9.5947      1.00000
    112      -9.5496      1.00000
    113      -9.5150      1.00000
    114      -9.4577      1.00000
    115      -9.4261      1.00000
    116      -9.3719      1.00000
    117      -9.2892      1.00000
    118      -9.2800      1.00000
    119      -9.1185      1.00000
    120      -9.0603      1.00000
    121      -9.0246      1.00000
    122      -8.9354      1.00000
    123      -8.8275      1.00000
    124      -8.7748      1.00000
    125      -8.6544      1.00000
    126      -8.6290      1.00000
    127      -8.5680      1.00000
    128      -8.5463      1.00000
    129      -8.5019      1.00000
    130      -8.4221      1.00000
    131      -8.3698      1.00000
    132      -8.3561      1.00000
    133      -8.3239      1.00000
    134      -8.2597      1.00000
    135      -8.2433      1.00000
    136      -8.1840      1.00000
    137      -8.1589      1.00000
    138      -8.1227      1.00000
    139      -8.1143      1.00000
    140      -8.0260      1.00000
    141      -7.9963      1.00000
    142      -7.9797      1.00000
    143      -7.9712      1.00000
    144      -7.9186      1.00000
    145      -7.8601      1.00000
    146      -7.8272      1.00000
    147      -7.8151      1.00000
    148      -7.7472      1.00000
    149      -7.6235      1.00000
    150      -7.6168      1.00000
    151      -7.5478      1.00000
    152      -7.5109      1.00000
    153      -7.5046      1.00000
    154      -7.1571      1.00000
    155      -6.9989      1.00000
    156      -6.8726      1.00000
    157      -6.7799      1.00000
    158      -6.6897      1.00000
    159      -6.6809      1.00000
    160      -6.6690      1.00000
    161      -6.6367      1.00000
    162      -6.6218      1.00000
    163      -6.6187      1.00000
    164      -6.6011      1.00000
    165      -6.5618      1.00000
    166      -6.5530      1.00000
    167      -6.4114      1.00000
    168      -6.4003      1.00000
    169      -6.3832      1.00000
    170      -6.3795      1.00000
    171      -6.2130      1.00000
    172      -6.1909      1.00000
    173      -6.1296      1.00000
    174      -5.9964      1.00000
    175      -5.9349      1.00000
    176      -5.8772      1.00000
    177      -5.8366      1.00000
    178      -5.7245      1.00000
    179      -5.5819      1.00000
    180      -5.3861      1.00000
    181      -5.2187      1.00000
    182      -5.1637      1.00000
    183      -5.1417      1.00000
    184      -5.0816      1.00000
    185      -5.0635      1.00000
    186      -5.0256      1.00000
    187      -4.9182      1.00000
