
 Fermi energy:        -2.9163907696

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.9697      1.00000
      2     -24.6841      1.00000
      3     -24.5456      1.00000
      4     -24.4382      1.00000
      5     -24.3761      1.00000
      6     -24.2593      1.00000
      7     -24.2103      1.00000
      8     -23.7806      1.00000
      9     -23.7421      1.00000
     10     -23.6881      1.00000
     11     -23.6430      1.00000
     12     -23.4960      1.00000
     13     -23.4006      1.00000
     14     -23.3040      1.00000
     15     -23.2406      1.00000
     16     -23.2210      1.00000
     17     -23.1829      1.00000
     18     -23.1104      1.00000
     19     -22.8816      1.00000
     20     -22.5567      1.00000
     21     -22.4310      1.00000
     22     -22.3883      1.00000
     23     -22.3159      1.00000
     24     -22.2394      1.00000
     25     -22.1864      1.00000
     26     -22.1813      1.00000
     27     -22.1356      1.00000
     28     -22.1172      1.00000
     29     -22.0369      1.00000
     30     -21.9389      1.00000
     31     -21.9095      1.00000
     32     -21.8687      1.00000
     33     -21.7448      1.00000
     34     -21.6362      1.00000
     35     -21.6009      1.00000
     36     -21.5745      1.00000
     37     -21.5487      1.00000
     38     -21.2907      1.00000
     39     -21.2794      1.00000
     40     -21.2226      1.00000
     41     -21.1773      1.00000
     42     -21.1223      1.00000
     43     -21.1059      1.00000
     44     -21.0213      1.00000
     45     -20.9711      1.00000
     46     -20.9339      1.00000
     47     -20.8799      1.00000
     48     -20.8650      1.00000
     49     -15.3582      1.00000
     50     -15.1956      1.00000
     51     -15.1218      1.00000
     52     -15.0065      1.00000
     53     -14.9246      1.00000
     54     -14.7751      1.00000
     55     -14.7540      1.00000
     56     -14.7203      1.00000
     57     -14.6716      1.00000
     58     -14.5957      1.00000
     59     -14.5139      1.00000
     60     -14.5074      1.00000
     61     -14.2585      1.00000
     62     -14.2295      1.00000
     63     -14.2014      1.00000
     64     -14.0640      1.00000
     65     -13.9746      1.00000
     66     -13.9550      1.00000
     67     -13.7512      1.00000
     68     -13.6537      1.00000
     69     -13.5708      1.00000
     70     -13.5170      1.00000
     71     -13.4792      1.00000
     72     -13.3513      1.00000
     73     -13.3212      1.00000
     74     -13.2977      1.00000
     75     -13.2675      1.00000
     76     -13.2488      1.00000
     77     -13.1906      1.00000
     78     -13.0880      1.00000
     79     -12.7552      1.00000
     80     -12.6223      1.00000
     81     -12.5805      1.00000
     82     -12.5176      1.00000
     83     -12.4554      1.00000
     84     -12.3721      1.00000
     85     -12.1931      1.00000
     86     -11.9897      1.00000
     87     -11.8898      1.00000
     88     -11.8406      1.00000
     89     -11.7035      1.00000
     90     -11.5944      1.00000
     91     -11.2940      1.00000
     92     -11.2626      1.00000
     93     -11.2098      1.00000
     94     -11.1852      1.00000
     95     -11.0869      1.00000
     96     -11.0607      1.00000
     97     -10.9778      1.00000
     98     -10.9430      1.00000
     99     -10.8705      1.00000
    100     -10.8518      1.00000
    101     -10.7318      1.00000
    102     -10.7157      1.00000
    103     -10.7106      1.00000
    104     -10.6846      1.00000
    105     -10.6722      1.00000
    106     -10.6637      1.00000
    107     -10.6402      1.00000
    108     -10.5955      1.00000
    109     -10.5605      1.00000
    110     -10.5083      1.00000
    111     -10.4894      1.00000
    112     -10.4591      1.00000
    113     -10.4223      1.00000
    114     -10.3877      1.00000
    115     -10.3499      1.00000
    116     -10.3230      1.00000
    117     -10.2906      1.00000
    118     -10.2669      1.00000
    119     -10.2351      1.00000
    120      -9.8567      1.00000
    121      -9.8384      1.00000
    122      -9.7754      1.00000
    123      -9.7712      1.00000
    124      -9.7285      1.00000
    125      -9.7063      1.00000
    126      -9.6374      1.00000
    127      -9.5816      1.00000
    128      -9.5346      1.00000
    129      -9.4705      1.00000
    130      -9.4231      1.00000
    131      -9.3843      1.00000
    132      -9.3622      1.00000
    133      -9.3134      1.00000
    134      -9.1693      1.00000
    135      -9.1251      1.00000
    136      -9.0975      1.00000
    137      -9.0104      1.00000
    138      -8.9253      1.00000
    139      -8.8951      1.00000
    140      -8.8874      1.00000
    141      -8.8648      1.00000
    142      -8.8402      1.00000
    143      -8.8304      1.00000
    144      -8.8141      1.00000
    145      -8.8007      1.00000
    146      -8.7974      1.00000
    147      -8.7899      1.00000
    148      -8.7634      1.00000
    149      -8.7536      1.00000
    150      -8.6937      1.00000
    151      -8.6481      1.00000
    152      -8.5495      1.00000
    153      -8.4828      1.00000
    154      -8.4152      1.00000
    155      -8.3964      1.00000
    156      -7.8934      1.00000
    157      -7.7368      1.00000
    158      -7.6685      1.00000
    159      -7.6462      1.00000
    160      -7.6150      1.00000
    161      -7.5456      1.00000
    162      -7.4985      1.00000
    163      -7.4780      1.00000
    164      -7.4350      1.00000
    165      -7.4076      1.00000
    166      -7.3819      1.00000
    167      -7.3676      1.00000
    168      -7.3434      1.00000
    169      -7.3252      1.00000
    170      -7.2886      1.00000
    171      -7.2652      1.00000
    172      -7.2161      1.00000
    173      -6.9688      1.00000
    174      -6.8903      1.00000
    175      -6.8624      1.00000
    176      -6.8364      1.00000
    177      -6.8171      1.00000
    178      -6.7257      1.00000
    179      -6.6132      1.00000
    180      -6.5690      1.00000
    181      -6.5308      1.00000
    182      -6.3907      1.00000
    183      -6.1099      1.00000
    184      -5.9761      1.00000
    185      -5.9660      1.00000
    186      -5.9101      1.00000
    187      -5.8805      1.00000
    188      -5.7552      1.00000
    189      -5.7322      1.00000
    190      -5.6125      1.00000
    191      -5.5936      1.00000
    192      -5.4585      1.00000
    193      -5.4516      1.00000
    194      -4.0436      1.00000
    195      -3.1520      1.00000
    196      -1.5750      0.00000
    197      -0.0243      0.00000
    198       0.3398      0.00000
    199       0.5672      0.00000
    200       0.6445      0.00000
    201       0.8743      0.00000
    202       0.9665      0.00000
    203       0.9886      0.00000
    204       1.1568      0.00000
    205       1.2049      0.00000
    206       1.2126      0.00000
    207       1.2456      0.00000
    208       1.2975      0.00000
    209       1.3425      0.00000
    210       1.3502      0.00000
    211       1.3822      0.00000
    212       1.4075      0.00000
    213       1.4243      0.00000
    214       1.4925      0.00000
    215       1.5098      0.00000
    216       1.5185      0.00000
    217       1.5280      0.00000
    218       1.5637      0.00000
    219       1.6681      0.00000
    220       1.7343      0.00000
    221       1.7609      0.00000
    222       1.8819      0.00000
    223       2.3178      0.00000
    224       2.3274      0.00000
    225       2.3524      0.00000
    226       2.4156      0.00000
    227       2.4748      0.00000
    228       2.4869      0.00000
    229       2.4949      0.00000
    230       2.5354      0.00000
    231       2.5478      0.00000
    232       2.5596      0.00000
    233       2.5890      0.00000
    234       2.6109      0.00000
    235       2.6285      0.00000
    236       2.6686      0.00000
    237       2.6841      0.00000
    238       2.6912      0.00000
    239       2.6989      0.00000
    240       2.7365      0.00000
    241       2.7576      0.00000
    242       2.8748      0.00000
    243       2.9112      0.00000
    244       2.9151      0.00000
    245       2.9445      0.00000
    246       2.9743      0.00000
    247       2.9859      0.00000
    248       2.9986      0.00000
    249       3.0945      0.00000
    250       3.1312      0.00000
    251       3.1361      0.00000
    252       3.1989      0.00000
 Fermi energy:        -2.9163907696

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.9697      1.00000
      2     -24.6841      1.00000
      3     -24.5456      1.00000
      4     -24.4382      1.00000
      5     -24.3761      1.00000
      6     -24.2594      1.00000
      7     -24.2103      1.00000
      8     -23.7806      1.00000
      9     -23.7421      1.00000
     10     -23.6882      1.00000
     11     -23.6430      1.00000
     12     -23.4960      1.00000
     13     -23.4006      1.00000
     14     -23.3040      1.00000
     15     -23.2407      1.00000
     16     -23.2210      1.00000
     17     -23.1829      1.00000
     18     -23.1104      1.00000
     19     -22.8817      1.00000
     20     -22.5567      1.00000
     21     -22.4310      1.00000
     22     -22.3883      1.00000
     23     -22.3159      1.00000
     24     -22.2394      1.00000
     25     -22.1865      1.00000
     26     -22.1814      1.00000
     27     -22.1357      1.00000
     28     -22.1172      1.00000
     29     -22.0370      1.00000
     30     -21.9389      1.00000
     31     -21.9095      1.00000
     32     -21.8687      1.00000
     33     -21.7448      1.00000
     34     -21.6362      1.00000
     35     -21.6009      1.00000
     36     -21.5746      1.00000
     37     -21.5487      1.00000
     38     -21.2907      1.00000
     39     -21.2794      1.00000
     40     -21.2226      1.00000
     41     -21.1773      1.00000
     42     -21.1223      1.00000
     43     -21.1059      1.00000
     44     -21.0212      1.00000
     45     -20.9711      1.00000
     46     -20.9338      1.00000
     47     -20.8799      1.00000
     48     -20.8650      1.00000
     49     -15.3580      1.00000
     50     -15.1956      1.00000
     51     -15.1216      1.00000
     52     -15.0062      1.00000
     53     -14.9245      1.00000
     54     -14.7750      1.00000
     55     -14.7541      1.00000
     56     -14.7203      1.00000
     57     -14.6716      1.00000
     58     -14.5958      1.00000
