
 Fermi energy:        -1.7219287743

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.1021      1.00000
      2     -23.8753      1.00000
      3     -23.6133      1.00000
      4     -23.5742      1.00000
      5     -23.4950      1.00000
      6     -23.3810      1.00000
      7     -23.2636      1.00000
      8     -22.9064      1.00000
      9     -22.6938      1.00000
     10     -22.6877      1.00000
     11     -22.6353      1.00000
     12     -22.6134      1.00000
     13     -22.5455      1.00000
     14     -22.4512      1.00000
     15     -22.2747      1.00000
     16     -22.2115      1.00000
     17     -22.1387      1.00000
     18     -22.0582      1.00000
     19     -21.8860      1.00000
     20     -21.4531      1.00000
     21     -21.3940      1.00000
     22     -21.3744      1.00000
     23     -21.3565      1.00000
     24     -21.3448      1.00000
     25     -21.2622      1.00000
     26     -21.2600      1.00000
     27     -21.1699      1.00000
     28     -21.0932      1.00000
     29     -21.0862      1.00000
     30     -21.0128      1.00000
     31     -20.9716      1.00000
     32     -20.8910      1.00000
     33     -20.7978      1.00000
     34     -20.7057      1.00000
     35     -20.6955      1.00000
     36     -20.5829      1.00000
     37     -20.5228      1.00000
     38     -20.4280      1.00000
     39     -20.3220      1.00000
     40     -20.3093      1.00000
     41     -20.2978      1.00000
     42     -20.2002      1.00000
     43     -20.1672      1.00000
     44     -20.1325      1.00000
     45     -20.0830      1.00000
     46     -19.8425      1.00000
     47     -19.7432      1.00000
     48     -18.2363      1.00000
     49     -17.7093      1.00000
     50     -14.4244      1.00000
     51     -14.0775      1.00000
     52     -13.9947      1.00000
     53     -13.9684      1.00000
     54     -13.9501      1.00000
     55     -13.9358      1.00000
     56     -13.8679      1.00000
     57     -13.7748      1.00000
     58     -13.7529      1.00000
     59     -13.7324      1.00000
     60     -13.4910      1.00000
     61     -13.3692      1.00000
     62     -13.2257      1.00000
     63     -13.2023      1.00000
     64     -13.1755      1.00000
     65     -13.0703      1.00000
     66     -13.0087      1.00000
     67     -12.9375      1.00000
     68     -12.6597      1.00000
     69     -12.4976      1.00000
     70     -12.4849      1.00000
     71     -12.4505      1.00000
     72     -12.4186      1.00000
     73     -12.3932      1.00000
     74     -12.3554      1.00000
     75     -12.2883      1.00000
     76     -12.2472      1.00000
     77     -12.1962      1.00000
     78     -12.0034      1.00000
     79     -11.9508      1.00000
     80     -11.8182      1.00000
     81     -11.7272      1.00000
     82     -11.6177      1.00000
     83     -11.4833      1.00000
     84     -11.4462      1.00000
     85     -11.3318      1.00000
     86     -10.9441      1.00000
     87     -10.8638      1.00000
     88     -10.8088      1.00000
     89     -10.7753      1.00000
     90     -10.6853      1.00000
     91     -10.5461      1.00000
     92     -10.2632      1.00000
     93     -10.2208      1.00000
     94     -10.1869      1.00000
     95     -10.1450      1.00000
     96     -10.0989      1.00000
     97     -10.0830      1.00000
     98      -9.9527      1.00000
     99      -9.8219      1.00000
    100      -9.7561      1.00000
    101      -9.7489      1.00000
    102      -9.7448      1.00000
    103      -9.7294      1.00000
    104      -9.7191      1.00000
    105      -9.6974      1.00000
    106      -9.6916      1.00000
    107      -9.6541      1.00000
    108      -9.6354      1.00000
    109      -9.6118      1.00000
    110      -9.6008      1.00000
