
 Fermi energy:        -3.0036359994

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.8901      1.00000
      2     -24.7307      1.00000
      3     -24.4846      1.00000
      4     -24.3990      1.00000
      5     -24.3607      1.00000
      6     -24.2563      1.00000
      7     -24.2180      1.00000
      8     -23.7794      1.00000
      9     -23.7079      1.00000
     10     -23.6491      1.00000
     11     -23.6387      1.00000
     12     -23.4525      1.00000
     13     -23.3697      1.00000
     14     -23.2842      1.00000
     15     -23.2462      1.00000
     16     -23.2004      1.00000
     17     -23.1703      1.00000
     18     -23.0701      1.00000
     19     -22.9536      1.00000
     20     -22.5099      1.00000
     21     -22.4487      1.00000
     22     -22.3351      1.00000
     23     -22.2705      1.00000
     24     -22.2197      1.00000
     25     -22.1946      1.00000
     26     -22.1860      1.00000
     27     -22.1288      1.00000
     28     -22.1086      1.00000
     29     -22.0830      1.00000
     30     -21.9376      1.00000
     31     -21.8888      1.00000
     32     -21.8512      1.00000
     33     -21.6741      1.00000
     34     -21.6524      1.00000
     35     -21.6372      1.00000
     36     -21.6295      1.00000
     37     -21.5208      1.00000
     38     -21.2984      1.00000
     39     -21.2852      1.00000
     40     -21.2314      1.00000
     41     -21.2093      1.00000
     42     -21.1129      1.00000
     43     -21.0982      1.00000
     44     -20.9842      1.00000
     45     -20.9792      1.00000
     46     -20.9309      1.00000
     47     -20.9194      1.00000
     48     -18.1909      1.00000
     49     -15.2863      1.00000
     50     -15.1069      1.00000
     51     -14.9872      1.00000
     52     -14.9117      1.00000
     53     -14.8417      1.00000
     54     -14.7610      1.00000
     55     -14.7399      1.00000
     56     -14.7198      1.00000
     57     -14.6393      1.00000
     58     -14.5874      1.00000
     59     -14.5557      1.00000
     60     -14.4933      1.00000
     61     -14.3165      1.00000
     62     -14.1666      1.00000
     63     -14.1125      1.00000
     64     -14.0586      1.00000
     65     -13.9771      1.00000
     66     -13.8689      1.00000
     67     -13.7334      1.00000
     68     -13.5341      1.00000
     69     -13.4982      1.00000
     70     -13.4101      1.00000
     71     -13.3781      1.00000
     72     -13.3356      1.00000
     73     -13.3083      1.00000
     74     -13.2833      1.00000
     75     -13.2414      1.00000
     76     -13.1510      1.00000
     77     -13.1095      1.00000
     78     -12.9765      1.00000
     79     -12.7582      1.00000
     80     -12.6039      1.00000
     81     -12.5876      1.00000
     82     -12.5708      1.00000
     83     -12.3812      1.00000
     84     -12.3562      1.00000
     85     -12.1553      1.00000
     86     -11.9625      1.00000
     87     -11.8744      1.00000
     88     -11.7544      1.00000
     89     -11.6248      1.00000
     90     -11.5602      1.00000
     91     -11.2736      1.00000
     92     -11.1171      1.00000
     93     -11.1086      1.00000
     94     -11.0847      1.00000
     95     -11.0593      1.00000
     96     -11.0119      1.00000
     97     -10.9592      1.00000
     98     -10.9292      1.00000
     99     -10.8343      1.00000
    100     -10.7754      1.00000
    101     -10.7338      1.00000
    102     -10.6994      1.00000
    103     -10.6687      1.00000
    104     -10.5933      1.00000
    105     -10.5769      1.00000
    106     -10.5667      1.00000
    107     -10.5571      1.00000
    108     -10.5491      1.00000
    109     -10.5278      1.00000
    110     -10.5032      1.00000
    111     -10.4809      1.00000
    112     -10.4584      1.00000
    113     -10.4536      1.00000
    114     -10.4393      1.00000
    115     -10.3229      1.00000
    116     -10.3192      1.00000
    117     -10.2869      1.00000
    118     -10.2742      1.00000
    119     -10.1578      1.00000
    120      -9.9228      1.00000
    121      -9.8945      1.00000
    122      -9.8196      1.00000
    123      -9.7906      1.00000
    124      -9.7235      1.00000
    125      -9.6649      1.00000
    126      -9.5803      1.00000
    127      -9.5353      1.00000
    128      -9.4614      1.00000
    129      -9.4071      1.00000
    130      -9.3895      1.00000
    131      -9.3794      1.00000
    132      -9.2454      1.00000
    133      -9.2199      1.00000
    134      -9.1252      1.00000
    135      -9.0651      1.00000
    136      -9.0128      1.00000
    137      -9.0067      1.00000
    138      -8.9530      1.00000
    139      -8.9413      1.00000
    140      -8.9079      1.00000
    141      -8.8934      1.00000
    142      -8.8727      1.00000
    143      -8.8547      1.00000
    144      -8.8491      1.00000
    145      -8.8388      1.00000
    146      -8.8182      1.00000
    147      -8.8007      1.00000
    148      -8.7921      1.00000
    149      -8.6821      1.00000
    150      -8.6244      1.00000
    151      -8.5721      1.00000
    152      -8.5463      1.00000
    153      -8.4804      1.00000
    154      -8.3402      1.00000
    155      -7.9203      1.00000
    156      -7.8567      1.00000
    157      -7.7762      1.00000
    158      -7.6412      1.00000
    159      -7.5978      1.00000
    160      -7.5905      1.00000
    161      -7.5615      1.00000
    162      -7.5301      1.00000
    163      -7.4759      1.00000
    164      -7.4571      1.00000
    165      -7.3866      1.00000
    166      -7.3617      1.00000
    167      -7.3387      1.00000
    168      -7.3056      1.00000
    169      -7.2838      1.00000
    170      -7.2711      1.00000
    171      -7.0974      1.00000
    172      -7.0363      1.00000
    173      -6.9912      1.00000
    174      -6.9233      1.00000
    175      -6.8786      1.00000
    176      -6.6613      1.00000
    177      -6.6456      1.00000
    178      -6.6108      1.00000
    179      -6.5730      1.00000
    180      -6.5544      1.00000
    181      -6.4686      1.00000
    182      -6.3916      1.00000
    183      -6.0240      1.00000
    184      -6.0063      1.00000
    185      -5.9789      1.00000
    186      -5.9455      1.00000
    187      -5.7751      1.00000
    188      -5.7647      1.00000
    189      -5.6738      1.00000
    190      -5.6268      1.00000
    191      -5.5994      1.00000
    192      -5.5416      1.00000
    193      -5.5323      1.00000
    194      -3.3189      1.00000
    195      -1.4582      0.00000
    196       0.3094      0.00000
    197       0.4414      0.00000
    198       0.6647      0.00000
    199       0.7797      0.00000
    200       0.8802      0.00000
    201       1.0040      0.00000
    202       1.0821      0.00000
    203       1.1416      0.00000
    204       1.1677      0.00000
    205       1.1929      0.00000
    206       1.2193      0.00000
    207       1.2465      0.00000
    208       1.3048      0.00000
    209       1.3376      0.00000
    210       1.3615      0.00000
    211       1.3710      0.00000
    212       1.4138      0.00000
    213       1.4240      0.00000
    214       1.4658      0.00000
    215       1.4757      0.00000
    216       1.5218      0.00000
    217       1.5427      0.00000
    218       1.6141      0.00000
    219       1.6946      0.00000
    220       1.7434      0.00000
    221       1.8294      0.00000
    222       2.2939      0.00000
    223       2.3060      0.00000
    224       2.3657      0.00000
    225       2.4329      0.00000
    226       2.4570      0.00000
    227       2.4701      0.00000
    228       2.4942      0.00000
    229       2.5121      0.00000
    230       2.5158      0.00000
    231       2.5621      0.00000
    232       2.5987      0.00000
    233       2.6093      0.00000
    234       2.6450      0.00000
    235       2.6734      0.00000
    236       2.6908      0.00000
    237       2.7084      0.00000
    238       2.7418      0.00000
    239       2.7623      0.00000
    240       2.8173      0.00000
    241       2.8316      0.00000
    242       2.8551      0.00000
    243       2.8824      0.00000
    244       2.8962      0.00000
    245       2.9608      0.00000
    246       3.0572      0.00000
    247       3.1061      0.00000
    248       3.1207      0.00000
    249       3.1545      0.00000
    250       3.1791      0.00000
    251       3.1829      0.00000
    252       3.2037      0.00000
 Fermi energy:        -5.2638800401

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.8527      1.00000
      2     -24.6802      1.00000
      3     -24.4652      1.00000
      4     -24.3880      1.00000
      5     -24.3271      1.00000
      6     -24.2525      1.00000
      7     -24.2036      1.00000
      8     -23.7238      1.00000
      9     -23.6916      1.00000
     10     -23.6347      1.00000
     11     -23.6234      1.00000
     12     -23.4390      1.00000
     13     -23.3463      1.00000
     14     -23.2701      1.00000
     15     -23.2313      1.00000
     16     -23.1910      1.00000
     17     -23.1578      1.00000
     18     -23.0536      1.00000
     19     -22.9116      1.00000
     20     -22.4711      1.00000
     21     -22.4193      1.00000
     22     -22.3041      1.00000
     23     -22.2443      1.00000
     24     -22.2109      1.00000
     25     -22.1807      1.00000
     26     -22.1754      1.00000
     27     -22.1203      1.00000
     28     -22.1057      1.00000
     29     -22.0767      1.00000
     30     -21.9315      1.00000
     31     -21.8760      1.00000
     32     -21.8408      1.00000
     33     -21.6615      1.00000
     34     -21.6458      1.00000
     35     -21.6334      1.00000
     36     -21.6256      1.00000
     37     -21.4938      1.00000
     38     -21.2903      1.00000
     39     -21.2750      1.00000
     40     -21.2260      1.00000
     41     -21.2013      1.00000
     42     -21.1105      1.00000
     43     -21.0959      1.00000
     44     -20.9811      1.00000
     45     -20.9754      1.00000
     46     -20.9286      1.00000
     47     -20.9166      1.00000
     48     -17.5685      1.00000
     49     -15.2423      1.00000
     50     -15.0727      1.00000
     51     -14.9657      1.00000
     52     -14.8915      1.00000
     53     -14.8010      1.00000
     54     -14.7447      1.00000
     55     -14.7200      1.00000
     56     -14.6963      1.00000
     57     -14.6218      1.00000
     58     -14.5804      1.00000
     59     -14.5259      1.00000
     60     -14.4823      1.00000
     61     -14.2934      1.00000
     62     -14.1474      1.00000
     63     -14.0790      1.00000
     64     -14.0448      1.00000
     65     -13.9514      1.00000
     66     -13.8509      1.00000
     67     -13.6747      1.00000
     68     -13.5204      1.00000
     69     -13.4657      1.00000
     70     -13.3973      1.00000
     71     -13.3697      1.00000
     72     -13.3244      1.00000
     73     -13.2985      1.00000
