
 Fermi energy:        -5.3179220912

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -27.4727      1.00000
      2     -24.7877      1.00000
      3     -24.7877      1.00000
      4     -24.6493      1.00000
      5     -24.2632      1.00000
      6     -24.2628      1.00000
      7     -24.1538      1.00000
      8     -24.0474      1.00000
      9     -23.9955      1.00000
     10     -23.9950      1.00000
     11     -23.6112      1.00000
     12     -23.6111      1.00000
     13     -23.5227      1.00000
     14     -23.2507      1.00000
     15     -23.2506      1.00000
     16     -23.2136      1.00000
     17     -23.1640      1.00000
     18     -23.1558      1.00000
     19     -23.1555      1.00000
     20     -22.8455      1.00000
     21     -22.8451      1.00000
     22     -22.6130      1.00000
     23     -22.3489      1.00000
     24     -22.3483      1.00000
     25     -22.2775      1.00000
     26     -22.1939      1.00000
     27     -22.0979      1.00000
     28     -22.0978      1.00000
     29     -22.0478      1.00000
     30     -22.0476      1.00000
     31     -22.0455      1.00000
     32     -21.8397      1.00000
     33     -21.8396      1.00000
     34     -21.8067      1.00000
     35     -21.6097      1.00000
     36     -21.6054      1.00000
     37     -21.6052      1.00000
     38     -21.5280      1.00000
     39     -21.5279      1.00000
     40     -21.2349      1.00000
     41     -21.2255      1.00000
     42     -21.2249      1.00000
     43     -21.2151      1.00000
     44     -21.0169      1.00000
     45     -21.0168      1.00000
     46     -20.9321      1.00000
     47     -20.9321      1.00000
     48     -20.9248      1.00000
     49     -20.9193      1.00000
     50     -17.3754      1.00000
     51     -15.7624      1.00000
     52     -15.7617      1.00000
     53     -14.9421      1.00000
     54     -14.9378      1.00000
     55     -14.9371      1.00000
     56     -14.6932      1.00000
     57     -14.6930      1.00000
     58     -14.5957      1.00000
     59     -14.5875      1.00000
     60     -14.5873      1.00000
     61     -14.5809      1.00000
     62     -14.3976      1.00000
     63     -14.3973      1.00000
     64     -14.2627      1.00000
     65     -14.1218      1.00000
     66     -14.1172      1.00000
     67     -14.1170      1.00000
     68     -13.6651      1.00000
     69     -13.6648      1.00000
     70     -13.6607      1.00000
     71     -13.4575      1.00000
     72     -13.4571      1.00000
     73     -13.4032      1.00000
     74     -13.3632      1.00000
     75     -13.3129      1.00000
     76     -13.3126      1.00000
     77     -13.2828      1.00000
     78     -13.2825      1.00000
     79     -13.2698      1.00000
     80     -12.8644      1.00000
     81     -12.8084      1.00000
     82     -12.8082      1.00000
     83     -12.7488      1.00000
     84     -12.5039      1.00000
     85     -12.5039      1.00000
     86     -12.3973      1.00000
     87     -12.1952      1.00000
     88     -12.1950      1.00000
     89     -12.0237      1.00000
     90     -11.8880      1.00000
     91     -11.8873      1.00000
     92     -11.8635      1.00000
     93     -11.6289      1.00000
     94     -11.6287      1.00000
     95     -11.2658      1.00000
     96     -11.2010      1.00000
     97     -11.1130      1.00000
     98     -11.1128      1.00000
     99     -10.8395      1.00000
    100     -10.8393      1.00000
    101     -10.8055      1.00000
    102     -10.7482      1.00000
    103     -10.7481      1.00000
    104     -10.7313      1.00000
    105     -10.7200      1.00000
    106     -10.6571      1.00000
    107     -10.6467      1.00000
    108     -10.6462      1.00000
    109     -10.6366      1.00000
    110     -10.6366      1.00000
    111     -10.6088      1.00000
    112     -10.6087      1.00000
    113     -10.6021      1.00000
    114     -10.4416      1.00000
    115     -10.4304      1.00000
    116     -10.4299      1.00000
    117     -10.4255      1.00000
    118     -10.4250      1.00000
    119     -10.4197      1.00000
    120     -10.3321      1.00000
    121     -10.3318      1.00000
    122     -10.2412      1.00000
    123      -9.9664      1.00000
    124      -9.9661      1.00000
    125      -9.9196      1.00000
    126      -9.8775      1.00000
    127      -9.6888      1.00000
    128      -9.6875      1.00000
    129      -9.6872      1.00000
    130      -9.5094      1.00000
    131      -9.5093      1.00000
    132      -9.4459      1.00000
    133      -9.4458      1.00000
    134      -9.3596      1.00000
    135      -9.3595      1.00000
    136      -9.2919      1.00000
    137      -9.2226      1.00000
    138      -9.1860      1.00000
    139      -9.1858      1.00000
    140      -9.1558      1.00000
    141      -8.9334      1.00000
    142      -8.9044      1.00000
    143      -8.9043      1.00000
    144      -8.8578      1.00000
    145      -8.8555      1.00000
    146      -8.8555      1.00000
    147      -8.8346      1.00000
    148      -8.8107      1.00000
    149      -8.8102      1.00000
    150      -8.8034      1.00000
    151      -8.7896      1.00000
    152      -8.7895      1.00000
    153      -8.7119      1.00000
    154      -8.7118      1.00000
    155      -8.6230      1.00000
    156      -8.4905      1.00000
    157      -8.4902      1.00000
    158      -8.4119      1.00000
    159      -7.9479      1.00000
    160      -7.8175      1.00000
    161      -7.8169      1.00000
    162      -7.7646      1.00000
    163      -7.7642      1.00000
    164      -7.7013      1.00000
    165      -7.5662      1.00000
    166      -7.5658      1.00000
    167      -7.5240      1.00000
    168      -7.5237      1.00000
    169      -7.5099      1.00000
    170      -7.4909      1.00000
    171      -7.3160      1.00000
    172      -7.2950      1.00000
    173      -7.2949      1.00000
    174      -7.2410      1.00000
    175      -7.2408      1.00000
    176      -7.2339      1.00000
    177      -6.8684      1.00000
    178      -6.8683      1.00000
    179      -6.8639      1.00000
    180      -6.8634      1.00000
    181      -6.8516      1.00000
    182      -6.6197      1.00000
    183      -6.6172      1.00000
    184      -6.6168      1.00000
    185      -6.2515      1.00000
    186      -6.2514      1.00000
    187      -6.0098      1.00000
    188      -5.9828      1.00000
    189      -5.9550      1.00000
    190      -5.9547      1.00000
    191      -5.7042      1.00000
    192      -5.7041      1.00000
    193      -5.5907      1.00000
    194      -5.5818      1.00000
    195      -5.5780      1.00000
    196      -5.5780      1.00000
    197      -1.1011      0.00000
    198       0.6145      0.00000
    199       0.6428      0.00000
    200       0.6430      0.00000
    201       0.6628      0.00000
    202       0.9209      0.00000
    203       0.9212      0.00000
    204       1.1267      0.00000
    205       1.1683      0.00000
    206       1.2145      0.00000
    207       1.2226      0.00000
    208       1.2296      0.00000
    209       1.2665      0.00000
    210       1.2679      0.00000
    211       1.3021      0.00000
    212       1.3022      0.00000
    213       1.3919      0.00000
    214       1.4277      0.00000
    215       1.4372      0.00000
    216       1.4724      0.00000
    217       1.4747      0.00000
    218       1.5222      0.00000
    219       1.5316      0.00000
    220       1.5368      0.00000
    221       1.5581      0.00000
    222       1.7325      0.00000
    223       2.2788      0.00000
    224       2.3260      0.00000
    225       2.3410      0.00000
    226       2.4138      0.00000
    227       2.4653      0.00000
    228       2.4817      0.00000
    229       2.4883      0.00000
    230       2.4993      0.00000
    231       2.5073      0.00000
    232       2.5856      0.00000
    233       2.6359      0.00000
    234       2.6532      0.00000
    235       2.6816      0.00000
    236       2.6835      0.00000
    237       2.7058      0.00000
    238       2.7196      0.00000
    239       2.7433      0.00000
    240       2.7756      0.00000
    241       2.8101      0.00000
    242       2.9469      0.00000
    243       3.0261      0.00000
    244       3.0633      0.00000
    245       3.1217      0.00000
    246       3.1542      0.00000
    247       3.1772      0.00000
    248       3.1814      0.00000
    249       3.2613      0.00000
    250       3.3083      0.00000
    251       3.3907      0.00000
    252       3.5480      0.00000
 Fermi energy:        -5.3179220912

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -27.4727      1.00000
      2     -24.7877      1.00000
      3     -24.7877      1.00000
      4     -24.6493      1.00000
      5     -24.2632      1.00000
      6     -24.2628      1.00000
      7     -24.1538      1.00000
      8     -24.0474      1.00000
      9     -23.9955      1.00000
     10     -23.9950      1.00000
     11     -23.6112      1.00000
     12     -23.6111      1.00000
     13     -23.5227      1.00000
     14     -23.2507      1.00000
     15     -23.2506      1.00000
     16     -23.2136      1.00000
     17     -23.1640      1.00000
     18     -23.1558      1.00000
     19     -23.1555      1.00000
     20     -22.8455      1.00000
     21     -22.8451      1.00000
     22     -22.6129      1.00000
     23     -22.3489      1.00000
     24     -22.3483      1.00000
     25     -22.2775      1.00000
     26     -22.1939      1.00000
     27     -22.0979      1.00000
     28     -22.0978      1.00000
     29     -22.0478      1.00000
     30     -22.0476      1.00000
     31     -22.0455      1.00000
     32     -21.8397      1.00000
     33     -21.8396      1.00000
     34     -21.8067      1.00000
     35     -21.6097      1.00000
     36     -21.6054      1.00000
     37     -21.6052      1.00000
     38     -21.5280      1.00000
     39     -21.5279      1.00000
     40     -21.2349      1.00000
     41     -21.2255      1.00000
     42     -21.2249      1.00000
     43     -21.2151      1.00000
     44     -21.0169      1.00000
     45     -21.0168      1.00000
     46     -20.9321      1.00000
     47     -20.9321      1.00000
     48     -20.9248      1.00000
     49     -20.9193      1.00000
     50     -17.3754      1.00000
     51     -15.7624      1.00000
     52     -15.7617      1.00000
     53     -14.9421      1.00000
     54     -14.9378      1.00000
     55     -14.9371      1.00000
     56     -14.6932      1.00000
     57     -14.6930      1.00000
     58     -14.5957      1.00000
     59     -14.5875      1.00000
     60     -14.5873      1.00000
     61     -14.5809      1.00000
     62     -14.3976      1.00000
     63     -14.3973      1.00000
     64     -14.2627      1.00000
     65     -14.1218      1.00000
     66     -14.1172      1.00000
     67     -14.1170      1.00000
     68     -13.6651      1.00000
     69     -13.6648      1.00000
     70     -13.6607      1.00000
     71     -13.4575      1.00000
     72     -13.4571      1.00000
     73     -13.4032      1.00000
     74     -13.3632      1.00000
     75     -13.3129      1.00000
     76     -13.3126      1.00000
     77     -13.2828      1.00000
     78     -13.2825      1.00000
     79     -13.2698      1.00000
     80     -12.8644      1.00000
     81     -12.8084      1.00000
     82     -12.8082      1.00000
     83     -12.7488      1.00000
     84     -12.5039      1.00000
     85     -12.5039      1.00000
     86     -12.3973      1.00000
     87     -12.1952      1.00000
     88     -12.1950      1.00000
     89     -12.0237      1.00000
     90     -11.8880      1.00000
     91     -11.8873      1.00000
     92     -11.8635      1.00000
     93     -11.6289      1.00000
     94     -11.6287      1.00000
     95     -11.2658      1.00000
     96     -11.2010      1.00000
     97     -11.1130      1.00000
     98     -11.1128      1.00000
     99     -10.8395      1.00000
    100     -10.8393      1.00000
    101     -10.8055      1.00000
    102     -10.7482      1.00000
    103     -10.7481      1.00000
    104     -10.7313      1.00000
    105     -10.7200      1.00000
    106     -10.6571      1.00000
    107     -10.6467      1.00000
    108     -10.6462      1.00000
    109     -10.6366      1.00000
    110     -10.6365      1.00000
    111     -10.6088      1.00000
    112     -10.6087      1.00000
    113     -10.6021      1.00000
    114     -10.4416      1.00000
    115     -10.4304      1.00000
    116     -10.4299      1.00000
    117     -10.4255      1.00000
    118     -10.4250      1.00000
    119     -10.4197      1.00000
    120     -10.3321      1.00000
    121     -10.3318      1.00000
    122     -10.2412      1.00000
    123      -9.9664      1.00000
    124      -9.9661      1.00000
    125      -9.9196      1.00000
    126      -9.8775      1.00000
    127      -9.6888      1.00000
    128      -9.6875      1.00000
    129      -9.6872      1.00000
    130      -9.5094      1.00000
    131      -9.5093      1.00000
    132      -9.4459      1.00000
    133      -9.4458      1.00000
    134      -9.3596      1.00000
    135      -9.3595      1.00000
    136      -9.2919      1.00000
    137      -9.2226      1.00000
    138      -9.1860      1.00000
    139      -9.1858      1.00000
    140      -9.1558      1.00000
    141      -8.9334      1.00000
    142      -8.9044      1.00000
    143      -8.9043      1.00000
    144      -8.8578      1.00000
    145      -8.8555      1.00000
    146      -8.8555      1.00000
    147      -8.8346      1.00000
    148      -8.8107      1.00000
    149      -8.8102      1.00000
    150      -8.8034      1.00000
    151      -8.7896      1.00000
    152      -8.7895      1.00000
    153      -8.7119      1.00000
    154      -8.7118      1.00000
    155      -8.6230      1.00000
    156      -8.4905      1.00000
    157      -8.4902      1.00000
    158      -8.4119      1.00000
    159      -7.9478      1.00000
    160      -7.8175      1.00000
    161      -7.8169      1.00000
    162      -7.7646      1.00000
    163      -7.7642      1.00000
    164      -7.7013      1.00000
    165      -7.5661      1.00000
    166      -7.5658      1.00000
    167      -7.5240      1.00000
    168      -7.5237      1.00000
    169      -7.5099      1.00000
    170      -7.4909      1.00000
    171      -7.3160      1.00000
    172      -7.2950      1.00000
    173      -7.2949      1.00000
    174      -7.2409      1.00000
    175      -7.2408      1.00000
    176      -7.2339      1.00000
    177      -6.8684      1.00000
    178      -6.8683      1.00000
    179      -6.8638      1.00000
    180      -6.8635      1.00000
    181      -6.8516      1.00000
    182      -6.6197      1.00000
    183      -6.6172      1.00000
    184      -6.6168      1.00000
    185      -6.2515      1.00000
    186      -6.2514      1.00000
    187      -6.0098      1.00000
    188      -5.9828      1.00000
    189      -5.9550      1.00000
    190      -5.9547      1.00000
    191      -5.7042      1.00000
    192      -5.7041      1.00000
    193      -5.5907      1.00000
    194      -5.5818      1.00000
    195      -5.5780      1.00000
    196      -5.5780      1.00000
    197      -1.1011      0.00000
    198       0.6145      0.00000
    199       0.6428      0.00000
    200       0.6430      0.00000
    201       0.6628      0.00000
    202       0.9206      0.00000
    203       0.9206      0.00000
    204       1.1206      0.00000
    205       1.1666      0.00000
    206       1.2143      0.00000
    207       1.2217      0.00000
    208       1.2247      0.00000
    209       1.2655      0.00000
    210       1.2665      0.00000
    211       1.3020      0.00000
    212       1.3022      0.00000
    213       1.3906      0.00000
    214       1.4266      0.00000
    215       1.4270      0.00000
    216       1.4722      0.00000
    217       1.4729      0.00000
    218       1.5227      0.00000
    219       1.5240      0.00000
    220       1.5353      0.00000
    221       1.5471      0.00000
    222       1.7322      0.00000
    223       2.2674      0.00000
    224       2.3300      0.00000
    225       2.3334      0.00000
    226       2.3662      0.00000
    227       2.4654      0.00000
    228       2.4772      0.00000
    229       2.4814      0.00000
    230       2.5296      0.00000
    231       2.5539      0.00000
    232       2.5745      0.00000
    233       2.6298      0.00000
    234       2.6437      0.00000
    235       2.6519      0.00000
    236       2.6819      0.00000
    237       2.7063      0.00000
    238       2.7261      0.00000
    239       2.7592      0.00000
    240       2.8162      0.00000
    241       2.8234      0.00000
    242       2.9225      0.00000
    243       3.0092      0.00000
    244       3.0423      0.00000
    245       3.0745      0.00000
    246       3.1117      0.00000
    247       3.1632      0.00000
    248       3.2404      0.00000
    249       3.2448      0.00000
    250       3.3077      0.00000
    251       3.3670      0.00000
    252       3.5422      0.00000

