
 Fermi energy:        -5.2772941098

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -26.6581      1.00000
      2     -25.9952      1.00000
      3     -24.6347      1.00000
      4     -24.5848      1.00000
      5     -24.3106      1.00000
      6     -24.2929      1.00000
      7     -24.1928      1.00000
      8     -24.1778      1.00000
      9     -23.9567      1.00000
     10     -23.7953      1.00000
     11     -23.7725      1.00000
     12     -23.5636      1.00000
     13     -23.5328      1.00000
     14     -23.2924      1.00000
     15     -23.2779      1.00000
     16     -23.2333      1.00000
     17     -23.1954      1.00000
     18     -23.1710      1.00000
     19     -23.0904      1.00000
     20     -22.8973      1.00000
     21     -22.7122      1.00000
     22     -22.6523      1.00000
     23     -22.3784      1.00000
     24     -22.3267      1.00000
     25     -22.2362      1.00000
     26     -22.1499      1.00000
     27     -22.1343      1.00000
     28     -22.0827      1.00000
     29     -22.0724      1.00000
     30     -22.0591      1.00000
     31     -21.9383      1.00000
     32     -21.8693      1.00000
     33     -21.8587      1.00000
     34     -21.6746      1.00000
     35     -21.6593      1.00000
     36     -21.6304      1.00000
     37     -21.6245      1.00000
     38     -21.5830      1.00000
     39     -21.2846      1.00000
     40     -21.2823      1.00000
     41     -21.2429      1.00000
     42     -21.2324      1.00000
     43     -21.0538      1.00000
     44     -21.0532      1.00000
     45     -20.9590      1.00000
     46     -20.9586      1.00000
     47     -20.9508      1.00000
     48     -20.9457      1.00000
     49     -20.1083      1.00000
     50     -17.3508      1.00000
     51     -16.3401      1.00000
     52     -15.4188      1.00000
     53     -15.2797      1.00000
     54     -14.9358      1.00000
     55     -14.9065      1.00000
     56     -14.7637      1.00000
     57     -14.7426      1.00000
     58     -14.6502      1.00000
     59     -14.6096      1.00000
     60     -14.6084      1.00000
     61     -14.5645      1.00000
     62     -14.4389      1.00000
     63     -14.3358      1.00000
     64     -14.2861      1.00000
     65     -14.2690      1.00000
     66     -14.2233      1.00000
     67     -14.0572      1.00000
     68     -13.7172      1.00000
     69     -13.7005      1.00000
     70     -13.6283      1.00000
     71     -13.6272      1.00000
     72     -13.4823      1.00000
     73     -13.4030      1.00000
     74     -13.3711      1.00000
     75     -13.3572      1.00000
     76     -13.3190      1.00000
     77     -13.3090      1.00000
     78     -13.2977      1.00000
     79     -13.2731      1.00000
     80     -12.9572      1.00000
     81     -12.8494      1.00000
     82     -12.7990      1.00000
     83     -12.7183      1.00000
     84     -12.5346      1.00000
     85     -12.5333      1.00000
     86     -12.2388      1.00000
     87     -12.1497      1.00000
     88     -12.0928      1.00000
     89     -11.9673      1.00000
     90     -11.9664      1.00000
     91     -11.8552      1.00000
     92     -11.8376      1.00000
     93     -11.7425      1.00000
     94     -11.6034      1.00000
     95     -11.3788      1.00000
     96     -11.2149      1.00000
     97     -11.1855      1.00000
     98     -11.1340      1.00000
     99     -11.1001      1.00000
    100     -10.9114      1.00000
    101     -10.8682      1.00000
    102     -10.7995      1.00000
    103     -10.7985      1.00000
    104     -10.7652      1.00000
    105     -10.7327      1.00000
    106     -10.6998      1.00000
    107     -10.6903      1.00000
    108     -10.6573      1.00000
    109     -10.6477      1.00000
    110     -10.6321      1.00000
    111     -10.6114      1.00000
    112     -10.5648      1.00000
    113     -10.4977      1.00000
    114     -10.4623      1.00000
    115     -10.4594      1.00000
    116     -10.4584      1.00000
    117     -10.4538      1.00000
    118     -10.4509      1.00000
    119     -10.3686      1.00000
    120     -10.3668      1.00000
    121     -10.3549      1.00000
    122     -10.2653      1.00000
    123     -10.0519      1.00000
    124      -9.9794      1.00000
    125      -9.9387      1.00000
    126      -9.9156      1.00000
    127      -9.7258      1.00000
    128      -9.7122      1.00000
    129      -9.7016      1.00000
    130      -9.6610      1.00000
    131      -9.4485      1.00000
    132      -9.4320      1.00000
    133      -9.4227      1.00000
    134      -9.4045      1.00000
    135      -9.3277      1.00000
    136      -9.3083      1.00000
    137      -9.2993      1.00000
    138      -9.2261      1.00000
    139      -9.1859      1.00000
    140      -9.0335      1.00000
    141      -8.9606      1.00000
    142      -8.9506      1.00000
    143      -8.9155      1.00000
    144      -8.8954      1.00000
    145      -8.8898      1.00000
    146      -8.8732      1.00000
    147      -8.8637      1.00000
    148      -8.8586      1.00000
    149      -8.8303      1.00000
    150      -8.8274      1.00000
    151      -8.8144      1.00000
    152      -8.7335      1.00000
    153      -8.7028      1.00000
    154      -8.6940      1.00000
    155      -8.5813      1.00000
    156      -8.5082      1.00000
    157      -8.4563      1.00000
    158      -8.3820      1.00000
    159      -8.0829      1.00000
    160      -7.8101      1.00000
    161      -7.7342      1.00000
    162      -7.7336      1.00000
    163      -7.7096      1.00000
    164      -7.7087      1.00000
    165      -7.6216      1.00000
    166      -7.6039      1.00000
    167      -7.5416      1.00000
    168      -7.5027      1.00000
    169      -7.4986      1.00000
    170      -7.4304      1.00000
    171      -7.3097      1.00000
    172      -7.3061      1.00000
    173      -7.2804      1.00000
    174      -7.2762      1.00000
    175      -7.2525      1.00000
    176      -7.1743      1.00000
    177      -6.9001      1.00000
    178      -6.8910      1.00000
    179      -6.8888      1.00000
    180      -6.8769      1.00000
    181      -6.6776      1.00000
    182      -6.6621      1.00000
    183      -6.6515      1.00000
    184      -6.6298      1.00000
    185      -6.3001      1.00000
    186      -6.0551      1.00000
    187      -6.0304      1.00000
    188      -5.9989      1.00000
    189      -5.9703      1.00000
    190      -5.7798      1.00000
    191      -5.7407      1.00000
    192      -5.6248      1.00000
    193      -5.6239      1.00000
    194      -5.6030      1.00000
    195      -5.5977      1.00000
    196      -5.5289      1.00000
    197      -1.3024      0.00000
    198       0.0150      0.00000
    199       0.6750      0.00000
    200       0.7112      0.00000
    201       0.7646      0.00000
    202       0.8372      0.00000
    203       0.9180      0.00000
    204       1.0976      0.00000
    205       1.1058      0.00000
    206       1.1939      0.00000
    207       1.2018      0.00000
    208       1.2266      0.00000
    209       1.2453      0.00000
    210       1.2674      0.00000
    211       1.2877      0.00000
    212       1.3552      0.00000
    213       1.3708      0.00000
    214       1.3714      0.00000
    215       1.4362      0.00000
    216       1.4494      0.00000
    217       1.4514      0.00000
    218       1.4640      0.00000
    219       1.5063      0.00000
    220       1.5152      0.00000
    221       1.5337      0.00000
    222       1.7722      0.00000
    223       2.2848      0.00000
    224       2.2878      0.00000
    225       2.3343      0.00000
    226       2.3394      0.00000
    227       2.4460      0.00000
    228       2.4556      0.00000
    229       2.4644      0.00000
    230       2.4762      0.00000
    231       2.5056      0.00000
    232       2.5112      0.00000
    233       2.5182      0.00000
    234       2.6295      0.00000
    235       2.6366      0.00000
    236       2.6448      0.00000
    237       2.6783      0.00000
    238       2.6887      0.00000
    239       2.7000      0.00000
    240       2.7051      0.00000
    241       2.7208      0.00000
    242       2.7779      0.00000
    243       2.7821      0.00000
    244       2.7850      0.00000
    245       2.8061      0.00000
    246       3.0822      0.00000
    247       3.1259      0.00000
    248       3.1386      0.00000
    249       3.1846      0.00000
    250       3.1941      0.00000
    251       3.2467      0.00000
    252       3.2990      0.00000
 Fermi energy:        -5.2772941098

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -26.6581      1.00000
      2     -25.9952      1.00000
      3     -24.6347      1.00000
      4     -24.5848      1.00000
