
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.7111      1.00000
      2     -24.4164      1.00000
      3     -24.3909      1.00000
      4     -24.1320      1.00000
      5     -24.0696      1.00000
      6     -24.0209      1.00000
      7     -23.9197      1.00000
      8     -23.7659      1.00000
      9     -23.5574      1.00000
     10     -23.4149      1.00000
     11     -23.2848      1.00000
     12     -23.2137      1.00000
     13     -23.1686      1.00000
     14     -23.0369      1.00000
     15     -23.0032      1.00000
     16     -22.9625      1.00000
     17     -22.8925      1.00000
     18     -22.7968      1.00000
     19     -22.6845      1.00000
     20     -22.4366      1.00000
     21     -22.3296      1.00000
     22     -22.0051      1.00000
     23     -21.9536      1.00000
     24     -21.9230      1.00000
     25     -21.8975      1.00000
     26     -21.8704      1.00000
     27     -21.8498      1.00000
     28     -21.8327      1.00000
     29     -21.7870      1.00000
     30     -21.6909      1.00000
     31     -21.6551      1.00000
     32     -21.5755      1.00000
     33     -21.4819      1.00000
     34     -21.4412      1.00000
     35     -21.3982      1.00000
     36     -21.2725      1.00000
     37     -21.2360      1.00000
     38     -21.0939      1.00000
     39     -21.0224      1.00000
     40     -20.9493      1.00000
     41     -20.9015      1.00000
     42     -20.8962      1.00000
     43     -20.8486      1.00000
     44     -20.7697      1.00000
     45     -20.7643      1.00000
     46     -20.6995      1.00000
     47     -20.6692      1.00000
     48     -19.7455      1.00000
     49     -18.2782      1.00000
     50     -16.2311      1.00000
     51     -15.1640      1.00000
     52     -14.8081      1.00000
     53     -14.6512      1.00000
     54     -14.6344      1.00000
     55     -14.5398      1.00000
     56     -14.4520      1.00000
     57     -14.4225      1.00000
     58     -14.3829      1.00000
     59     -14.3455      1.00000
     60     -14.3170      1.00000
     61     -14.2861      1.00000
     62     -14.0311      1.00000
     63     -13.9440      1.00000
     64     -13.8868      1.00000
     65     -13.8096      1.00000
     66     -13.7634      1.00000
     67     -13.7529      1.00000
     68     -13.3867      1.00000
     69     -13.3675      1.00000
     70     -13.2424      1.00000
     71     -13.1385      1.00000
     72     -13.0990      1.00000
     73     -13.0745      1.00000
     74     -13.0625      1.00000
     75     -13.0408      1.00000
     76     -13.0234      1.00000
     77     -12.9804      1.00000
     78     -12.9306      1.00000
     79     -12.8875      1.00000
     80     -12.5576      1.00000
     81     -12.4873      1.00000
     82     -12.4600      1.00000
     83     -12.3404      1.00000
     84     -12.2889      1.00000
     85     -12.1968      1.00000
     86     -11.8205      1.00000
     87     -11.6862      1.00000
     88     -11.5797      1.00000
     89     -11.5615      1.00000
     90     -11.5200      1.00000
     91     -11.4764      1.00000
     92     -11.2487      1.00000
     93     -11.2190      1.00000
     94     -11.0426      1.00000
     95     -10.8879      1.00000
     96     -10.8440      1.00000
     97     -10.7560      1.00000
     98     -10.7499      1.00000
     99     -10.5858      1.00000
    100     -10.5776      1.00000
    101     -10.4901      1.00000
    102     -10.4719      1.00000
    103     -10.4231      1.00000
    104     -10.4032      1.00000
