
 Fermi energy:        -0.7983282119

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.9875      1.00000
      2     -24.2157      1.00000
      3     -24.0741      1.00000
      4     -23.9055      1.00000
      5     -23.8810      1.00000
      6     -23.8691      1.00000
      7     -23.7818      1.00000
      8     -23.4942      1.00000
      9     -23.3054      1.00000
     10     -23.1489      1.00000
     11     -23.0784      1.00000
     12     -23.0452      1.00000
     13     -22.9741      1.00000
     14     -22.8686      1.00000
     15     -22.8000      1.00000
     16     -22.7551      1.00000
     17     -22.7096      1.00000
     18     -22.6239      1.00000
     19     -22.5330      1.00000
     20     -22.1159      1.00000
     21     -22.0013      1.00000
     22     -21.8280      1.00000
     23     -21.7332      1.00000
     24     -21.7132      1.00000
     25     -21.6999      1.00000
     26     -21.6922      1.00000
     27     -21.6846      1.00000
     28     -21.6758      1.00000
     29     -21.6531      1.00000
     30     -21.5077      1.00000
     31     -21.4783      1.00000
     32     -21.3744      1.00000
     33     -21.2868      1.00000
     34     -21.2709      1.00000
     35     -21.2527      1.00000
     36     -21.1127      1.00000
     37     -21.0896      1.00000
     38     -20.8830      1.00000
     39     -20.8078      1.00000
     40     -20.7801      1.00000
     41     -20.7639      1.00000
     42     -20.6897      1.00000
     43     -20.6747      1.00000
     44     -20.6089      1.00000
     45     -20.5930      1.00000
     46     -20.5899      1.00000
     47     -20.5712      1.00000
     48     -19.4269      1.00000
     49     -17.8525      1.00000
     50     -15.7310      1.00000
     51     -14.8321      1.00000
     52     -14.4505      1.00000
     53     -14.4148      1.00000
     54     -14.3908      1.00000
     55     -14.3413      1.00000
     56     -14.2679      1.00000
     57     -14.2470      1.00000
     58     -14.2070      1.00000
     59     -14.1641      1.00000
     60     -14.1386      1.00000
     61     -14.1176      1.00000
     62     -13.7664      1.00000
     63     -13.7276      1.00000
     64     -13.6557      1.00000
     65     -13.6127      1.00000
     66     -13.5805      1.00000
     67     -13.5678      1.00000
     68     -13.1749      1.00000
     69     -13.1178      1.00000
     70     -13.0202      1.00000
     71     -12.9259      1.00000
     72     -12.9004      1.00000
     73     -12.8765      1.00000
     74     -12.8726      1.00000
     75     -12.8532      1.00000
     76     -12.8405      1.00000
     77     -12.8244      1.00000
     78     -12.7602      1.00000
     79     -12.6751      1.00000
     80     -12.3837      1.00000
     81     -12.2446      1.00000
     82     -12.1991      1.00000
     83     -12.1651      1.00000
     84     -12.1297      1.00000
     85     -12.0259      1.00000
     86     -11.5474      1.00000
     87     -11.4982      1.00000
     88     -11.3947      1.00000
     89     -11.3462      1.00000
     90     -11.3119      1.00000
     91     -11.2647      1.00000
     92     -10.9380      1.00000
     93     -10.8138      1.00000
     94     -10.7358      1.00000
     95     -10.6785      1.00000
     96     -10.6084      1.00000
     97     -10.5692      1.00000
     98     -10.5283      1.00000
     99     -10.3647      1.00000
    100     -10.3640      1.00000
    101     -10.3000      1.00000
    102     -10.2662      1.00000
    103     -10.2147      1.00000
    104     -10.1811      1.00000
    105     -10.1701      1.00000
    106     -10.1238      1.00000
    107     -10.1216      1.00000
    108     -10.1117      1.00000
    109     -10.0862      1.00000
    110     -10.0805      1.00000
    111     -10.0719      1.00000
    112     -10.0595      1.00000
    113     -10.0470      1.00000
    114     -10.0372      1.00000
    115     -10.0218      1.00000
    116      -9.9980      1.00000
    117      -9.9863      1.00000
    118      -9.9745      1.00000
    119      -9.9379      1.00000
    120      -9.9309      1.00000
    121      -9.8978      1.00000
    122      -9.7282      1.00000
    123      -9.4831      1.00000
    124      -9.3891      1.00000
    125      -9.3517      1.00000
    126      -9.3251      1.00000
    127      -9.2852      1.00000
    128      -9.1844      1.00000
    129      -9.1165      1.00000
    130      -9.0661      1.00000
    131      -8.9353      1.00000
    132      -8.8890      1.00000
    133      -8.8606      1.00000
