
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3811      1.00000
      2     -23.9855      1.00000
      3     -23.7274      1.00000
      4     -23.6772      1.00000
      5     -23.6483      1.00000
      6     -23.4953      1.00000
      7     -23.3427      1.00000
      8     -23.0178      1.00000
      9     -22.9048      1.00000
     10     -22.7904      1.00000
     11     -22.7646      1.00000
     12     -22.7585      1.00000
     13     -22.6811      1.00000
     14     -22.5795      1.00000
     15     -22.4954      1.00000
     16     -22.3860      1.00000
     17     -22.3315      1.00000
     18     -22.1371      1.00000
     19     -21.9800      1.00000
     20     -21.6846      1.00000
     21     -21.5724      1.00000
     22     -21.4966      1.00000
     23     -21.4857      1.00000
     24     -21.4543      1.00000
     25     -21.4327      1.00000
     26     -21.4138      1.00000
     27     -21.3693      1.00000
     28     -21.2921      1.00000
     29     -21.2445      1.00000
     30     -21.1814      1.00000
     31     -21.0996      1.00000
     32     -21.0457      1.00000
     33     -20.9219      1.00000
     34     -20.8959      1.00000
     35     -20.8380      1.00000
     36     -20.7091      1.00000
     37     -20.6247      1.00000
     38     -20.5288      1.00000
     39     -20.5028      1.00000
     40     -20.4811      1.00000
     41     -20.4579      1.00000
     42     -20.3767      1.00000
     43     -20.3141      1.00000
     44     -20.2301      1.00000
     45     -20.1026      1.00000
     46     -19.9771      1.00000
     47     -19.6674      1.00000
     48     -18.0448      1.00000
     49     -16.7694      1.00000
     50     -14.7897      1.00000
     51     -14.1728      1.00000
     52     -14.1302      1.00000
     53     -14.1155      1.00000
     54     -14.0910      1.00000
     55     -14.0738      1.00000
     56     -13.9728      1.00000
     57     -13.9502      1.00000
     58     -13.9102      1.00000
     59     -13.8388      1.00000
     60     -13.7301      1.00000
     61     -13.4211      1.00000
     62     -13.4045      1.00000
     63     -13.3815      1.00000
     64     -13.3178      1.00000
     65     -13.1503      1.00000
     66     -13.1293      1.00000
     67     -13.0808      1.00000
     68     -12.8497      1.00000
     69     -12.7564      1.00000
     70     -12.6418      1.00000
     71     -12.5975      1.00000
     72     -12.5652      1.00000
     73     -12.5403      1.00000
     74     -12.4892      1.00000
     75     -12.4072      1.00000
     76     -12.3064      1.00000
     77     -12.2520      1.00000
     78     -12.1594      1.00000
     79     -12.1102      1.00000
     80     -11.9249      1.00000
     81     -11.8879      1.00000
     82     -11.8039      1.00000
     83     -11.7455      1.00000
     84     -11.6365      1.00000
     85     -11.3624      1.00000
     86     -11.1352      1.00000
     87     -11.0286      1.00000
     88     -10.9729      1.00000
     89     -10.8960      1.00000
     90     -10.8712      1.00000
     91     -10.5624      1.00000
     92     -10.4514      1.00000
     93     -10.3685      1.00000
     94     -10.3594      1.00000
     95     -10.2988      1.00000
     96     -10.2670      1.00000
     97     -10.2140      1.00000
     98     -10.1584      1.00000
     99     -10.0877      1.00000
    100      -9.9844      1.00000
    101      -9.9491      1.00000
    102      -9.9111      1.00000
    103      -9.8705      1.00000
    104      -9.8596      1.00000
    105      -9.8489      1.00000
    106      -9.8436      1.00000
    107      -9.8263      1.00000
    108      -9.7993      1.00000
    109      -9.7811      1.00000
    110      -9.7593      1.00000
    111      -9.7289      1.00000
    112      -9.7094      1.00000
    113      -9.7041      1.00000
    114      -9.6702      1.00000
    115      -9.5761      1.00000
    116      -9.5723      1.00000
    117      -9.5267      1.00000
    118      -9.4534      1.00000
    119      -9.3727      1.00000
    120      -9.3621      1.00000
    121      -9.2587      1.00000
    122      -9.1446      1.00000
    123      -9.0767      1.00000
    124      -9.0301      1.00000
    125      -8.8710      1.00000
    126      -8.7847      1.00000
    127      -8.7092      1.00000
    128      -8.6532      1.00000
    129      -8.5966      1.00000
    130      -8.5939      1.00000
    131      -8.5678      1.00000
    132      -8.5579      1.00000
    133      -8.5486      1.00000
    134      -8.4613      1.00000
    135      -8.3906      1.00000
    136      -8.3417      1.00000
    137      -8.3188      1.00000
    138      -8.3015      1.00000
    139      -8.2401      1.00000
    140      -8.2085      1.00000
    141      -8.1508      1.00000
    142      -8.1126      1.00000
    143      -8.0952      1.00000
    144      -8.0351      1.00000
    145      -8.0210      1.00000
    146      -7.9923      1.00000
    147      -7.9758      1.00000
    148      -7.9134      1.00000
    149      -7.8089      1.00000
    150      -7.7847      1.00000
    151      -7.7245      1.00000
    152      -7.6636      1.00000
    153      -7.5833      1.00000
    154      -7.5668      1.00000
    155      -7.3908      1.00000
    156      -7.1924      1.00000
    157      -7.0811      1.00000
    158      -6.9072      1.00000
    159      -6.8944      1.00000
    160      -6.7857      1.00000
    161      -6.7459      1.00000
    162      -6.7312      1.00000
    163      -6.7200      1.00000
    164      -6.6859      1.00000
    165      -6.6666      1.00000
    166      -6.6652      1.00000
    167      -6.6289      1.00000
    168      -6.5564      1.00000
    169      -6.5052      1.00000
    170      -6.4395      1.00000
    171      -6.4382      1.00000
    172      -6.3627      1.00000
    173      -6.3469      1.00000
    174      -6.2276      1.00000
    175      -6.0834      1.00000
    176      -6.0594      1.00000
    177      -5.9498      1.00000
    178      -5.9090      1.00000
    179      -5.8486      1.00000
    180      -5.7117      1.00000
    181      -5.5189      1.00000
    182      -5.2932      1.00000
    183      -5.2497      1.00000
    184      -5.2349      1.00000
    185      -5.1893      1.00000
    186      -5.1198      1.00000
    187      -5.0932      1.00000
    188      -5.0492      1.00000
    189      -4.9702      1.00000
    190      -4.8774      1.00000
    191      -4.7765      1.00000
    192      -4.5968      1.00000
    193      -4.5502      1.00000
    194      -4.2234      1.00000
    195      -2.7224      1.00000
    196      -0.5415      0.00000
    197       0.3014      1.00000
    198       0.6927      0.00000
    199       1.2462      0.00000
    200       1.2930      0.00000
    201       1.3105      0.00000
    202       1.4252      0.00000
    203       1.4633      0.00000
    204       1.4887      0.00000
    205       1.5215      0.00000
    206       1.6028      0.00000
    207       1.6122      0.00000
    208       1.6330      0.00000
    209       1.6415      0.00000
    210       1.6464      0.00000
    211       1.6504      0.00000
    212       1.6742      0.00000
    213       1.8219      0.00000
    214       1.8610      0.00000
    215       1.9128      0.00000
    216       1.9349      0.00000
    217       2.0530      0.00000
    218       2.0785      0.00000
    219       2.1015      0.00000
    220       2.1189      0.00000
    221       2.1197      0.00000
    222       2.1225      0.00000
    223       2.1369      0.00000
    224       2.1527      0.00000
    225       2.1744      0.00000
    226       2.2201      0.00000
    227       2.2397      0.00000
    228       2.2520      0.00000
    229       2.2789      0.00000
    230       2.2839      0.00000
    231       2.3171      0.00000
    232       2.4091      0.00000
    233       2.4543      0.00000
    234       2.5080      0.00000
    235       2.6667      0.00000
    236       2.6682      0.00000
    237       2.6861      0.00000
    238       2.6979      0.00000
    239       2.7004      0.00000
    240       2.7618      0.00000
    241       2.8824      0.00000
    242       3.1416      0.00000
    243       3.3033      0.00000
    244       3.3181      0.00000
    245       3.3237      0.00000
    246       3.3324      0.00000
    247       3.3357      0.00000
    248       3.3500      0.00000
    249       3.3625      0.00000
    250       3.3669      0.00000
    251       3.3772      0.00000
    252       3.3888      0.00000
 Fermi energy:         0.0000000000

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3163      1.00000
      2     -23.9741      1.00000
      3     -23.7247      1.00000
      4     -23.6677      1.00000
      5     -23.6439      1.00000
      6     -23.4663      1.00000
      7     -23.3236      1.00000
      8     -22.9823      1.00000
      9     -22.8840      1.00000
     10     -22.7802      1.00000
     11     -22.7515      1.00000
     12     -22.7336      1.00000
     13     -22.6599      1.00000
     14     -22.5621      1.00000
     15     -22.4635      1.00000
     16     -22.3430      1.00000
     17     -22.3079      1.00000
     18     -22.1025      1.00000
     19     -21.8802      1.00000
     20     -21.6321      1.00000
     21     -21.5663      1.00000
     22     -21.4897      1.00000
     23     -21.4810      1.00000
     24     -21.4481      1.00000
     25     -21.4192      1.00000
     26     -21.3949      1.00000
     27     -21.3487      1.00000
     28     -21.2568      1.00000
     29     -21.1836      1.00000
     30     -21.1668      1.00000
     31     -21.0733      1.00000
     32     -21.0201      1.00000
     33     -20.8932      1.00000
     34     -20.8578      1.00000
     35     -20.8096      1.00000
     36     -20.6611      1.00000
     37     -20.6124      1.00000
     38     -20.5243      1.00000
     39     -20.4866      1.00000
     40     -20.4532      1.00000
     41     -20.4237      1.00000
     42     -20.3530      1.00000
     43     -20.2902      1.00000
     44     -20.1867      1.00000
     45     -20.0043      1.00000
     46     -19.2575      1.00000
     47     -18.8126      1.00000
     48     -18.1563      1.00000
     49     -16.6875      1.00000
     50     -14.7179      1.00000
     51     -14.1603      1.00000
     52     -14.1252      1.00000
     53     -14.1122      1.00000
     54     -14.0850      1.00000
     55     -14.0653      1.00000
     56     -13.9529      1.00000
     57     -13.9354      1.00000
     58     -13.8993      1.00000
     59     -13.8227      1.00000
     60     -13.7021      1.00000
     61     -13.4049      1.00000
     62     -13.3874      1.00000
     63     -13.3678      1.00000
     64     -13.3111      1.00000
     65     -13.1336      1.00000
     66     -13.0972      1.00000
     67     -13.0580      1.00000
     68     -12.8292      1.00000
     69     -12.7410      1.00000
     70     -12.6225      1.00000
     71     -12.5863      1.00000
     72     -12.5521      1.00000
     73     -12.5254      1.00000
     74     -12.4713      1.00000
     75     -12.3678      1.00000
     76     -12.2758      1.00000
     77     -12.2004      1.00000
     78     -12.1578      1.00000
     79     -12.0571      1.00000
     80     -11.9110      1.00000
     81     -11.8616      1.00000
     82     -11.7572      1.00000
     83     -11.6774      1.00000
     84     -11.6095      1.00000
     85     -11.3334      1.00000
     86     -11.1017      1.00000
     87     -10.9887      1.00000
     88     -10.9408      1.00000
     89     -10.8567      1.00000
     90     -10.8308      1.00000
     91     -10.5029      1.00000
     92     -10.4120      1.00000
     93     -10.3349      1.00000
     94     -10.3278      1.00000
     95     -10.2775      1.00000
     96     -10.2557      1.00000
     97     -10.1844      1.00000
     98     -10.1415      1.00000
     99     -10.0757      1.00000
    100      -9.9578      1.00000
    101      -9.8756      1.00000
    102      -9.8688      1.00000
    103      -9.8492      1.00000
    104      -9.8422      1.00000
    105      -9.8340      1.00000
    106      -9.8290      1.00000
    107      -9.8127      1.00000
    108      -9.7847      1.00000
    109      -9.7630      1.00000
    110      -9.7155      1.00000
    111      -9.7137      1.00000
    112      -9.6832      1.00000
    113      -9.6579      1.00000
    114      -9.6509      1.00000
    115      -9.5423      1.00000
    116      -9.5171      1.00000
    117      -9.4991      1.00000
    118      -9.3975      1.00000
    119      -9.3311      1.00000
    120      -9.2756      1.00000
    121      -9.2309      1.00000
    122      -9.1248      1.00000
    123      -9.0592      1.00000
    124      -9.0029      1.00000
    125      -8.7955      1.00000
    126      -8.7033      1.00000
    127      -8.6444      1.00000
    128      -8.6183      1.00000
    129      -8.5773      1.00000
    130      -8.5464      1.00000
    131      -8.5373      1.00000
    132      -8.5257      1.00000
    133      -8.4543      1.00000
    134      -8.4350      1.00000
    135      -8.3690      1.00000
    136      -8.3366      1.00000
    137      -8.3053      1.00000
    138      -8.2649      1.00000
    139      -8.2356      1.00000
    140      -8.1393      1.00000
    141      -8.1212      1.00000
    142      -8.0484      1.00000
    143      -8.0465      1.00000
    144      -7.9974      1.00000
    145      -7.9667      1.00000
    146      -7.9574      1.00000
    147      -7.9252      1.00000
    148      -7.8267      1.00000
    149      -7.7959      1.00000
    150      -7.7125      1.00000
    151      -7.6968      1.00000
    152      -7.6323      1.00000
    153      -7.5261      1.00000
    154      -7.4705      1.00000
    155      -7.3291      1.00000
    156      -7.0425      1.00000
    157      -7.0066      1.00000
    158      -6.8711      1.00000
    159      -6.7629      1.00000
    160      -6.7546      1.00000
    161      -6.7266      1.00000
    162      -6.7248      1.00000
    163      -6.7058      1.00000
    164      -6.6682      1.00000
    165      -6.6541      1.00000
    166      -6.5914      1.00000
    167      -6.5821      1.00000
    168      -6.4996      1.00000
    169      -6.4588      1.00000
    170      -6.3827      1.00000
    171      -6.3761      1.00000
    172      -6.3118      1.00000
    173      -6.1972      1.00000
    174      -6.0542      1.00000
    175      -6.0305      1.00000
    176      -5.9063      1.00000
    177      -5.8801      1.00000
    178      -5.7957      1.00000
    179      -5.6378      1.00000
    180      -5.4476      1.00000
    181      -5.2762      1.00000
    182      -5.2212      1.00000
    183      -5.2082      1.00000
    184      -5.1597      1.00000
    185      -5.0939      1.00000
    186      -5.0090      1.00000
    187      -4.9528      1.00000
    188      -4.9138      1.00000
    189      -4.7958      1.00000
    190      -4.7541      1.00000
    191      -4.5709      1.00000
    192      -4.3754      1.00000
    193      -4.0376      1.00000
    194      -2.5149      1.00000
    195      -1.2704      0.00000
    196      -0.4659      0.00000
    197       0.6977      0.00000
    198       1.2491      0.00000
    199       1.2969      0.00000
    200       1.3156      0.00000
    201       1.4054      0.00000
    202       1.4331      0.00000
    203       1.4747      0.00000
    204       1.4915      0.00000
    205       1.5291      0.00000
    206       1.6162      0.00000
    207       1.6309      0.00000
    208       1.6519      0.00000
    209       1.6535      0.00000
    210       1.6586      0.00000
    211       1.6652      0.00000
    212       1.7064      0.00000
    213       1.8435      0.00000
    214       1.8809      0.00000
    215       1.9477      0.00000
    216       1.9756      0.00000
    217       2.0564      0.00000
    218       2.0808      0.00000
    219       2.1060      0.00000
    220       2.1227      0.00000
    221       2.1260      0.00000
    222       2.1305      0.00000
    223       2.1402      0.00000
    224       2.1776      0.00000
    225       2.2055      0.00000
    226       2.2445      0.00000
    227       2.2462      0.00000
    228       2.2766      0.00000
    229       2.2907      0.00000
    230       2.2975      0.00000
    231       2.3645      0.00000
    232       2.4430      0.00000
    233       2.4651      0.00000
    234       2.5557      0.00000
    235       2.6736      0.00000
    236       2.6752      0.00000
    237       2.6929      0.00000
    238       2.7042      0.00000
    239       2.7129      0.00000
    240       2.7686      0.00000
    241       2.9348      0.00000
    242       3.2736      0.00000
    243       3.3257      0.00000
    244       3.3311      0.00000
    245       3.3332      0.00000
    246       3.3482      0.00000
    247       3.3618      0.00000
    248       3.3669      0.00000
    249       3.3694      0.00000
    250       3.3726      0.00000
    251       3.3892      0.00000
    252       3.4049      0.00000

