
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.8215      1.00000
      2     -25.1155      1.00000
      3     -24.3258      1.00000
      4     -24.0928      1.00000
      5     -24.0225      1.00000
      6     -23.9399      1.00000
      7     -23.7984      1.00000
      8     -23.7004      1.00000
      9     -23.4685      1.00000
     10     -23.3139      1.00000
     11     -23.2541      1.00000
     12     -23.1389      1.00000
     13     -23.0826      1.00000
     14     -22.9729      1.00000
     15     -22.8618      1.00000
     16     -22.8458      1.00000
     17     -22.7624      1.00000
     18     -22.6745      1.00000
     19     -22.4620      1.00000
     20     -22.4165      1.00000
     21     -22.2684      1.00000
     22     -22.0433      1.00000
     23     -21.9284      1.00000
     24     -21.9003      1.00000
     25     -21.8086      1.00000
     26     -21.7970      1.00000
     27     -21.7520      1.00000
     28     -21.7222      1.00000
     29     -21.6785      1.00000
     30     -21.6071      1.00000
     31     -21.5095      1.00000
     32     -21.4324      1.00000
     33     -21.3476      1.00000
     34     -21.3345      1.00000
     35     -21.2927      1.00000
     36     -21.2407      1.00000
     37     -21.0384      1.00000
     38     -21.0222      1.00000
     39     -20.9211      1.00000
     40     -20.8562      1.00000
     41     -20.8184      1.00000
     42     -20.7552      1.00000
     43     -20.7125      1.00000
     44     -20.6161      1.00000
     45     -20.5546      1.00000
     46     -20.5116      1.00000
     47     -20.2847      1.00000
     48     -19.2955      1.00000
     49     -18.6677      1.00000
     50     -16.6036      1.00000
     51     -15.4308      1.00000
     52     -14.7080      1.00000
     53     -14.6225      1.00000
     54     -14.5670      1.00000
     55     -14.4441      1.00000
     56     -14.3584      1.00000
     57     -14.3566      1.00000
     58     -14.3066      1.00000
     59     -14.2716      1.00000
     60     -14.1543      1.00000
     61     -14.0347      1.00000
     62     -13.9663      1.00000
     63     -13.8432      1.00000
     64     -13.7667      1.00000
     65     -13.7318      1.00000
     66     -13.7212      1.00000
     67     -13.5211      1.00000
     68     -13.2969      1.00000
     69     -13.2590      1.00000
     70     -13.2544      1.00000
     71     -13.1348      1.00000
     72     -13.0369      1.00000
     73     -12.9827      1.00000
     74     -12.9536      1.00000
     75     -12.8905      1.00000
     76     -12.8698      1.00000
     77     -12.7771      1.00000
     78     -12.6919      1.00000
     79     -12.5807      1.00000
     80     -12.3777      1.00000
     81     -12.3192      1.00000
     82     -12.2527      1.00000
     83     -12.2270      1.00000
     84     -12.0916      1.00000
     85     -11.8438      1.00000
     86     -11.7068      1.00000
     87     -11.6157      1.00000
     88     -11.5249      1.00000
     89     -11.4942      1.00000
     90     -11.3904      1.00000
     91     -11.1927      1.00000
     92     -11.1306      1.00000
     93     -11.0729      1.00000
     94     -11.0414      1.00000
     95     -10.8134      1.00000
     96     -10.7520      1.00000
     97     -10.6617      1.00000
