
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.6972      1.00000
      2     -24.7016      1.00000
      3     -24.2678      1.00000
      4     -24.0338      1.00000
      5     -23.9487      1.00000
      6     -23.8594      1.00000
      7     -23.7738      1.00000
      8     -23.6599      1.00000
      9     -23.4019      1.00000
     10     -23.3121      1.00000
     11     -23.1462      1.00000
     12     -23.0826      1.00000
     13     -23.0078      1.00000
     14     -22.9217      1.00000
     15     -22.8464      1.00000
     16     -22.7893      1.00000
     17     -22.6968      1.00000
     18     -22.6181      1.00000
     19     -22.5020      1.00000
     20     -22.3048      1.00000
     21     -22.1623      1.00000
     22     -21.9242      1.00000
     23     -21.8462      1.00000
     24     -21.8268      1.00000
     25     -21.7423      1.00000
     26     -21.7340      1.00000
     27     -21.6790      1.00000
     28     -21.6501      1.00000
     29     -21.6192      1.00000
     30     -21.5274      1.00000
     31     -21.4855      1.00000
     32     -21.3692      1.00000
     33     -21.3161      1.00000
     34     -21.2594      1.00000
     35     -21.2291      1.00000
     36     -21.1700      1.00000
     37     -21.0906      1.00000
     38     -20.9618      1.00000
     39     -20.8445      1.00000
     40     -20.8103      1.00000
     41     -20.7620      1.00000
     42     -20.6785      1.00000
     43     -20.6657      1.00000
     44     -20.6268      1.00000
     45     -20.5702      1.00000
     46     -20.5572      1.00000
     47     -20.3300      1.00000
     48     -19.5719      1.00000
     49     -16.6439      1.00000
     50     -15.4146      1.00000
     51     -14.8471      1.00000
     52     -14.5821      1.00000
     53     -14.5235      1.00000
     54     -14.4038      1.00000
     55     -14.3569      1.00000
     56     -14.3010      1.00000
     57     -14.2521      1.00000
     58     -14.2010      1.00000
     59     -14.1416      1.00000
     60     -14.1345      1.00000
     61     -13.9936      1.00000
     62     -13.8803      1.00000
     63     -13.7914      1.00000
     64     -13.6712      1.00000
     65     -13.5894      1.00000
     66     -13.5355      1.00000
     67     -13.4466      1.00000
     68     -13.2618      1.00000
     69     -13.2262      1.00000
     70     -13.0422      1.00000
     71     -12.9983      1.00000
     72     -12.9524      1.00000
     73     -12.9326      1.00000
