
 Fermi energy:         0.4499351727

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.4035      1.00000
      2     -24.1649      1.00000
      3     -23.9730      1.00000
      4     -23.9570      1.00000
      5     -23.9491      1.00000
      6     -23.8967      1.00000
      7     -23.8463      1.00000
      8     -23.3834      1.00000
      9     -23.1648      1.00000
     10     -23.1472      1.00000
     11     -23.1452      1.00000
     12     -23.0538      1.00000
     13     -23.0380      1.00000
     14     -22.8921      1.00000
     15     -22.7771      1.00000
     16     -22.7709      1.00000
     17     -22.7556      1.00000
     18     -22.6062      1.00000
     19     -22.5861      1.00000
     20     -21.9971      1.00000
     21     -21.7854      1.00000
     22     -21.7792      1.00000
     23     -21.7696      1.00000
     24     -21.7673      1.00000
     25     -21.7616      1.00000
     26     -21.7587      1.00000
     27     -21.7515      1.00000
     28     -21.7316      1.00000
     29     -21.7128      1.00000
     30     -21.5349      1.00000
     31     -21.5280      1.00000
     32     -21.3829      1.00000
     33     -21.3193      1.00000
     34     -21.3176      1.00000
     35     -21.2986      1.00000
     36     -21.1134      1.00000
     37     -21.1038      1.00000
     38     -20.8608      1.00000
     39     -20.8432      1.00000
     40     -20.8275      1.00000
     41     -20.8223      1.00000
     42     -20.7463      1.00000
     43     -20.7311      1.00000
     44     -20.6677      1.00000
     45     -20.6462      1.00000
     46     -20.6436      1.00000
     47     -20.6362      1.00000
     48     -19.3087      1.00000
     49     -17.1930      1.00000
     50     -14.8525      1.00000
     51     -14.4585      1.00000
     52     -14.4552      1.00000
     53     -14.4432      1.00000
     54     -14.3985      1.00000
     55     -14.3926      1.00000
     56     -14.3181      1.00000
     57     -14.2428      1.00000
     58     -14.2145      1.00000
     59     -14.2095      1.00000
     60     -14.1629      1.00000
     61     -14.0958      1.00000
     62     -13.7706      1.00000
     63     -13.6656      1.00000
     64     -13.6603      1.00000
     65     -13.6281      1.00000
     66     -13.5833      1.00000
     67     -13.5654      1.00000
     68     -13.1010      1.00000
     69     -12.9877      1.00000
     70     -12.9690      1.00000
     71     -12.9419      1.00000
     72     -12.9379      1.00000
     73     -12.9225      1.00000
     74     -12.9179      1.00000
     75     -12.9158      1.00000
     76     -12.8758      1.00000
     77     -12.8596      1.00000
     78     -12.6755      1.00000
     79     -12.6054      1.00000
     80     -12.3838      1.00000
     81     -12.2134      1.00000
     82     -12.2019      1.00000
     83     -12.1681      1.00000
     84     -12.1596      1.00000
     85     -12.0069      1.00000
     86     -11.4940      1.00000
     87     -11.4661      1.00000
     88     -11.4336      1.00000
     89     -11.3444      1.00000
     90     -11.3015      1.00000
     91     -11.2307      1.00000
     92     -10.7370      1.00000
     93     -10.6715      1.00000
     94     -10.6527      1.00000
     95     -10.6478      1.00000
     96     -10.6149      1.00000
     97     -10.6105      1.00000
     98     -10.5437      1.00000
     99     -10.3566      1.00000
    100     -10.2436      1.00000
    101     -10.2243      1.00000
