
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.6733      1.00000
      2     -24.8588      1.00000
      3     -24.6299      1.00000
      4     -24.6035      1.00000
      5     -24.4998      1.00000
      6     -24.4990      1.00000
      7     -24.4201      1.00000
      8     -24.1709      1.00000
      9     -23.8185      1.00000
     10     -23.8012      1.00000
     11     -23.7711      1.00000
     12     -23.6445      1.00000
     13     -23.6339      1.00000
     14     -23.4430      1.00000
     15     -23.3960      1.00000
     16     -23.3945      1.00000
     17     -23.3809      1.00000
     18     -23.2549      1.00000
     19     -23.2451      1.00000
     20     -22.7573      1.00000
     21     -22.5011      1.00000
     22     -22.4926      1.00000
     23     -22.4751      1.00000
     24     -22.3669      1.00000
     25     -22.3378      1.00000
     26     -22.3294      1.00000
     27     -22.3114      1.00000
     28     -22.3074      1.00000
     29     -22.3061      1.00000
     30     -22.1321      1.00000
     31     -22.1115      1.00000
     32     -22.0387      1.00000
     33     -21.8551      1.00000
     34     -21.8508      1.00000
     35     -21.8445      1.00000
     36     -21.8110      1.00000
     37     -21.8057      1.00000
     38     -21.4727      1.00000
     39     -21.4708      1.00000
     40     -21.4523      1.00000
     41     -21.4334      1.00000
     42     -21.2795      1.00000
     43     -21.2784      1.00000
     44     -21.1944      1.00000
     45     -21.1819      1.00000
     46     -21.1518      1.00000
     47     -21.1489      1.00000
     48     -20.6075      1.00000
     49     -18.6094      1.00000
     50     -16.0276      1.00000
     51     -15.2169      1.00000
     52     -15.1234      1.00000
     53     -15.0832      1.00000
     54     -15.0419      1.00000
     55     -15.0223      1.00000
     56     -14.8604      1.00000
     57     -14.8375      1.00000
     58     -14.8368      1.00000
     59     -14.7898      1.00000
     60     -14.7678      1.00000
     61     -14.7336      1.00000
     62     -14.4298      1.00000
     63     -14.3506      1.00000
     64     -14.3056      1.00000
     65     -14.2629      1.00000
     66     -14.2267      1.00000
     67     -14.1879      1.00000
     68     -13.7608      1.00000
     69     -13.6874      1.00000
     70     -13.6525      1.00000
     71     -13.5996      1.00000
     72     -13.5567      1.00000
     73     -13.5168      1.00000
     74     -13.5102      1.00000
     75     -13.5014      1.00000
     76     -13.4865      1.00000
     77     -13.4680      1.00000
     78     -13.3722      1.00000
     79     -13.3418      1.00000
     80     -13.0616      1.00000
     81     -12.8424      1.00000
     82     -12.8369      1.00000
