
 Fermi energy:        -5.2282279014

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -26.0996      1.00000
      2     -24.6802      1.00000
      3     -24.4718      1.00000
      4     -24.4394      1.00000
      5     -24.3102      1.00000
      6     -24.2780      1.00000
      7     -24.2142      1.00000
      8     -24.0327      1.00000
      9     -23.6547      1.00000
     10     -23.6232      1.00000
     11     -23.5738      1.00000
     12     -23.4795      1.00000
     13     -23.4355      1.00000
     14     -23.2492      1.00000
     15     -23.2070      1.00000
     16     -23.1920      1.00000
     17     -23.1843      1.00000
     18     -23.0670      1.00000
     19     -23.0504      1.00000
     20     -22.6073      1.00000
     21     -22.3398      1.00000
     22     -22.3317      1.00000
     23     -22.3223      1.00000
     24     -22.1733      1.00000
     25     -22.1634      1.00000
     26     -22.1151      1.00000
     27     -22.1108      1.00000
     28     -22.1068      1.00000
     29     -22.0912      1.00000
     30     -21.9441      1.00000
     31     -21.9028      1.00000
     32     -21.8432      1.00000
     33     -21.6570      1.00000
     34     -21.6481      1.00000
     35     -21.6399      1.00000
     36     -21.6309      1.00000
     37     -21.6258      1.00000
     38     -21.2734      1.00000
     39     -21.2652      1.00000
     40     -21.2568      1.00000
     41     -21.2528      1.00000
     42     -21.0791      1.00000
     43     -21.0728      1.00000
     44     -20.9854      1.00000
     45     -20.9699      1.00000
     46     -20.9541      1.00000
     47     -20.9536      1.00000
     48     -20.6600      1.00000
     49     -18.5351      1.00000
     50     -16.0861      1.00000
     51     -15.1634      1.00000
     52     -14.9872      1.00000
     53     -14.8729      1.00000
     54     -14.8512      1.00000
     55     -14.8345      1.00000
     56     -14.6521      1.00000
     57     -14.6385      1.00000
     58     -14.6329      1.00000
     59     -14.5798      1.00000
     60     -14.5641      1.00000
     61     -14.5467      1.00000
     62     -14.2914      1.00000
     63     -14.1945      1.00000
     64     -14.1252      1.00000
     65     -14.0712      1.00000
     66     -14.0203      1.00000
     67     -14.0054      1.00000
     68     -13.6295      1.00000
     69     -13.5043      1.00000
     70     -13.4942      1.00000
     71     -13.4208      1.00000
     72     -13.3564      1.00000
     73     -13.3265      1.00000
     74     -13.3137      1.00000
     75     -13.2997      1.00000
     76     -13.2838      1.00000
     77     -13.2829      1.00000
     78     -13.2146      1.00000
     79     -13.1258      1.00000
     80     -12.8851      1.00000
     81     -12.6599      1.00000
     82     -12.6579      1.00000
     83     -12.5590      1.00000
     84     -12.5358      1.00000
     85     -12.5082      1.00000
     86     -12.0671      1.00000
     87     -11.9287      1.00000
     88     -11.9145      1.00000
     89     -11.8222      1.00000
     90     -11.8071      1.00000
     91     -11.7969      1.00000
     92     -11.6969      1.00000
