
 Fermi energy:        -3.1000272032

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3428      1.00000
      2     -24.0658      1.00000
      3     -23.9858      1.00000
      4     -23.9564      1.00000
      5     -23.9062      1.00000
      6     -23.8228      1.00000
      7     -23.7770      1.00000
      8     -23.3175      1.00000
      9     -23.1627      1.00000
     10     -23.1188      1.00000
     11     -23.1054      1.00000
     12     -23.0205      1.00000
     13     -22.9704      1.00000
     14     -22.8662      1.00000
     15     -22.7593      1.00000
     16     -22.7386      1.00000
     17     -22.6608      1.00000
     18     -22.5519      1.00000
     19     -22.3963      1.00000
     20     -21.9025      1.00000
     21     -21.8310      1.00000
     22     -21.7776      1.00000
     23     -21.7572      1.00000
     24     -21.7566      1.00000
     25     -21.7429      1.00000
     26     -21.7221      1.00000
     27     -21.7115      1.00000
     28     -21.6714      1.00000
     29     -21.5754      1.00000
     30     -21.4951      1.00000
     31     -21.4420      1.00000
     32     -21.3510      1.00000
     33     -21.2987      1.00000
     34     -21.2918      1.00000
     35     -21.0994      1.00000
     36     -21.0948      1.00000
     37     -20.9569      1.00000
     38     -20.8569      1.00000
     39     -20.8208      1.00000
     40     -20.7859      1.00000
     41     -20.7156      1.00000
     42     -20.6793      1.00000
     43     -20.6720      1.00000
     44     -20.6333      1.00000
     45     -20.6205      1.00000
     46     -20.5744      1.00000
     47     -18.9379      1.00000
     48     -16.5534      1.00000
     49     -14.6992      1.00000
     50     -14.4956      1.00000
     51     -14.4337      1.00000
     52     -14.4182      1.00000
     53     -14.3963      1.00000
     54     -14.3464      1.00000
     55     -14.3187      1.00000
     56     -14.2819      1.00000
     57     -14.2359      1.00000
     58     -14.1692      1.00000
     59     -13.9956      1.00000
     60     -13.9700      1.00000
     61     -13.8383      1.00000
     62     -13.6656      1.00000
     63     -13.6228      1.00000
     64     -13.5386      1.00000
     65     -13.5180      1.00000
     66     -13.4671      1.00000
     67     -13.2762      1.00000
     68     -13.0497      1.00000
     69     -12.9496      1.00000
     70     -12.9486      1.00000
     71     -12.9123      1.00000
     72     -12.9013      1.00000
     73     -12.8911      1.00000
     74     -12.8636      1.00000
     75     -12.8245      1.00000
     76     -12.5972      1.00000
     77     -12.5708      1.00000
     78     -12.3751      1.00000
     79     -12.2316      1.00000
     80     -12.1642      1.00000
     81     -12.1636      1.00000
     82     -12.0932      1.00000
     83     -12.0626      1.00000
     84     -11.8518      1.00000
     85     -11.5882      1.00000
     86     -11.4660      1.00000
     87     -11.4196      1.00000
     88     -11.2695      1.00000
     89     -11.1928      1.00000
     90     -10.9600      1.00000
     91     -10.7372      1.00000
     92     -10.6580      1.00000
     93     -10.6417      1.00000
     94     -10.5910      1.00000
     95     -10.5104      1.00000
     96     -10.5012      1.00000
     97     -10.4937      1.00000
     98     -10.4088      1.00000
     99     -10.2967      1.00000
    100     -10.2043      1.00000
    101     -10.1876      1.00000
    102     -10.1549      1.00000
    103     -10.1352      1.00000
    104     -10.1316      1.00000
    105     -10.1268      1.00000
    106     -10.1228      1.00000
    107     -10.0978      1.00000
    108     -10.0938      1.00000
    109     -10.0871      1.00000
    110     -10.0766      1.00000
    111     -10.0642      1.00000
    112     -10.0361      1.00000
    113     -10.0108      1.00000
    114     -10.0099      1.00000
    115      -9.9320      1.00000
    116      -9.9175      1.00000
    117      -9.8826      1.00000
    118      -9.7667      1.00000
    119      -9.7467      1.00000
    120      -9.5916      1.00000
    121      -9.3890      1.00000
    122      -9.3443      1.00000
    123      -9.3336      1.00000
    124      -9.3256      1.00000
    125      -9.0306      1.00000
    126      -9.0022      1.00000
    127      -8.9925      1.00000
    128      -8.9593      1.00000
    129      -8.9087      1.00000
    130      -8.9028      1.00000
    131      -8.8556      1.00000
    132      -8.8125      1.00000
    133      -8.7368      1.00000
    134      -8.7239      1.00000
    135      -8.6281      1.00000
    136      -8.6101      1.00000
    137      -8.5877      1.00000
    138      -8.5664      1.00000
    139      -8.5453      1.00000
    140      -8.5148      1.00000
    141      -8.4754      1.00000
    142      -8.4294      1.00000
    143      -8.4141      1.00000
    144      -8.3917      1.00000
    145      -8.3888      1.00000
    146      -8.3193      1.00000
    147      -8.3188      1.00000
    148      -8.2105      1.00000
    149      -8.1853      1.00000
    150      -8.1706      1.00000
    151      -8.0971      1.00000
    152      -8.0340      1.00000
    153      -8.0208      1.00000
    154      -7.9881      1.00000
    155      -7.5631      1.00000
    156      -7.3655      1.00000
    157      -7.3582      1.00000
    158      -7.2055      1.00000
    159      -7.1932      1.00000
    160      -7.1117      1.00000
    161      -7.1089      1.00000
    162      -7.0354      1.00000
    163      -6.9830      1.00000
    164      -6.9723      1.00000
    165      -6.9721      1.00000
    166      -6.9659      1.00000
    167      -6.9464      1.00000
    168      -6.9271      1.00000
    169      -6.9021      1.00000
    170      -6.7802      1.00000
    171      -6.6562      1.00000
    172      -6.6514      1.00000
    173      -6.5612      1.00000
    174      -6.5366      1.00000
    175      -6.3628      1.00000
    176      -6.3110      1.00000
    177      -6.3096      1.00000
    178      -6.0915      1.00000
    179      -6.0783      1.00000
    180      -5.9609      1.00000
    181      -5.8767      1.00000
    182      -5.6025      1.00000
    183      -5.5823      1.00000
    184      -5.5378      1.00000
    185      -5.4758      1.00000
    186      -5.4372      1.00000
    187      -5.4333      1.00000
    188      -5.3693      1.00000
    189      -5.2955      1.00000
    190      -5.2926      1.00000
    191      -5.2434      1.00000
    192      -4.9940      1.00000
    193      -3.3533      1.00000
    194      -0.6160      0.00000
    195       0.8656      0.00000
    196       1.0536      0.00000
    197       1.0823      0.00000
    198       1.2868      0.00000
    199       1.3515      0.00000
    200       1.3619      0.00000
    201       1.3625      0.00000
    202       1.3971      0.00000
    203       1.4347      0.00000
    204       1.4416      0.00000
    205       1.4894      0.00000
    206       1.4965      0.00000
    207       1.5310      0.00000
    208       1.5429      0.00000
    209       1.5565      0.00000
    210       1.5894      0.00000
    211       1.6485      0.00000
    212       1.6697      0.00000
    213       1.6862      0.00000
    214       1.7180      0.00000
    215       1.7797      0.00000
    216       1.8182      0.00000
    217       1.8219      0.00000
    218       1.8801      0.00000
    219       1.9243      0.00000
    220       1.9993      0.00000
    221       2.0127      0.00000
    222       2.1563      0.00000
    223       2.2175      0.00000
    224       2.3633      0.00000
    225       2.3646      0.00000
    226       2.3979      0.00000
    227       2.4221      0.00000
    228       2.4510      0.00000
    229       2.5070      0.00000
    230       2.7957      0.00000
    231       2.8166      0.00000
    232       2.8249      0.00000
    233       2.8309      0.00000
    234       2.8389      0.00000
    235       2.8472      0.00000
    236       2.8574      0.00000
    237       2.8639      0.00000
    238       2.8702      0.00000
    239       2.9049      0.00000
    240       2.9272      0.00000
    241       2.9441      0.00000
    242       2.9891      0.00000
    243       3.0167      0.00000
    244       3.0698      0.00000
    245       3.0934      0.00000
    246       3.1102      0.00000
    247       3.1172      0.00000
    248       3.1282      0.00000
    249       3.1563      0.00000
    250       3.2248      0.00000
    251       3.2653      0.00000
    252       3.4446      0.00000
 Fermi energy:        -3.1000272032

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3428      1.00000
      2     -24.0658      1.00000
      3     -23.9858      1.00000
      4     -23.9564      1.00000
      5     -23.9062      1.00000
      6     -23.8228      1.00000
      7     -23.7770      1.00000
      8     -23.3175      1.00000
      9     -23.1627      1.00000
     10     -23.1188      1.00000
     11     -23.1054      1.00000
     12     -23.0205      1.00000
     13     -22.9704      1.00000
     14     -22.8662      1.00000
     15     -22.7593      1.00000
     16     -22.7386      1.00000
     17     -22.6608      1.00000
     18     -22.5519      1.00000
     19     -22.3963      1.00000
     20     -21.9025      1.00000
     21     -21.8310      1.00000
     22     -21.7776      1.00000
     23     -21.7572      1.00000
     24     -21.7566      1.00000
     25     -21.7429      1.00000
     26     -21.7221      1.00000
     27     -21.7115      1.00000
     28     -21.6714      1.00000
     29     -21.5754      1.00000
     30     -21.4951      1.00000
     31     -21.4420      1.00000
     32     -21.3510      1.00000
     33     -21.2987      1.00000
     34     -21.2918      1.00000
     35     -21.0994      1.00000
     36     -21.0948      1.00000
     37     -20.9569      1.00000
     38     -20.8569      1.00000
     39     -20.8208      1.00000
     40     -20.7859      1.00000
     41     -20.7156      1.00000
     42     -20.6793      1.00000
     43     -20.6720      1.00000
     44     -20.6333      1.00000
     45     -20.6205      1.00000
     46     -20.5744      1.00000
     47     -18.9379      1.00000
     48     -16.5534      1.00000
     49     -14.6992      1.00000
     50     -14.4956      1.00000
     51     -14.4337      1.00000
