
 Fermi energy:         0.2263838079

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.6596      1.00000
      2     -23.8530      1.00000
      3     -23.5757      1.00000
      4     -23.5678      1.00000
      5     -23.4718      1.00000
      6     -23.3197      1.00000
      7     -23.2199      1.00000
      8     -22.8377      1.00000
      9     -22.7888      1.00000
     10     -22.6396      1.00000
     11     -22.6191      1.00000
     12     -22.5658      1.00000
     13     -22.5318      1.00000
     14     -22.3959      1.00000
     15     -22.3427      1.00000
     16     -22.2254      1.00000
     17     -22.0920      1.00000
     18     -22.0148      1.00000
     19     -21.7694      1.00000
     20     -21.5668      1.00000
     21     -21.4290      1.00000
     22     -21.3523      1.00000
     23     -21.3185      1.00000
     24     -21.3118      1.00000
     25     -21.3019      1.00000
     26     -21.2549      1.00000
     27     -21.2171      1.00000
     28     -21.0920      1.00000
     29     -21.0685      1.00000
     30     -21.0167      1.00000
     31     -20.9624      1.00000
     32     -20.8648      1.00000
     33     -20.8182      1.00000
     34     -20.7349      1.00000
     35     -20.6807      1.00000
     36     -20.5880      1.00000
     37     -20.5315      1.00000
     38     -20.4243      1.00000
     39     -20.3987      1.00000
     40     -20.3240      1.00000
     41     -20.3080      1.00000
     42     -20.2409      1.00000
     43     -20.1684      1.00000
     44     -20.1418      1.00000
     45     -20.0278      1.00000
     46     -19.9494      1.00000
     47     -19.7276      1.00000
     48     -17.9261      1.00000
     49     -16.8734      1.00000
     50     -14.6248      1.00000
     51     -14.0366      1.00000
     52     -14.0126      1.00000
     53     -14.0020      1.00000
     54     -13.9817      1.00000
     55     -13.9078      1.00000
     56     -13.8290      1.00000
     57     -13.7878      1.00000
     58     -13.7633      1.00000
     59     -13.6785      1.00000
     60     -13.5134      1.00000
     61     -13.4039      1.00000
     62     -13.2800      1.00000
     63     -13.1869      1.00000
     64     -13.1592      1.00000
     65     -13.0740      1.00000
     66     -13.0278      1.00000
     67     -12.9388      1.00000
     68     -12.6791      1.00000
     69     -12.5902      1.00000
     70     -12.4589      1.00000
     71     -12.4510      1.00000
     72     -12.4107      1.00000
     73     -12.3885      1.00000
     74     -12.3472      1.00000
     75     -12.2626      1.00000
     76     -12.2202      1.00000
     77     -12.1264      1.00000
     78     -12.0347      1.00000
     79     -11.9482      1.00000
     80     -11.8001      1.00000
     81     -11.7496      1.00000
     82     -11.6325      1.00000
     83     -11.4739      1.00000
     84     -11.4379      1.00000
     85     -11.3213      1.00000
     86     -10.9545      1.00000
     87     -10.8579      1.00000
     88     -10.8328      1.00000
     89     -10.7773      1.00000
     90     -10.7353      1.00000
     91     -10.5066      1.00000
     92     -10.3904      1.00000
     93     -10.3421      1.00000
     94     -10.2179      1.00000
     95     -10.1716      1.00000
     96     -10.1289      1.00000
     97     -10.0063      1.00000
     98      -9.9934      1.00000
     99      -9.9800      1.00000
    100      -9.9170      1.00000
    101      -9.7938      1.00000
    102      -9.7738      1.00000
    103      -9.7252      1.00000
    104      -9.7216      1.00000
    105      -9.7044      1.00000
    106      -9.6955      1.00000
    107      -9.6806      1.00000
    108      -9.6431      1.00000
    109      -9.6100      1.00000
    110      -9.5934      1.00000
    111      -9.5778      1.00000
    112      -9.5440      1.00000
    113      -9.5019      1.00000
    114      -9.4502      1.00000
    115      -9.4439      1.00000
    116      -9.4035      1.00000
    117      -9.3506      1.00000
    118      -9.3084      1.00000
    119      -9.2657      1.00000
    120      -9.2613      1.00000
    121      -9.0691      1.00000
    122      -9.0329      1.00000
    123      -8.9327      1.00000
    124      -8.8438      1.00000
    125      -8.8210      1.00000
    126      -8.7182      1.00000
    127      -8.5993      1.00000
    128      -8.5467      1.00000
    129      -8.4700      1.00000
    130      -8.4462      1.00000
    131      -8.4017      1.00000
    132      -8.3617      1.00000
    133      -8.3407      1.00000
    134      -8.3198      1.00000
    135      -8.2676      1.00000
    136      -8.2454      1.00000
    137      -8.2117      1.00000
    138      -8.1319      1.00000
    139      -8.1196      1.00000
    140      -8.1054      1.00000
    141      -8.0385      1.00000
    142      -8.0098      1.00000
    143      -7.9611      1.00000
    144      -7.9255      1.00000
    145      -7.8131      1.00000
    146      -7.8017      1.00000
    147      -7.7425      1.00000
    148      -7.7132      1.00000
    149      -7.6608      1.00000
    150      -7.6432      1.00000
    151      -7.5522      1.00000
    152      -7.4805      1.00000
    153      -7.4500      1.00000
    154      -7.4103      1.00000
    155      -7.2868      1.00000
    156      -7.1110      1.00000
    157      -6.9766      1.00000
    158      -6.9121      1.00000
    159      -6.7398      1.00000
    160      -6.7336      1.00000
    161      -6.6975      1.00000
    162      -6.6105      1.00000
    163      -6.5818      1.00000
    164      -6.5750      1.00000
    165      -6.5570      1.00000
    166      -6.5011      1.00000
    167      -6.4791      1.00000
    168      -6.4704      1.00000
    169      -6.4301      1.00000
    170      -6.3413      1.00000
    171      -6.3014      1.00000
    172      -6.2807      1.00000
    173      -6.2425      1.00000
    174      -6.1923      1.00000
    175      -5.9789      1.00000
    176      -5.9170      1.00000
