
 Fermi energy:        -5.0841161510

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -27.0947      1.00000
      2     -24.8319      1.00000
      3     -24.6927      1.00000
      4     -24.5365      1.00000
      5     -24.3244      1.00000
      6     -24.2893      1.00000
      7     -24.2189      1.00000
      8     -24.0820      1.00000
      9     -24.0048      1.00000
     10     -23.6976      1.00000
     11     -23.5847      1.00000
     12     -23.5741      1.00000
     13     -23.4890      1.00000
     14     -23.3454      1.00000
     15     -23.2590      1.00000
     16     -23.2145      1.00000
     17     -23.2002      1.00000
     18     -23.1640      1.00000
     19     -23.0879      1.00000
     20     -22.7916      1.00000
     21     -22.6961      1.00000
     22     -22.5166      1.00000
     23     -22.3643      1.00000
     24     -22.2989      1.00000
     25     -22.2545      1.00000
     26     -22.1819      1.00000
     27     -22.1366      1.00000
     28     -22.1158      1.00000
     29     -22.0909      1.00000
     30     -22.0512      1.00000
     31     -21.9612      1.00000
     32     -21.9268      1.00000
     33     -21.7959      1.00000
     34     -21.7162      1.00000
     35     -21.6873      1.00000
     36     -21.6622      1.00000
     37     -21.6370      1.00000
     38     -21.4912      1.00000
     39     -21.3257      1.00000
     40     -21.2888      1.00000
     41     -21.2695      1.00000
     42     -21.1944      1.00000
     43     -21.0750      1.00000
     44     -21.0733      1.00000
     45     -21.0065      1.00000
     46     -20.9958      1.00000
     47     -20.9699      1.00000
     48     -20.9238      1.00000
     49     -19.1024      1.00000
     50     -16.4206      1.00000
     51     -15.4881      1.00000
     52     -15.2061      1.00000
     53     -15.0016      1.00000
     54     -14.9129      1.00000
     55     -14.8097      1.00000
     56     -14.6982      1.00000
     57     -14.6778      1.00000
     58     -14.6656      1.00000
     59     -14.6112      1.00000
     60     -14.5747      1.00000
     61     -14.5054      1.00000
     62     -14.3977      1.00000
     63     -14.3234      1.00000
     64     -14.1646      1.00000
     65     -14.1115      1.00000
     66     -14.0266      1.00000
     67     -13.9751      1.00000
     68     -13.6748      1.00000
     69     -13.6029      1.00000
     70     -13.5105      1.00000
     71     -13.4788      1.00000
     72     -13.4214      1.00000
     73     -13.4125      1.00000
     74     -13.3543      1.00000
     75     -13.3177      1.00000
     76     -13.3066      1.00000
     77     -13.2814      1.00000
     78     -13.2278      1.00000
     79     -13.1564      1.00000
     80     -12.8568      1.00000
     81     -12.7402      1.00000
     82     -12.6780      1.00000
     83     -12.6024      1.00000
     84     -12.5530      1.00000
