
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.1919      1.00000
      2     -24.3928      1.00000
      3     -24.1312      1.00000
      4     -24.0419      1.00000
      5     -24.0098      1.00000
      6     -23.9609      1.00000
      7     -23.8235      1.00000
      8     -23.5534      1.00000
      9     -23.2975      1.00000
     10     -23.2195      1.00000
     11     -23.2050      1.00000
     12     -23.1465      1.00000
     13     -23.0256      1.00000
     14     -22.9578      1.00000
     15     -22.8915      1.00000
     16     -22.8377      1.00000
     17     -22.7809      1.00000
     18     -22.6277      1.00000
     19     -22.4872      1.00000
     20     -22.0978      1.00000
     21     -22.0880      1.00000
     22     -21.8925      1.00000
     23     -21.8716      1.00000
     24     -21.8529      1.00000
     25     -21.8346      1.00000
     26     -21.7934      1.00000
     27     -21.7874      1.00000
     28     -21.7096      1.00000
     29     -21.6976      1.00000
     30     -21.5793      1.00000
     31     -21.5168      1.00000
     32     -21.4315      1.00000
     33     -21.4009      1.00000
     34     -21.3655      1.00000
     35     -21.3293      1.00000
     36     -21.2140      1.00000
     37     -21.0160      1.00000
     38     -21.0113      1.00000
     39     -20.9367      1.00000
     40     -20.8578      1.00000
     41     -20.8337      1.00000
     42     -20.7892      1.00000
     43     -20.7796      1.00000
     44     -20.7293      1.00000
     45     -20.6968      1.00000
     46     -20.3266      1.00000
     47     -20.2101      1.00000
     48     -19.8040      1.00000
     49     -18.2117      1.00000
     50     -15.2900      1.00000
     51     -14.5401      1.00000
     52     -14.5061      1.00000
     53     -14.4874      1.00000
     54     -14.4341      1.00000
     55     -14.4104      1.00000
     56     -14.3596      1.00000
     57     -14.3421      1.00000
     58     -14.2625      1.00000
     59     -14.2261      1.00000
     60     -14.1377      1.00000
     61     -13.9388      1.00000
     62     -13.7660      1.00000
     63     -13.7243      1.00000
     64     -13.6603      1.00000
     65     -13.5930      1.00000
     66     -13.5621      1.00000
     67     -13.4196      1.00000
     68     -13.2333      1.00000
     69     -13.1833      1.00000
     70     -13.0406      1.00000
     71     -13.0084      1.00000
     72     -12.9983      1.00000
     73     -12.9681      1.00000
     74     -12.9219      1.00000
     75     -12.9026      1.00000
     76     -12.8210      1.00000
     77     -12.7632      1.00000
     78     -12.5794      1.00000
     79     -12.3869      1.00000
     80     -12.3314      1.00000
     81     -12.2260      1.00000
     82     -12.2030      1.00000
     83     -12.0708      1.00000
     84     -11.9162      1.00000
     85     -11.7735      1.00000
     86     -11.6274      1.00000
     87     -11.4812      1.00000
     88     -11.4280      1.00000
     89     -11.3723      1.00000
     90     -11.0280      1.00000
     91     -10.8821      1.00000
     92     -10.8572      1.00000
     93     -10.7771      1.00000
     94     -10.7206      1.00000
     95     -10.6955      1.00000
     96     -10.6702      1.00000
     97     -10.5819      1.00000
     98     -10.5221      1.00000
     99     -10.4701      1.00000
    100     -10.4375      1.00000
    101     -10.3432      1.00000
    102     -10.3013      1.00000
    103     -10.2686      1.00000
    104     -10.2611      1.00000
    105     -10.2498      1.00000
    106     -10.2407      1.00000
    107     -10.2311      1.00000
    108     -10.2023      1.00000
    109     -10.1951      1.00000
    110     -10.1724      1.00000
    111     -10.1537      1.00000
    112     -10.1434      1.00000
    113     -10.1364      1.00000
    114     -10.1176      1.00000
    115     -10.0658      1.00000
    116      -9.9354      1.00000
    117      -9.9043      1.00000
    118      -9.8851      1.00000
    119      -9.7205      1.00000
    120      -9.6006      1.00000
    121      -9.5096      1.00000
    122      -9.4815      1.00000
    123      -9.4261      1.00000
    124      -9.4180      1.00000
    125      -9.3533      1.00000
    126      -9.2603      1.00000
