
 Fermi energy:        -4.7154457022

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.2547      1.00000
      2     -24.3302      1.00000
      3     -24.0428      1.00000
      4     -23.9733      1.00000
      5     -23.9566      1.00000
      6     -23.9232      1.00000
      7     -23.8065      1.00000
      8     -23.4918      1.00000
      9     -23.2393      1.00000
     10     -23.1764      1.00000
     11     -23.1363      1.00000
     12     -23.1142      1.00000
     13     -22.9790      1.00000
     14     -22.9018      1.00000
     15     -22.8498      1.00000
     16     -22.7648      1.00000
     17     -22.7524      1.00000
     18     -22.6266      1.00000
     19     -22.3695      1.00000
     20     -22.1298      1.00000
     21     -21.9967      1.00000
     22     -21.8219      1.00000
     23     -21.8075      1.00000
     24     -21.7910      1.00000
     25     -21.7559      1.00000
     26     -21.7513      1.00000
     27     -21.7256      1.00000
     28     -21.6560      1.00000
     29     -21.5655      1.00000
     30     -21.5423      1.00000
     31     -21.4692      1.00000
     32     -21.3698      1.00000
     33     -21.3264      1.00000
     34     -21.3112      1.00000
     35     -21.2153      1.00000
     36     -21.0312      1.00000
     37     -20.9698      1.00000
     38     -20.8988      1.00000
     39     -20.8276      1.00000
     40     -20.7995      1.00000
     41     -20.7730      1.00000
     42     -20.7257      1.00000
     43     -20.7113      1.00000
     44     -20.6630      1.00000
     45     -20.5775      1.00000
     46     -20.2364      1.00000
     47     -19.9644      1.00000
     48     -19.8808      1.00000
     49     -18.5217      1.00000
     50     -15.3904      1.00000
     51     -14.5127      1.00000
     52     -14.4696      1.00000
     53     -14.4378      1.00000
     54     -14.4020      1.00000
     55     -14.3554      1.00000
     56     -14.3348      1.00000
     57     -14.2901      1.00000
     58     -14.2382      1.00000
     59     -14.2032      1.00000
     60     -14.0774      1.00000
     61     -13.8709      1.00000
     62     -13.7101      1.00000
     63     -13.6879      1.00000
     64     -13.6305      1.00000
     65     -13.5765      1.00000
     66     -13.4991      1.00000
     67     -13.3709      1.00000
     68     -13.2013      1.00000
     69     -13.1517      1.00000
     70     -13.0514      1.00000
     71     -13.0037      1.00000
     72     -12.9371      1.00000
     73     -12.9164      1.00000
     74     -12.8868      1.00000
     75     -12.8513      1.00000
     76     -12.7528      1.00000
     77     -12.7206      1.00000
     78     -12.5157      1.00000
     79     -12.4681      1.00000
     80     -12.2966      1.00000
     81     -12.2419      1.00000
     82     -12.1371      1.00000
     83     -12.0482      1.00000
     84     -11.8225      1.00000
     85     -11.7334      1.00000
     86     -11.5752      1.00000
     87     -11.4445      1.00000
     88     -11.3909      1.00000
     89     -11.3043      1.00000
     90     -10.9755      1.00000
     91     -10.9475      1.00000
     92     -10.7820      1.00000
     93     -10.7687      1.00000
     94     -10.6781      1.00000
     95     -10.6489      1.00000
     96     -10.6003      1.00000
     97     -10.5594      1.00000
     98     -10.5249      1.00000
     99     -10.4605      1.00000
    100     -10.4293      1.00000
    101     -10.3468      1.00000
    102     -10.3062      1.00000
    103     -10.2923      1.00000
    104     -10.2515      1.00000
    105     -10.2082      1.00000
    106     -10.1904      1.00000
    107     -10.1720      1.00000
    108     -10.1534      1.00000
    109     -10.1399      1.00000
    110     -10.1067      1.00000
    111     -10.1022      1.00000
    112     -10.0806      1.00000
    113     -10.0756      1.00000
    114     -10.0628      1.00000
    115     -10.0313      1.00000
    116      -9.8910      1.00000
    117      -9.8570      1.00000
    118      -9.7838      1.00000
    119      -9.6452      1.00000
    120      -9.5493      1.00000
    121      -9.4989      1.00000
    122      -9.4209      1.00000
    123      -9.4059      1.00000
    124      -9.3287      1.00000
    125      -9.3232      1.00000
    126      -9.2978      1.00000
    127      -9.1568      1.00000
    128      -9.0058      1.00000
    129      -8.9688      1.00000
