Fermi energy:        -0.5695098839

spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -29.5386      1.00000
      2     -25.6229      1.00000
      3     -24.2642      1.00000
      4     -24.0502      1.00000
      5     -23.9197      1.00000
      6     -23.9039      1.00000
      7     -23.8824      1.00000
      8     -23.8251      1.00000
      9     -23.4589      1.00000
     10     -23.4083      1.00000
     11     -23.2459      1.00000
     12     -23.1454      1.00000
     13     -23.1126      1.00000
     14     -22.9397      1.00000
     15     -22.8955      1.00000
     16     -22.8617      1.00000
     17     -22.8323      1.00000
     18     -22.7729      1.00000
     19     -22.7324      1.00000
     20     -22.4237      1.00000
     21     -22.3268      1.00000
     22     -22.0875      1.00000
     23     -21.9813      1.00000
     24     -21.8737      1.00000
     25     -21.7894      1.00000
     26     -21.7396      1.00000
     27     -21.7257      1.00000
     28     -21.7120      1.00000
     29     -21.7100      1.00000
     30     -21.6870      1.00000
     31     -21.6822      1.00000
     32     -21.4635      1.00000
     33     -21.4445      1.00000
     34     -21.3961      1.00000
     35     -21.3049      1.00000
     36     -21.2931      1.00000
     37     -21.2731      1.00000
     38     -21.0763      1.00000
     39     -20.9602      1.00000
     40     -20.8835      1.00000
     41     -20.8534      1.00000
     42     -20.7939      1.00000
     43     -20.7884      1.00000
     44     -20.7062      1.00000
     45     -20.6905      1.00000
     46     -20.6319      1.00000
     47     -20.6178      1.00000
     48     -20.5946      1.00000
     49     -20.5722      1.00000
     50     -19.2770      1.00000
     51     -16.0575      1.00000
     52     -14.9595      1.00000
     53     -14.8373      1.00000
     54     -14.5541      1.00000
     55     -14.4686      1.00000
     56     -14.3631      1.00000
     57     -14.3332      1.00000
     58     -14.2898      1.00000
     59     -14.2825      1.00000
     60     -14.2367      1.00000
     61     -14.1923      1.00000
     62     -14.0611      1.00000
     63     -13.9659      1.00000
     64     -13.8772      1.00000
     65     -13.8504      1.00000
     66     -13.7684      1.00000
     67     -13.6223      1.00000
     68     -13.4923      1.00000
     69     -13.4079      1.00000
     70     -13.2431      1.00000
     71     -13.1827      1.00000
     72     -13.1052      1.00000
     73     -13.0321      1.00000
     74     -12.9344      1.00000
     75     -12.9161      1.00000
     76     -12.9046      1.00000
     77     -12.9011      1.00000
     78     -12.8867      1.00000
     79     -12.8686      1.00000
     80     -12.6345      1.00000
     81     -12.5061      1.00000
     82     -12.4035      1.00000
     83     -12.3403      1.00000
     84     -12.1976      1.00000
     85     -12.1678      1.00000
     86     -11.9236      1.00000
     87     -11.7268      1.00000
     88     -11.6183      1.00000
     89     -11.5352      1.00000
     90     -11.4846      1.00000
     91     -11.4509      1.00000
     92     -11.4023      1.00000
     93     -11.2472      1.00000
     94     -11.1672      1.00000
     95     -10.9407      1.00000
     96     -10.8429      1.00000
     97     -10.7314      1.00000
     98     -10.7127      1.00000
     99     -10.6488      1.00000
    100     -10.5655      1.00000
    101     -10.4818      1.00000
    102     -10.4449      1.00000
    103     -10.4283      1.00000
    104     -10.3626      1.00000
    105     -10.3318      1.00000
    106     -10.3104      1.00000
    107     -10.2695      1.00000
    108     -10.2439      1.00000
    109     -10.1986      1.00000
    110     -10.1813      1.00000
    111     -10.1483      1.00000
    112     -10.1322      1.00000
    113     -10.1202      1.00000
    114     -10.0981      1.00000
    115     -10.0910      1.00000
    116     -10.0741      1.00000
    117     -10.0647      1.00000
    118     -10.0591      1.00000
