
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.7808      1.00000
      2     -24.3403      1.00000
      3     -24.2166      1.00000
      4     -24.0292      1.00000
      5     -23.9174      1.00000
      6     -23.7947      1.00000
      7     -23.7401      1.00000
      8     -23.4599      1.00000
      9     -23.4408      1.00000
     10     -23.2316      1.00000
     11     -23.1668      1.00000
     12     -23.0888      1.00000
     13     -22.9738      1.00000
     14     -22.8806      1.00000
     15     -22.8603      1.00000
     16     -22.7059      1.00000
     17     -22.6921      1.00000
     18     -22.5782      1.00000
     19     -22.3677      1.00000
     20     -22.3307      1.00000
     21     -22.1236      1.00000
     22     -21.9623      1.00000
     23     -21.8984      1.00000
     24     -21.7686      1.00000
     25     -21.7421      1.00000
     26     -21.7365      1.00000
     27     -21.6740      1.00000
     28     -21.6436      1.00000
     29     -21.5976      1.00000
     30     -21.5367      1.00000
     31     -21.4467      1.00000
     32     -21.3422      1.00000
     33     -21.2864      1.00000
     34     -21.2550      1.00000
     35     -21.2513      1.00000
     36     -21.1195      1.00000
     37     -21.0235      1.00000
     38     -20.9235      1.00000
     39     -20.8565      1.00000
     40     -20.8128      1.00000
     41     -20.7126      1.00000
     42     -20.6712      1.00000
     43     -20.6489      1.00000
     44     -20.6048      1.00000
     45     -20.4966      1.00000
     46     -20.3875      1.00000
     47     -19.9568      1.00000
     48     -19.6624      1.00000
     49     -16.9760      1.00000
     50     -15.2558      1.00000
     51     -14.6489      1.00000
     52     -14.6095      1.00000
     53     -14.5248      1.00000
     54     -14.4235      1.00000
     55     -14.3493      1.00000
     56     -14.2726      1.00000
     57     -14.2102      1.00000
     58     -14.1579      1.00000
     59     -14.0984      1.00000
     60     -13.9906      1.00000
     61     -13.8944      1.00000
     62     -13.8522      1.00000
     63     -13.6987      1.00000
     64     -13.5974      1.00000
     65     -13.5515      1.00000
     66     -13.4529      1.00000
     67     -13.3318      1.00000
     68     -13.1537      1.00000
     69     -13.1205      1.00000
     70     -12.9691      1.00000
     71     -12.9557      1.00000
     72     -12.9241      1.00000
     73     -12.8829      1.00000
     74     -12.8227      1.00000
     75     -12.7667      1.00000
     76     -12.6925      1.00000
     77     -12.6191      1.00000
     78     -12.5513      1.00000
     79     -12.3570      1.00000
     80     -12.2607      1.00000
     81     -12.2254      1.00000
     82     -12.1564      1.00000
     83     -12.0581      1.00000
     84     -11.8964      1.00000
     85     -11.6360      1.00000
     86     -11.5151      1.00000
     87     -11.4565      1.00000
     88     -11.3752      1.00000
     89     -11.3265      1.00000
     90     -11.1696      1.00000
     91     -11.1374      1.00000
     92     -10.9491      1.00000
     93     -10.8934      1.00000
     94     -10.7394      1.00000
     95     -10.6896      1.00000
     96     -10.6031      1.00000
     97     -10.5025      1.00000
     98     -10.4703      1.00000
     99     -10.4371      1.00000
    100     -10.4036      1.00000
    101     -10.3367      1.00000
    102     -10.3017      1.00000
    103     -10.2695      1.00000
    104     -10.2582      1.00000
    105     -10.2012      1.00000
    106     -10.1614      1.00000
    107     -10.1429      1.00000
    108     -10.1194      1.00000
    109     -10.1042      1.00000
    110     -10.0543      1.00000
    111     -10.0308      1.00000
    112     -10.0142      1.00000
    113     -10.0120      1.00000
    114      -9.9836      1.00000
    115      -9.9367      1.00000
    116      -9.8977      1.00000
    117      -9.8944      1.00000
    118      -9.7587      1.00000
    119      -9.7347      1.00000
    120      -9.7136      1.00000
    121      -9.4887      1.00000
    122      -9.4594      1.00000
    123      -9.3009      1.00000
    124      -9.2758      1.00000
    125      -9.2611      1.00000
    126      -9.1664      1.00000
    127      -9.1544      1.00000
    128      -9.0305      1.00000
    129      -8.9906      1.00000
    130      -8.9842      1.00000
    131      -8.9193      1.00000
    132      -8.9076      1.00000
    133      -8.8857      1.00000
    134      -8.7588      1.00000
    135      -8.7468      1.00000
    136      -8.7101      1.00000
    137      -8.6653      1.00000
    138      -8.5981      1.00000
    139      -8.5421      1.00000
    140      -8.5323      1.00000
    141      -8.4827      1.00000
    142      -8.4806      1.00000
    143      -8.4216      1.00000
    144      -8.3596      1.00000
    145      -8.3582      1.00000
    146      -8.3463      1.00000
    147      -8.2815      1.00000
    148      -8.2746      1.00000
    149      -8.2547      1.00000
    150      -8.1416      1.00000
    151      -8.0899      1.00000
    152      -8.0217      1.00000
    153      -7.9937      1.00000
    154      -7.9391      1.00000
    155      -7.7173      1.00000
    156      -7.5056      1.00000
    157      -7.5032      1.00000
    158      -7.3584      1.00000
    159      -7.3249      1.00000
    160      -7.1994      1.00000
    161      -7.1891      1.00000
    162      -7.1747      1.00000
    163      -7.1349      1.00000
    164      -7.0956      1.00000
    165      -7.0204      1.00000
    166      -6.9638      1.00000
    167      -6.9558      1.00000
    168      -6.8859      1.00000
    169      -6.8482      1.00000
    170      -6.7949      1.00000
    171      -6.7229      1.00000
    172      -6.5915      1.00000
    173      -6.5750      1.00000
    174      -6.5656      1.00000
    175      -6.3879      1.00000
    176      -6.3750      1.00000
    177      -6.3058      1.00000
    178      -6.2452      1.00000
    179      -6.1707      1.00000
    180      -6.1243      1.00000
    181      -5.8995      1.00000
    182      -5.8120      1.00000
    183      -5.6376      1.00000
    184      -5.5829      1.00000
    185      -5.4608      1.00000
    186      -5.4004      1.00000
    187      -5.3740      1.00000
    188      -5.3451      1.00000
    189      -5.2136      1.00000
    190      -5.1754      1.00000
    191      -4.7400      1.00000
    192      -4.5801      1.00000
    193      -4.0525      1.00000
    194      -2.1448      0.00000
    195       0.2902      1.00000
    196       0.7417      0.00000
    197       0.7595      0.00000
    198       0.8774      0.00000
    199       0.9194      0.00000
    200       0.9893      0.00000
    201       1.0669      0.00000
    202       1.1025      0.00000
    203       1.1175      0.00000
    204       1.1331      0.00000
    205       1.2108      0.00000
    206       1.2332      0.00000
    207       1.2792      0.00000
    208       1.3118      0.00000
    209       1.3382      0.00000
    210       1.3447      0.00000
    211       1.3558      0.00000
    212       1.4877      0.00000
    213       1.5576      0.00000
    214       1.6079      0.00000
    215       1.6256      0.00000
    216       1.6385      0.00000
    217       1.6719      0.00000
    218       1.7031      0.00000
    219       1.7914      0.00000
    220       1.8042      0.00000
    221       1.8214      0.00000
    222       1.8564      0.00000
    223       1.8822      0.00000
    224       1.9094      0.00000
    225       1.9104      0.00000
    226       1.9846      0.00000
    227       1.9929      0.00000
    228       2.0267      0.00000
    229       2.0582      0.00000
    230       2.0652      0.00000
    231       2.1003      0.00000
    232       2.1456      0.00000
    233       2.1907      0.00000
    234       2.3172      0.00000
    235       2.3367      0.00000
    236       2.3891      0.00000
    237       2.4274      0.00000
    238       2.4313      0.00000
    239       2.4773      0.00000
    240       2.5899      0.00000
    241       2.7512      0.00000
    242       2.8224      0.00000
    243       2.8899      0.00000
    244       2.9721      0.00000
    245       2.9821      0.00000
    246       2.9940      0.00000
    247       3.0044      0.00000
    248       3.0185      0.00000
    249       3.0375      0.00000
    250       3.0385      0.00000
    251       3.0684      0.00000
    252       3.0733      0.00000
 Fermi energy:         0.0000000000

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.7788      1.00000
      2     -24.3379      1.00000
      3     -24.2130      1.00000
      4     -24.0266      1.00000
      5     -23.9133      1.00000
      6     -23.7904      1.00000
      7     -23.7336      1.00000
      8     -23.4492      1.00000
      9     -23.4331      1.00000
     10     -23.2270      1.00000
     11     -23.1562      1.00000
     12     -23.0788      1.00000
     13     -22.9634      1.00000
     14     -22.8780      1.00000
     15     -22.8575      1.00000
     16     -22.6974      1.00000
     17     -22.6820      1.00000
     18     -22.5565      1.00000
     19     -22.3294      1.00000
     20     -22.3210      1.00000
     21     -22.1026      1.00000
     22     -21.9600      1.00000
     23     -21.8920      1.00000
     24     -21.7568      1.00000
     25     -21.7352      1.00000
     26     -21.7309      1.00000
     27     -21.6694      1.00000
     28     -21.6356      1.00000
     29     -21.5712      1.00000
     30     -21.5248      1.00000
     31     -21.4419      1.00000
     32     -21.3174      1.00000
     33     -21.2689      1.00000
     34     -21.2478      1.00000
     35     -21.2411      1.00000
     36     -21.1027      1.00000
     37     -21.0046      1.00000
     38     -20.9046      1.00000
     39     -20.8518      1.00000
     40     -20.8025      1.00000
     41     -20.7079      1.00000
     42     -20.6613      1.00000
     43     -20.6237      1.00000
     44     -20.5871      1.00000
     45     -20.4773      1.00000
     46     -20.3472      1.00000
     47     -19.4377      1.00000
     48     -19.0388      1.00000
     49     -16.9720      1.00000
     50     -15.2516      1.00000
     51     -14.6452      1.00000
     52     -14.6036      1.00000
     53     -14.5224      1.00000
     54     -14.4199      1.00000
     55     -14.3458      1.00000
     56     -14.2697      1.00000
     57     -14.2014      1.00000
     58     -14.1537      1.00000
     59     -14.0940      1.00000
     60     -13.9823      1.00000
     61     -13.8878      1.00000
     62     -13.8411      1.00000
     63     -13.6869      1.00000
     64     -13.5927      1.00000
     65     -13.5438      1.00000
     66     -13.4380      1.00000
     67     -13.3055      1.00000
     68     -13.1479      1.00000
     69     -13.1162      1.00000
     70     -12.9632      1.00000
     71     -12.9485      1.00000
     72     -12.9168      1.00000
     73     -12.8732      1.00000
     74     -12.8118      1.00000
     75     -12.7540      1.00000
     76     -12.6731      1.00000
     77     -12.5830      1.00000
     78     -12.5134      1.00000
     79     -12.3369      1.00000
     80     -12.2302      1.00000
     81     -12.2191      1.00000
     82     -12.1411      1.00000
     83     -12.0390      1.00000
     84     -11.8711      1.00000
     85     -11.6141      1.00000
     86     -11.4936      1.00000
     87     -11.4374      1.00000
     88     -11.3618      1.00000
     89     -11.2937      1.00000
     90     -11.1566      1.00000
     91     -11.1136      1.00000
     92     -10.9244      1.00000
     93     -10.8677      1.00000
     94     -10.7368      1.00000
     95     -10.6717      1.00000
     96     -10.5896      1.00000
     97     -10.4645      1.00000
     98     -10.4633      1.00000
     99     -10.4316      1.00000
    100     -10.3953      1.00000
    101     -10.3284      1.00000
    102     -10.2954      1.00000
    103     -10.2595      1.00000
    104     -10.2534      1.00000
    105     -10.1931      1.00000
    106     -10.1546      1.00000
    107     -10.1268      1.00000
    108     -10.1079      1.00000
    109     -10.0971      1.00000
    110     -10.0374      1.00000
    111     -10.0112      1.00000
    112     -10.0088      1.00000
    113      -9.9983      1.00000
    114      -9.9683      1.00000
    115      -9.9043      1.00000
    116      -9.8921      1.00000
    117      -9.8834      1.00000
    118      -9.7253      1.00000
    119      -9.7188      1.00000
    120      -9.6646      1.00000
