
 Fermi energy:        -1.5871495916

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.0832      1.00000
      2     -23.7893      1.00000
      3     -23.6177      1.00000
      4     -23.5687      1.00000
      5     -23.4583      1.00000
      6     -23.3130      1.00000
      7     -23.2030      1.00000
      8     -22.8285      1.00000
      9     -22.7191      1.00000
     10     -22.6641      1.00000
     11     -22.6158      1.00000
     12     -22.5747      1.00000
     13     -22.5378      1.00000
     14     -22.3945      1.00000
     15     -22.2868      1.00000
     16     -22.2065      1.00000
     17     -22.1244      1.00000
     18     -22.0098      1.00000
     19     -21.7648      1.00000
     20     -21.4632      1.00000
     21     -21.4222      1.00000
     22     -21.3371      1.00000
     23     -21.3257      1.00000
     24     -21.3044      1.00000
     25     -21.3028      1.00000
     26     -21.2547      1.00000
     27     -21.1861      1.00000
     28     -21.1120      1.00000
     29     -21.0864      1.00000
     30     -21.0804      1.00000
     31     -20.9926      1.00000
     32     -20.8871      1.00000
     33     -20.8281      1.00000
     34     -20.7342      1.00000
     35     -20.6796      1.00000
     36     -20.5836      1.00000
     37     -20.4464      1.00000
     38     -20.4218      1.00000
     39     -20.3737      1.00000
     40     -20.3059      1.00000
     41     -20.2896      1.00000
     42     -20.2684      1.00000
     43     -20.1706      1.00000
     44     -20.1194      1.00000
     45     -19.9740      1.00000
     46     -19.8814      1.00000
     47     -19.2391      1.00000
     48     -18.8713      1.00000
     49     -15.3542      1.00000
     50     -14.1042      1.00000
     51     -14.0444      1.00000
     52     -14.0394      1.00000
     53     -13.9642      1.00000
     54     -13.9258      1.00000
     55     -13.8875      1.00000
     56     -13.8254      1.00000
     57     -13.7827      1.00000
     58     -13.7065      1.00000
     59     -13.5728      1.00000
     60     -13.3963      1.00000
     61     -13.3111      1.00000
     62     -13.2891      1.00000
     63     -13.1586      1.00000
     64     -13.1038      1.00000
     65     -12.9752      1.00000
     66     -12.9253      1.00000
     67     -12.8454      1.00000
     68     -12.5743      1.00000
     69     -12.5261      1.00000
     70     -12.4793      1.00000
     71     -12.4554      1.00000
     72     -12.4154      1.00000
     73     -12.3766      1.00000
     74     -12.2972      1.00000
     75     -12.1592      1.00000
     76     -12.0436      1.00000
     77     -12.0211      1.00000
     78     -11.9708      1.00000
     79     -11.8037      1.00000
     80     -11.7644      1.00000
     81     -11.6161      1.00000
     82     -11.5596      1.00000
     83     -11.4835      1.00000
     84     -11.3277      1.00000
     85     -11.0391      1.00000
     86     -10.9103      1.00000
     87     -10.8446      1.00000
     88     -10.8084      1.00000
     89     -10.6976      1.00000
     90     -10.4911      1.00000
     91     -10.3425      1.00000
     92     -10.2629      1.00000
     93     -10.2542      1.00000
     94     -10.1137      1.00000
     95     -10.0908      1.00000
     96     -10.0583      1.00000
     97     -10.0225      1.00000
     98      -9.9530      1.00000
     99      -9.8237      1.00000
    100      -9.8094      1.00000
    101      -9.7785      1.00000
    102      -9.7472      1.00000
    103      -9.7358      1.00000
    104      -9.7278      1.00000
    105      -9.7000      1.00000
    106      -9.6969      1.00000
    107      -9.6652      1.00000
    108      -9.6457      1.00000
    109      -9.5905      1.00000
    110      -9.5891      1.00000
    111      -9.5489      1.00000
    112      -9.5328      1.00000
    113      -9.5146      1.00000
    114      -9.5000      1.00000
    115      -9.4346      1.00000
    116      -9.4000      1.00000
    117      -9.3627      1.00000
    118      -9.2602      1.00000
    119      -9.1903      1.00000
    120      -9.1896      1.00000
    121      -8.9406      1.00000
    122      -8.8613      1.00000
    123      -8.8156      1.00000
    124      -8.6231      1.00000
    125      -8.5436      1.00000
    126      -8.5347      1.00000
    127      -8.5064      1.00000
    128      -8.4775      1.00000
    129      -8.4452      1.00000
    130      -8.4172      1.00000
    131      -8.3866      1.00000
    132      -8.3345      1.00000
    133      -8.3134      1.00000
    134      -8.2849      1.00000
    135      -8.2519      1.00000
    136      -8.2353      1.00000
    137      -8.1772      1.00000
    138      -8.1451      1.00000
    139      -8.1084      1.00000
    140      -8.0599      1.00000
    141      -7.9634      1.00000
    142      -7.9233      1.00000
    143      -7.8876      1.00000
    144      -7.8170      1.00000
    145      -7.8056      1.00000
    146      -7.7580      1.00000
    147      -7.7135      1.00000
    148      -7.6755      1.00000
    149      -7.6443      1.00000
    150      -7.6177      1.00000
    151      -7.5418      1.00000
    152      -7.5060      1.00000
    153      -7.3593      1.00000
    154      -7.2365      1.00000
    155      -7.1892      1.00000
    156      -6.8890      1.00000
    157      -6.7880      1.00000
    158      -6.7139      1.00000
    159      -6.7050      1.00000
    160      -6.6725      1.00000
    161      -6.5998      1.00000
    162      -6.5920      1.00000
    163      -6.5680      1.00000
    164      -6.5648      1.00000
    165      -6.5637      1.00000
    166      -6.4900      1.00000
    167      -6.4844      1.00000
    168      -6.4076      1.00000
    169      -6.3651      1.00000
    170      -6.3027      1.00000
    171      -6.2673      1.00000
    172      -6.1504      1.00000
    173      -6.1363      1.00000
    174      -6.0268      1.00000
    175      -5.9491      1.00000
    176      -5.8814      1.00000
    177      -5.8001      1.00000
    178      -5.7227      1.00000
    179      -5.6118      1.00000
    180      -5.4390      1.00000
    181      -5.4000      1.00000
    182      -5.2294      1.00000
    183      -5.1796      1.00000
    184      -5.0898      1.00000
    185      -5.0741      1.00000
    186      -5.0042      1.00000
    187      -4.9417      1.00000
    188      -4.9049      1.00000
    189      -4.7731      1.00000
    190      -4.7233      1.00000
    191      -3.9981      1.00000
    192      -3.9117      1.00000
    193      -3.1312      1.00000
    194      -1.8565      1.00000
    195       0.8876      0.00000
    196       1.4470      0.00000
    197       1.4841      0.00000
    198       1.5075      0.00000
    199       1.5568      0.00000
    200       1.6216      0.00000
    201       1.6397      0.00000
    202       1.6405      0.00000
    203       1.6734      0.00000
    204       1.6806      0.00000
    205       1.7012      0.00000
    206       1.7071      0.00000
    207       1.7258      0.00000
    208       1.7855      0.00000
    209       1.8073      0.00000
    210       1.9073      0.00000
    211       1.9388      0.00000
    212       1.9734      0.00000
    213       2.0254      0.00000
    214       2.0855      0.00000
    215       2.1652      0.00000
    216       2.2190      0.00000
    217       2.2446      0.00000
    218       2.2685      0.00000
    219       2.2829      0.00000
    220       2.3012      0.00000
    221       2.3063      0.00000
    222       2.3993      0.00000
    223       2.4227      0.00000
    224       2.5294      0.00000
    225       2.5508      0.00000
    226       2.5527      0.00000
    227       2.5623      0.00000
    228       2.5691      0.00000
    229       2.6302      0.00000
    230       2.6356      0.00000
    231       2.6440      0.00000
    232       2.7355      0.00000
    233       2.8152      0.00000
    234       2.8587      0.00000
    235       2.8623      0.00000
    236       2.8878      0.00000
    237       2.9019      0.00000
    238       2.9659      0.00000
    239       3.0725      0.00000
    240       3.3213      0.00000
    241       3.3426      0.00000
    242       3.3624      0.00000
    243       3.3726      0.00000
    244       3.4138      0.00000
    245       3.4212      0.00000
    246       3.4767      0.00000
    247       3.5045      0.00000
    248       3.5290      0.00000
    249       3.5479      0.00000
    250       3.5681      0.00000
    251       3.5731      0.00000
    252       3.5971      0.00000
 Fermi energy:        -3.3202617560

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.0242      1.00000
      2     -23.7372      1.00000
      3     -23.6131      1.00000
      4     -23.5650      1.00000
      5     -23.4517      1.00000
      6     -23.3020      1.00000
      7     -23.1735      1.00000
      8     -22.8062      1.00000
      9     -22.7120      1.00000
     10     -22.6575      1.00000
     11     -22.6102      1.00000
     12     -22.5660      1.00000
     13     -22.5272      1.00000
     14     -22.3747      1.00000
     15     -22.2783      1.00000
     16     -22.1946      1.00000
     17     -22.1056      1.00000
     18     -21.9747      1.00000
     19     -21.7104      1.00000
     20     -21.4495      1.00000
     21     -21.4177      1.00000
     22     -21.3289      1.00000
     23     -21.3179      1.00000
     24     -21.3005      1.00000
     25     -21.2998      1.00000
     26     -21.2399      1.00000
     27     -21.1717      1.00000
     28     -21.0943      1.00000
     29     -21.0700      1.00000
     30     -21.0522      1.00000
     31     -20.9700      1.00000
     32     -20.8734      1.00000
     33     -20.8167      1.00000
     34     -20.7197      1.00000
     35     -20.6521      1.00000
     36     -20.5691      1.00000
     37     -20.4407      1.00000
     38     -20.4068      1.00000
     39     -20.3574      1.00000
     40     -20.2938      1.00000
     41     -20.2759      1.00000
     42     -20.2518      1.00000
     43     -20.1494      1.00000
     44     -20.1045      1.00000
     45     -19.9379      1.00000
     46     -19.8482      1.00000
     47     -18.6782      1.00000
     48     -18.2384      1.00000
     49     -14.9848      1.00000
     50     -14.0860      1.00000
     51     -14.0414      1.00000
     52     -14.0366      1.00000
     53     -13.9571      1.00000
     54     -13.9212      1.00000
     55     -13.8793      1.00000
     56     -13.8196      1.00000
     57     -13.7743      1.00000
     58     -13.6819      1.00000
     59     -13.5550      1.00000
     60     -13.3813      1.00000
     61     -13.3015      1.00000
     62     -13.2824      1.00000
     63     -13.1426      1.00000
