
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3418      1.00000
      2     -23.9909      1.00000
      3     -23.9776      1.00000
      4     -23.9291      1.00000
      5     -23.9080      1.00000
      6     -23.8773      1.00000
      7     -23.6819      1.00000
      8     -23.1642      1.00000
      9     -23.1480      1.00000
     10     -23.1353      1.00000
     11     -23.0844      1.00000
     12     -23.0717      1.00000
     13     -22.9621      1.00000
     14     -22.7735      1.00000
     15     -22.7659      1.00000
     16     -22.7251      1.00000
     17     -22.6966      1.00000
     18     -22.6673      1.00000
     19     -22.3395      1.00000
     20     -21.8352      1.00000
     21     -21.8020      1.00000
     22     -21.7734      1.00000
     23     -21.7610      1.00000
     24     -21.7597      1.00000
     25     -21.7309      1.00000
     26     -21.7257      1.00000
     27     -21.7101      1.00000
     28     -21.6905      1.00000
     29     -21.6092      1.00000
     30     -21.5621      1.00000
     31     -21.4151      1.00000
     32     -21.3489      1.00000
     33     -21.3050      1.00000
     34     -21.2727      1.00000
     35     -21.2110      1.00000
     36     -21.1298      1.00000
     37     -20.9180      1.00000
     38     -20.8734      1.00000
     39     -20.8113      1.00000
     40     -20.8028      1.00000
     41     -20.7486      1.00000
     42     -20.7343      1.00000
     43     -20.6934      1.00000
     44     -20.6615      1.00000
     45     -20.5947      1.00000
     46     -20.5871      1.00000
     47     -20.4191      1.00000
     48     -20.1193      1.00000
     49     -17.4874      1.00000
     50     -14.4761      1.00000
     51     -14.4405      1.00000
     52     -14.4222      1.00000
     53     -14.3900      1.00000
     54     -14.3754      1.00000
     55     -14.3353      1.00000
     56     -14.2357      1.00000
     57     -14.2054      1.00000
     58     -14.1619      1.00000
     59     -14.1384      1.00000
     60     -14.0956      1.00000
     61     -13.9147      1.00000
     62     -13.6860      1.00000
     63     -13.6182      1.00000
     64     -13.5934      1.00000
     65     -13.5212      1.00000
     66     -13.5009      1.00000
     67     -13.4303      1.00000
     68     -12.9688      1.00000
     69     -12.9398      1.00000
     70     -12.9240      1.00000
     71     -12.9117      1.00000
     72     -12.9040      1.00000
     73     -12.8849      1.00000
     74     -12.8723      1.00000
     75     -12.8123      1.00000
     76     -12.7807      1.00000
     77     -12.6639      1.00000
     78     -12.6510      1.00000
     79     -12.5187      1.00000
     80     -12.2019      1.00000
     81     -12.1979      1.00000
     82     -12.1401      1.00000
     83     -12.0451      1.00000
     84     -12.0314      1.00000
     85     -11.6858      1.00000
     86     -11.4243      1.00000
     87     -11.3672      1.00000
     88     -11.3430      1.00000
     89     -11.2973      1.00000
     90     -11.2434      1.00000
     91     -10.9559      1.00000
     92     -10.6352      1.00000
     93     -10.6132      1.00000
     94     -10.5978      1.00000
     95     -10.5900      1.00000
     96     -10.5502      1.00000
     97     -10.5409      1.00000
     98     -10.4660      1.00000
     99     -10.2313      1.00000
