
 Fermi energy:        -4.8049837312

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3258      1.00000
      2     -24.0014      1.00000
      3     -23.9399      1.00000
      4     -23.9121      1.00000
      5     -23.8851      1.00000
      6     -23.8787      1.00000
      7     -23.7185      1.00000
      8     -23.1626      1.00000
      9     -23.1244      1.00000
     10     -23.1233      1.00000
     11     -23.1021      1.00000
     12     -23.0562      1.00000
     13     -22.9506      1.00000
     14     -22.7541      1.00000
     15     -22.7528      1.00000
     16     -22.7429      1.00000
     17     -22.7203      1.00000
     18     -22.6474      1.00000
     19     -22.3914      1.00000
     20     -21.8070      1.00000
     21     -21.7854      1.00000
     22     -21.7651      1.00000
     23     -21.7459      1.00000
     24     -21.7414      1.00000
     25     -21.7245      1.00000
     26     -21.7189      1.00000
     27     -21.6948      1.00000
     28     -21.6930      1.00000
     29     -21.6353      1.00000
     30     -21.5690      1.00000
     31     -21.4023      1.00000
     32     -21.3508      1.00000
     33     -21.2948      1.00000
     34     -21.2827      1.00000
     35     -21.2260      1.00000
     36     -21.1491      1.00000
     37     -20.9608      1.00000
     38     -20.8354      1.00000
     39     -20.8146      1.00000
     40     -20.7913      1.00000
     41     -20.7756      1.00000
     42     -20.7274      1.00000
     43     -20.6911      1.00000
     44     -20.6557      1.00000
     45     -20.6036      1.00000
     46     -20.5923      1.00000
     47     -20.5124      1.00000
     48     -20.4147      1.00000
     49     -16.9757      1.00000
     50     -14.4520      1.00000
     51     -14.4303      1.00000
     52     -14.4124      1.00000
     53     -14.3752      1.00000
     54     -14.3633      1.00000
     55     -14.3219      1.00000
     56     -14.2212      1.00000
     57     -14.1881      1.00000
     58     -14.1538      1.00000
     59     -14.1424      1.00000
     60     -14.1136      1.00000
     61     -13.9177      1.00000
     62     -13.6607      1.00000
     63     -13.6271      1.00000
     64     -13.5909      1.00000
     65     -13.5100      1.00000
     66     -13.5098      1.00000
     67     -13.4327      1.00000
     68     -12.9454      1.00000
     69     -12.9326      1.00000
     70     -12.9203      1.00000
     71     -12.9042      1.00000
     72     -12.8977      1.00000
     73     -12.8828      1.00000
     74     -12.8584      1.00000
     75     -12.8042      1.00000
     76     -12.8019      1.00000
     77     -12.6885      1.00000
     78     -12.6171      1.00000
     79     -12.5314      1.00000
     80     -12.1827      1.00000
     81     -12.1727      1.00000
     82     -12.1528      1.00000
     83     -12.0422      1.00000
     84     -12.0337      1.00000
     85     -11.7140      1.00000
     86     -11.4204      1.00000
     87     -11.3824      1.00000
     88     -11.3202      1.00000
     89     -11.2970      1.00000
     90     -11.2377      1.00000
     91     -10.9879      1.00000
     92     -10.6339      1.00000
     93     -10.5937      1.00000
     94     -10.5935      1.00000
     95     -10.5928      1.00000
     96     -10.5455      1.00000
     97     -10.4732      1.00000
     98     -10.4711      1.00000
     99     -10.2133      1.00000
    100     -10.2085      1.00000
    101     -10.1755      1.00000
    102     -10.1720      1.00000
    103     -10.1685      1.00000
    104     -10.1426      1.00000
    105     -10.1395      1.00000
    106     -10.1143      1.00000
    107     -10.1107      1.00000
    108     -10.1055      1.00000
    109     -10.1002      1.00000
    110     -10.0809      1.00000
    111     -10.0703      1.00000
    112     -10.0615      1.00000
    113     -10.0376      1.00000
    114     -10.0335      1.00000
    115     -10.0204      1.00000
    116     -10.0058      1.00000
    117      -9.9912      1.00000
    118      -9.8587      1.00000
    119      -9.8065      1.00000
    120      -9.6918      1.00000
    121      -9.6475      1.00000
    122      -9.3817      1.00000
    123      -9.3803      1.00000
    124      -9.3349      1.00000
    125      -9.2802      1.00000
    126      -9.1264      1.00000
    127      -9.0790      1.00000
    128      -8.9708      1.00000
    129      -8.9510      1.00000
    130      -8.9274      1.00000
    131      -8.9213      1.00000
    132      -8.8949      1.00000
    133      -8.8806      1.00000
    134      -8.7397      1.00000
    135      -8.6959      1.00000
    136      -8.6139      1.00000
    137      -8.5896      1.00000
    138      -8.5766      1.00000
    139      -8.5394      1.00000
    140      -8.5380      1.00000
    141      -8.5106      1.00000
    142      -8.4464      1.00000
    143      -8.4169      1.00000
    144      -8.4043      1.00000
    145      -8.3918      1.00000
    146      -8.3854      1.00000
    147      -8.3647      1.00000
    148      -8.3552      1.00000
    149      -8.3447      1.00000
    150      -8.2758      1.00000
    151      -8.1777      1.00000
    152      -8.1097      1.00000
    153      -8.0728      1.00000
    154      -8.0671      1.00000
    155      -7.8306      1.00000
    156      -7.5713      1.00000
    157      -7.5633      1.00000
    158      -7.2989      1.00000
    159      -7.2250      1.00000
    160      -7.1792      1.00000
    161      -7.1640      1.00000
    162      -7.0246      1.00000
    163      -7.0132      1.00000
    164      -7.0129      1.00000
    165      -6.9960      1.00000
    166      -6.9642      1.00000
    167      -6.9593      1.00000
    168      -6.9367      1.00000
    169      -6.9329      1.00000
    170      -6.9194      1.00000
    171      -6.9084      1.00000
    172      -6.8756      1.00000
    173      -6.8214      1.00000
    174      -6.6215      1.00000
    175      -6.5920      1.00000
    176      -6.5618      1.00000
    177      -6.3405      1.00000
    178      -6.3158      1.00000
    179      -6.2903      1.00000
    180      -6.2675      1.00000
    181      -6.2059      1.00000
    182      -6.0062      1.00000
    183      -5.5887      1.00000
    184      -5.5760      1.00000
    185      -5.5575      1.00000
    186      -5.5488      1.00000
    187      -5.4987      1.00000
    188      -5.4726      1.00000
    189      -5.4172      1.00000
    190      -5.3126      1.00000
    191      -5.2654      1.00000
    192      -5.2556      1.00000
    193      -5.1906      1.00000
    194      -5.1157      1.00000
    195      -5.0594      1.00000
    196      -1.6291      0.00000
    197       0.8613      0.00000
    198       1.3024      0.00000
    199       1.3057      0.00000
    200       1.3569      0.00000
    201       1.3707      0.00000
    202       1.3746      0.00000
    203       1.4407      0.00000
    204       1.4801      0.00000
    205       1.4883      0.00000
    206       1.5077      0.00000
    207       1.5314      0.00000
    208       1.5412      0.00000
    209       1.5507      0.00000
    210       1.5554      0.00000
    211       1.5989      0.00000
    212       1.5997      0.00000
    213       1.6321      0.00000
    214       1.6484      0.00000
    215       1.7587      0.00000
    216       1.7820      0.00000
    217       1.8620      0.00000
    218       1.8780      0.00000
    219       1.9191      0.00000
    220       1.9529      0.00000
    221       1.9543      0.00000
    222       2.2067      0.00000
    223       2.3687      0.00000
    224       2.3770      0.00000
    225       2.3909      0.00000
    226       2.4102      0.00000
    227       2.4294      0.00000
    228       2.4670      0.00000
    229       2.5076      0.00000
    230       2.8026      0.00000
    231       2.8048      0.00000
    232       2.8163      0.00000
    233       2.8267      0.00000
    234       2.8345      0.00000
    235       2.8396      0.00000
    236       2.8458      0.00000
    237       2.8492      0.00000
    238       2.8558      0.00000
    239       2.8728      0.00000
    240       2.8775      0.00000
    241       2.9455      0.00000
    242       3.0266      0.00000
    243       3.0720      0.00000
    244       3.1105      0.00000
    245       3.1147      0.00000
    246       3.1172      0.00000
    247       3.1397      0.00000
    248       3.1497      0.00000
    249       3.1773      0.00000
    250       3.1898      0.00000
    251       3.2398      0.00000
    252       3.4754      0.00000
 Fermi energy:        -4.6011016823

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3135      1.00000
      2     -23.9799      1.00000
      3     -23.9357      1.00000
      4     -23.9073      1.00000
      5     -23.8698      1.00000
      6     -23.8652      1.00000
      7     -23.6426      1.00000
      8     -23.1483      1.00000
      9     -23.1133      1.00000
     10     -23.1103      1.00000
     11     -23.0589      1.00000
     12     -23.0344      1.00000
     13     -22.9296      1.00000
     14     -22.7396      1.00000
     15     -22.7392      1.00000
     16     -22.7250      1.00000
     17     -22.6523      1.00000
     18     -22.6151      1.00000
     19     -22.2833      1.00000
     20     -21.7720      1.00000
     21     -21.7670      1.00000
     22     -21.7587      1.00000
     23     -21.7402      1.00000
     24     -21.7354      1.00000
     25     -21.7139      1.00000
     26     -21.7121      1.00000
     27     -21.6777      1.00000
     28     -21.6728      1.00000
     29     -21.5481      1.00000
     30     -21.5326      1.00000
     31     -21.3827      1.00000
     32     -21.3120      1.00000
     33     -21.2831      1.00000
     34     -21.2693      1.00000
     35     -21.1431      1.00000
     36     -21.0981      1.00000
     37     -20.8844      1.00000
     38     -20.8217      1.00000
     39     -20.8001      1.00000
     40     -20.7792      1.00000
     41     -20.7034      1.00000
     42     -20.6974      1.00000
     43     -20.6556      1.00000
     44     -20.6292      1.00000
     45     -20.5897      1.00000
     46     -20.5754      1.00000
     47     -19.9925      1.00000
     48     -19.7268      1.00000
     49     -16.4239      1.00000
     50     -14.4456      1.00000
     51     -14.4225      1.00000
     52     -14.4028      1.00000
     53     -14.3712      1.00000
     54     -14.3526      1.00000
     55     -14.3140      1.00000
     56     -14.2164      1.00000
     57     -14.1717      1.00000
     58     -14.1299      1.00000
     59     -14.1246      1.00000
     60     -14.0896      1.00000
     61     -13.8827      1.00000
     62     -13.6490      1.00000
     63     -13.6149      1.00000
     64     -13.5753      1.00000
     65     -13.4895      1.00000
     66     -13.4727      1.00000
     67     -13.3862      1.00000
     68     -12.9343      1.00000
     69     -12.9282      1.00000
     70     -12.9120      1.00000
     71     -12.8962      1.00000
     72     -12.8903      1.00000
     73     -12.8675      1.00000
     74     -12.8488      1.00000
     75     -12.7490      1.00000
     76     -12.7467      1.00000
     77     -12.6201      1.00000
     78     -12.5615      1.00000
     79     -12.4764      1.00000
     80     -12.1782      1.00000
     81     -12.1676      1.00000
