
 Fermi energy:        -1.4753899208

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.2904      1.00000
      2     -23.9368      1.00000
      3     -23.8987      1.00000
      4     -23.8972      1.00000
      5     -23.8856      1.00000
      6     -23.8466      1.00000
      7     -23.6574      1.00000
      8     -23.1238      1.00000
      9     -23.1104      1.00000
     10     -23.0880      1.00000
     11     -23.0676      1.00000
     12     -23.0058      1.00000
     13     -22.9229      1.00000
     14     -22.7450      1.00000
     15     -22.7251      1.00000
     16     -22.7155      1.00000
     17     -22.6920      1.00000
     18     -22.5769      1.00000
     19     -22.3543      1.00000
     20     -21.7933      1.00000
     21     -21.7502      1.00000
     22     -21.7258      1.00000
     23     -21.7140      1.00000
     24     -21.7068      1.00000
     25     -21.7049      1.00000
     26     -21.6989      1.00000
     27     -21.6919      1.00000
     28     -21.6820      1.00000
     29     -21.6347      1.00000
     30     -21.4902      1.00000
     31     -21.4358      1.00000
     32     -21.2944      1.00000
     33     -21.2922      1.00000
     34     -21.2846      1.00000
     35     -21.2582      1.00000
     36     -21.0668      1.00000
     37     -20.9714      1.00000
     38     -20.8046      1.00000
     39     -20.7842      1.00000
     40     -20.7754      1.00000
     41     -20.7595      1.00000
     42     -20.6868      1.00000
     43     -20.6516      1.00000
     44     -20.6221      1.00000
     45     -20.6178      1.00000
     46     -20.5994      1.00000
     47     -20.5741      1.00000
     48     -17.1684      1.00000
     49     -14.4474      1.00000
     50     -14.4099      1.00000
     51     -14.3952      1.00000
     52     -14.3680      1.00000
     53     -14.3463      1.00000
     54     -14.3293      1.00000
     55     -14.3127      1.00000
     56     -14.1840      1.00000
     57     -14.1518      1.00000
     58     -14.1301      1.00000
     59     -14.0278      1.00000
     60     -14.0015      1.00000
     61     -13.8326      1.00000
     62     -13.6062      1.00000
     63     -13.5969      1.00000
     64     -13.5364      1.00000
     65     -13.4749      1.00000
     66     -13.4372      1.00000
     67     -13.3492      1.00000
     68     -12.9059      1.00000
     69     -12.8974      1.00000
     70     -12.8890      1.00000
     71     -12.8791      1.00000
     72     -12.8773      1.00000
     73     -12.8741      1.00000
     74     -12.8586      1.00000
     75     -12.7243      1.00000
     76     -12.6626      1.00000
     77     -12.5545      1.00000
     78     -12.4311      1.00000
     79     -12.1779      1.00000
     80     -12.1618      1.00000
     81     -12.1284      1.00000
     82     -12.0970      1.00000
     83     -11.9520      1.00000
     84     -11.8932      1.00000
     85     -11.7704      1.00000
     86     -11.3924      1.00000
     87     -11.3445      1.00000
     88     -11.2849      1.00000
     89     -11.1479      1.00000
     90     -11.1042      1.00000
     91     -10.7423      1.00000
     92     -10.6217      1.00000
     93     -10.6048      1.00000
     94     -10.5691      1.00000
     95     -10.5387      1.00000
     96     -10.4820      1.00000
     97     -10.4483      1.00000
     98     -10.4318      1.00000
     99     -10.1663      1.00000
    100     -10.1585      1.00000
    101     -10.1413      1.00000
    102     -10.1342      1.00000
    103     -10.1105      1.00000
    104     -10.0932      1.00000
    105     -10.0915      1.00000
    106     -10.0780      1.00000
    107     -10.0731      1.00000
    108     -10.0657      1.00000
    109     -10.0599      1.00000
    110     -10.0478      1.00000
    111     -10.0197      1.00000
    112     -10.0167      1.00000
    113     -10.0075      1.00000
    114     -10.0044      1.00000
    115      -9.9763      1.00000
    116      -9.9348      1.00000
    117      -9.8329      1.00000
    118      -9.8224      1.00000
    119      -9.7567      1.00000
    120      -9.6788      1.00000
    121      -9.5703      1.00000
    122      -9.3504      1.00000
    123      -9.3272      1.00000
    124      -9.2869      1.00000
    125      -9.1858      1.00000
    126      -8.9457      1.00000
    127      -8.9266      1.00000
    128      -8.9049      1.00000
    129      -8.8894      1.00000
    130      -8.8852      1.00000
    131      -8.8402      1.00000
    132      -8.8268      1.00000
    133      -8.7381      1.00000
    134      -8.6492      1.00000
    135      -8.6159      1.00000
    136      -8.5983      1.00000
    137      -8.5723      1.00000
    138      -8.5605      1.00000
    139      -8.5564      1.00000
    140      -8.5416      1.00000
    141      -8.4924      1.00000
    142      -8.4787      1.00000
    143      -8.4146      1.00000
    144      -8.3933      1.00000
    145      -8.3884      1.00000
    146      -8.3619      1.00000
    147      -8.2674      1.00000
    148      -8.2661      1.00000
    149      -8.2382      1.00000
    150      -8.1339      1.00000
    151      -8.1122      1.00000
    152      -8.0827      1.00000
    153      -8.0754      1.00000
    154      -7.9036      1.00000
    155      -7.6680      1.00000
    156      -7.3852      1.00000
    157      -7.3289      1.00000
    158      -7.1889      1.00000
    159      -7.1696      1.00000
    160      -7.1444      1.00000
    161      -7.0328      1.00000
    162      -7.0002      1.00000
    163      -6.9525      1.00000
    164      -6.9451      1.00000
    165      -6.9432      1.00000
    166      -6.9391      1.00000
    167      -6.9276      1.00000
    168      -6.9260      1.00000
    169      -6.9207      1.00000
    170      -6.8960      1.00000
    171      -6.7221      1.00000
    172      -6.6920      1.00000
    173      -6.6206      1.00000
    174      -6.5795      1.00000
    175      -6.3782      1.00000
    176      -6.3263      1.00000
