
 Fermi energy:        -0.2128608148

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.9476      1.00000
      2     -23.9356      1.00000
      3     -23.6177      1.00000
      4     -23.5749      1.00000
      5     -23.5142      1.00000
      6     -23.3910      1.00000
      7     -23.3074      1.00000
      8     -22.9541      1.00000
      9     -22.6881      1.00000
     10     -22.6706      1.00000
     11     -22.6569      1.00000
     12     -22.6006      1.00000
     13     -22.5662      1.00000
     14     -22.4784      1.00000
     15     -22.2914      1.00000
     16     -22.2210      1.00000
     17     -22.1574      1.00000
     18     -22.0136      1.00000
     19     -21.9420      1.00000
     20     -21.4172      1.00000
     21     -21.3823      1.00000
     22     -21.3748      1.00000
     23     -21.3464      1.00000
     24     -21.3312      1.00000
     25     -21.2955      1.00000
     26     -21.2816      1.00000
     27     -21.2125      1.00000
     28     -21.1063      1.00000
     29     -21.0743      1.00000
     30     -21.0135      1.00000
     31     -20.9667      1.00000
     32     -20.9022      1.00000
     33     -20.8505      1.00000
     34     -20.7237      1.00000
     35     -20.6673      1.00000
     36     -20.5647      1.00000
     37     -20.5293      1.00000
     38     -20.3977      1.00000
     39     -20.3585      1.00000
     40     -20.3221      1.00000
     41     -20.2873      1.00000
     42     -20.2608      1.00000
     43     -20.1630      1.00000
     44     -20.1136      1.00000
     45     -20.0775      1.00000
     46     -19.9516      1.00000
     47     -19.8159      1.00000
     48     -19.5227      1.00000
     49     -15.8670      1.00000
     50     -14.0530      1.00000
     51     -14.0187      1.00000
     52     -13.9727      1.00000
     53     -13.9610      1.00000
     54     -13.9317      1.00000
     55     -13.9136      1.00000
     56     -13.8158      1.00000
     57     -13.7721      1.00000
     58     -13.7256      1.00000
     59     -13.4679      1.00000
     60     -13.4410      1.00000
     61     -13.3039      1.00000
     62     -13.2537      1.00000
     63     -13.2206      1.00000
     64     -13.0834      1.00000
     65     -13.0477      1.00000
     66     -12.9925      1.00000
     67     -12.9518      1.00000
     68     -12.5895      1.00000
     69     -12.4813      1.00000
     70     -12.4709      1.00000
     71     -12.4599      1.00000
     72     -12.4248      1.00000
     73     -12.4066      1.00000
     74     -12.3691      1.00000
     75     -12.2871      1.00000
