
 Fermi energy:        -0.4169517143

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -23.9459      1.00000
      2     -23.6225      1.00000
      3     -23.5825      1.00000
      4     -23.5480      1.00000
      5     -23.4225      1.00000
      6     -23.3433      1.00000
      7     -23.0466      1.00000
      8     -22.6888      1.00000
      9     -22.6812      1.00000
     10     -22.6614      1.00000
     11     -22.6455      1.00000
     12     -22.6361      1.00000
     13     -22.5517      1.00000
     14     -22.2761      1.00000
     15     -22.2442      1.00000
     16     -22.2154      1.00000
     17     -22.1305      1.00000
     18     -22.0058      1.00000
     19     -21.6580      1.00000
     20     -21.3810      1.00000
     21     -21.3709      1.00000
     22     -21.3668      1.00000
     23     -21.3604      1.00000
     24     -21.3309      1.00000
     25     -21.3267      1.00000
     26     -21.1531      1.00000
     27     -21.1410      1.00000
     28     -21.1300      1.00000
     29     -21.0783      1.00000
     30     -21.0628      1.00000
     31     -20.9725      1.00000
     32     -20.7915      1.00000
     33     -20.7773      1.00000
     34     -20.7720      1.00000
     35     -20.6679      1.00000
     36     -20.6114      1.00000
     37     -20.4135      1.00000
     38     -20.3853      1.00000
     39     -20.3590      1.00000
     40     -20.3208      1.00000
     41     -20.2889      1.00000
     42     -20.2495      1.00000
     43     -20.2268      1.00000
     44     -20.1410      1.00000
     45     -20.0619      1.00000
     46     -20.0070      1.00000
     47     -19.4863      1.00000
     48     -19.1478      1.00000
     49     -14.0542      1.00000
     50     -13.9995      1.00000
     51     -13.9949      1.00000
     52     -13.9784      1.00000
     53     -13.9484      1.00000
     54     -13.9440      1.00000
     55     -13.8512      1.00000
     56     -13.7958      1.00000
     57     -13.7840      1.00000
     58     -13.4969      1.00000
     59     -13.4082      1.00000
     60     -13.3901      1.00000
     61     -13.2530      1.00000
     62     -13.2197      1.00000
     63     -13.1447      1.00000
     64     -13.0446      1.00000
     65     -12.9823      1.00000
     66     -12.9618      1.00000
     67     -12.7001      1.00000
     68     -12.4859      1.00000
     69     -12.4713      1.00000
     70     -12.4579      1.00000
     71     -12.4409      1.00000
     72     -12.4362      1.00000
     73     -12.4158      1.00000
     74     -12.3182      1.00000
     75     -12.2084      1.00000
     76     -12.1097      1.00000
     77     -12.0273      1.00000
     78     -11.9627      1.00000
     79     -11.7562      1.00000
     80     -11.7538      1.00000
     81     -11.5620      1.00000
     82     -11.4747      1.00000
     83     -11.3062      1.00000
     84     -11.2741      1.00000
     85     -11.0799      1.00000
     86     -10.8668      1.00000
     87     -10.8004      1.00000
     88     -10.7908      1.00000
     89     -10.6566      1.00000
     90     -10.4400      1.00000
     91     -10.2208      1.00000
     92     -10.2026      1.00000
     93     -10.1840      1.00000
     94     -10.1355      1.00000
     95     -10.1293      1.00000
     96     -10.0487      1.00000
     97     -10.0296      1.00000
     98      -9.9877      1.00000
     99      -9.7642      1.00000
    100      -9.7601      1.00000
    101      -9.7519      1.00000
    102      -9.7487      1.00000
    103      -9.7316      1.00000
    104      -9.7142      1.00000
    105      -9.7056      1.00000
    106      -9.6864      1.00000
    107      -9.6603      1.00000
    108      -9.5876      1.00000
    109      -9.5788      1.00000
    110      -9.5446      1.00000
    111      -9.5440      1.00000
    112      -9.5103      1.00000
    113      -9.5020      1.00000
    114      -9.4903      1.00000
    115      -9.4689      1.00000
    116      -9.4530      1.00000
    117      -9.2357      1.00000
    118      -9.2033      1.00000
    119      -9.1103      1.00000
    120      -9.0254      1.00000
    121      -9.0070      1.00000
    122      -9.0063      1.00000
    123      -8.9153      1.00000
    124      -8.5748      1.00000
    125      -8.5645      1.00000
    126      -8.5057      1.00000
    127      -8.4983      1.00000
    128      -8.4775      1.00000
    129      -8.4560      1.00000
    130      -8.4430      1.00000
    131      -8.3967      1.00000
    132      -8.3773      1.00000
    133      -8.3387      1.00000
    134      -8.2030      1.00000
    135      -8.2006      1.00000
    136      -8.1569      1.00000
    137      -8.1430      1.00000
    138      -8.0685      1.00000
    139      -7.9489      1.00000
    140      -7.9371      1.00000
    141      -7.9347      1.00000
    142      -7.9224      1.00000
    143      -7.9180      1.00000
    144      -7.8885      1.00000
    145      -7.8880      1.00000
    146      -7.8741      1.00000
    147      -7.8177      1.00000
    148      -7.7052      1.00000
    149      -7.6876      1.00000
    150      -7.6377      1.00000
    151      -7.6013      1.00000
    152      -7.5887      1.00000
    153      -7.4633      1.00000
    154      -7.2944      1.00000
    155      -7.0558      1.00000
    156      -6.8727      1.00000
    157      -6.8673      1.00000
    158      -6.7232      1.00000
    159      -6.6340      1.00000
    160      -6.6154      1.00000
    161      -6.6033      1.00000
    162      -6.6022      1.00000
    163      -6.5914      1.00000
    164      -6.5892      1.00000
    165      -6.5748      1.00000
    166      -6.5708      1.00000
    167      -6.3826      1.00000
    168      -6.3638      1.00000
    169      -6.3513      1.00000
    170      -6.3115      1.00000
    171      -6.2333      1.00000
    172      -6.1512      1.00000
    173      -6.0894      1.00000
    174      -6.0479      1.00000
    175      -5.8320      1.00000
    176      -5.8153      1.00000
    177      -5.8149      1.00000
    178      -5.7101      1.00000
    179      -5.6266      1.00000
    180      -5.3479      1.00000
    181      -5.1553      1.00000
    182      -5.1237      1.00000
    183      -5.1116      1.00000
    184      -5.1009      1.00000
    185      -5.0181      1.00000
    186      -4.9703      1.00000
    187      -4.9457      1.00000
    188      -4.8365      1.00000
    189      -4.8095      1.00000
    190      -4.7890      1.00000
    191      -4.7712      1.00000
    192      -4.2513      1.00000
    193      -4.2440      1.00000
    194      -0.7366      1.00000
    195       0.8972      0.00000
    196       1.0521      0.00000
    197       1.4746      0.00000
    198       1.5151      0.00000
    199       1.5219      0.00000
    200       1.6249      0.00000
    201       1.6329      0.00000
    202       1.6844      0.00000
    203       1.7146      0.00000
    204       1.7421      0.00000
    205       1.7452      0.00000
    206       1.7640      0.00000
    207       1.7657      0.00000
    208       1.7871      0.00000
    209       1.7924      0.00000
    210       1.9303      0.00000
    211       1.9532      0.00000
    212       1.9659      0.00000
    213       2.0527      0.00000
    214       2.0812      0.00000
    215       2.2498      0.00000
    216       2.2703      0.00000
    217       2.2866      0.00000
    218       2.3063      0.00000
    219       2.3088      0.00000
    220       2.3138      0.00000
    221       2.3500      0.00000
    222       2.3502      0.00000
    223       2.3900      0.00000
    224       2.4044      0.00000
    225       2.4631      0.00000
    226       2.4890      0.00000
    227       2.5197      0.00000
    228       2.5240      0.00000
    229       2.5574      0.00000
    230       2.5793      0.00000
    231       2.6014      0.00000
    232       2.6356      0.00000
    233       2.6553      0.00000
    234       2.8684      0.00000
    235       2.8699      0.00000
    236       2.8747      0.00000
    237       2.8767      0.00000
    238       2.9067      0.00000
    239       2.9148      0.00000
    240       2.9726      0.00000
    241       3.4688      0.00000
    242       3.4791      0.00000
    243       3.4863      0.00000
    244       3.4894      0.00000
    245       3.5025      0.00000
    246       3.5052      0.00000
    247       3.5108      0.00000
    248       3.5125      0.00000
    249       3.5141      0.00000
    250       3.5151      0.00000
    251       3.5319      0.00000
    252       3.5445      0.00000
 Fermi energy:        -0.4169517143

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -23.9459      1.00000
      2     -23.6225      1.00000
      3     -23.5825      1.00000
      4     -23.5480      1.00000
      5     -23.4225      1.00000
      6     -23.3433      1.00000
      7     -23.0466      1.00000
      8     -22.6888      1.00000
      9     -22.6812      1.00000
     10     -22.6614      1.00000
     11     -22.6455      1.00000
     12     -22.6361      1.00000
     13     -22.5517      1.00000
     14     -22.2761      1.00000
     15     -22.2442      1.00000
     16     -22.2154      1.00000
     17     -22.1305      1.00000
     18     -22.0058      1.00000
     19     -21.6580      1.00000
     20     -21.3810      1.00000
     21     -21.3709      1.00000
     22     -21.3668      1.00000
     23     -21.3604      1.00000
     24     -21.3309      1.00000
     25     -21.3267      1.00000
     26     -21.1531      1.00000
