
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.8967      1.00000
      2     -24.6411      1.00000
      3     -24.5548      1.00000
      4     -24.4633      1.00000
      5     -24.4412      1.00000
      6     -24.3936      1.00000
      7     -24.3518      1.00000
      8     -23.7768      1.00000
      9     -23.7503      1.00000
     10     -23.7182      1.00000
     11     -23.6469      1.00000
     12     -23.6245      1.00000
     13     -23.4743      1.00000
     14     -23.3603      1.00000
     15     -23.3400      1.00000
     16     -23.3316      1.00000
     17     -23.2550      1.00000
     18     -23.2301      1.00000
     19     -22.9906      1.00000
     20     -22.4563      1.00000
     21     -22.4475      1.00000
     22     -22.3981      1.00000
     23     -22.3280      1.00000
     24     -22.2788      1.00000
     25     -22.2754      1.00000
     26     -22.2742      1.00000
     27     -22.2595      1.00000
     28     -22.2509      1.00000
     29     -22.1693      1.00000
     30     -22.1447      1.00000
     31     -21.9849      1.00000
     32     -21.8994      1.00000
     33     -21.8815      1.00000
     34     -21.8038      1.00000
     35     -21.7930      1.00000
     36     -21.7359      1.00000
     37     -21.5731      1.00000
     38     -21.4537      1.00000
     39     -21.3915      1.00000
     40     -21.3804      1.00000
     41     -21.3476      1.00000
     42     -21.2463      1.00000
     43     -21.2426      1.00000
     44     -21.1449      1.00000
     45     -21.1411      1.00000
     46     -21.1118      1.00000
     47     -21.0932      1.00000
     48     -21.0292      1.00000
     49     -15.1180      1.00000
     50     -15.0526      1.00000
     51     -15.0294      1.00000
     52     -14.9891      1.00000
     53     -14.8776      1.00000
     54     -14.8660      1.00000
     55     -14.8086      1.00000
     56     -14.7928      1.00000
     57     -14.7295      1.00000
     58     -14.7242      1.00000
     59     -14.6912      1.00000
     60     -14.5555      1.00000
     61     -14.3578      1.00000
     62     -14.2652      1.00000
     63     -14.1715      1.00000
     64     -14.0801      1.00000
     65     -14.0587      1.00000
     66     -14.0134      1.00000
     67     -13.9162      1.00000
     68     -13.5767      1.00000
     69     -13.5330      1.00000
     70     -13.4792      1.00000
     71     -13.4663      1.00000
     72     -13.4512      1.00000
     73     -13.4313      1.00000
     74     -13.4131      1.00000
     75     -13.3304      1.00000
     76     -13.3244      1.00000
     77     -13.2538      1.00000
     78     -13.1279      1.00000
     79     -12.7259      1.00000
     80     -12.7006      1.00000
     81     -12.6980      1.00000
     82     -12.5952      1.00000
     83     -12.5197      1.00000
     84     -12.4542      1.00000
     85     -12.2755      1.00000
     86     -11.9962      1.00000
     87     -11.9362      1.00000
     88     -11.9055      1.00000
     89     -11.8240      1.00000
     90     -11.5908      1.00000
     91     -11.2881      1.00000
     92     -11.2541      1.00000
     93     -11.1540      1.00000
     94     -11.1365      1.00000
     95     -11.1026      1.00000
     96     -11.0569      1.00000
     97     -11.0325      1.00000
     98     -11.0145      1.00000
     99     -10.8754      1.00000
    100     -10.8606      1.00000
    101     -10.7974      1.00000
    102     -10.7504      1.00000
    103     -10.7298      1.00000
    104     -10.7273      1.00000
    105     -10.7126      1.00000
    106     -10.6869      1.00000
    107     -10.6586      1.00000
    108     -10.6551      1.00000
    109     -10.6392      1.00000
    110     -10.6193      1.00000
    111     -10.6183      1.00000
    112     -10.6110      1.00000
    113     -10.6031      1.00000
    114     -10.5390      1.00000
    115     -10.5236      1.00000
    116     -10.4763      1.00000
    117     -10.4465      1.00000
    118     -10.3562      1.00000
    119     -10.2856      1.00000
    120     -10.0236      1.00000
    121     -10.0021      1.00000
    122      -9.9194      1.00000
    123      -9.9164      1.00000
    124      -9.8967      1.00000
    125      -9.8518      1.00000
    126      -9.6945      1.00000
    127      -9.6070      1.00000
    128      -9.5541      1.00000
    129      -9.5374      1.00000
    130      -9.4883      1.00000
    131      -9.4455      1.00000
    132      -9.4240      1.00000
    133      -9.3123      1.00000
    134      -9.2378      1.00000
    135      -9.2336      1.00000
    136      -9.1672      1.00000
    137      -9.1142      1.00000
    138      -9.0899      1.00000
    139      -9.0795      1.00000
    140      -9.0637      1.00000
    141      -9.0537      1.00000
    142      -8.9973      1.00000
    143      -8.9867      1.00000
    144      -8.9749      1.00000
    145      -8.9725      1.00000
    146      -8.9701      1.00000
    147      -8.9477      1.00000
    148      -8.9030      1.00000
    149      -8.8924      1.00000
    150      -8.8760      1.00000
    151      -8.7032      1.00000
    152      -8.6429      1.00000
    153      -8.6073      1.00000
    154      -8.5863      1.00000
    155      -8.0703      1.00000
    156      -7.9743      1.00000
    157      -7.9069      1.00000
    158      -7.7898      1.00000
    159      -7.7597      1.00000
    160      -7.6924      1.00000
    161      -7.6726      1.00000
    162      -7.6612      1.00000
    163      -7.5753      1.00000
    164      -7.5123      1.00000
    165      -7.5055      1.00000
    166      -7.4760      1.00000
    167      -7.4681      1.00000
    168      -7.4648      1.00000
    169      -7.4565      1.00000
    170      -7.4522      1.00000
    171      -7.3429      1.00000
    172      -7.2102      1.00000
    173      -7.1675      1.00000
    174      -7.0910      1.00000
    175      -7.0724      1.00000
    176      -6.9313      1.00000
    177      -6.9295      1.00000
    178      -6.8835      1.00000
    179      -6.8055      1.00000
    180      -6.7955      1.00000
    181      -6.7419      1.00000
    182      -6.5203      1.00000
    183      -6.1925      1.00000
    184      -6.1493      1.00000
    185      -6.1303      1.00000
    186      -6.0987      1.00000
    187      -6.0676      1.00000
    188      -5.9354      1.00000
    189      -5.9005      1.00000
    190      -5.7974      1.00000
    191      -5.7558      1.00000
    192      -5.7493      1.00000
    193      -5.7436      1.00000
    194      -2.8745      0.00000
    195      -1.7013      1.00000
    196       0.5959      0.00000
    197       0.6320      0.00000
    198       0.7942      0.00000
    199       0.8561      0.00000
    200       0.8614      0.00000
    201       0.8693      0.00000
    202       1.0044      0.00000
    203       1.0354      0.00000
    204       1.1123      0.00000
    205       1.1295      0.00000
    206       1.1496      0.00000
    207       1.1570      0.00000
    208       1.1688      0.00000
    209       1.1875      0.00000
    210       1.2677      0.00000
    211       1.3019      0.00000
    212       1.3305      0.00000
    213       1.3411      0.00000
    214       1.3435      0.00000
    215       1.3570      0.00000
    216       1.3693      0.00000
    217       1.4173      0.00000
    218       1.4914      0.00000
    219       1.4972      0.00000
    220       1.6989      0.00000
    221       1.8627      0.00000
    222       1.9456      0.00000
    223       2.1346      0.00000
    224       2.2304      0.00000
    225       2.2480      0.00000
    226       2.2635      0.00000
    227       2.3019      0.00000
    228       2.3058      0.00000
    229       2.3263      0.00000
    230       2.4954      0.00000
    231       2.5280      0.00000
    232       2.5604      0.00000
    233       2.5778      0.00000
    234       2.5848      0.00000
    235       2.5917      0.00000
    236       2.6003      0.00000
    237       2.6016      0.00000
    238       2.6091      0.00000
    239       2.6112      0.00000
    240       2.6115      0.00000
    241       2.6215      0.00000
    242       2.6256      0.00000
    243       2.6309      0.00000
    244       2.6323      0.00000
    245       2.6443      0.00000
    246       2.6761      0.00000
    247       2.6800      0.00000
    248       2.7016      0.00000
    249       2.7097      0.00000
    250       2.7453      0.00000
    251       2.8113      0.00000
    252       2.9280      0.00000
 Fermi energy:         0.0000000000

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.8613      1.00000
      2     -24.5977      1.00000
      3     -24.4949      1.00000
      4     -24.4460      1.00000
      5     -24.4215      1.00000
      6     -24.3764      1.00000
      7     -24.2912      1.00000
      8     -23.7438      1.00000
      9     -23.6923      1.00000
     10     -23.6905      1.00000
     11     -23.6164      1.00000
     12     -23.5763      1.00000
     13     -23.4365      1.00000
     14     -23.3243      1.00000
     15     -23.3052      1.00000
     16     -23.3005      1.00000
     17     -23.2353      1.00000
     18     -23.1832      1.00000
     19     -22.9240      1.00000
     20     -22.4175      1.00000
     21     -22.3725      1.00000
     22     -22.3674      1.00000
     23     -22.2708      1.00000
     24     -22.2603      1.00000
     25     -22.2537      1.00000
     26     -22.2425      1.00000
     27     -22.2239      1.00000
     28     -22.2215      1.00000
     29     -22.1211      1.00000
     30     -22.1010      1.00000
     31     -21.9438      1.00000
     32     -21.8537      1.00000
     33     -21.8340      1.00000
     34     -21.7813      1.00000
     35     -21.7692      1.00000
     36     -21.6943      1.00000
     37     -21.4865      1.00000
     38     -21.4118      1.00000
     39     -21.3621      1.00000
     40     -21.3307      1.00000
     41     -21.2764      1.00000
     42     -21.2237      1.00000
     43     -21.2136      1.00000
     44     -21.1205      1.00000
     45     -21.1128      1.00000
     46     -21.0989      1.00000
     47     -21.0364      1.00000
     48     -20.8807      1.00000
     49     -15.0784      1.00000
     50     -15.0168      1.00000
     51     -14.9819      1.00000
     52     -14.9789      1.00000
     53     -14.8621      1.00000
     54     -14.8454      1.00000
     55     -14.7913      1.00000
     56     -14.7848      1.00000
     57     -14.7201      1.00000
     58     -14.6981      1.00000
     59     -14.6761      1.00000
     60     -14.5421      1.00000
     61     -14.2987      1.00000
     62     -14.2500      1.00000
     63     -14.1543      1.00000
     64     -14.0655      1.00000
     65     -14.0389      1.00000
     66     -13.9951      1.00000
     67     -13.8582      1.00000
     68     -13.5616      1.00000
     69     -13.5168      1.00000
     70     -13.4672      1.00000
     71     -13.4531      1.00000
     72     -13.4386      1.00000
     73     -13.4221      1.00000
     74     -13.3989      1.00000
     75     -13.3087      1.00000
     76     -13.3057      1.00000
     77     -13.2227      1.00000
     78     -13.1098      1.00000
     79     -12.7137      1.00000
     80     -12.6926      1.00000
     81     -12.6811      1.00000
     82     -12.5824      1.00000
     83     -12.4842      1.00000
     84     -12.3961      1.00000
     85     -12.2204      1.00000
     86     -11.9771      1.00000
     87     -11.9159      1.00000
     88     -11.8851      1.00000
     89     -11.7938      1.00000
     90     -11.5623      1.00000
     91     -11.2375      1.00000
     92     -11.2372      1.00000
     93     -11.1369      1.00000
     94     -11.0916      1.00000
     95     -11.0590      1.00000
     96     -11.0229      1.00000
     97     -11.0081      1.00000
     98     -10.9985      1.00000
     99     -10.8503      1.00000
    100     -10.8449      1.00000
    101     -10.7743      1.00000
    102     -10.7312      1.00000
    103     -10.7165      1.00000
    104     -10.7052      1.00000
    105     -10.6782      1.00000
    106     -10.6466      1.00000
    107     -10.6288      1.00000
    108     -10.6230      1.00000
    109     -10.6109      1.00000
    110     -10.6100      1.00000
    111     -10.6024      1.00000
    112     -10.5938      1.00000
    113     -10.5269      1.00000
    114     -10.4978      1.00000
    115     -10.4823      1.00000
    116     -10.4416      1.00000
    117     -10.3221      1.00000
    118     -10.2881      1.00000
    119     -10.2646      1.00000
    120     -10.0013      1.00000
    121      -9.9553      1.00000
    122      -9.9106      1.00000
    123      -9.9081      1.00000
    124      -9.8689      1.00000
    125      -9.8438      1.00000
    126      -9.6631      1.00000
    127      -9.5774      1.00000
    128      -9.4769      1.00000
    129      -9.4246      1.00000
    130      -9.4015      1.00000
    131      -9.3713      1.00000
    132      -9.3004      1.00000
    133      -9.2921      1.00000
    134      -9.2079      1.00000
    135      -9.1387      1.00000
    136      -9.1029      1.00000
    137      -9.0944      1.00000
    138      -9.0720      1.00000
    139      -9.0541      1.00000
    140      -9.0479      1.00000
    141      -9.0125      1.00000
    142      -8.9873      1.00000
    143      -8.9634      1.00000
    144      -8.9308      1.00000
    145      -8.9082      1.00000
    146      -8.8951      1.00000
    147      -8.8746      1.00000
    148      -8.8670      1.00000
    149      -8.8440      1.00000
    150      -8.7500      1.00000
    151      -8.6877      1.00000
    152      -8.6273      1.00000
    153      -8.5729      1.00000
    154      -8.4234      1.00000
    155      -8.0505      1.00000
    156      -7.9577      1.00000
    157      -7.8852      1.00000
    158      -7.7674      1.00000
    159      -7.7342      1.00000
    160      -7.6537      1.00000
    161      -7.5449      1.00000
    162      -7.5162      1.00000
    163      -7.4621      1.00000
    164      -7.4176      1.00000
    165      -7.4087      1.00000
    166      -7.4004      1.00000
    167      -7.3887      1.00000
    168      -7.3770      1.00000
    169      -7.3435      1.00000
