
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3133      1.00000
      2     -23.9495      1.00000
      3     -23.9245      1.00000
      4     -23.9090      1.00000
      5     -23.9005      1.00000
      6     -23.8838      1.00000
      7     -23.7432      1.00000
      8     -23.1356      1.00000
      9     -23.1133      1.00000
     10     -23.1089      1.00000
     11     -23.0958      1.00000
     12     -23.0799      1.00000
     13     -22.9657      1.00000
     14     -22.7472      1.00000
     15     -22.7455      1.00000
     16     -22.7314      1.00000
     17     -22.7180      1.00000
     18     -22.7015      1.00000
     19     -22.4628      1.00000
     20     -21.7632      1.00000
     21     -21.7570      1.00000
     22     -21.7488      1.00000
     23     -21.7306      1.00000
     24     -21.7295      1.00000
     25     -21.7203      1.00000
     26     -21.7178      1.00000
     27     -21.7114      1.00000
     28     -21.7025      1.00000
     29     -21.6810      1.00000
     30     -21.6719      1.00000
     31     -21.4644      1.00000
     32     -21.3226      1.00000
     33     -21.2983      1.00000
     34     -21.2873      1.00000
     35     -21.2692      1.00000
     36     -21.2674      1.00000
     37     -21.0258      1.00000
     38     -20.8168      1.00000
     39     -20.8095      1.00000
     40     -20.8037      1.00000
     41     -20.7853      1.00000
     42     -20.7742      1.00000
     43     -20.6912      1.00000
     44     -20.6483      1.00000
     45     -20.6225      1.00000
     46     -20.6198      1.00000
     47     -20.5942      1.00000
     48     -20.5826      1.00000
     49     -14.4563      1.00000
     50     -14.4326      1.00000
     51     -14.4281      1.00000
     52     -14.4116      1.00000
     53     -14.3739      1.00000
     54     -14.3391      1.00000
     55     -14.3338      1.00000
     56     -14.2224      1.00000
     57     -14.1979      1.00000
     58     -14.1893      1.00000
     59     -14.0639      1.00000
     60     -14.0460      1.00000
     61     -13.8321      1.00000
     62     -13.6579      1.00000
     63     -13.6345      1.00000
     64     -13.6274      1.00000
     65     -13.4790      1.00000
     66     -13.4697      1.00000
     67     -13.4213      1.00000
     68     -12.9356      1.00000
     69     -12.9243      1.00000
     70     -12.9070      1.00000
     71     -12.9012      1.00000
     72     -12.9003      1.00000
     73     -12.8909      1.00000
     74     -12.8902      1.00000
     75     -12.8837      1.00000
     76     -12.8762      1.00000
     77     -12.5999      1.00000
     78     -12.5786      1.00000
     79     -12.1915      1.00000
     80     -12.1701      1.00000
     81     -12.1671      1.00000
     82     -12.1575      1.00000
     83     -11.9876      1.00000
     84     -11.9539      1.00000
     85     -11.9142      1.00000
     86     -11.4096      1.00000
