
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.9668      1.00000
      2     -24.7355      1.00000
      3     -24.5993      1.00000
      4     -24.5299      1.00000
      5     -24.4829      1.00000
      6     -24.4484      1.00000
      7     -24.3372      1.00000
      8     -23.8637      1.00000
      9     -23.7995      1.00000
     10     -23.7818      1.00000
     11     -23.6775      1.00000
     12     -23.6455      1.00000
     13     -23.5361      1.00000
     14     -23.4185      1.00000
     15     -23.3861      1.00000
     16     -23.3418      1.00000
     17     -23.2940      1.00000
     18     -23.2603      1.00000
     19     -23.0162      1.00000
     20     -22.5769      1.00000
     21     -22.5118      1.00000
     22     -22.4551      1.00000
     23     -22.3812      1.00000
     24     -22.3666      1.00000
     25     -22.3365      1.00000
     26     -22.2917      1.00000
     27     -22.2861      1.00000
     28     -22.2744      1.00000
     29     -22.1896      1.00000
     30     -22.1707      1.00000
     31     -22.0428      1.00000
     32     -21.9596      1.00000
     33     -21.9225      1.00000
     34     -21.8390      1.00000
     35     -21.8112      1.00000
     36     -21.7518      1.00000
     37     -21.5586      1.00000
     38     -21.5212      1.00000
     39     -21.4395      1.00000
     40     -21.4085      1.00000
     41     -21.3732      1.00000
     42     -21.3096      1.00000
     43     -21.2697      1.00000
     44     -21.2013      1.00000
     45     -21.1595      1.00000
     46     -21.1411      1.00000
     47     -21.1233      1.00000
     48     -20.8857      1.00000
     49     -15.2592      1.00000
     50     -15.1171      1.00000
     51     -15.0327      1.00000
     52     -15.0086      1.00000
     53     -14.9196      1.00000
     54     -14.8900      1.00000
     55     -14.8708      1.00000
     56     -14.8414      1.00000
     57     -14.7622      1.00000
     58     -14.7407      1.00000
     59     -14.7276      1.00000
     60     -14.5851      1.00000
     61     -14.3503      1.00000
     62     -14.3280      1.00000
     63     -14.2207      1.00000
     64     -14.1227      1.00000
     65     -14.0829      1.00000
     66     -14.0462      1.00000
     67     -13.9029      1.00000
     68     -13.6579      1.00000
     69     -13.6228      1.00000
     70     -13.5411      1.00000
     71     -13.5189      1.00000
     72     -13.5059      1.00000
     73     -13.4653      1.00000
     74     -13.4378      1.00000
     75     -13.3738      1.00000
     76     -13.3305      1.00000
     77     -13.2649      1.00000
     78     -13.1450      1.00000
     79     -12.7614      1.00000
     80     -12.7529      1.00000
     81     -12.7337      1.00000
     82     -12.6302      1.00000
     83     -12.5368      1.00000
     84     -12.4327      1.00000
     85     -12.2819      1.00000
     86     -12.0506      1.00000
     87     -11.9985      1.00000
     88     -11.9500      1.00000
     89     -11.8606      1.00000
     90     -11.6319      1.00000
     91     -11.3681      1.00000
     92     -11.2741      1.00000
     93     -11.1905      1.00000
     94     -11.1794      1.00000
     95     -11.1776      1.00000
     96     -11.0948      1.00000
     97     -11.0644      1.00000
     98     -11.0441      1.00000
     99     -10.9845      1.00000
    100     -10.9527      1.00000
    101     -10.8548      1.00000
    102     -10.8040      1.00000
    103     -10.7849      1.00000
    104     -10.7808      1.00000
    105     -10.7664      1.00000
    106     -10.7368      1.00000
    107     -10.7031      1.00000
    108     -10.6805      1.00000
    109     -10.6781      1.00000
    110     -10.6635      1.00000
    111     -10.6385      1.00000
    112     -10.6212      1.00000
    113     -10.5998      1.00000
    114     -10.5839      1.00000
    115     -10.5547      1.00000
    116     -10.5190      1.00000
    117     -10.4070      1.00000
    118     -10.3785      1.00000
    119     -10.3124      1.00000
    120     -10.0421      1.00000
    121      -9.9983      1.00000
    122      -9.9784      1.00000
    123      -9.9571      1.00000
    124      -9.9071      1.00000
    125      -9.8853      1.00000
    126      -9.7259      1.00000
    127      -9.6570      1.00000
    128      -9.6344      1.00000
    129      -9.5465      1.00000
    130      -9.5242      1.00000
    131      -9.4537      1.00000
    132      -9.4256      1.00000
    133      -9.4205      1.00000
    134      -9.2914      1.00000
    135      -9.2681      1.00000
    136      -9.1789      1.00000
    137      -9.1598      1.00000
    138      -9.1339      1.00000
    139      -9.1236      1.00000
    140      -9.0987      1.00000
    141      -9.0399      1.00000
    142      -9.0164      1.00000
    143      -9.0097      1.00000
    144      -8.9940      1.00000
    145      -8.9784      1.00000
    146      -8.9749      1.00000
    147      -8.9524      1.00000
    148      -8.9409      1.00000
    149      -8.9155      1.00000
    150      -8.8930      1.00000
    151      -8.7406      1.00000
    152      -8.6870      1.00000
    153      -8.6199      1.00000
    154      -8.6088      1.00000
    155      -8.1380      1.00000
    156      -7.9802      1.00000
    157      -7.9523      1.00000
    158      -7.8230      1.00000
    159      -7.7910      1.00000
    160      -7.7270      1.00000
    161      -7.6623      1.00000
    162      -7.6570      1.00000
    163      -7.6322      1.00000
    164      -7.5578      1.00000
    165      -7.5481      1.00000
    166      -7.5282      1.00000
    167      -7.4895      1.00000
    168      -7.4680      1.00000
    169      -7.4522      1.00000
    170      -7.4277      1.00000
    171      -7.3573      1.00000
    172      -7.2148      1.00000
    173      -7.1277      1.00000
    174      -7.1239      1.00000
    175      -6.9529      1.00000
    176      -6.9144      1.00000
    177      -6.9100      1.00000
    178      -6.8383      1.00000
    179      -6.8074      1.00000
    180      -6.7527      1.00000
    181      -6.5964      1.00000
    182      -6.4673      1.00000
    183      -6.2493      1.00000
    184      -6.1673      1.00000
    185      -6.1342      1.00000
    186      -6.0957      1.00000
    187      -6.0489      1.00000
    188      -5.9452      1.00000
    189      -5.9143      1.00000
    190      -5.8433      1.00000
    191      -5.7827      1.00000
    192      -5.7600      1.00000
    193      -5.7107      1.00000
    194      -2.4631      0.00000
    195      -1.3658      1.00000
    196       0.6332      0.00000
    197       0.6588      0.00000
    198       0.7516      0.00000
    199       0.7864      0.00000
    200       0.8512      0.00000
    201       0.8774      0.00000
    202       1.0022      0.00000
    203       1.0289      0.00000
    204       1.0892      0.00000
    205       1.1266      0.00000
    206       1.1519      0.00000
    207       1.1650      0.00000
    208       1.1817      0.00000
    209       1.2462      0.00000
    210       1.3234      0.00000
    211       1.3263      0.00000
    212       1.3364      0.00000
    213       1.3958      0.00000
    214       1.4027      0.00000
    215       1.4955      0.00000
    216       1.5133      0.00000
    217       1.5643      0.00000
    218       1.6200      0.00000
    219       1.7064      0.00000
    220       1.8438      0.00000
    221       1.8885      0.00000
    222       2.0386      0.00000
    223       2.1788      0.00000
    224       2.3013      0.00000
    225       2.4359      0.00000
    226       2.4549      0.00000
    227       2.4987      0.00000
    228       2.5235      0.00000
    229       2.5579      0.00000
    230       2.6159      0.00000
    231       2.6196      0.00000
    232       2.6245      0.00000
    233       2.6499      0.00000
    234       2.6646      0.00000
    235       2.6849      0.00000
    236       2.6934      0.00000
    237       2.6978      0.00000
    238       2.7190      0.00000
    239       2.7355      0.00000
    240       2.7381      0.00000
    241       2.7522      0.00000
    242       2.7629      0.00000
    243       2.7724      0.00000
    244       2.7856      0.00000
    245       2.7989      0.00000
    246       2.8062      0.00000
    247       2.8115      0.00000
    248       2.8179      0.00000
    249       2.8381      0.00000
    250       2.8510      0.00000
    251       2.9527      0.00000
    252       3.1094      0.00000
 Fermi energy:         0.0000000000

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.9373      1.00000
      2     -24.7048      1.00000
      3     -24.5600      1.00000
      4     -24.5035      1.00000
      5     -24.4520      1.00000
      6     -24.4183      1.00000
      7     -24.2981      1.00000
      8     -23.8270      1.00000
      9     -23.7643      1.00000
     10     -23.7523      1.00000
     11     -23.6554      1.00000
     12     -23.6093      1.00000
     13     -23.4917      1.00000
     14     -23.3767      1.00000
     15     -23.3507      1.00000
     16     -23.3206      1.00000
     17     -23.2763      1.00000
     18     -23.2185      1.00000
     19     -22.9650      1.00000
     20     -22.5487      1.00000
     21     -22.4740      1.00000
     22     -22.4231      1.00000
     23     -22.3491      1.00000
     24     -22.3373      1.00000
     25     -22.2952      1.00000
     26     -22.2689      1.00000
     27     -22.2515      1.00000
     28     -22.2390      1.00000
     29     -22.1453      1.00000
     30     -22.1362      1.00000
     31     -21.9982      1.00000
     32     -21.9180      1.00000
     33     -21.8956      1.00000
     34     -21.8108      1.00000
     35     -21.7852      1.00000
     36     -21.7209      1.00000
     37     -21.5174      1.00000
     38     -21.4774      1.00000
     39     -21.4101      1.00000
     40     -21.3787      1.00000
     41     -21.3116      1.00000
     42     -21.2700      1.00000
     43     -21.2320      1.00000
     44     -21.1517      1.00000
     45     -21.1368      1.00000
     46     -21.1175      1.00000
     47     -21.0700      1.00000
     48     -20.8319      1.00000
     49     -15.2233      1.00000
     50     -15.0987      1.00000
     51     -15.0231      1.00000
     52     -14.9556      1.00000
     53     -14.9039      1.00000
     54     -14.8750      1.00000
     55     -14.8538      1.00000
     56     -14.8273      1.00000
     57     -14.7533      1.00000
     58     -14.7253      1.00000
     59     -14.6996      1.00000
     60     -14.5721      1.00000
     61     -14.3221      1.00000
     62     -14.2910      1.00000
     63     -14.2061      1.00000
     64     -14.1068      1.00000
     65     -14.0638      1.00000
     66     -14.0299      1.00000
     67     -13.8292      1.00000
     68     -13.6428      1.00000
     69     -13.6071      1.00000
     70     -13.5287      1.00000
     71     -13.5037      1.00000
     72     -13.4955      1.00000
     73     -13.4499      1.00000
     74     -13.4260      1.00000
     75     -13.3548      1.00000
     76     -13.3149      1.00000
     77     -13.2348      1.00000
     78     -13.1251      1.00000
     79     -12.7500      1.00000
     80     -12.7327      1.00000
     81     -12.7262      1.00000
     82     -12.6164      1.00000
     83     -12.4985      1.00000
     84     -12.3930      1.00000
     85     -12.2160      1.00000
     86     -12.0339      1.00000
     87     -11.9775      1.00000
     88     -11.9310      1.00000
     89     -11.8280      1.00000
     90     -11.6033      1.00000
     91     -11.3488      1.00000
     92     -11.2446      1.00000
     93     -11.1703      1.00000
     94     -11.1639      1.00000
     95     -11.1097      1.00000
     96     -11.0776      1.00000
     97     -11.0366      1.00000
     98     -11.0038      1.00000
     99     -10.9642      1.00000
    100     -10.9357      1.00000
    101     -10.8388      1.00000
    102     -10.7867      1.00000
    103     -10.7662      1.00000
    104     -10.7516      1.00000
    105     -10.7236      1.00000
    106     -10.7180      1.00000
    107     -10.6912      1.00000
    108     -10.6686      1.00000
    109     -10.6532      1.00000
    110     -10.6295      1.00000
    111     -10.6100      1.00000
    112     -10.5895      1.00000
    113     -10.5841      1.00000
    114     -10.5253      1.00000
    115     -10.4825      1.00000
    116     -10.4518      1.00000
    117     -10.3521      1.00000
    118     -10.3002      1.00000
    119     -10.2905      1.00000
    120     -10.0195      1.00000
    121      -9.9871      1.00000
    122      -9.9604      1.00000
    123      -9.9312      1.00000
    124      -9.8820      1.00000
    125      -9.8757      1.00000
    126      -9.6964      1.00000
    127      -9.6311      1.00000
    128      -9.5446      1.00000
    129      -9.4609      1.00000
    130      -9.4420      1.00000
    131      -9.4093      1.00000
    132      -9.3979      1.00000
    133      -9.3229      1.00000
    134      -9.2723      1.00000
    135      -9.1614      1.00000
    136      -9.1591      1.00000
    137      -9.1428      1.00000
    138      -9.1208      1.00000
    139      -9.1082      1.00000
    140      -9.0710      1.00000
    141      -9.0003      1.00000
    142      -8.9770      1.00000
    143      -8.9598      1.00000
    144      -8.9371      1.00000
    145      -8.9278      1.00000
    146      -8.9164      1.00000
    147      -8.8982      1.00000
    148      -8.8910      1.00000
    149      -8.8668      1.00000
    150      -8.7823      1.00000
    151      -8.7240      1.00000
    152      -8.6738      1.00000
    153      -8.6060      1.00000
    154      -8.4585      1.00000
    155      -8.1195      1.00000
    156      -7.9620      1.00000
    157      -7.9373      1.00000
    158      -7.7991      1.00000
    159      -7.7729      1.00000
    160      -7.6517      1.00000
    161      -7.6281      1.00000
    162      -7.5776      1.00000
    163      -7.5340      1.00000
    164      -7.4688      1.00000
    165      -7.4403      1.00000
    166      -7.4189      1.00000
    167      -7.3947      1.00000
    168      -7.3769      1.00000
    169      -7.3510      1.00000
    170      -7.3146      1.00000
    171      -7.2075      1.00000
    172      -7.1910      1.00000
    173      -7.1099      1.00000
    174      -6.9935      1.00000
    175      -6.8509      1.00000
    176      -6.8401      1.00000
    177      -6.8080      1.00000
    178      -6.7251      1.00000
    179      -6.7014      1.00000
    180      -6.6460      1.00000
    181      -6.3260      1.00000
    182      -6.1232      1.00000
    183      -6.0759      1.00000
    184      -6.0566      1.00000
    185      -6.0297      1.00000
    186      -5.9239      1.00000
    187      -5.9005      1.00000
    188      -5.7949      1.00000
    189      -5.7683      1.00000
    190      -5.7193      1.00000
    191      -5.6468      1.00000
    192      -5.6011      1.00000
    193      -5.4287      0.00000
    194      -1.0562      0.00000
    195      -0.4183      0.00000
    196       0.7727      0.00000
    197       0.8053      0.00000
    198       0.8122      0.00000
    199       0.8655      0.00000
    200       0.9506      0.00000
    201       0.9855      0.00000
    202       1.0085      0.00000
    203       1.0750      0.00000
    204       1.1059      0.00000
    205       1.1242      0.00000
    206       1.1682      0.00000
    207       1.2020      0.00000
    208       1.2349      0.00000
    209       1.3475      0.00000
    210       1.3591      0.00000
    211       1.3848      0.00000
    212       1.3958      0.00000
    213       1.4326      0.00000
    214       1.4391      0.00000
    215       1.4623      0.00000
    216       1.5121      0.00000
    217       1.5346      0.00000
    218       1.6639      0.00000
    219       1.8226      0.00000
    220       1.8970      0.00000
    221       1.9580      0.00000
    222       2.0446      0.00000
    223       2.3153      0.00000
    224       2.3560      0.00000
    225       2.3792      0.00000
    226       2.4791      0.00000
    227       2.5406      0.00000
    228       2.5515      0.00000
    229       2.5829      0.00000
    230       2.5959      0.00000
    231       2.6260      0.00000
