
 Fermi energy:        -3.9171526893

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.8238      1.00000
      2     -24.5541      1.00000
      3     -24.4321      1.00000
      4     -24.3006      1.00000
      5     -24.2458      1.00000
      6     -24.2023      1.00000
      7     -24.1704      1.00000
      8     -23.7000      1.00000
      9     -23.6331      1.00000
     10     -23.5720      1.00000
     11     -23.5241      1.00000
     12     -23.4154      1.00000
     13     -23.2925      1.00000
     14     -23.1947      1.00000
     15     -23.1714      1.00000
     16     -23.1586      1.00000
     17     -23.1065      1.00000
     18     -23.0226      1.00000
     19     -22.8618      1.00000
     20     -22.4457      1.00000
     21     -22.3562      1.00000
     22     -22.2989      1.00000
     23     -22.2123      1.00000
     24     -22.1508      1.00000
     25     -22.0997      1.00000
     26     -22.0900      1.00000
     27     -22.0822      1.00000
     28     -22.0608      1.00000
     29     -22.0468      1.00000
     30     -21.8999      1.00000
     31     -21.8618      1.00000
     32     -21.7854      1.00000
     33     -21.6525      1.00000
     34     -21.6267      1.00000
     35     -21.6174      1.00000
     36     -21.5894      1.00000
     37     -21.4934      1.00000
     38     -21.2569      1.00000
     39     -21.2475      1.00000
     40     -21.2150      1.00000
     41     -21.1936      1.00000
     42     -21.0483      1.00000
     43     -21.0417      1.00000
     44     -20.9477      1.00000
     45     -20.9385      1.00000
     46     -20.9368      1.00000
     47     -20.9293      1.00000
     48     -15.3101      1.00000
     49     -15.1227      1.00000
     50     -15.0397      1.00000
     51     -14.8883      1.00000
     52     -14.8395      1.00000
     53     -14.7353      1.00000
     54     -14.6736      1.00000
     55     -14.6361      1.00000
     56     -14.6168      1.00000
     57     -14.5878      1.00000
     58     -14.5365      1.00000
     59     -14.4420      1.00000
     60     -14.3496      1.00000
     61     -14.2780      1.00000
     62     -14.0743      1.00000
     63     -14.0076      1.00000
     64     -13.9495      1.00000
     65     -13.8726      1.00000
     66     -13.8031      1.00000
     67     -13.6727      1.00000
     68     -13.4291      1.00000
     69     -13.4038      1.00000
     70     -13.3524      1.00000
     71     -13.3196      1.00000
     72     -13.2842      1.00000
     73     -13.2822      1.00000
     74     -13.2578      1.00000
     75     -13.1910      1.00000
     76     -12.9851      1.00000
     77     -12.9432      1.00000
     78     -12.6850      1.00000
     79     -12.5826      1.00000
     80     -12.5621      1.00000
     81     -12.5279      1.00000
     82     -12.4738      1.00000
     83     -12.3733      1.00000
     84     -12.3163      1.00000
     85     -12.0833      1.00000
     86     -11.8898      1.00000
     87     -11.8281      1.00000
     88     -11.6795      1.00000
     89     -11.5663      1.00000
     90     -11.3433      1.00000
     91     -11.3043      1.00000
     92     -11.1067      1.00000
     93     -11.0652      1.00000
     94     -11.0147      1.00000
     95     -10.9928      1.00000
     96     -10.9331      1.00000
     97     -10.8824      1.00000
     98     -10.8253      1.00000
     99     -10.7188      1.00000
    100     -10.7133      1.00000
    101     -10.6828      1.00000
    102     -10.6302      1.00000
    103     -10.6154      1.00000
    104     -10.5917      1.00000
    105     -10.5578      1.00000
    106     -10.4904      1.00000
    107     -10.4810      1.00000
    108     -10.4696      1.00000
    109     -10.4602      1.00000
    110     -10.4388      1.00000
    111     -10.4356      1.00000
    112     -10.4134      1.00000
    113     -10.3709      1.00000
    114     -10.3586      1.00000
    115     -10.3086      1.00000
    116     -10.2602      1.00000
    117     -10.1905      1.00000
    118     -10.1602      1.00000
    119     -10.0735      1.00000
    120      -9.9282      1.00000
    121      -9.8021      1.00000
    122      -9.7377      1.00000
    123      -9.7361      1.00000
    124      -9.6547      1.00000
    125      -9.6329      1.00000
    126      -9.5296      1.00000
    127      -9.4506      1.00000
    128      -9.4171      1.00000
    129      -9.3473      1.00000
    130      -9.3104      1.00000
    131      -9.2802      1.00000
    132      -9.2592      1.00000
    133      -9.1945      1.00000
    134      -9.1293      1.00000
    135      -9.0973      1.00000
    136      -9.0158      1.00000
    137      -8.9732      1.00000
    138      -8.9412      1.00000
    139      -8.9132      1.00000
    140      -8.8792      1.00000
    141      -8.8638      1.00000
    142      -8.8330      1.00000
    143      -8.8203      1.00000
    144      -8.8111      1.00000
    145      -8.8084      1.00000
    146      -8.7978      1.00000
    147      -8.7533      1.00000
    148      -8.7113      1.00000
    149      -8.6072      1.00000
    150      -8.5529      1.00000
    151      -8.4990      1.00000
    152      -8.4510      1.00000
    153      -8.3935      1.00000
    154      -8.1466      1.00000
    155      -7.9621      1.00000
    156      -7.7826      1.00000
    157      -7.7491      1.00000
    158      -7.6713      1.00000
    159      -7.5987      1.00000
    160      -7.5889      1.00000
    161      -7.5474      1.00000
    162      -7.5233      1.00000
    163      -7.4939      1.00000
    164      -7.4263      1.00000
    165      -7.3408      1.00000
    166      -7.3001      1.00000
    167      -7.2881      1.00000
    168      -7.2787      1.00000
    169      -7.2635      1.00000
    170      -7.2420      1.00000
    171      -7.0367      1.00000
    172      -6.9671      1.00000
    173      -6.9642      1.00000
    174      -6.8837      1.00000
    175      -6.8052      1.00000
    176      -6.6561      1.00000
    177      -6.6445      1.00000
    178      -6.6063      1.00000
    179      -6.5058      1.00000
    180      -6.3450      1.00000
    181      -6.0109      1.00000
    182      -6.0001      1.00000
    183      -5.9738      1.00000
    184      -5.9580      1.00000
    185      -5.7463      1.00000
    186      -5.7343      1.00000
    187      -5.6293      1.00000
    188      -5.6175      1.00000
    189      -5.5952      1.00000
    190      -5.5790      1.00000
    191      -5.4940      1.00000
    192      -4.7492      1.00000
    193      -4.1770      1.00000
    194      -2.3211      0.00000
    195      -0.7388      0.00000
    196       0.0248      0.00000
    197       0.7021      0.00000
    198       0.7238      0.00000
    199       0.8027      0.00000
    200       0.8828      0.00000
