# freq/cm-1  Intensity 
-1.75981e+02   2.11114e-05
-1.75481e+02   2.11257e-05
-1.74981e+02   2.11401e-05
-1.74481e+02   2.11545e-05
-1.73981e+02   2.11689e-05
-1.73481e+02   2.11833e-05
-1.72981e+02   2.11978e-05
-1.72481e+02   2.12122e-05
-1.71981e+02   2.12267e-05
-1.71481e+02   2.12412e-05
-1.70981e+02   2.12557e-05
-1.70481e+02   2.12703e-05
-1.69981e+02   2.12848e-05
-1.69481e+02   2.12994e-05
-1.68981e+02   2.13139e-05
-1.68481e+02   2.13285e-05
-1.67981e+02   2.13432e-05
-1.67481e+02   2.13578e-05
-1.66981e+02   2.13724e-05
-1.66481e+02   2.13871e-05
-1.65981e+02   2.14018e-05
-1.65481e+02   2.14165e-05
-1.64981e+02   2.14312e-05
-1.64481e+02   2.14459e-05
-1.63981e+02   2.14607e-05
-1.63481e+02   2.14754e-05
-1.62981e+02   2.14902e-05
-1.62481e+02   2.15050e-05
-1.61981e+02   2.15199e-05
-1.61481e+02   2.15347e-05
-1.60981e+02   2.15495e-05
-1.60481e+02   2.15644e-05
-1.59981e+02   2.15793e-05
-1.59481e+02   2.15942e-05
-1.58981e+02   2.16091e-05
-1.58481e+02   2.16241e-05
-1.57981e+02   2.16390e-05
-1.57481e+02   2.16540e-05
-1.56981e+02   2.16690e-05
-1.56481e+02   2.16840e-05
-1.55981e+02   2.16991e-05
-1.55481e+02   2.17141e-05
-1.54981e+02   2.17292e-05
-1.54481e+02   2.17443e-05
-1.53981e+02   2.17594e-05
-1.53481e+02   2.17745e-05
-1.52981e+02   2.17897e-05
-1.52481e+02   2.18048e-05
-1.51981e+02   2.18200e-05
-1.51481e+02   2.18352e-05
-1.50981e+02   2.18504e-05
-1.50481e+02   2.18657e-05
-1.49981e+02   2.18809e-05
-1.49481e+02   2.18962e-05
-1.48981e+02   2.19115e-05
-1.48481e+02   2.19268e-05
-1.47981e+02   2.19421e-05
-1.47481e+02   2.19575e-05
-1.46981e+02   2.19728e-05
-1.46481e+02   2.19882e-05
-1.45981e+02   2.20036e-05
-1.45481e+02   2.20190e-05
-1.44981e+02   2.20345e-05
-1.44481e+02   2.20499e-05
-1.43981e+02   2.20654e-05
-1.43481e+02   2.20809e-05
-1.42981e+02   2.20964e-05
-1.42481e+02   2.21120e-05
-1.41981e+02   2.21275e-05
-1.41481e+02   2.21431e-05
-1.40981e+02   2.21587e-05
-1.40481e+02   2.21743e-05
-1.39981e+02   2.21900e-05
-1.39481e+02   2.22056e-05
-1.38981e+02   2.22213e-05
-1.38481e+02   2.22370e-05
-1.37981e+02   2.22527e-05
-1.37481e+02   2.22684e-05
-1.36981e+02   2.22842e-05
-1.36481e+02   2.23000e-05
-1.35981e+02   2.23158e-05
-1.35481e+02   2.23316e-05
-1.34981e+02   2.23474e-05
-1.34481e+02   2.23633e-05
-1.33981e+02   2.23792e-05
-1.33481e+02   2.23951e-05
-1.32981e+02   2.24110e-05
-1.32481e+02   2.24269e-05
-1.31981e+02   2.24429e-05
-1.31481e+02   2.24589e-05
-1.30981e+02   2.24749e-05
-1.30481e+02   2.24909e-05
-1.29981e+02   2.25069e-05
-1.29481e+02   2.25230e-05
-1.28981e+02   2.25391e-05
-1.28481e+02   2.25552e-05
-1.27981e+02   2.25713e-05
-1.27481e+02   2.25874e-05
-1.26981e+02   2.26036e-05
-1.26481e+02   2.26198e-05
-1.25981e+02   2.26360e-05
-1.25481e+02   2.26522e-05
-1.24981e+02   2.26685e-05
-1.24481e+02   2.26848e-05
-1.23981e+02   2.27011e-05
-1.23481e+02   2.27174e-05
-1.22981e+02   2.27337e-05
-1.22481e+02   2.27501e-05
-1.21981e+02   2.27665e-05
-1.21481e+02   2.27829e-05
-1.20981e+02   2.27993e-05
-1.20481e+02   2.28158e-05
-1.19981e+02   2.28322e-05
-1.19481e+02   2.28487e-05
-1.18981e+02   2.28653e-05
-1.18481e+02   2.28818e-05
-1.17981e+02   2.28984e-05
-1.17481e+02   2.29149e-05
-1.16981e+02   2.29316e-05
-1.16481e+02   2.29482e-05
-1.15981e+02   2.29648e-05
-1.15481e+02   2.29815e-05
-1.14981e+02   2.29982e-05
-1.14481e+02   2.30149e-05
-1.13981e+02   2.30317e-05
-1.13481e+02   2.30485e-05
-1.12981e+02   2.30653e-05
-1.12481e+02   2.30821e-05
-1.11981e+02   2.30989e-05
-1.11481e+02   2.31158e-05
-1.10981e+02   2.31327e-05
-1.10481e+02   2.31496e-05
