# freq/cm-1  Intensity 
-1.91415e+02   5.09403e-05
-1.90915e+02   5.09771e-05
-1.90415e+02   5.10140e-05
-1.89915e+02   5.10508e-05
-1.89415e+02   5.10878e-05
-1.88915e+02   5.11248e-05
-1.88415e+02   5.11618e-05
-1.87915e+02   5.11989e-05
-1.87415e+02   5.12360e-05
-1.86915e+02   5.12732e-05
-1.86415e+02   5.13104e-05
-1.85915e+02   5.13477e-05
-1.85415e+02   5.13850e-05
-1.84915e+02   5.14223e-05
-1.84415e+02   5.14597e-05
-1.83915e+02   5.14972e-05
-1.83415e+02   5.15347e-05
-1.82915e+02   5.15722e-05
-1.82415e+02   5.16098e-05
-1.81915e+02   5.16474e-05
-1.81415e+02   5.16851e-05
-1.80915e+02   5.17228e-05
-1.80415e+02   5.17606e-05
-1.79915e+02   5.17984e-05
-1.79415e+02   5.18363e-05
-1.78915e+02   5.18742e-05
-1.78415e+02   5.19122e-05
-1.77915e+02   5.19502e-05
-1.77415e+02   5.19883e-05
-1.76915e+02   5.20264e-05
-1.76415e+02   5.20645e-05
-1.75915e+02   5.21027e-05
-1.75415e+02   5.21410e-05
-1.74915e+02   5.21793e-05
-1.74415e+02   5.22176e-05
-1.73915e+02   5.22560e-05
-1.73415e+02   5.22945e-05
-1.72915e+02   5.23330e-05
-1.72415e+02   5.23715e-05
-1.71915e+02   5.24101e-05
-1.71415e+02   5.24488e-05
-1.70915e+02   5.24875e-05
-1.70415e+02   5.25262e-05
-1.69915e+02   5.25650e-05
-1.69415e+02   5.26038e-05
-1.68915e+02   5.26427e-05
-1.68415e+02   5.26817e-05
-1.67915e+02   5.27207e-05
-1.67415e+02   5.27597e-05
-1.66915e+02   5.27988e-05
-1.66415e+02   5.28380e-05
-1.65915e+02   5.28771e-05
-1.65415e+02   5.29164e-05
-1.64915e+02   5.29557e-05
-1.64415e+02   5.29950e-05
-1.63915e+02   5.30344e-05
-1.63415e+02   5.30739e-05
-1.62915e+02   5.31134e-05
-1.62415e+02   5.31529e-05
-1.61915e+02   5.31925e-05
-1.61415e+02   5.32322e-05
-1.60915e+02   5.32719e-05
-1.60415e+02   5.33117e-05
-1.59915e+02   5.33515e-05
-1.59415e+02   5.33913e-05
-1.58915e+02   5.34312e-05
-1.58415e+02   5.34712e-05
-1.57915e+02   5.35112e-05
-1.57415e+02   5.35513e-05
-1.56915e+02   5.35914e-05
-1.56415e+02   5.36316e-05
-1.55915e+02   5.36718e-05
-1.55415e+02   5.37121e-05
-1.54915e+02   5.37524e-05
-1.54415e+02   5.37928e-05
-1.53915e+02   5.38333e-05
-1.53415e+02   5.38738e-05
-1.52915e+02   5.39143e-05
-1.52415e+02   5.39549e-05
-1.51915e+02   5.39956e-05
-1.51415e+02   5.40363e-05
-1.50915e+02   5.40771e-05
-1.50415e+02   5.41179e-05
-1.49915e+02   5.41588e-05
-1.49415e+02   5.41997e-05
-1.48915e+02   5.42407e-05
-1.48415e+02   5.42817e-05
-1.47915e+02   5.43228e-05
-1.47415e+02   5.43640e-05
-1.46915e+02   5.44052e-05
-1.46415e+02   5.44464e-05
-1.45915e+02   5.44878e-05
-1.45415e+02   5.45291e-05
-1.44915e+02   5.45706e-05
-1.44415e+02   5.46121e-05
-1.43915e+02   5.46536e-05
-1.43415e+02   5.46952e-05
-1.42915e+02   5.47369e-05
-1.42415e+02   5.47786e-05
-1.41915e+02   5.48203e-05
-1.41415e+02   5.48622e-05
-1.40915e+02   5.49041e-05
-1.40415e+02   5.49460e-05
-1.39915e+02   5.49880e-05
-1.39415e+02   5.50301e-05
-1.38915e+02   5.50722e-05
-1.38415e+02   5.51143e-05
-1.37915e+02   5.51566e-05
-1.37415e+02   5.51989e-05
-1.36915e+02   5.52412e-05
-1.36415e+02   5.52836e-05
-1.35915e+02   5.53261e-05
-1.35415e+02   5.53686e-05
-1.34915e+02   5.54112e-05
-1.34415e+02   5.54538e-05
-1.33915e+02   5.54965e-05
-1.33415e+02   5.55393e-05
-1.32915e+02   5.55821e-05
-1.32415e+02   5.56250e-05
-1.31915e+02   5.56680e-05
-1.31415e+02   5.57110e-05
-1.30915e+02   5.57540e-05
-1.30415e+02   5.57972e-05
-1.29915e+02   5.58403e-05
-1.29415e+02   5.58836e-05
-1.28915e+02   5.59269e-05
-1.28415e+02   5.59703e-05
-1.27915e+02   5.60137e-05
-1.27415e+02   5.60572e-05
-1.26915e+02   5.61007e-05
-1.26415e+02   5.61444e-05
-1.25915e+02   5.61880e-05
-1.25415e+02   5.62318e-05
-1.24915e+02   5.62756e-05
-1.24415e+02   5.63195e-05
-1.23915e+02   5.63634e-05
-1.23415e+02   5.64074e-05
-1.22915e+02   5.64515e-05
-1.22415e+02   5.64956e-05
-1.21915e+02   5.65398e-05
-1.21415e+02   5.65840e-05
-1.20915e+02   5.66283e-05
-1.20415e+02   5.66727e-05
-1.19915e+02   5.67172e-05
-1.19415e+02   5.67617e-05
-1.18915e+02   5.68063e-05
-1.18415e+02   5.68509e-05
-1.17915e+02   5.68956e-05
-1.17415e+02   5.69404e-05
-1.16915e+02   5.69852e-05
-1.16415e+02   5.70301e-05
-1.15915e+02   5.70751e-05
-1.15415e+02   5.71201e-05
-1.14915e+02   5.71652e-05
-1.14415e+02   5.72104e-05
-1.13915e+02   5.72556e-05
-1.13415e+02   5.73010e-05
-1.12915e+02   5.73463e-05
-1.12415e+02   5.73918e-05
-1.11915e+02   5.74373e-05
-1.11415e+02   5.74829e-05
-1.10915e+02   5.75285e-05
-1.10415e+02   5.75742e-05
-1.09915e+02   5.76200e-05
-1.09415e+02   5.76659e-05
-1.08915e+02   5.77118e-05
-1.08415e+02   5.77578e-05
-1.07915e+02   5.78039e-05
-1.07415e+02   5.78500e-05
-1.06915e+02   5.78962e-05
-1.06415e+02   5.79425e-05
-1.05915e+02   5.79889e-05
-1.05415e+02   5.80353e-05
-1.04915e+02   5.80818e-05
-1.04415e+02   5.81284e-05
-1.03915e+02   5.81750e-05
-1.03415e+02   5.82217e-05
-1.02915e+02   5.82685e-05
-1.02415e+02   5.83154e-05
-1.01915e+02   5.83623e-05
-1.01415e+02   5.84093e-05
-1.00915e+02   5.84564e-05
-1.00415e+02   5.85036e-05
-9.99152e+01   5.85508e-05
-9.94152e+01   5.85981e-05
-9.89152e+01   5.86455e-05
-9.84152e+01   5.86929e-05
-9.79152e+01   5.87405e-05
-9.74152e+01   5.87881e-05
-9.69152e+01   5.88358e-05
-9.64152e+01   5.88835e-05
-9.59152e+01   5.89314e-05
-9.54152e+01   5.89793e-05
-9.49152e+01   5.90273e-05
-9.44152e+01   5.90754e-05
-9.39152e+01   5.91235e-05
-9.34152e+01   5.91718e-05
-9.29152e+01   5.92201e-05
-9.24152e+01   5.92685e-05
-9.19152e+01   5.93170e-05
-9.14152e+01   5.93655e-05
-9.09152e+01   5.94142e-05
-9.04152e+01   5.94629e-05
-8.99152e+01   5.95117e-05
-8.94152e+01   5.95606e-05
-8.89152e+01   5.96095e-05
-8.84152e+01   5.96586e-05
-8.79152e+01   5.97077e-05
-8.74152e+01   5.97569e-05
-8.69152e+01   5.98062e-05
-8.64152e+01   5.98556e-05
-8.59152e+01   5.99051e-05
-8.54152e+01   5.99546e-05
-8.49152e+01   6.00043e-05
-8.44152e+01   6.00540e-05
-8.39152e+01   6.01038e-05
-8.34152e+01   6.01537e-05
-8.29152e+01   6.02037e-05
-8.24152e+01   6.02538e-05
-8.19152e+01   6.03039e-05
-8.14152e+01   6.03542e-05
-8.09152e+01   6.04045e-05
-8.04152e+01   6.04550e-05
-7.99152e+01   6.05055e-05
-7.94152e+01   6.05561e-05
-7.89152e+01   6.06068e-05
-7.84152e+01   6.06576e-05
-7.79152e+01   6.07085e-05
-7.74152e+01   6.07595e-05
-7.69152e+01   6.08106e-05
-7.64152e+01   6.08617e-05
-7.59152e+01   6.09130e-05
-7.54152e+01   6.09644e-05
-7.49152e+01   6.10158e-05
-7.44152e+01   6.10674e-05
-7.39152e+01   6.11191e-05
-7.34152e+01   6.11708e-05
-7.29152e+01   6.12227e-05
-7.24152e+01   6.12746e-05
-7.19152e+01   6.13267e-05
-7.14152e+01   6.13788e-05
-7.09152e+01   6.14311e-05
-7.04152e+01   6.14834e-05
-6.99152e+01   6.15359e-05
-6.94152e+01   6.15885e-05
-6.89152e+01   6.16411e-05
-6.84152e+01   6.16939e-05
-6.79152e+01   6.17468e-05
-6.74152e+01   6.17998e-05
-6.69152e+01   6.18529e-05
-6.64152e+01   6.19061e-05
-6.59152e+01   6.19594e-05
-6.54152e+01   6.20128e-05
-6.49152e+01   6.20664e-05
-6.44152e+01   6.21200e-05
-6.39152e+01   6.21738e-05
-6.34152e+01   6.22277e-05
-6.29152e+01   6.22817e-05
-6.24152e+01   6.23358e-05
-6.19152e+01   6.23900e-05
-6.14152e+01   6.24443e-05
-6.09152e+01   6.24988e-05
-6.04152e+01   6.25534e-05
-5.99152e+01   6.26081e-05
-5.94152e+01   6.26629e-05
-5.89152e+01   6.27179e-05
-5.84152e+01   6.27730e-05
-5.79152e+01   6.28282e-05
-5.74152e+01   6.28835e-05
-5.69152e+01   6.29390e-05
-5.64152e+01   6.29946e-05
-5.59152e+01   6.30503e-05
-5.54152e+01   6.31062e-05
-5.49152e+01   6.31622e-05
-5.44152e+01   6.32183e-05
-5.39152e+01   6.32746e-05
-5.34152e+01   6.33310e-05
-5.29152e+01   6.33875e-05
-5.24152e+01   6.34442e-05
-5.19152e+01   6.35011e-05
-5.14152e+01   6.35581e-05
-5.09152e+01   6.36152e-05
-5.04152e+01   6.36725e-05
-4.99152e+01   6.37299e-05
-4.94152e+01   6.37875e-05
-4.89152e+01   6.38453e-05
-4.84152e+01   6.39032e-05
-4.79152e+01   6.39613e-05
-4.74152e+01   6.40195e-05
-4.69152e+01   6.40780e-05
-4.64152e+01   6.41365e-05
-4.59152e+01   6.41953e-05
-4.54152e+01   6.42542e-05
-4.49152e+01   6.43133e-05
-4.44152e+01   6.43726e-05
-4.39152e+01   6.44321e-05
-4.34152e+01   6.44918e-05
-4.29152e+01   6.45516e-05
-4.24152e+01   6.46117e-05
-4.19152e+01   6.46719e-05
-4.14152e+01   6.47323e-05
-4.09152e+01   6.47930e-05
-4.04152e+01   6.48539e-05
-3.99152e+01   6.49149e-05
-3.94152e+01   6.49762e-05
-3.89152e+01   6.50378e-05
-3.84152e+01   6.50995e-05
-3.79152e+01   6.51615e-05
-3.74152e+01   6.52237e-05
-3.69152e+01   6.52862e-05
-3.64152e+01   6.53489e-05
-3.59152e+01   6.54119e-05
-3.54152e+01   6.54751e-05
-3.49152e+01   6.55386e-05
-3.44152e+01   6.56024e-05
-3.39152e+01   6.56664e-05
-3.34152e+01   6.57308e-05
-3.29152e+01   6.57954e-05
-3.24152e+01   6.58604e-05
-3.19152e+01   6.59257e-05
-3.14152e+01   6.59913e-05
-3.09152e+01   6.60572e-05
-3.04152e+01   6.61235e-05
-2.99152e+01   6.61902e-05
-2.94152e+01   6.62572e-05
-2.89152e+01   6.63246e-05
-2.84152e+01   6.63924e-05
-2.79152e+01   6.64606e-05
-2.74152e+01   6.65292e-05
-2.69152e+01   6.65983e-05
-2.64152e+01   6.66679e-05
-2.59152e+01   6.67379e-05
-2.54152e+01   6.68084e-05
-2.49152e+01   6.68794e-05
-2.44152e+01   6.69510e-05
-2.39152e+01   6.70231e-05
-2.34152e+01   6.70958e-05
-2.29152e+01   6.71691e-05
-2.24152e+01   6.72431e-05
-2.19152e+01   6.73177e-05
-2.14152e+01   6.73931e-05
-2.09152e+01   6.74691e-05
-2.04152e+01   6.75460e-05
-1.99152e+01   6.76237e-05
-1.94152e+01   6.77022e-05
-1.89152e+01   6.77816e-05
-1.84152e+01   6.78620e-05
-1.79152e+01   6.79435e-05
-1.74152e+01   6.80260e-05
-1.69152e+01   6.81096e-05
-1.64152e+01   6.81945e-05
-1.59152e+01   6.82807e-05
-1.54152e+01   6.83682e-05
