
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.9498      1.00000
      2     -24.2441      1.00000
      3     -23.9548      1.00000
      4     -23.8942      1.00000
      5     -23.8608      1.00000
      6     -23.7895      1.00000
      7     -23.6679      1.00000
      8     -23.4256      1.00000
      9     -23.0643      1.00000
     10     -23.0464      1.00000
     11     -23.0273      1.00000
     12     -23.0023      1.00000
     13     -22.9024      1.00000
     14     -22.8093      1.00000
     15     -22.6811      1.00000
     16     -22.6639      1.00000
     17     -22.6020      1.00000
     18     -22.5166      1.00000
     19     -22.2964      1.00000
     20     -21.9757      1.00000
     21     -21.7455      1.00000
     22     -21.7068      1.00000
     23     -21.6840      1.00000
     24     -21.6612      1.00000
     25     -21.6378      1.00000
     26     -21.6197      1.00000
     27     -21.6135      1.00000
     28     -21.5373      1.00000
     29     -21.4778      1.00000
     30     -21.4468      1.00000
     31     -21.3532      1.00000
     32     -21.2307      1.00000
     33     -21.2124      1.00000
     34     -21.1630      1.00000
     35     -21.0523      1.00000
     36     -21.0351      1.00000
     37     -20.7980      1.00000
     38     -20.7354      1.00000
     39     -20.7251      1.00000
     40     -20.6951      1.00000
     41     -20.6655      1.00000
     42     -20.6410      1.00000
     43     -20.6243      1.00000
     44     -20.5094      1.00000
     45     -20.4930      1.00000
     46     -20.4638      1.00000
     47     -20.2255      1.00000
     48     -19.9308      1.00000
     49     -18.5569      1.00000
     50     -14.4002      1.00000
     51     -14.3782      1.00000
     52     -14.3545      1.00000
     53     -14.3473      1.00000
     54     -14.2817      1.00000
     55     -14.2482      1.00000
     56     -14.1572      1.00000
     57     -14.1286      1.00000
     58     -14.0878      1.00000
     59     -13.9591      1.00000
     60     -13.9030      1.00000
     61     -13.8536      1.00000
     62     -13.6117      1.00000
     63     -13.5438      1.00000
     64     -13.5077      1.00000
     65     -13.4747      1.00000
     66     -13.4125      1.00000
     67     -13.3353      1.00000
     68     -12.9753      1.00000
     69     -12.9034      1.00000
     70     -12.8830      1.00000
     71     -12.8325      1.00000
     72     -12.7955      1.00000
     73     -12.7693      1.00000
     74     -12.7330      1.00000
     75     -12.7072      1.00000
     76     -12.6243      1.00000
     77     -12.5891      1.00000
     78     -12.5087      1.00000
     79     -12.4625      1.00000
     80     -12.2250      1.00000
     81     -12.1351      1.00000
     82     -12.0243      1.00000
     83     -11.9173      1.00000
     84     -11.7962      1.00000
     85     -11.5139      1.00000
     86     -11.3599      1.00000
     87     -11.2781      1.00000
     88     -11.2336      1.00000
     89     -11.1120      1.00000
     90     -11.0460      1.00000
     91     -10.9257      1.00000
     92     -10.6554      1.00000
     93     -10.6243      1.00000
     94     -10.5519      1.00000
     95     -10.4906      1.00000
     96     -10.4637      1.00000
     97     -10.3994      1.00000
     98     -10.3246      1.00000
     99     -10.2645      1.00000
    100     -10.1724      1.00000
    101     -10.1512      1.00000
    102     -10.1422      1.00000
    103     -10.1211      1.00000
    104     -10.1148      1.00000
    105     -10.0994      1.00000
    106     -10.0712      1.00000
    107     -10.0581      1.00000
    108     -10.0004      1.00000
    109      -9.9940      1.00000
    110      -9.9744      1.00000
    111      -9.9579      1.00000
    112      -9.9381      1.00000
    113      -9.9300      1.00000
    114      -9.8927      1.00000
    115      -9.8648      1.00000
    116      -9.7826      1.00000
    117      -9.7052      1.00000
    118      -9.6979      1.00000
    119      -9.5260      1.00000
    120      -9.4724      1.00000
    121      -9.3756      1.00000
    122      -9.3201      1.00000
    123      -9.2457      1.00000
    124      -9.2280      1.00000
    125      -9.1344      1.00000
    126      -9.0697      1.00000
    127      -8.9297      1.00000
    128      -8.8625      1.00000
    129      -8.8406      1.00000
