
 Fermi energy:        -1.3658150130

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -23.9566      1.00000
      2     -23.6083      1.00000
      3     -23.5941      1.00000
      4     -23.5543      1.00000
      5     -23.4271      1.00000
      6     -23.3068      1.00000
      7     -23.0650      1.00000
      8     -22.7098      1.00000
      9     -22.6915      1.00000
     10     -22.6490      1.00000
     11     -22.6346      1.00000
     12     -22.5819      1.00000
     13     -22.5379      1.00000
     14     -22.2851      1.00000
     15     -22.2394      1.00000
     16     -22.2251      1.00000
     17     -22.0722      1.00000
     18     -21.9238      1.00000
     19     -21.6654      1.00000
     20     -21.3927      1.00000
     21     -21.3822      1.00000
     22     -21.3300      1.00000
     23     -21.3242      1.00000
     24     -21.3067      1.00000
     25     -21.3025      1.00000
     26     -21.1481      1.00000
     27     -21.1382      1.00000
     28     -21.0893      1.00000
     29     -21.0526      1.00000
     30     -20.9926      1.00000
     31     -20.8979      1.00000
     32     -20.7711      1.00000
     33     -20.7460      1.00000
     34     -20.6677      1.00000
     35     -20.6070      1.00000
     36     -20.4453      1.00000
     37     -20.3879      1.00000
     38     -20.3557      1.00000
     39     -20.3260      1.00000
     40     -20.2812      1.00000
     41     -20.2492      1.00000
     42     -20.2375      1.00000
     43     -20.1085      1.00000
     44     -20.0605      1.00000
     45     -19.9812      1.00000
     46     -19.8081      1.00000
     47     -19.5353      1.00000
     48     -19.3025      1.00000
     49     -18.0106      1.00000
     50     -14.0660      1.00000
     51     -14.0047      1.00000
     52     -13.9739      1.00000
     53     -13.9667      1.00000
     54     -13.9373      1.00000
     55     -13.8716      1.00000
     56     -13.7425      1.00000
     57     -13.7399      1.00000
     58     -13.7184      1.00000
     59     -13.4378      1.00000
     60     -13.3650      1.00000
     61     -13.2666      1.00000
     62     -13.1806      1.00000
     63     -13.1574      1.00000
     64     -13.0695      1.00000
     65     -12.9885      1.00000
     66     -12.9797      1.00000
     67     -12.9187      1.00000
     68     -12.4889      1.00000
     69     -12.4644      1.00000
     70     -12.4305      1.00000
     71     -12.3812      1.00000
     72     -12.3720      1.00000
     73     -12.3567      1.00000
     74     -12.2941      1.00000
     75     -12.2083      1.00000
     76     -12.1515      1.00000
     77     -12.1141      1.00000
     78     -12.0255      1.00000
     79     -11.9467      1.00000
     80     -11.7515      1.00000
     81     -11.6272      1.00000
     82     -11.4349      1.00000
     83     -11.4058      1.00000
     84     -11.1933      1.00000
     85     -11.0051      1.00000
     86     -10.8857      1.00000
     87     -10.7856      1.00000
     88     -10.6854      1.00000
     89     -10.6260      1.00000
     90     -10.4119      1.00000
     91     -10.3867      1.00000
     92     -10.2607      1.00000
     93     -10.2096      1.00000
     94     -10.1320      1.00000
     95     -10.1106      1.00000
     96     -10.0822      1.00000
     97     -10.0566      1.00000
     98      -9.9450      1.00000
     99      -9.8948      1.00000
    100      -9.7746      1.00000
    101      -9.7611      1.00000
    102      -9.7517      1.00000
    103      -9.7378      1.00000
    104      -9.7262      1.00000
    105      -9.7105      1.00000
    106      -9.6690      1.00000
    107      -9.6679      1.00000
    108      -9.6182      1.00000
    109      -9.5693      1.00000
    110      -9.5347      1.00000
    111      -9.5067      1.00000
    112      -9.4417      1.00000
    113      -9.4162      1.00000
    114      -9.3438      1.00000
    115      -9.3013      1.00000
    116      -9.2274      1.00000
    117      -9.1838      1.00000
    118      -9.0859      1.00000
    119      -9.0552      1.00000
    120      -9.0256      1.00000
    121      -8.9775      1.00000
    122      -8.9307      1.00000
    123      -8.8277      1.00000
    124      -8.6668      1.00000
    125      -8.5591      1.00000
    126      -8.5062      1.00000
    127      -8.4864      1.00000
    128      -8.4660      1.00000
    129      -8.4440      1.00000
    130      -8.4354      1.00000
    131      -8.3889      1.00000
    132      -8.3838      1.00000
    133      -8.3100      1.00000
    134      -8.2482      1.00000
    135      -8.2007      1.00000
    136      -8.1240      1.00000
    137      -8.0779      1.00000
    138      -7.9954      1.00000
    139      -7.9769      1.00000
    140      -7.9370      1.00000
    141      -7.9275      1.00000
    142      -7.9120      1.00000
    143      -7.8805      1.00000
    144      -7.8727      1.00000
    145      -7.8011      1.00000
    146      -7.7615      1.00000
    147      -7.7268      1.00000
    148      -7.6402      1.00000
    149      -7.5791      1.00000
    150      -7.5706      1.00000
    151      -7.5219      1.00000
    152      -7.3813      1.00000
    153      -7.2611      1.00000
    154      -7.1152      1.00000
    155      -6.9290      1.00000
    156      -6.8592      1.00000
    157      -6.8268      1.00000
    158      -6.7065      1.00000
    159      -6.6004      1.00000
    160      -6.5945      1.00000
    161      -6.5740      1.00000
    162      -6.5565      1.00000
    163      -6.5433      1.00000
    164      -6.5348      1.00000
    165      -6.5284      1.00000
    166      -6.4336      1.00000
    167      -6.3710      1.00000
    168      -6.3268      1.00000
    169      -6.3080      1.00000
    170      -6.2494      1.00000
    171      -6.1933      1.00000
    172      -6.1343      1.00000
    173      -6.0217      1.00000
    174      -6.0076      1.00000
    175      -5.7883      1.00000
    176      -5.7690      1.00000
    177      -5.7404      1.00000
    178      -5.6443      1.00000
    179      -5.5741      1.00000
    180      -5.4186      1.00000
    181      -5.3249      1.00000
    182      -5.1157      1.00000
    183      -5.0838      1.00000
    184      -5.0405      1.00000
    185      -4.9754      1.00000
    186      -4.9498      1.00000
    187      -4.9475      1.00000
    188      -4.8320      1.00000
    189      -4.7550      1.00000
    190      -4.7146      1.00000
    191      -4.5365      1.00000
    192      -4.5292      1.00000
    193      -4.4522      1.00000
    194      -3.9924      1.00000
    195      -3.5062      1.00000
    196      -1.6140      1.00000
    197       0.9399      0.00000
    198       1.5253      0.00000
    199       1.5571      0.00000
    200       1.5669      0.00000
    201       1.6131      0.00000
    202       1.6691      0.00000
    203       1.7008      0.00000
    204       1.7844      0.00000
    205       1.8035      0.00000
    206       1.8183      0.00000
    207       1.8393      0.00000
    208       1.8618      0.00000
    209       1.8736      0.00000
    210       1.8896      0.00000
    211       1.9921      0.00000
    212       2.0099      0.00000
    213       2.0182      0.00000
    214       2.0889      0.00000
    215       2.1602      0.00000
    216       2.1754      0.00000
    217       2.3155      0.00000
    218       2.3306      0.00000
    219       2.3450      0.00000
    220       2.3505      0.00000
    221       2.3625      0.00000
    222       2.3975      0.00000
    223       2.4431      0.00000
    224       2.4582      0.00000
    225       2.4994      0.00000
    226       2.5361      0.00000
    227       2.5887      0.00000
    228       2.6098      0.00000
    229       2.6152      0.00000
    230       2.6388      0.00000
    231       2.6812      0.00000
    232       2.6961      0.00000
    233       2.7257      0.00000
    234       2.8287      0.00000
    235       2.8955      0.00000
    236       2.8997      0.00000
    237       2.9164      0.00000
    238       2.9290      0.00000
    239       2.9459      0.00000
    240       2.9920      0.00000
    241       3.1174      0.00000
    242       3.3461      0.00000
    243       3.4026      0.00000
    244       3.5215      0.00000
    245       3.5493      0.00000
    246       3.5534      0.00000
    247       3.5712      0.00000
    248       3.5735      0.00000
    249       3.5847      0.00000
    250       3.5932      0.00000
    251       3.5962      0.00000
    252       3.6071      0.00000
 Fermi energy:        -2.8883672137

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -23.9484      1.00000
      2     -23.6057      1.00000
      3     -23.5897      1.00000
      4     -23.5366      1.00000
      5     -23.4046      1.00000
      6     -23.2951      1.00000
      7     -23.0070      1.00000
      8     -22.6900      1.00000
      9     -22.6848      1.00000
     10     -22.6323      1.00000
     11     -22.6155      1.00000
     12     -22.5766      1.00000
     13     -22.5155      1.00000
     14     -22.2576      1.00000
     15     -22.2263      1.00000
     16     -22.1526      1.00000
     17     -22.0458      1.00000
     18     -21.8656      1.00000
     19     -21.5461      1.00000
     20     -21.3835      1.00000
     21     -21.3761      1.00000
     22     -21.3285      1.00000
     23     -21.3131      1.00000
     24     -21.2989      1.00000
     25     -21.2975      1.00000
     26     -21.1248      1.00000
     27     -21.0881      1.00000
     28     -21.0427      1.00000
     29     -21.0177      1.00000
     30     -20.9767      1.00000
     31     -20.8753      1.00000
     32     -20.7301      1.00000
     33     -20.7170      1.00000
     34     -20.6278      1.00000
     35     -20.5616      1.00000
     36     -20.4204      1.00000
     37     -20.3552      1.00000
     38     -20.3359      1.00000
     39     -20.3091      1.00000
     40     -20.2421      1.00000
     41     -20.2150      1.00000
     42     -20.1519      1.00000
     43     -20.0858      1.00000
     44     -19.9437      1.00000
     45     -19.8856      1.00000
     46     -19.5269      1.00000
     47     -19.1408      1.00000
     48     -18.6984      1.00000
     49     -17.3965      1.00000
     50     -14.0629      1.00000
     51     -13.9973      1.00000
     52     -13.9637      1.00000
