
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.2766      1.00000
      2     -23.9129      1.00000
      3     -23.8865      1.00000
      4     -23.8729      1.00000
      5     -23.8633      1.00000
      6     -23.8482      1.00000
      7     -23.7079      1.00000
      8     -23.1003      1.00000
      9     -23.0768      1.00000
     10     -23.0709      1.00000
     11     -23.0588      1.00000
     12     -23.0458      1.00000
     13     -22.9298      1.00000
     14     -22.7118      1.00000
     15     -22.7081      1.00000
     16     -22.6928      1.00000
     17     -22.6823      1.00000
     18     -22.6685      1.00000
     19     -22.4274      1.00000
     20     -21.7257      1.00000
     21     -21.7212      1.00000
     22     -21.7183      1.00000
     23     -21.6937      1.00000
     24     -21.6912      1.00000
     25     -21.6837      1.00000
     26     -21.6820      1.00000
     27     -21.6743      1.00000
     28     -21.6665      1.00000
     29     -21.6441      1.00000
     30     -21.6386      1.00000
     31     -21.4287      1.00000
     32     -21.2852      1.00000
     33     -21.2628      1.00000
     34     -21.2514      1.00000
     35     -21.2343      1.00000
     36     -21.2321      1.00000
     37     -20.9881      1.00000
     38     -20.7836      1.00000
     39     -20.7728      1.00000
     40     -20.7666      1.00000
     41     -20.7491      1.00000
     42     -20.7384      1.00000
     43     -20.6543      1.00000
     44     -20.6132      1.00000
     45     -20.5863      1.00000
     46     -20.5834      1.00000
     47     -20.5583      1.00000
     48     -20.5478      1.00000
     49     -14.4130      1.00000
     50     -14.3927      1.00000
     51     -14.3883      1.00000
     52     -14.3750      1.00000
     53     -14.3189      1.00000
     54     -14.3024      1.00000
     55     -14.2946      1.00000
     56     -14.1879      1.00000
     57     -14.1622      1.00000
     58     -14.1536      1.00000
     59     -14.0278      1.00000
     60     -14.0092      1.00000
     61     -13.7581      1.00000
     62     -13.6243      1.00000
     63     -13.5989      1.00000
     64     -13.5929      1.00000
     65     -13.4399      1.00000
     66     -13.4335      1.00000
     67     -13.3433      1.00000
     68     -12.8997      1.00000
     69     -12.8916      1.00000
     70     -12.8721      1.00000
     71     -12.8656      1.00000
     72     -12.8641      1.00000
     73     -12.8556      1.00000
     74     -12.8553      1.00000
     75     -12.8471      1.00000
     76     -12.8409      1.00000
     77     -12.5604      1.00000
     78     -12.5409      1.00000
     79     -12.1559      1.00000
     80     -12.1358      1.00000
     81     -12.1324      1.00000
     82     -12.1219      1.00000
     83     -11.9508      1.00000
     84     -11.9112      1.00000
     85     -11.7883      1.00000
     86     -11.3759      1.00000
     87     -11.3719      1.00000
     88     -11.3585      1.00000
     89     -11.2019      1.00000
     90     -11.1814      1.00000
     91     -10.7496      1.00000
     92     -10.5830      1.00000
     93     -10.5732      1.00000
     94     -10.5694      1.00000
     95     -10.5550      1.00000
     96     -10.4839      1.00000
     97     -10.4759      1.00000
     98     -10.4653      1.00000
     99     -10.1794      1.00000
    100     -10.1727      1.00000
    101     -10.1353      1.00000
    102     -10.1282      1.00000
    103     -10.1205      1.00000
    104     -10.0904      1.00000
    105     -10.0891      1.00000
    106     -10.0696      1.00000
    107     -10.0683      1.00000
    108     -10.0669      1.00000
    109     -10.0623      1.00000
    110     -10.0579      1.00000
    111     -10.0502      1.00000
    112     -10.0481      1.00000
    113     -10.0227      1.00000
    114     -10.0048      1.00000
    115      -9.9953      1.00000
    116      -9.9832      1.00000
    117      -9.9739      1.00000
    118      -9.9614      1.00000
    119      -9.8701      1.00000
    120      -9.6106      1.00000
    121      -9.5710      1.00000
    122      -9.3536      1.00000
    123      -9.3291      1.00000
    124      -9.3133      1.00000
    125      -9.3088      1.00000
    126      -9.0610      1.00000
    127      -9.0552      1.00000
    128      -8.9757      1.00000
    129      -8.9181      1.00000
    130      -8.8770      1.00000
    131      -8.8647      1.00000
    132      -8.8568      1.00000
    133      -8.8520      1.00000
    134      -8.6223      1.00000
    135      -8.6215      1.00000
    136      -8.6043      1.00000
    137      -8.5805      1.00000
    138      -8.5730      1.00000
    139      -8.5249      1.00000
    140      -8.5145      1.00000
    141      -8.4891      1.00000
    142      -8.4852      1.00000
    143      -8.4811      1.00000
    144      -8.4600      1.00000
    145      -8.3831      1.00000
    146      -8.3670      1.00000
    147      -8.3473      1.00000
    148      -8.3419      1.00000
    149      -8.3186      1.00000
    150      -8.1991      1.00000
    151      -8.1670      1.00000
    152      -8.1325      1.00000
    153      -8.0562      1.00000
    154      -8.0439      1.00000
    155      -8.0401      1.00000
    156      -7.4199      1.00000
    157      -7.4193      1.00000
    158      -7.4047      1.00000
    159      -7.1899      1.00000
    160      -7.1596      1.00000
    161      -7.1567      1.00000
    162      -7.1405      1.00000
    163      -7.0171      1.00000
    164      -6.9168      1.00000
    165      -6.9156      1.00000
    166      -6.9120      1.00000
    167      -6.9082      1.00000
