
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.4542      1.00000
      2     -24.1898      1.00000
      3     -24.0640      1.00000
      4     -24.0159      1.00000
      5     -23.9549      1.00000
      6     -23.8793      1.00000
      7     -23.8418      1.00000
      8     -23.3512      1.00000
      9     -23.2580      1.00000
     10     -23.2349      1.00000
     11     -23.1817      1.00000
     12     -23.0928      1.00000
     13     -23.0056      1.00000
     14     -22.9054      1.00000
     15     -22.8407      1.00000
     16     -22.8251      1.00000
     17     -22.7638      1.00000
     18     -22.6500      1.00000
     19     -22.4542      1.00000
     20     -22.0188      1.00000
     21     -21.9319      1.00000
     22     -21.8851      1.00000
     23     -21.8493      1.00000
     24     -21.8063      1.00000
     25     -21.7798      1.00000
     26     -21.7607      1.00000
     27     -21.7563      1.00000
     28     -21.7259      1.00000
     29     -21.6723      1.00000
     30     -21.5713      1.00000
     31     -21.4688      1.00000
     32     -21.4495      1.00000
     33     -21.3224      1.00000
     34     -21.2841      1.00000
     35     -21.2498      1.00000
     36     -21.1829      1.00000
     37     -20.9950      1.00000
     38     -20.9099      1.00000
     39     -20.8798      1.00000
     40     -20.8327      1.00000
     41     -20.8224      1.00000
     42     -20.7664      1.00000
     43     -20.7218      1.00000
     44     -20.6442      1.00000
     45     -20.6370      1.00000
     46     -20.5992      1.00000
     47     -20.5025      1.00000
     48     -18.9539      1.00000
     49     -14.6487      1.00000
     50     -14.5605      1.00000
     51     -14.5499      1.00000
     52     -14.4860      1.00000
     53     -14.4290      1.00000
     54     -14.4036      1.00000
     55     -14.3051      1.00000
     56     -14.2531      1.00000
     57     -14.2478      1.00000
     58     -14.2104      1.00000
     59     -14.0889      1.00000
     60     -14.0089      1.00000
     61     -13.7863      1.00000
     62     -13.7553      1.00000
     63     -13.6764      1.00000
     64     -13.6247      1.00000
     65     -13.5591      1.00000
     66     -13.4577      1.00000
     67     -13.2563      1.00000
     68     -13.0982      1.00000
     69     -13.0660      1.00000
     70     -13.0025      1.00000
     71     -12.9465      1.00000
     72     -12.9305      1.00000
     73     -12.9220      1.00000
     74     -12.8991      1.00000
     75     -12.8565      1.00000
     76     -12.7951      1.00000
     77     -12.6352      1.00000
     78     -12.5237      1.00000
     79     -12.2219      1.00000
     80     -12.1998      1.00000
     81     -12.1164      1.00000
     82     -12.0703      1.00000
