
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3727      1.00000
      2     -24.0621      1.00000
      3     -24.0350      1.00000
      4     -23.9484      1.00000
      5     -23.8966      1.00000
      6     -23.8603      1.00000
      7     -23.6358      1.00000
      8     -23.2312      1.00000
      9     -23.1743      1.00000
     10     -23.1685      1.00000
     11     -23.0918      1.00000
     12     -23.0575      1.00000
     13     -22.9492      1.00000
     14     -22.7725      1.00000
     15     -22.7571      1.00000
     16     -22.7391      1.00000
     17     -22.7022      1.00000
     18     -22.5757      1.00000
     19     -22.2840      1.00000
     20     -21.9683      1.00000
     21     -21.8464      1.00000
     22     -21.8020      1.00000
     23     -21.7833      1.00000
     24     -21.7762      1.00000
     25     -21.7386      1.00000
     26     -21.7048      1.00000
     27     -21.6791      1.00000
     28     -21.6429      1.00000
     29     -21.5533      1.00000
     30     -21.5249      1.00000
     31     -21.3890      1.00000
     32     -21.3136      1.00000
     33     -21.3008      1.00000
     34     -21.2330      1.00000
     35     -21.2000      1.00000
     36     -21.0848      1.00000
     37     -20.8933      1.00000
     38     -20.8815      1.00000
     39     -20.8210      1.00000
     40     -20.7914      1.00000
     41     -20.7184      1.00000
     42     -20.7099      1.00000
     43     -20.6505      1.00000
     44     -20.5865      1.00000
     45     -20.5651      1.00000
     46     -20.4812      1.00000
     47     -20.2633      1.00000
     48     -20.0257      1.00000
     49     -14.6124      1.00000
     50     -14.4828      1.00000
     51     -14.4703      1.00000
     52     -14.4526      1.00000
     53     -14.3878      1.00000
     54     -14.3244      1.00000
     55     -14.3127      1.00000
     56     -14.2307      1.00000
     57     -14.1889      1.00000
     58     -14.0999      1.00000
     59     -14.0309      1.00000
     60     -13.9099      1.00000
     61     -13.7582      1.00000
     62     -13.7311      1.00000
     63     -13.6179      1.00000
     64     -13.5212      1.00000
     65     -13.4829      1.00000
     66     -13.4675      1.00000
     67     -13.2843      1.00000
     68     -13.0144      1.00000
     69     -13.0074      1.00000
     70     -12.9390      1.00000
     71     -12.8911      1.00000
     72     -12.8814      1.00000
     73     -12.8180      1.00000
     74     -12.8102      1.00000
     75     -12.7508      1.00000
     76     -12.7275      1.00000
     77     -12.6625      1.00000
     78     -12.5491      1.00000
     79     -12.1854      1.00000
     80     -12.1533      1.00000
     81     -12.1292      1.00000
     82     -11.9750      1.00000
     83     -11.9313      1.00000
     84     -11.8593      1.00000
     85     -11.5855      1.00000
     86     -11.3925      1.00000
     87     -11.3393      1.00000
     88     -11.2937      1.00000
     89     -11.2541      1.00000
     90     -10.9129      1.00000
     91     -10.7057      1.00000
     92     -10.6856      1.00000
     93     -10.6219      1.00000
     94     -10.5797      1.00000
     95     -10.5785      1.00000
     96     -10.5429      1.00000
     97     -10.4748      1.00000
     98     -10.4394      1.00000
     99     -10.3377      1.00000
    100     -10.2770      1.00000
    101     -10.2220      1.00000
    102     -10.1827      1.00000
    103     -10.1746      1.00000
    104     -10.1664      1.00000
    105     -10.1648      1.00000
    106     -10.1558      1.00000
    107     -10.1300      1.00000
    108     -10.0977      1.00000
    109     -10.0956      1.00000
    110     -10.0520      1.00000
    111     -10.0459      1.00000
    112     -10.0224      1.00000
    113     -10.0000      1.00000
    114      -9.9875      1.00000
    115      -9.9691      1.00000
    116      -9.9386      1.00000
    117      -9.7223      1.00000
    118      -9.6608      1.00000
    119      -9.6237      1.00000
    120      -9.4301      1.00000
    121      -9.4191      1.00000
    122      -9.4024      1.00000
    123      -9.3282      1.00000
    124      -9.2338      1.00000
    125      -9.1762      1.00000
    126      -9.0189      1.00000
    127      -9.0184      1.00000
    128      -8.9514      1.00000
    129      -8.9497      1.00000
    130      -8.8952      1.00000
    131      -8.8893      1.00000
    132      -8.8415      1.00000
    133      -8.7879      1.00000
    134      -8.7100      1.00000
    135      -8.6385      1.00000
    136      -8.5893      1.00000
    137      -8.5789      1.00000
    138      -8.4931      1.00000
    139      -8.4830      1.00000
    140      -8.4527      1.00000
    141      -8.4202      1.00000
    142      -8.4119      1.00000
    143      -8.4037      1.00000
    144      -8.3796      1.00000
    145      -8.3717      1.00000
    146      -8.3558      1.00000
    147      -8.3365      1.00000
    148      -8.3176      1.00000
    149      -8.2411      1.00000
    150      -8.2407      1.00000
    151      -8.0952      1.00000
    152      -8.0922      1.00000
    153      -7.9362      1.00000
    154      -7.9160      1.00000
    155      -7.4479      1.00000
    156      -7.3289      1.00000
    157      -7.3168      1.00000
    158      -7.2195      1.00000
    159      -7.1584      1.00000
    160      -7.1177      1.00000
    161      -7.0643      1.00000
    162      -7.0420      1.00000
    163      -7.0354      1.00000
    164      -6.9845      1.00000
    165      -6.9789      1.00000
    166      -6.9353      1.00000
    167      -6.9092      1.00000
    168      -6.8788      1.00000
    169      -6.8439      1.00000
    170      -6.8061      1.00000
    171      -6.6861      1.00000
    172      -6.5323      1.00000
    173      -6.5078      1.00000
    174      -6.5010      1.00000
    175      -6.3244      1.00000
    176      -6.3104      1.00000
    177      -6.3016      1.00000
    178      -6.2204      1.00000
    179      -6.2033      1.00000
    180      -6.1035      1.00000
    181      -5.8023      1.00000
    182      -5.6276      1.00000
    183      -5.5871      1.00000
    184      -5.5454      1.00000
    185      -5.5433      1.00000
    186      -5.4426      1.00000
    187      -5.4367      1.00000
    188      -5.3303      1.00000
    189      -5.2673      1.00000
    190      -5.2114      1.00000
    191      -5.1787      1.00000
    192      -5.0434      1.00000
    193      -4.9198      1.00000
    194      -2.2120      1.00000
    195      -1.0325      0.00000
    196       0.3614      1.00000
    197       0.9652      0.00000
    198       1.0187      0.00000
    199       1.0271      0.00000
    200       1.1064      0.00000
    201       1.1095      0.00000
    202       1.1357      0.00000
    203       1.1457      0.00000
    204       1.1614      0.00000
    205       1.2423      0.00000
    206       1.3176      0.00000
    207       1.3516      0.00000
    208       1.4037      0.00000
    209       1.4079      0.00000
    210       1.5100      0.00000
    211       1.5686      0.00000
    212       1.5915      0.00000
    213       1.6294      0.00000
    214       1.6572      0.00000
    215       1.7048      0.00000
    216       1.7612      0.00000
    217       1.7659      0.00000
    218       1.7829      0.00000
    219       1.8019      0.00000
    220       1.8514      0.00000
    221       1.8747      0.00000
    222       1.9009      0.00000
    223       1.9094      0.00000
    224       1.9291      0.00000
    225       1.9356      0.00000
    226       1.9435      0.00000
    227       1.9518      0.00000
    228       1.9583      0.00000
    229       2.0148      0.00000
    230       2.0386      0.00000
    231       2.0531      0.00000
    232       2.0655      0.00000
    233       2.1556      0.00000
    234       2.3139      0.00000
    235       2.3709      0.00000
    236       2.3719      0.00000
    237       2.3995      0.00000
