
 Fermi energy:        -0.1487804764

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -23.9619      1.00000
      2     -23.6327      1.00000
      3     -23.6022      1.00000
      4     -23.5675      1.00000
      5     -23.4426      1.00000
      6     -23.3601      1.00000
      7     -23.0582      1.00000
      8     -22.7106      1.00000
      9     -22.7007      1.00000
     10     -22.6754      1.00000
     11     -22.6605      1.00000
     12     -22.6560      1.00000
     13     -22.5635      1.00000
     14     -22.2910      1.00000
     15     -22.2569      1.00000
     16     -22.2440      1.00000
     17     -22.1432      1.00000
     18     -22.0069      1.00000
     19     -21.6383      1.00000
     20     -21.4012      1.00000
     21     -21.3890      1.00000
     22     -21.3836      1.00000
     23     -21.3721      1.00000
     24     -21.3455      1.00000
     25     -21.3374      1.00000
     26     -21.1778      1.00000
     27     -21.1656      1.00000
     28     -21.1349      1.00000
     29     -21.0741      1.00000
     30     -21.0681      1.00000
     31     -20.9800      1.00000
     32     -20.7955      1.00000
     33     -20.7938      1.00000
     34     -20.7705      1.00000
     35     -20.6649      1.00000
     36     -20.5862      1.00000
     37     -20.4283      1.00000
     38     -20.3816      1.00000
     39     -20.3691      1.00000
     40     -20.3157      1.00000
     41     -20.2812      1.00000
     42     -20.2689      1.00000
     43     -20.2440      1.00000
     44     -20.1551      1.00000
     45     -20.1080      1.00000
     46     -19.9792      1.00000
     47     -19.3350      1.00000
     48     -19.0397      1.00000
     49     -14.0749      1.00000
     50     -14.0122      1.00000
     51     -14.0000      1.00000
     52     -13.9952      1.00000
     53     -13.9709      1.00000
     54     -13.9535      1.00000
     55     -13.8560      1.00000
     56     -13.7966      1.00000
     57     -13.7771      1.00000
     58     -13.5297      1.00000
     59     -13.4148      1.00000
     60     -13.3915      1.00000
     61     -13.2433      1.00000
     62     -13.2199      1.00000
     63     -13.1799      1.00000
     64     -13.0508      1.00000
     65     -12.9913      1.00000
     66     -12.9577      1.00000
     67     -12.6796      1.00000
     68     -12.4961      1.00000
     69     -12.4853      1.00000
     70     -12.4789      1.00000
     71     -12.4595      1.00000
     72     -12.4533      1.00000
