
 Fermi energy:        -1.4016582575

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -23.9658      1.00000
      2     -23.6458      1.00000
      3     -23.6053      1.00000
      4     -23.5685      1.00000
      5     -23.4203      1.00000
      6     -23.3631      1.00000
      7     -23.0260      1.00000
      8     -22.7188      1.00000
      9     -22.7063      1.00000
     10     -22.6707      1.00000
     11     -22.6506      1.00000
     12     -22.6469      1.00000
     13     -22.5513      1.00000
     14     -22.2925      1.00000
     15     -22.2713      1.00000
     16     -22.2185      1.00000
     17     -22.0618      1.00000
     18     -21.9879      1.00000
     19     -21.5733      1.00000
     20     -21.4199      1.00000
     21     -21.4022      1.00000
     22     -21.3765      1.00000
     23     -21.3750      1.00000
     24     -21.3585      1.00000
     25     -21.3524      1.00000
     26     -21.1889      1.00000
     27     -21.1526      1.00000
     28     -21.1314      1.00000
     29     -21.0839      1.00000
     30     -21.0584      1.00000
     31     -20.9797      1.00000
     32     -20.8251      1.00000
     33     -20.8015      1.00000
     34     -20.7310      1.00000
     35     -20.6541      1.00000
     36     -20.5841      1.00000
     37     -20.4414      1.00000
     38     -20.4170      1.00000
     39     -20.3837      1.00000
     40     -20.3322      1.00000
     41     -20.3240      1.00000
     42     -20.2603      1.00000
     43     -20.2306      1.00000
     44     -20.1237      1.00000
     45     -20.0186      1.00000
     46     -19.7900      1.00000
     47     -18.9823      1.00000
     48     -14.0637      1.00000
     49     -14.0521      1.00000
     50     -14.0335      1.00000
     51     -14.0076      1.00000
     52     -13.9724      1.00000
     53     -13.9679      1.00000
     54     -13.8779      1.00000
     55     -13.8702      1.00000
     56     -13.8198      1.00000
     57     -13.4846      1.00000
     58     -13.4382      1.00000
     59     -13.4004      1.00000
     60     -13.3097      1.00000
     61     -13.2892      1.00000
     62     -13.1486      1.00000
     63     -13.1243      1.00000
     64     -12.9574      1.00000
     65     -12.9394      1.00000
     66     -12.7082      1.00000
     67     -12.6535      1.00000
     68     -12.5250      1.00000
     69     -12.5100      1.00000
     70     -12.4921      1.00000
     71     -12.4571      1.00000
     72     -12.4271      1.00000
     73     -12.3378      1.00000
     74     -12.2872      1.00000
     75     -12.0414      1.00000
     76     -11.9339      1.00000
     77     -11.8904      1.00000
     78     -11.7858      1.00000
     79     -11.7557      1.00000
     80     -11.5934      1.00000
     81     -11.4796      1.00000
     82     -11.3750      1.00000
     83     -11.3335      1.00000
     84     -11.1229      1.00000
     85     -11.0213      1.00000
     86     -10.8573      1.00000
     87     -10.7723      1.00000
     88     -10.5661      1.00000
     89     -10.4498      1.00000
     90     -10.3475      1.00000
     91     -10.2395      1.00000
     92     -10.2223      1.00000
     93     -10.1516      1.00000
     94     -10.1376      1.00000
     95     -10.0964      1.00000
     96     -10.0890      1.00000
     97      -9.9611      1.00000
     98      -9.9476      1.00000
     99      -9.7949      1.00000
    100      -9.7866      1.00000
    101      -9.7737      1.00000
    102      -9.7587      1.00000
    103      -9.7552      1.00000
    104      -9.7321      1.00000
    105      -9.7290      1.00000
    106      -9.7035      1.00000
    107      -9.6962      1.00000
    108      -9.6239      1.00000
    109      -9.5931      1.00000
    110      -9.5642      1.00000
    111      -9.5545      1.00000
    112      -9.5227      1.00000
    113      -9.5099      1.00000
    114      -9.4665      1.00000
    115      -9.3558      1.00000
    116      -9.2808      1.00000
    117      -9.1873      1.00000
    118      -9.1276      1.00000
    119      -9.0596      1.00000
    120      -8.9816      1.00000
    121      -8.9591      1.00000
    122      -8.9262      1.00000
    123      -8.7544      1.00000
    124      -8.5667      1.00000
    125      -8.5351      1.00000
    126      -8.5255      1.00000
    127      -8.4909      1.00000
    128      -8.4754      1.00000
    129      -8.4551      1.00000
    130      -8.3849      1.00000
    131      -8.3767      1.00000
    132      -8.3341      1.00000
    133      -8.2932      1.00000
    134      -8.2610      1.00000
    135      -8.2199      1.00000
    136      -8.2064      1.00000
    137      -8.1273      1.00000
    138      -8.1119      1.00000
    139      -8.0237      1.00000
    140      -7.9792      1.00000
    141      -7.9517      1.00000
    142      -7.9208      1.00000
    143      -7.8801      1.00000
    144      -7.8218      1.00000
    145      -7.8095      1.00000
    146      -7.7669      1.00000
    147      -7.7428      1.00000
    148      -7.6964      1.00000
    149      -7.6080      1.00000
    150      -7.5670      1.00000
    151      -7.5182      1.00000
    152      -7.2506      1.00000
    153      -7.1964      1.00000
    154      -6.9987      1.00000
    155      -6.9055      1.00000
    156      -6.8525      1.00000
    157      -6.7287      1.00000
    158      -6.6922      1.00000
    159      -6.6528      1.00000
    160      -6.6451      1.00000
    161      -6.6193      1.00000
    162      -6.6141      1.00000
    163      -6.6007      1.00000
    164      -6.5885      1.00000
    165      -6.5592      1.00000
    166      -6.4165      1.00000
    167      -6.3726      1.00000
    168      -6.3456      1.00000
    169      -6.2948      1.00000
    170      -6.1900      1.00000
    171      -6.1240      1.00000
    172      -6.0603      1.00000
    173      -6.0401      1.00000
    174      -5.9015      1.00000
    175      -5.8456      1.00000
    176      -5.7547      1.00000
    177      -5.6758      1.00000
    178      -5.4999      1.00000
    179      -5.2694      1.00000
    180      -5.1894      1.00000
    181      -5.1763      1.00000
    182      -5.1397      1.00000
    183      -5.0660      1.00000
    184      -4.9917      1.00000
    185      -4.9599      1.00000
    186      -4.8845      1.00000
    187      -4.7955      1.00000
    188      -4.7096      1.00000
    189      -4.5431      1.00000
    190      -3.9840      1.00000
    191      -3.5469      1.00000
    192      -3.0566      1.00000
    193      -1.8359      1.00000
    194      -1.6719      1.00000
    195       0.8755      0.00000
    196       1.0392      0.00000
    197       1.2575      0.00000
    198       1.4783      0.00000
    199       1.5210      0.00000
    200       1.5259      0.00000
    201       1.6401      0.00000
    202       1.6704      0.00000
    203       1.6762      0.00000
    204       1.6800      0.00000
    205       1.7191      0.00000
    206       1.7252      0.00000
    207       1.7274      0.00000
    208       1.7524      0.00000
    209       1.7607      0.00000
    210       1.9175      0.00000
    211       1.9233      0.00000
    212       1.9408      0.00000
    213       1.9566      0.00000
    214       2.0138      0.00000
    215       2.1081      0.00000
    216       2.1896      0.00000
    217       2.2072      0.00000
    218       2.2500      0.00000
    219       2.2727      0.00000
    220       2.2863      0.00000
    221       2.2968      0.00000
