
 Fermi energy:        -4.1465717660

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.0044      1.00000
      2     -24.7059      1.00000
      3     -24.4726      1.00000
      4     -24.3482      1.00000
      5     -24.2361      1.00000
      6     -24.1714      1.00000
      7     -24.0436      1.00000
      8     -23.7890      1.00000
      9     -23.7171      1.00000
     10     -23.6245      1.00000
     11     -23.4904      1.00000
     12     -23.4406      1.00000
     13     -23.3185      1.00000
     14     -23.1502      1.00000
     15     -23.1478      1.00000
     16     -23.1310      1.00000
     17     -23.1018      1.00000
     18     -23.0078      1.00000
     19     -22.7496      1.00000
     20     -22.6095      1.00000
     21     -22.4366      1.00000
     22     -22.3650      1.00000
     23     -22.2171      1.00000
     24     -22.2032      1.00000
     25     -22.1019      1.00000
     26     -22.0709      1.00000
     27     -22.0377      1.00000
     28     -22.0107      1.00000
     29     -21.9309      1.00000
     30     -21.8482      1.00000
     31     -21.8009      1.00000
     32     -21.7527      1.00000
     33     -21.6297      1.00000
     34     -21.5862      1.00000
     35     -21.5804      1.00000
     36     -21.5504      1.00000
     37     -21.3508      1.00000
     38     -21.2538      1.00000
     39     -21.2108      1.00000
     40     -21.1747      1.00000
     41     -21.0613      1.00000
     42     -21.0149      1.00000
     43     -21.0110      1.00000
     44     -20.9224      1.00000
     45     -20.8949      1.00000
     46     -20.8579      1.00000
     47     -20.7807      1.00000
     48     -15.4043      1.00000
     49     -15.2524      1.00000
     50     -15.0777      1.00000
     51     -14.9363      1.00000
     52     -14.9032      1.00000
     53     -14.7867      1.00000
     54     -14.6729      1.00000
     55     -14.6530      1.00000
     56     -14.6143      1.00000
     57     -14.5152      1.00000
     58     -14.4540      1.00000
     59     -14.4392      1.00000
     60     -14.2679      1.00000
     61     -14.2188      1.00000
     62     -14.1311      1.00000
     63     -14.0065      1.00000
     64     -13.9006      1.00000
     65     -13.8556      1.00000
     66     -13.7589      1.00000
     67     -13.6687      1.00000
     68     -13.5007      1.00000
     69     -13.4561      1.00000
     70     -13.3448      1.00000
     71     -13.3233      1.00000
     72     -13.2760      1.00000
     73     -13.2429      1.00000
     74     -13.1934      1.00000
     75     -13.1571      1.00000
     76     -13.0005      1.00000
     77     -12.8925      1.00000
     78     -12.7020      1.00000
     79     -12.6094      1.00000
     80     -12.5501      1.00000
     81     -12.5119      1.00000
     82     -12.3992      1.00000
     83     -12.3247      1.00000
     84     -12.1428      1.00000
     85     -12.0796      1.00000
     86     -11.8338      1.00000
     87     -11.8223      1.00000
     88     -11.6708      1.00000
     89     -11.5546      1.00000
     90     -11.3511      1.00000
     91     -11.2597      1.00000
     92     -11.1483      1.00000
     93     -11.1168      1.00000
     94     -11.0986      1.00000
     95     -10.9965      1.00000
     96     -10.9599      1.00000
     97     -10.8782      1.00000
     98     -10.8482      1.00000
     99     -10.7967      1.00000
    100     -10.7756      1.00000
    101     -10.7071      1.00000
    102     -10.6639      1.00000
    103     -10.6164      1.00000
    104     -10.5771      1.00000
    105     -10.5452      1.00000
    106     -10.5414      1.00000
    107     -10.4949      1.00000
    108     -10.4682      1.00000
    109     -10.4518      1.00000
    110     -10.4330      1.00000
    111     -10.4213      1.00000
