
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -29.8124      1.00000
      2     -25.7952      1.00000
      3     -25.1082      1.00000
      4     -24.7169      1.00000
      5     -24.5489      1.00000
      6     -24.4689      1.00000
      7     -24.4343      1.00000
      8     -24.3460      1.00000
      9     -24.2881      1.00000
     10     -23.9824      1.00000
     11     -23.8344      1.00000
     12     -23.7598      1.00000
     13     -23.6812      1.00000
     14     -23.5631      1.00000
     15     -23.4318      1.00000
     16     -23.3783      1.00000
     17     -23.3769      1.00000
     18     -23.3457      1.00000
     19     -23.2562      1.00000
     20     -23.1630      1.00000
     21     -22.8895      1.00000
     22     -22.7347      1.00000
     23     -22.5885      1.00000
     24     -22.5415      1.00000
     25     -22.4375      1.00000
     26     -22.3473      1.00000
     27     -22.3284      1.00000
     28     -22.2671      1.00000
     29     -22.2460      1.00000
     30     -22.2432      1.00000
     31     -22.0820      1.00000
     32     -22.0606      1.00000
     33     -22.0177      1.00000
     34     -21.8880      1.00000
     35     -21.8243      1.00000
     36     -21.8237      1.00000
     37     -21.7823      1.00000
     38     -21.7671      1.00000
     39     -21.4717      1.00000
     40     -21.4703      1.00000
     41     -21.4197      1.00000
     42     -21.4119      1.00000
     43     -21.2260      1.00000
     44     -21.2142      1.00000
     45     -21.1551      1.00000
     46     -21.1542      1.00000
     47     -21.0902      1.00000
     48     -21.0876      1.00000
     49     -19.9622      1.00000
     50     -16.6012      1.00000
     51     -16.4932      1.00000
     52     -15.4945      1.00000
     53     -15.1586      1.00000
     54     -15.1321      1.00000
     55     -14.9386      1.00000
     56     -14.8494      1.00000
     57     -14.8294      1.00000
     58     -14.8004      1.00000
     59     -14.7545      1.00000
     60     -14.7256      1.00000
     61     -14.6999      1.00000
     62     -14.6580      1.00000
     63     -14.5423      1.00000
     64     -14.4269      1.00000
     65     -14.2318      1.00000
     66     -14.2103      1.00000
     67     -14.0612      1.00000
     68     -13.9568      1.00000
     69     -13.8752      1.00000
     70     -13.7510      1.00000
     71     -13.6523      1.00000
     72     -13.6233      1.00000
