
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -28.2841      1.00000
      2     -24.3881      1.00000
      3     -24.1421      1.00000
      4     -24.1416      1.00000
      5     -24.0071      1.00000
      6     -24.0068      1.00000
      7     -23.9473      1.00000
      8     -23.7451      1.00000
      9     -23.3790      1.00000
     10     -23.3790      1.00000
     11     -23.2377      1.00000
     12     -23.2282      1.00000
     13     -23.2280      1.00000
     14     -22.9752      1.00000
     15     -22.9161      1.00000
     16     -22.9157      1.00000
     17     -22.8489      1.00000
     18     -22.8410      1.00000
     19     -22.8410      1.00000
     20     -22.3176      1.00000
     21     -22.1279      1.00000
     22     -22.1278      1.00000
     23     -21.8913      1.00000
     24     -21.8664      1.00000
     25     -21.8663      1.00000
     26     -21.8290      1.00000
     27     -21.8150      1.00000
     28     -21.8148      1.00000
     29     -21.8067      1.00000
     30     -21.7940      1.00000
     31     -21.7937      1.00000
     32     -21.4959      1.00000
     33     -21.4885      1.00000
     34     -21.4884      1.00000
     35     -21.3881      1.00000
     36     -21.3528      1.00000
     37     -21.3528      1.00000
     38     -21.0319      1.00000
     39     -21.0315      1.00000
     40     -20.9353      1.00000
     41     -20.9058      1.00000
     42     -20.9054      1.00000
     43     -20.9042      1.00000
     44     -20.7856      1.00000
     45     -20.7854      1.00000
     46     -20.7306      1.00000
     47     -20.6865      1.00000
     48     -20.6732      1.00000
     49     -20.6731      1.00000
     50     -19.7462      1.00000
     51     -14.7808      1.00000
     52     -14.7807      1.00000
     53     -14.5888      1.00000
     54     -14.5495      1.00000
     55     -14.5493      1.00000
     56     -14.3768      1.00000
     57     -14.3504      1.00000
     58     -14.3502      1.00000
     59     -14.3084      1.00000
     60     -14.3084      1.00000
     61     -14.2842      1.00000
     62     -13.9801      1.00000
     63     -13.9798      1.00000
     64     -13.9717      1.00000
     65     -13.7996      1.00000
     66     -13.7145      1.00000
     67     -13.7142      1.00000
     68     -13.4456      1.00000
     69     -13.1984      1.00000
     70     -13.1983      1.00000
     71     -13.1346      1.00000
     72     -13.1346      1.00000
     73     -13.0705      1.00000
     74     -13.0013      1.00000
     75     -12.9942      1.00000
     76     -12.9915      1.00000
     77     -12.9914      1.00000
     78     -12.9800      1.00000
     79     -12.9799      1.00000
     80     -12.5867      1.00000
     81     -12.5780      1.00000
     82     -12.4308      1.00000
     83     -12.4305      1.00000
     84     -12.2557      1.00000
     85     -12.2557      1.00000
     86     -11.7335      1.00000
     87     -11.7334      1.00000
     88     -11.6970      1.00000
     89     -11.5469      1.00000
     90     -11.5468      1.00000
     91     -11.5125      1.00000
     92     -11.1280      1.00000
     93     -11.1279      1.00000
     94     -11.0349      1.00000
     95     -10.9966      1.00000
     96     -10.8963      1.00000
     97     -10.7088      1.00000
     98     -10.7087      1.00000
     99     -10.5587      1.00000
    100     -10.5583      1.00000
    101     -10.5105      1.00000
    102     -10.4697      1.00000
    103     -10.4467      1.00000
    104     -10.3740      1.00000
    105     -10.3737      1.00000
    106     -10.2864      1.00000
    107     -10.2807      1.00000
    108     -10.2806      1.00000
    109     -10.2425      1.00000
    110     -10.2391      1.00000
    111     -10.2391      1.00000
    112     -10.2010      1.00000
    113     -10.2007      1.00000
    114     -10.1921      1.00000
    115     -10.1777      1.00000
    116     -10.1775      1.00000
    117     -10.1739      1.00000
    118     -10.1576      1.00000
    119     -10.1575      1.00000
    120     -10.1128      1.00000
    121     -10.1125      1.00000
    122     -10.0495      1.00000
    123      -9.5825      1.00000
    124      -9.5824      1.00000
    125      -9.5190      1.00000
    126      -9.4678      1.00000
    127      -9.4504      1.00000
    128      -9.4502      1.00000
    129      -9.4486      1.00000
    130      -9.0806      1.00000
    131      -9.0804      1.00000
    132      -9.0679      1.00000
    133      -9.0677      1.00000
    134      -9.0344      1.00000
    135      -9.0217      1.00000
    136      -9.0214      1.00000
    137      -8.9497      1.00000
    138      -8.7772      1.00000
    139      -8.7674      1.00000
    140      -8.7672      1.00000
    141      -8.6572      1.00000
    142      -8.6139      1.00000
    143      -8.6138      1.00000
    144      -8.6029      1.00000
    145      -8.5921      1.00000
    146      -8.5920      1.00000
    147      -8.5833      1.00000
    148      -8.5353      1.00000
    149      -8.5352      1.00000
    150      -8.4855      1.00000
    151      -8.4855      1.00000
    152      -8.4820      1.00000
    153      -8.3774      1.00000
    154      -8.3772      1.00000
    155      -8.2807      1.00000
    156      -8.1888      1.00000
    157      -8.1886      1.00000
