# freq/cm-1  Intensity 
-1.99571e+02   5.59798e-05
-1.99071e+02   5.60203e-05
-1.98571e+02   5.60608e-05
-1.98071e+02   5.61015e-05
-1.97571e+02   5.61421e-05
-1.97071e+02   5.61828e-05
-1.96571e+02   5.62236e-05
-1.96071e+02   5.62644e-05
-1.95571e+02   5.63053e-05
-1.95071e+02   5.63462e-05
-1.94571e+02   5.63872e-05
-1.94071e+02   5.64282e-05
-1.93571e+02   5.64693e-05
-1.93071e+02   5.65105e-05
-1.92571e+02   5.65517e-05
-1.92071e+02   5.65929e-05
-1.91571e+02   5.66342e-05
-1.91071e+02   5.66756e-05
-1.90571e+02   5.67170e-05
-1.90071e+02   5.67585e-05
-1.89571e+02   5.68000e-05
-1.89071e+02   5.68416e-05
-1.88571e+02   5.68832e-05
-1.88071e+02   5.69249e-05
-1.87571e+02   5.69666e-05
-1.87071e+02   5.70084e-05
-1.86571e+02   5.70503e-05
-1.86071e+02   5.70922e-05
-1.85571e+02   5.71342e-05
-1.85071e+02   5.71762e-05
-1.84571e+02   5.72183e-05
-1.84071e+02   5.72604e-05
-1.83571e+02   5.73026e-05
-1.83071e+02   5.73449e-05
-1.82571e+02   5.73872e-05
-1.82071e+02   5.74295e-05
-1.81571e+02   5.74720e-05
-1.81071e+02   5.75144e-05
-1.80571e+02   5.75570e-05
-1.80071e+02   5.75996e-05
-1.79571e+02   5.76422e-05
-1.79071e+02   5.76849e-05
-1.78571e+02   5.77277e-05
-1.78071e+02   5.77705e-05
-1.77571e+02   5.78134e-05
-1.77071e+02   5.78563e-05
-1.76571e+02   5.78993e-05
-1.76071e+02   5.79424e-05
-1.75571e+02   5.79855e-05
-1.75071e+02   5.80287e-05
-1.74571e+02   5.80719e-05
-1.74071e+02   5.81152e-05
-1.73571e+02   5.81586e-05
-1.73071e+02   5.82020e-05
-1.72571e+02   5.82454e-05
-1.72071e+02   5.82890e-05
-1.71571e+02   5.83326e-05
-1.71071e+02   5.83762e-05
-1.70571e+02   5.84199e-05
-1.70071e+02   5.84637e-05
-1.69571e+02   5.85075e-05
-1.69071e+02   5.85514e-05
-1.68571e+02   5.85954e-05
-1.68071e+02   5.86394e-05
-1.67571e+02   5.86835e-05
-1.67071e+02   5.87276e-05
-1.66571e+02   5.87718e-05
-1.66071e+02   5.88161e-05
-1.65571e+02   5.88604e-05
-1.65071e+02   5.89048e-05
-1.64571e+02   5.89493e-05
-1.64071e+02   5.89938e-05
-1.63571e+02   5.90383e-05
-1.63071e+02   5.90830e-05
-1.62571e+02   5.91277e-05
-1.62071e+02   5.91724e-05
-1.61571e+02   5.92173e-05
-1.61071e+02   5.92622e-05
-1.60571e+02   5.93071e-05
-1.60071e+02   5.93521e-05
-1.59571e+02   5.93972e-05
-1.59071e+02   5.94424e-05
-1.58571e+02   5.94876e-05
-1.58071e+02   5.95328e-05
-1.57571e+02   5.95782e-05
-1.57071e+02   5.96236e-05
-1.56571e+02   5.96691e-05
-1.56071e+02   5.97146e-05
-1.55571e+02   5.97602e-05
-1.55071e+02   5.98059e-05
-1.54571e+02   5.98516e-05
-1.54071e+02   5.98974e-05
-1.53571e+02   5.99432e-05
-1.53071e+02   5.99892e-05
-1.52571e+02   6.00352e-05
-1.52071e+02   6.00812e-05
-1.51571e+02   6.01274e-05
-1.51071e+02   6.01736e-05
-1.50571e+02   6.02198e-05
-1.50071e+02   6.02662e-05
-1.49571e+02   6.03126e-05
-1.49071e+02   6.03590e-05
-1.48571e+02   6.04056e-05
-1.48071e+02   6.04522e-05
-1.47571e+02   6.04988e-05
-1.47071e+02   6.05456e-05
-1.46571e+02   6.05924e-05
-1.46071e+02   6.06393e-05
-1.45571e+02   6.06862e-05
-1.45071e+02   6.07332e-05
-1.44571e+02   6.07803e-05
-1.44071e+02   6.08275e-05
-1.43571e+02   6.08747e-05
