
 Fermi energy:        -0.1619491237

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -28.9880      1.00000
      2     -24.9003      1.00000
      3     -24.2652      1.00000
      4     -24.0313      1.00000
      5     -23.9277      1.00000
      6     -23.9059      1.00000
      7     -23.8918      1.00000
      8     -23.8103      1.00000
      9     -23.5312      1.00000
     10     -23.3277      1.00000
     11     -23.1435      1.00000
     12     -23.1430      1.00000
     13     -23.1108      1.00000
     14     -22.9955      1.00000
     15     -22.8740      1.00000
     16     -22.8490      1.00000
     17     -22.7690      1.00000
     18     -22.7613      1.00000
     19     -22.7482      1.00000
     20     -22.5339      1.00000
     21     -22.1826      1.00000
     22     -22.0999      1.00000
     23     -21.8286      1.00000
     24     -21.8251      1.00000
     25     -21.7712      1.00000
     26     -21.7526      1.00000
     27     -21.7262      1.00000
     28     -21.7232      1.00000
     29     -21.7138      1.00000
     30     -21.7081      1.00000
     31     -21.7055      1.00000
     32     -21.4876      1.00000
     33     -21.4355      1.00000
     34     -21.3975      1.00000
     35     -21.3146      1.00000
     36     -21.3035      1.00000
     37     -21.2934      1.00000
     38     -21.0625      1.00000
     39     -21.0077      1.00000
     40     -20.8684      1.00000
     41     -20.8221      1.00000
     42     -20.8206      1.00000
     43     -20.8166      1.00000
     44     -20.6951      1.00000
     45     -20.6947      1.00000
     46     -20.6406      1.00000
     47     -20.6368      1.00000
     48     -20.6151      1.00000
     49     -20.6076      1.00000
     50     -17.0758      1.00000
     51     -15.1205      1.00000
     52     -15.0507      1.00000
     53     -14.4736      1.00000
     54     -14.4548      1.00000
     55     -14.4512      1.00000
     56     -14.3229      1.00000
     57     -14.3026      1.00000
     58     -14.2942      1.00000
     59     -14.2588      1.00000
     60     -14.2551      1.00000
     61     -14.2130      1.00000
     62     -13.9812      1.00000
     63     -13.9003      1.00000
     64     -13.8469      1.00000
     65     -13.7347      1.00000
     66     -13.7042      1.00000
     67     -13.6788      1.00000
     68     -13.3509      1.00000
     69     -13.2946      1.00000
     70     -13.2134      1.00000
     71     -13.1742      1.00000
     72     -13.0640      1.00000
     73     -12.9708      1.00000
     74     -12.9589      1.00000
     75     -12.9271      1.00000
     76     -12.9244      1.00000
     77     -12.9083      1.00000
     78     -12.9075      1.00000
     79     -12.9031      1.00000
     80     -12.4456      1.00000
     81     -12.4053      1.00000
     82     -12.3785      1.00000
     83     -12.3335      1.00000
     84     -12.1844      1.00000
     85     -12.1837      1.00000
     86     -11.9996      1.00000
     87     -11.7217      1.00000
     88     -11.7191      1.00000
     89     -11.6319      1.00000
     90     -11.5702      1.00000
     91     -11.4806      1.00000
     92     -11.4458      1.00000
     93     -11.1958      1.00000
     94     -11.0880      1.00000
     95     -10.9539      1.00000
     96     -10.7742      1.00000
     97     -10.6660      1.00000
     98     -10.6649      1.00000
     99     -10.5354      1.00000
    100     -10.4950      1.00000
    101     -10.4694      1.00000
    102     -10.4083      1.00000
    103     -10.4036      1.00000
    104     -10.2823      1.00000
    105     -10.2454      1.00000
    106     -10.2263      1.00000
    107     -10.2162      1.00000
    108     -10.2112      1.00000
    109     -10.1950      1.00000
    110     -10.1801      1.00000
    111     -10.1606      1.00000
    112     -10.1580      1.00000
    113     -10.1086      1.00000
    114     -10.1082      1.00000
    115     -10.1059      1.00000
    116     -10.0918      1.00000
    117     -10.0908      1.00000
    118     -10.0889      1.00000
    119     -10.0825      1.00000
    120     -10.0320      1.00000
    121     -10.0149      1.00000
    122     -10.0029      1.00000
    123      -9.6596      1.00000
    124      -9.5860      1.00000
    125      -9.5478      1.00000
    126      -9.5138      1.00000
    127      -9.3676      1.00000
    128      -9.3597      1.00000
    129      -9.3587      1.00000
    130      -9.3143      1.00000
    131      -9.0514      1.00000
    132      -9.0102      1.00000
    133      -8.9803      1.00000
    134      -8.9491      1.00000
    135      -8.9168      1.00000
    136      -8.9060      1.00000
    137      -8.7705      1.00000
    138      -8.7272      1.00000
    139      -8.7134      1.00000
    140      -8.7107      1.00000
    141      -8.6609      1.00000
    142      -8.5794      1.00000
    143      -8.5747      1.00000
    144      -8.5640      1.00000
    145      -8.5620      1.00000
    146      -8.5447      1.00000
    147      -8.5371      1.00000
    148      -8.5333      1.00000
    149      -8.4364      1.00000
    150      -8.4129      1.00000
    151      -8.4087      1.00000
    152      -8.4041      1.00000
    153      -8.2814      1.00000
    154      -8.2595      1.00000
    155      -8.2389      1.00000
    156      -8.1225      1.00000
    157      -8.1205      1.00000
    158      -8.0891      1.00000
    159      -7.9061      1.00000
    160      -7.4818      1.00000
    161      -7.4366      1.00000
    162      -7.3914      1.00000
    163      -7.2699      1.00000
    164      -7.2450      1.00000
    165      -7.2270      1.00000
    166      -7.1927      1.00000
    167      -7.1414      1.00000
    168      -7.0276      1.00000
    169      -7.0160      1.00000
    170      -6.9948      1.00000
    171      -6.9604      1.00000
    172      -6.9450      1.00000
    173      -6.9421      1.00000
    174      -6.9344      1.00000
    175      -6.9288      1.00000
    176      -6.9240      1.00000
    177      -6.5816      1.00000
    178      -6.5425      1.00000
    179      -6.5259      1.00000
    180      -6.4370      1.00000
    181      -6.4080      1.00000
    182      -6.3241      1.00000
    183      -6.3201      1.00000
    184      -6.3071      1.00000
    185      -5.9289      1.00000
    186      -5.7077      1.00000
    187      -5.6753      1.00000
    188      -5.5735      1.00000
    189      -5.5615      1.00000
    190      -5.5529      1.00000
    191      -5.3960      1.00000
    192      -5.3584      1.00000
    193      -5.2993      1.00000
    194      -5.2860      1.00000
    195      -5.2853      1.00000
    196      -5.2659      1.00000
    197      -2.8143      1.00000
    198      -0.3919      1.00000
    199       0.7790      0.00000
    200       0.8641      0.00000
    201       1.2323      0.00000
    202       1.2944      0.00000
    203       1.3140      0.00000
    204       1.3741      0.00000
    205       1.4222      0.00000
    206       1.4245      0.00000
    207       1.4596      0.00000
    208       1.4817      0.00000
    209       1.4924      0.00000
    210       1.5039      0.00000
    211       1.5104      0.00000
    212       1.5120      0.00000
    213       1.5286      0.00000
    214       1.5538      0.00000
    215       1.5644      0.00000
    216       1.6225      0.00000
    217       1.6895      0.00000
    218       1.7324      0.00000
    219       1.7608      0.00000
    220       1.8267      0.00000
    221       1.8286      0.00000
    222       1.8585      0.00000
    223       2.0771      0.00000
    224       2.1376      0.00000
    225       2.2938      0.00000
    226       2.3032      0.00000
    227       2.3168      0.00000
    228       2.3720      0.00000
    229       2.3720      0.00000
    230       2.3908      0.00000
    231       2.4465      0.00000
    232       2.7062      0.00000
    233       2.7086      0.00000
    234       2.7441      0.00000
    235       2.7542      0.00000
    236       2.7702      0.00000
    237       2.7788      0.00000
    238       2.7795      0.00000
    239       2.8157      0.00000
    240       2.8285      0.00000
    241       2.8320      0.00000
    242       2.8468      0.00000
    243       2.8871      0.00000
    244       2.9296      0.00000
    245       2.9300      0.00000
    246       2.9940      0.00000
    247       3.0194      0.00000
    248       3.0758      0.00000
    249       3.0807      0.00000
    250       3.0840      0.00000
    251       3.0966      0.00000
    252       3.1012      0.00000
 Fermi energy:        -5.0078944567

