# freq/cm-1  Intensity 
-1.92451e+02   2.31148e-05
-1.91951e+02   2.31308e-05
-1.91451e+02   2.31468e-05
-1.90951e+02   2.31628e-05
-1.90451e+02   2.31788e-05
-1.89951e+02   2.31948e-05
-1.89451e+02   2.32109e-05
-1.88951e+02   2.32270e-05
-1.88451e+02   2.32431e-05
-1.87951e+02   2.32592e-05
-1.87451e+02   2.32753e-05
-1.86951e+02   2.32915e-05
-1.86451e+02   2.33076e-05
-1.85951e+02   2.33238e-05
-1.85451e+02   2.33401e-05
-1.84951e+02   2.33563e-05
-1.84451e+02   2.33725e-05
-1.83951e+02   2.33888e-05
-1.83451e+02   2.34051e-05
-1.82951e+02   2.34214e-05
-1.82451e+02   2.34377e-05
-1.81951e+02   2.34541e-05
-1.81451e+02   2.34704e-05
-1.80951e+02   2.34868e-05
-1.80451e+02   2.35032e-05
-1.79951e+02   2.35197e-05
-1.79451e+02   2.35361e-05
-1.78951e+02   2.35526e-05
-1.78451e+02   2.35691e-05
-1.77951e+02   2.35856e-05
-1.77451e+02   2.36021e-05
-1.76951e+02   2.36186e-05
-1.76451e+02   2.36352e-05
-1.75951e+02   2.36518e-05
-1.75451e+02   2.36684e-05
-1.74951e+02   2.36850e-05
-1.74451e+02   2.37017e-05
-1.73951e+02   2.37183e-05
-1.73451e+02   2.37350e-05
-1.72951e+02   2.37517e-05
-1.72451e+02   2.37685e-05
-1.71951e+02   2.37852e-05
-1.71451e+02   2.38020e-05
-1.70951e+02   2.38188e-05
-1.70451e+02   2.38356e-05
-1.69951e+02   2.38524e-05
-1.69451e+02   2.38693e-05
-1.68951e+02   2.38861e-05
-1.68451e+02   2.39030e-05
-1.67951e+02   2.39199e-05
-1.67451e+02   2.39369e-05
-1.66951e+02   2.39538e-05
-1.66451e+02   2.39708e-05
-1.65951e+02   2.39878e-05
-1.65451e+02   2.40048e-05
-1.64951e+02   2.40219e-05
-1.64451e+02   2.40389e-05
-1.63951e+02   2.40560e-05
-1.63451e+02   2.40731e-05
-1.62951e+02   2.40903e-05
-1.62451e+02   2.41074e-05
-1.61951e+02   2.41246e-05
-1.61451e+02   2.41418e-05
-1.60951e+02   2.41590e-05
-1.60451e+02   2.41762e-05
-1.59951e+02   2.41935e-05
-1.59451e+02   2.42107e-05
-1.58951e+02   2.42280e-05
-1.58451e+02   2.42454e-05
-1.57951e+02   2.42627e-05
-1.57451e+02   2.42801e-05
-1.56951e+02   2.42974e-05
-1.56451e+02   2.43149e-05
-1.55951e+02   2.43323e-05
-1.55451e+02   2.43497e-05
-1.54951e+02   2.43672e-05
-1.54451e+02   2.43847e-05
-1.53951e+02   2.44022e-05
-1.53451e+02   2.44198e-05
-1.52951e+02   2.44373e-05
-1.52451e+02   2.44549e-05
-1.51951e+02   2.44725e-05
-1.51451e+02   2.44902e-05
-1.50951e+02   2.45078e-05
-1.50451e+02   2.45255e-05
-1.49951e+02   2.45432e-05
-1.49451e+02   2.45609e-05
-1.48951e+02   2.45787e-05
-1.48451e+02   2.45964e-05
-1.47951e+02   2.46142e-05
-1.47451e+02   2.46321e-05
-1.46951e+02   2.46499e-05
-1.46451e+02   2.46678e-05
-1.45951e+02   2.46856e-05
-1.45451e+02   2.47035e-05
-1.44951e+02   2.47215e-05
-1.44451e+02   2.47394e-05
-1.43951e+02   2.47574e-05
-1.43451e+02   2.47754e-05
-1.42951e+02   2.47934e-05
-1.42451e+02   2.48115e-05
-1.41951e+02   2.48296e-05
-1.41451e+02   2.48477e-05
-1.40951e+02   2.48658e-05
-1.40451e+02   2.48839e-05
-1.39951e+02   2.49021e-05
-1.39451e+02   2.49203e-05
-1.38951e+02   2.49385e-05
-1.38451e+02   2.49568e-05
-1.37951e+02   2.49750e-05
-1.37451e+02   2.49933e-05
-1.36951e+02   2.50117e-05
-1.36451e+02   2.50300e-05
-1.35951e+02   2.50484e-05
-1.35451e+02   2.50668e-05
-1.34951e+02   2.50852e-05
-1.34451e+02   2.51036e-05
-1.33951e+02   2.51221e-05
-1.33451e+02   2.51406e-05
-1.32951e+02   2.51591e-05
-1.32451e+02   2.51776e-05
-1.31951e+02   2.51962e-05
-1.31451e+02   2.52148e-05
-1.30951e+02   2.52334e-05
-1.30451e+02   2.52521e-05
-1.29951e+02   2.52707e-05
-1.29451e+02   2.52894e-05
-1.28951e+02   2.53081e-05
-1.28451e+02   2.53269e-05
-1.27951e+02   2.53457e-05
-1.27451e+02   2.53645e-05
-1.26951e+02   2.53833e-05
-1.26451e+02   2.54021e-05
-1.25951e+02   2.54210e-05
-1.25451e+02   2.54399e-05
-1.24951e+02   2.54589e-05
-1.24451e+02   2.54778e-05
-1.23951e+02   2.54968e-05
-1.23451e+02   2.55158e-05
-1.22951e+02   2.55348e-05
