
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -29.2568      1.00000
      2     -24.0537      1.00000
      3     -23.9702      1.00000
      4     -23.7424      1.00000
      5     -23.7199      1.00000
      6     -23.6396      1.00000
      7     -23.4651      1.00000
      8     -23.4413      1.00000
      9     -23.0345      1.00000
     10     -22.9729      1.00000
     11     -22.8269      1.00000
     12     -22.7640      1.00000
     13     -22.7223      1.00000
     14     -22.6953      1.00000
     15     -22.5920      1.00000
     16     -22.5422      1.00000
     17     -22.3671      1.00000
     18     -22.2742      1.00000
     19     -22.1445      1.00000
     20     -21.9574      1.00000
     21     -21.8457      1.00000
     22     -21.5691      1.00000
     23     -21.5110      1.00000
     24     -21.4692      1.00000
     25     -21.4578      1.00000
     26     -21.4369      1.00000
     27     -21.4189      1.00000
     28     -21.3926      1.00000
     29     -21.2540      1.00000
     30     -21.2354      1.00000
     31     -21.1482      1.00000
     32     -21.0742      1.00000
     33     -21.0493      1.00000
     34     -20.9670      1.00000
     35     -20.8540      1.00000
     36     -20.7725      1.00000
     37     -20.7014      1.00000
     38     -20.6181      1.00000
     39     -20.5719      1.00000
     40     -20.5089      1.00000
     41     -20.4426      1.00000
     42     -20.4170      1.00000
     43     -20.3878      1.00000
     44     -20.3157      1.00000
     45     -20.2220      1.00000
     46     -20.0660      1.00000
     47     -19.8965      1.00000
     48     -19.6105      1.00000
     49     -19.1526      1.00000
     50     -18.4681      1.00000
     51     -14.4322      1.00000
     52     -14.2652      1.00000
     53     -14.1619      1.00000
     54     -14.1534      1.00000
     55     -14.0792      1.00000
     56     -14.0159      1.00000
     57     -13.9879      1.00000
     58     -13.8954      1.00000
     59     -13.8788      1.00000
     60     -13.7265      1.00000
     61     -13.6886      1.00000
     62     -13.5051      1.00000
     63     -13.3642      1.00000
     64     -13.3380      1.00000
     65     -13.2259      1.00000
     66     -13.2147      1.00000
     67     -13.0909      1.00000
     68     -12.9980      1.00000
     69     -12.8472      1.00000
     70     -12.7186      1.00000
     71     -12.6018      1.00000
     72     -12.5779      1.00000
     73     -12.5510      1.00000
     74     -12.4897      1.00000
     75     -12.4164      1.00000
     76     -12.4064      1.00000
     77     -12.2478      1.00000
     78     -12.1864      1.00000
     79     -12.1752      1.00000
     80     -12.0113      1.00000
     81     -11.8770      1.00000
     82     -11.8578      1.00000
     83     -11.7745      1.00000
     84     -11.6791      1.00000
     85     -11.3660      1.00000
     86     -11.2041      1.00000
     87     -11.0980      1.00000
     88     -11.0269      1.00000
     89     -10.9338      1.00000
     90     -10.8607      1.00000
     91     -10.8191      1.00000
     92     -10.6952      1.00000
     93     -10.5435      1.00000
     94     -10.3810      1.00000
     95     -10.3432      1.00000
     96     -10.2787      1.00000
     97     -10.2495      1.00000
     98     -10.2136      1.00000
     99     -10.1882      1.00000
    100     -10.1550      1.00000
    101     -10.0082      1.00000
    102      -9.9538      1.00000
    103      -9.9311      1.00000
    104      -9.8727      1.00000
    105      -9.8713      1.00000
    106      -9.8574      1.00000
    107      -9.8320      1.00000
    108      -9.8176      1.00000
    109      -9.8105      1.00000
    110      -9.7704      1.00000
    111      -9.7672      1.00000
    112      -9.7195      1.00000
    113      -9.6678      1.00000
    114      -9.6264      1.00000
    115      -9.5977      1.00000
    116      -9.5743      1.00000
    117      -9.5480      1.00000
    118      -9.4743      1.00000
    119      -9.4625      1.00000
    120      -9.3226      1.00000
    121      -9.2753      1.00000
    122      -9.1965      1.00000
    123      -9.1013      1.00000
    124      -9.0604      1.00000
    125      -8.9643      1.00000
    126      -8.9307      1.00000
    127      -8.8083      1.00000
    128      -8.6503      1.00000
    129      -8.6176      1.00000
    130      -8.5987      1.00000
    131      -8.5598      1.00000
    132      -8.5460      1.00000
    133      -8.5046      1.00000
    134      -8.4803      1.00000
    135      -8.4738      1.00000
    136      -8.3389      1.00000
    137      -8.3347      1.00000
    138      -8.3238      1.00000
    139      -8.2809      1.00000
    140      -8.2550      1.00000
    141      -8.2150      1.00000
    142      -8.1992      1.00000
    143      -8.0892      1.00000
    144      -8.0801      1.00000
    145      -8.0346      1.00000
    146      -8.0060      1.00000
    147      -7.9655      1.00000
    148      -7.9503      1.00000
    149      -7.8771      1.00000
    150      -7.8522      1.00000
    151      -7.7609      1.00000
    152      -7.7566      1.00000
    153      -7.6697      1.00000
    154      -7.5831      1.00000
    155      -7.5532      1.00000
    156      -7.3210      1.00000
    157      -7.1306      1.00000
    158      -7.0592      1.00000
    159      -7.0313      1.00000
    160      -6.8895      1.00000
    161      -6.8363      1.00000
    162      -6.8187      1.00000
    163      -6.7682      1.00000
    164      -6.7665      1.00000
    165      -6.7080      1.00000
    166      -6.6786      1.00000
    167      -6.6717      1.00000
    168      -6.6567      1.00000
    169      -6.6258      1.00000
    170      -6.5478      1.00000
    171      -6.4485      1.00000
    172      -6.4374      1.00000
    173      -6.4283      1.00000
    174      -6.2474      1.00000
    175      -6.2317      1.00000
    176      -6.1650      1.00000
    177      -6.0955      1.00000
    178      -6.0164      1.00000
    179      -5.9090      1.00000
    180      -5.8642      1.00000
    181      -5.7529      1.00000
    182      -5.5547      1.00000
    183      -5.3525      1.00000
    184      -5.2810      1.00000
