
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -29.6158      1.00000
      2     -26.9822      1.00000
      3     -24.4025      1.00000
      4     -24.1691      1.00000
      5     -24.0709      1.00000
      6     -24.0243      1.00000
      7     -23.9924      1.00000
      8     -23.9639      1.00000
      9     -23.6874      1.00000
     10     -23.5519      1.00000
     11     -23.3046      1.00000
     12     -23.2533      1.00000
     13     -23.1808      1.00000
     14     -23.0692      1.00000
     15     -23.0166      1.00000
     16     -22.9792      1.00000
     17     -22.8857      1.00000
     18     -22.8696      1.00000
     19     -22.8108      1.00000
     20     -22.5932      1.00000
     21     -22.4300      1.00000
     22     -22.2130      1.00000
     23     -21.9200      1.00000
     24     -21.8882      1.00000
     25     -21.8752      1.00000
     26     -21.8693      1.00000
     27     -21.8183      1.00000
     28     -21.8034      1.00000
     29     -21.7933      1.00000
     30     -21.7893      1.00000
     31     -21.6930      1.00000
     32     -21.5836      1.00000
     33     -21.5109      1.00000
     34     -21.4624      1.00000
     35     -21.3721      1.00000
     36     -21.3659      1.00000
     37     -21.3042      1.00000
     38     -21.1198      1.00000
     39     -21.0673      1.00000
     40     -20.9745      1.00000
     41     -20.9148      1.00000
     42     -20.8970      1.00000
     43     -20.8312      1.00000
     44     -20.8012      1.00000
     45     -20.7567      1.00000
     46     -20.7168      1.00000
     47     -20.6773      1.00000
     48     -20.6416      1.00000
     49     -20.6042      1.00000
     50     -19.4149      1.00000
     51     -15.0186      1.00000
     52     -14.9520      1.00000
     53     -14.5977      1.00000
     54     -14.5832      1.00000
     55     -14.4809      1.00000
     56     -14.4234      1.00000
     57     -14.4003      1.00000
     58     -14.3480      1.00000
     59     -14.3092      1.00000
     60     -14.2810      1.00000
     61     -14.1879      1.00000
     62     -14.0829      1.00000
     63     -14.0507      1.00000
     64     -13.9018      1.00000
     65     -13.7823      1.00000
     66     -13.6802      1.00000
     67     -13.5912      1.00000
     68     -13.4184      1.00000
     69     -13.3945      1.00000
     70     -13.2230      1.00000
     71     -13.1423      1.00000
     72     -13.1344      1.00000
     73     -13.0365      1.00000
     74     -13.0086      1.00000
     75     -12.9897      1.00000
     76     -12.9853      1.00000
     77     -12.9313      1.00000
     78     -12.8524      1.00000
     79     -12.8073      1.00000
     80     -12.6158      1.00000
     81     -12.4217      1.00000
     82     -12.3685      1.00000
     83     -12.3104      1.00000
     84     -12.2882      1.00000
     85     -12.1520      1.00000
     86     -11.8628      1.00000
     87     -11.6755      1.00000
     88     -11.6555      1.00000
     89     -11.5292      1.00000
     90     -11.5133      1.00000
     91     -11.3894      1.00000
     92     -11.3199      1.00000
     93     -11.1899      1.00000
     94     -11.1176      1.00000
     95     -10.9686      1.00000
     96     -10.8903      1.00000
     97     -10.7419      1.00000
     98     -10.6972      1.00000
     99     -10.6293      1.00000
    100     -10.6236      1.00000
    101     -10.5124      1.00000
    102     -10.4721      1.00000
    103     -10.4267      1.00000
    104     -10.4212      1.00000
    105     -10.3763      1.00000
    106     -10.3435      1.00000
    107     -10.3067      1.00000
    108     -10.2936      1.00000
    109     -10.2742      1.00000
    110     -10.2549      1.00000
    111     -10.2278      1.00000
    112     -10.2045      1.00000
    113     -10.1892      1.00000
    114     -10.1746      1.00000
    115     -10.1570      1.00000
    116     -10.1484      1.00000
    117     -10.1182      1.00000
    118     -10.1009      1.00000
    119     -10.0956      1.00000
    120     -10.0833      1.00000
    121      -9.8861      1.00000
    122      -9.7361      1.00000
    123      -9.6690      1.00000
    124      -9.6284      1.00000
    125      -9.5473      1.00000
    126      -9.5197      1.00000
    127      -9.4711      1.00000
    128      -9.4058      1.00000
    129      -9.3029      1.00000
    130      -9.2623      1.00000
    131      -9.1075      1.00000
    132      -9.0978      1.00000
    133      -9.0768      1.00000
    134      -9.0391      1.00000
    135      -8.9895      1.00000
    136      -8.9188      1.00000
    137      -8.9109      1.00000
    138      -8.8231      1.00000
    139      -8.7629      1.00000
    140      -8.7316      1.00000
    141      -8.6957      1.00000
    142      -8.6621      1.00000
    143      -8.6260      1.00000
    144      -8.6192      1.00000
    145      -8.5964      1.00000
    146      -8.5862      1.00000
    147      -8.5618      1.00000
    148      -8.5323      1.00000
    149      -8.5162      1.00000
