
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -31.1924      1.00000
      2     -27.6223      1.00000
      3     -25.1142      1.00000
      4     -24.7593      1.00000
      5     -24.7216      1.00000
      6     -24.5350      1.00000
      7     -24.4935      1.00000
      8     -24.3867      1.00000
      9     -24.2936      1.00000
     10     -23.9721      1.00000
     11     -23.9002      1.00000
     12     -23.8211      1.00000
     13     -23.7828      1.00000
     14     -23.6237      1.00000
     15     -23.4746      1.00000
     16     -23.4387      1.00000
     17     -23.4360      1.00000
     18     -23.3688      1.00000
     19     -23.3233      1.00000
     20     -23.2233      1.00000
     21     -22.8845      1.00000
     22     -22.7367      1.00000
     23     -22.6455      1.00000
     24     -22.5854      1.00000
     25     -22.5151      1.00000
     26     -22.4339      1.00000
     27     -22.3377      1.00000
     28     -22.3228      1.00000
     29     -22.3158      1.00000
     30     -22.3084      1.00000
     31     -22.2654      1.00000
     32     -22.1010      1.00000
     33     -22.0578      1.00000
     34     -22.0392      1.00000
     35     -21.8871      1.00000
     36     -21.8556      1.00000
     37     -21.8297      1.00000
     38     -21.8249      1.00000
     39     -21.7436      1.00000
     40     -21.5235      1.00000
     41     -21.4693      1.00000
     42     -21.4685      1.00000
     43     -21.4316      1.00000
     44     -21.2701      1.00000
     45     -21.2553      1.00000
     46     -21.1760      1.00000
     47     -21.1705      1.00000
     48     -21.1400      1.00000
     49     -21.1327      1.00000
     50     -16.3762      1.00000
     51     -15.8309      1.00000
     52     -15.5529      1.00000
     53     -15.2867      1.00000
     54     -15.1614      1.00000
     55     -15.0575      1.00000
     56     -14.9062      1.00000
     57     -14.8938      1.00000
     58     -14.8484      1.00000
     59     -14.8225      1.00000
     60     -14.7895      1.00000
     61     -14.7513      1.00000
     62     -14.6249      1.00000
     63     -14.5678      1.00000
     64     -14.4764      1.00000
     65     -14.2879      1.00000
     66     -14.2677      1.00000
     67     -14.1856      1.00000
     68     -13.9846      1.00000
     69     -13.8707      1.00000
     70     -13.8019      1.00000
     71     -13.7034      1.00000
     72     -13.6731      1.00000
     73     -13.6134      1.00000
     74     -13.6080      1.00000
     75     -13.5859      1.00000
     76     -13.5355      1.00000
     77     -13.5198      1.00000
     78     -13.4982      1.00000
     79     -13.4579      1.00000
     80     -13.4054      1.00000
     81     -13.2143      1.00000
     82     -12.9177      1.00000
     83     -12.9034      1.00000
     84     -12.7664      1.00000
     85     -12.7632      1.00000
     86     -12.6579      1.00000
     87     -12.4015      1.00000
     88     -12.2695      1.00000
     89     -12.1958      1.00000
     90     -12.1340      1.00000
     91     -12.0844      1.00000
     92     -12.0479      1.00000
     93     -11.6319      1.00000
     94     -11.4970      1.00000
     95     -11.4654      1.00000
     96     -11.3805      1.00000
     97     -11.3207      1.00000
     98     -11.2230      1.00000
     99     -11.1907      1.00000
    100     -11.1544      1.00000
    101     -11.1020      1.00000
    102     -11.0594      1.00000
    103     -11.0320      1.00000
    104     -10.9771      1.00000
    105     -10.9653      1.00000
    106     -10.9222      1.00000
    107     -10.8871      1.00000
    108     -10.8685      1.00000
    109     -10.8440      1.00000
    110     -10.8224      1.00000
    111     -10.7203      1.00000
    112     -10.7135      1.00000
    113     -10.7046      1.00000
    114     -10.6768      1.00000
    115     -10.6603      1.00000
    116     -10.6510      1.00000
    117     -10.6379      1.00000
    118     -10.5931      1.00000
    119     -10.5120      1.00000
    120     -10.4835      1.00000
    121     -10.4637      1.00000
    122     -10.4114      1.00000
    123     -10.2985      1.00000
    124     -10.1684      1.00000
    125     -10.0318      1.00000
    126      -9.9919      1.00000
    127      -9.9417      1.00000
    128      -9.9002      1.00000
    129      -9.8597      1.00000
    130      -9.8410      1.00000
    131      -9.7068      1.00000
    132      -9.6507      1.00000
    133      -9.5981      1.00000
    134      -9.5876      1.00000
    135      -9.5646      1.00000
    136      -9.4971      1.00000
    137      -9.4591      1.00000
    138      -9.3976      1.00000
    139      -9.2405      1.00000
    140      -9.2292      1.00000
    141      -9.2054      1.00000
    142      -9.1827      1.00000
    143      -9.1246      1.00000
    144      -9.1110      1.00000
    145      -9.0956      1.00000
    146      -9.0669      1.00000
    147      -9.0603      1.00000
    148      -9.0588      1.00000
    149      -9.0240      1.00000
    150      -9.0153      1.00000
    151      -8.9847      1.00000
    152      -8.9763      1.00000
    153      -8.8855      1.00000
    154      -8.7790      1.00000
    155      -8.7244      1.00000
    156      -8.6587      1.00000
    157      -8.5944      1.00000
    158      -8.2919      1.00000
    159      -8.2266      1.00000
    160      -8.1869      1.00000
    161      -7.9895      1.00000
    162      -7.9181      1.00000
    163      -7.8591      1.00000
    164      -7.8073      1.00000
    165      -7.8036      1.00000
    166      -7.7777      1.00000
    167      -7.7588      1.00000
    168      -7.7337      1.00000
    169      -7.6453      1.00000
    170      -7.6049      1.00000
    171      -7.5412      1.00000
    172      -7.5221      1.00000
    173      -7.5078      1.00000
    174      -7.4870      1.00000
    175      -7.4574      1.00000
    176      -7.1782      1.00000
