
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -27.1751      1.00000
      2     -24.5405      1.00000
      3     -24.2721      1.00000
      4     -23.9681      1.00000
      5     -23.9544      1.00000
      6     -23.9440      1.00000
      7     -23.9296      1.00000
      8     -23.8645      1.00000
      9     -23.4453      1.00000
     10     -23.1905      1.00000
     11     -23.1644      1.00000
     12     -23.1619      1.00000
     13     -23.1416      1.00000
     14     -23.0137      1.00000
     15     -22.8896      1.00000
     16     -22.8242      1.00000
     17     -22.7864      1.00000
     18     -22.7820      1.00000
     19     -22.7726      1.00000
     20     -22.5393      1.00000
     21     -22.0153      1.00000
     22     -21.9030      1.00000
     23     -21.8269      1.00000
     24     -21.8021      1.00000
     25     -21.7844      1.00000
     26     -21.7807      1.00000
     27     -21.7635      1.00000
     28     -21.7595      1.00000
     29     -21.7502      1.00000
     30     -21.7477      1.00000
     31     -21.7388      1.00000
     32     -21.5083      1.00000
     33     -21.4106      1.00000
     34     -21.4012      1.00000
     35     -21.3399      1.00000
     36     -21.3247      1.00000
     37     -21.3222      1.00000
     38     -21.0647      1.00000
     39     -20.9354      1.00000
     40     -20.8841      1.00000
     41     -20.8602      1.00000
     42     -20.8521      1.00000
     43     -20.8268      1.00000
     44     -20.7344      1.00000
     45     -20.7258      1.00000
     46     -20.6728      1.00000
     47     -20.6628      1.00000
     48     -20.6482      1.00000
     49     -20.6361      1.00000
     50     -17.9263      1.00000
     51     -14.8255      1.00000
     52     -14.5274      1.00000
     53     -14.4855      1.00000
     54     -14.4734      1.00000
     55     -14.4526      1.00000
     56     -14.3626      1.00000
     57     -14.3402      1.00000
     58     -14.2916      1.00000
     59     -14.2513      1.00000
     60     -14.2307      1.00000
     61     -14.2282      1.00000
     62     -13.9640      1.00000
     63     -13.8553      1.00000
     64     -13.7313      1.00000
     65     -13.7040      1.00000
     66     -13.6914      1.00000
     67     -13.6707      1.00000
     68     -13.4810      1.00000
     69     -13.2861      1.00000
     70     -13.0853      1.00000
     71     -13.0229      1.00000
     72     -12.9921      1.00000
     73     -12.9729      1.00000
