
 Fermi energy:        -1.1805991688

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -27.0085      1.00000
      2     -24.2841      1.00000
      3     -24.0908      1.00000
      4     -23.8855      1.00000
      5     -23.8710      1.00000
      6     -23.8411      1.00000
      7     -23.8393      1.00000
      8     -23.7415      1.00000
      9     -23.2936      1.00000
     10     -23.0770      1.00000
     11     -23.0639      1.00000
     12     -23.0621      1.00000
     13     -23.0425      1.00000
     14     -22.9162      1.00000
     15     -22.7954      1.00000
     16     -22.7066      1.00000
     17     -22.6831      1.00000
     18     -22.6786      1.00000
     19     -22.6736      1.00000
     20     -22.4169      1.00000
     21     -21.8797      1.00000
     22     -21.7426      1.00000
     23     -21.7255      1.00000
     24     -21.7007      1.00000
     25     -21.6817      1.00000
     26     -21.6757      1.00000
     27     -21.6670      1.00000
     28     -21.6653      1.00000
     29     -21.6528      1.00000
     30     -21.6513      1.00000
     31     -21.6442      1.00000
     32     -21.4077      1.00000
     33     -21.3041      1.00000
     34     -21.2820      1.00000
     35     -21.2475      1.00000
     36     -21.2265      1.00000
     37     -21.2239      1.00000
     38     -20.9676      1.00000
     39     -20.7924      1.00000
     40     -20.7827      1.00000
     41     -20.7578      1.00000
     42     -20.7521      1.00000
     43     -20.7350      1.00000
     44     -20.6324      1.00000
     45     -20.6210      1.00000
     46     -20.5803      1.00000
     47     -20.5569      1.00000
     48     -20.5566      1.00000
     49     -20.5460      1.00000
     50     -17.4100      1.00000
     51     -14.7037      1.00000
     52     -14.3989      1.00000
     53     -14.3718      1.00000
     54     -14.3612      1.00000
     55     -14.3540      1.00000
     56     -14.2779      1.00000
     57     -14.2374      1.00000
     58     -14.1794      1.00000
     59     -14.1632      1.00000
     60     -14.1345      1.00000
     61     -14.1339      1.00000
     62     -13.8478      1.00000
     63     -13.7267      1.00000
     64     -13.6140      1.00000
     65     -13.6000      1.00000
     66     -13.5768      1.00000
     67     -13.5739      1.00000
     68     -13.3809      1.00000
     69     -13.1810      1.00000
     70     -12.9404      1.00000
     71     -12.8947      1.00000
     72     -12.8802      1.00000
     73     -12.8759      1.00000
     74     -12.8694      1.00000
     75     -12.8477      1.00000
     76     -12.8410      1.00000
     77     -12.8343      1.00000
     78     -12.8325      1.00000
     79     -12.7910      1.00000
     80     -12.4495      1.00000
     81     -12.3645      1.00000
     82     -12.1379      1.00000
     83     -12.1372      1.00000
     84     -12.1178      1.00000
     85     -12.1089      1.00000
     86     -11.6873      1.00000
     87     -11.6303      1.00000
     88     -11.4208      1.00000
     89     -11.3863      1.00000
     90     -11.3800      1.00000
     91     -11.3115      1.00000
     92     -10.9974      1.00000
     93     -10.9640      1.00000
     94     -10.7573      1.00000
     95     -10.7295      1.00000
     96     -10.5627      1.00000
     97     -10.5593      1.00000
     98     -10.5237      1.00000
     99     -10.4427      1.00000
    100     -10.4344      1.00000
    101     -10.4086      1.00000
    102     -10.3102      1.00000
    103     -10.2139      1.00000
    104     -10.1653      1.00000
    105     -10.1438      1.00000
    106     -10.1397      1.00000
    107     -10.1058      1.00000
    108     -10.1044      1.00000
    109     -10.0800      1.00000
    110     -10.0645      1.00000
    111     -10.0626      1.00000
    112     -10.0484      1.00000
    113     -10.0420      1.00000
    114     -10.0392      1.00000
    115     -10.0328      1.00000
    116     -10.0256      1.00000
    117      -9.9869      1.00000
    118      -9.9800      1.00000
    119      -9.9575      1.00000
    120      -9.9071      1.00000
    121      -9.8634      1.00000
    122      -9.8197      1.00000
    123      -9.5711      1.00000
    124      -9.5075      1.00000
    125      -9.4602      1.00000
    126      -9.3680      1.00000
    127      -9.3260      1.00000
    128      -9.3138      1.00000
    129      -9.3074      1.00000
    130      -9.1951      1.00000
    131      -9.0279      1.00000
    132      -8.8993      1.00000
    133      -8.8871      1.00000
    134      -8.8535      1.00000
    135      -8.7785      1.00000
    136      -8.7076      1.00000
    137      -8.6921      1.00000
    138      -8.6611      1.00000
    139      -8.6200      1.00000
    140      -8.6166      1.00000
    141      -8.5486      1.00000
    142      -8.5364      1.00000
    143      -8.5109      1.00000
    144      -8.4958      1.00000
    145      -8.4743      1.00000
    146      -8.4621      1.00000
    147      -8.4615      1.00000
    148      -8.3781      1.00000
    149      -8.3424      1.00000
    150      -8.3296      1.00000
    151      -8.2859      1.00000
    152      -8.2501      1.00000
    153      -8.1684      1.00000
    154      -8.1269      1.00000
    155      -8.0673      1.00000
    156      -8.0433      1.00000
    157      -8.0366      1.00000
    158      -8.0228      1.00000
    159      -7.9302      1.00000
    160      -7.5879      1.00000
    161      -7.4157      1.00000
    162      -7.2044      1.00000
    163      -7.1985      1.00000
    164      -7.1759      1.00000
    165      -7.1314      1.00000
    166      -7.1150      1.00000
    167      -6.9455      1.00000
    168      -6.9163      1.00000
    169      -6.8953      1.00000
    170      -6.8918      1.00000
    171      -6.8908      1.00000
    172      -6.8833      1.00000
    173      -6.8727      1.00000
    174      -6.8625      1.00000
    175      -6.8520      1.00000
    176      -6.6991      1.00000
    177      -6.5762      1.00000
    178      -6.4841      1.00000
    179      -6.4752      1.00000
    180      -6.4153      1.00000
    181      -6.2659      1.00000
    182      -6.2651      1.00000
    183      -6.2356      1.00000
    184      -6.1234      1.00000
    185      -6.0779      1.00000
    186      -5.8319      1.00000
    187      -5.5443      1.00000
    188      -5.5206      1.00000
    189      -5.4886      1.00000
    190      -5.4882      1.00000
    191      -5.4362      1.00000
    192      -5.3272      1.00000
    193      -5.2581      1.00000
    194      -5.2464      1.00000
    195      -5.2120      1.00000
    196      -5.1848      1.00000
    197      -5.1426      1.00000
    198      -4.6816      1.00000
    199      -1.4728      1.00000
    200       0.8723      0.00000
    201       1.0839      0.00000
    202       1.3130      0.00000
    203       1.3583      0.00000
    204       1.3793      0.00000
    205       1.4301      0.00000
    206       1.4486      0.00000
    207       1.4935      0.00000
    208       1.5231      0.00000
    209       1.5440      0.00000
    210       1.5567      0.00000
    211       1.5590      0.00000
    212       1.5748      0.00000
    213       1.5795      0.00000
    214       1.5963      0.00000
    215       1.6021      0.00000
    216       1.6311      0.00000
    217       1.6546      0.00000
    218       1.7191      0.00000
    219       1.7782      0.00000
    220       1.8452      0.00000
    221       1.8895      0.00000
    222       1.9080      0.00000
    223       1.9207      0.00000
    224       2.0425      0.00000
    225       2.0806      0.00000
    226       2.2407      0.00000
    227       2.3953      0.00000
    228       2.4052      0.00000
    229       2.4317      0.00000
    230       2.4348      0.00000
    231       2.4426      0.00000
    232       2.4839      0.00000
    233       2.6315      0.00000
    234       2.8202      0.00000
    235       2.8208      0.00000
    236       2.8432      0.00000
    237       2.8438      0.00000
    238       2.8583      0.00000
    239       2.8742      0.00000
    240       2.8967      0.00000
    241       2.8975      0.00000
    242       2.9074      0.00000
    243       2.9146      0.00000
    244       2.9238      0.00000
    245       2.9268      0.00000
    246       2.9748      0.00000
    247       3.0407      0.00000
    248       3.1018      0.00000
    249       3.1020      0.00000
    250       3.1190      0.00000
    251       3.1548      0.00000
    252       3.1576      0.00000
