
 Fermi energy:        -0.0601923569

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -28.6800      1.00000
      2     -24.3048      1.00000
      3     -23.9738      1.00000
      4     -23.9668      1.00000
      5     -23.8997      1.00000
      6     -23.8895      1.00000
      7     -23.8757      1.00000
      8     -23.6694      1.00000
      9     -23.1808      1.00000
     10     -23.1707      1.00000
     11     -23.1157      1.00000
     12     -23.1087      1.00000
     13     -23.0458      1.00000
     14     -22.9262      1.00000
     15     -22.7882      1.00000
     16     -22.7690      1.00000
     17     -22.7390      1.00000
     18     -22.7191      1.00000
     19     -22.6281      1.00000
     20     -22.3475      1.00000
     21     -21.8824      1.00000
     22     -21.8157      1.00000
     23     -21.7993      1.00000
     24     -21.7792      1.00000
     25     -21.7377      1.00000
     26     -21.7296      1.00000
     27     -21.7142      1.00000
     28     -21.7095      1.00000
     29     -21.6865      1.00000
     30     -21.6387      1.00000
     31     -21.5192      1.00000
     32     -21.4331      1.00000
     33     -21.3729      1.00000
     34     -21.2740      1.00000
     35     -21.2413      1.00000
     36     -21.2250      1.00000
     37     -21.1511      1.00000
     38     -21.0199      1.00000
     39     -20.8527      1.00000
     40     -20.8248      1.00000
     41     -20.8035      1.00000
     42     -20.7793      1.00000
     43     -20.7071      1.00000
     44     -20.6990      1.00000
     45     -20.5954      1.00000
     46     -20.5896      1.00000
     47     -20.5616      1.00000
     48     -20.5549      1.00000
     49     -19.7495      1.00000
     50     -15.4319      1.00000
     51     -15.1771      1.00000
     52     -14.5048      1.00000
     53     -14.4468      1.00000
     54     -14.4261      1.00000
     55     -14.3897      1.00000
     56     -14.2976      1.00000
     57     -14.2816      1.00000
     58     -14.2454      1.00000
     59     -14.2053      1.00000
     60     -14.1717      1.00000
     61     -14.1334      1.00000
     62     -13.8897      1.00000
     63     -13.8305      1.00000
     64     -13.6852      1.00000
     65     -13.6619      1.00000
     66     -13.6370      1.00000
     67     -13.5900      1.00000
     68     -13.2528      1.00000
     69     -13.1997      1.00000
     70     -13.0903      1.00000
     71     -13.0030      1.00000
     72     -12.9513      1.00000
     73     -12.9114      1.00000
     74     -12.9042      1.00000
     75     -12.8876      1.00000
     76     -12.8742      1.00000
     77     -12.8506      1.00000
     78     -12.8442      1.00000
     79     -12.7455      1.00000
     80     -12.4286      1.00000
     81     -12.3461      1.00000
     82     -12.2389      1.00000
     83     -12.1837      1.00000
     84     -12.1537      1.00000
     85     -12.1265      1.00000
     86     -11.6315      1.00000
     87     -11.5767      1.00000
     88     -11.5147      1.00000
     89     -11.4227      1.00000
     90     -11.4194      1.00000
