# freq/cm-1  Intensity 
-1.81769e+02   4.69507e-05
-1.81269e+02   4.69842e-05
-1.80769e+02   4.70177e-05
-1.80269e+02   4.70512e-05
-1.79769e+02   4.70848e-05
-1.79269e+02   4.71184e-05
-1.78769e+02   4.71520e-05
-1.78269e+02   4.71857e-05
-1.77769e+02   4.72195e-05
-1.77269e+02   4.72533e-05
-1.76769e+02   4.72871e-05
-1.76269e+02   4.73210e-05
-1.75769e+02   4.73549e-05
-1.75269e+02   4.73888e-05
-1.74769e+02   4.74228e-05
-1.74269e+02   4.74568e-05
-1.73769e+02   4.74909e-05
-1.73269e+02   4.75250e-05
-1.72769e+02   4.75592e-05
-1.72269e+02   4.75934e-05
-1.71769e+02   4.76277e-05
-1.71269e+02   4.76620e-05
-1.70769e+02   4.76963e-05
-1.70269e+02   4.77307e-05
-1.69769e+02   4.77651e-05
-1.69269e+02   4.77995e-05
-1.68769e+02   4.78341e-05
-1.68269e+02   4.78686e-05
-1.67769e+02   4.79032e-05
-1.67269e+02   4.79378e-05
-1.66769e+02   4.79725e-05
-1.66269e+02   4.80073e-05
-1.65769e+02   4.80420e-05
-1.65269e+02   4.80768e-05
-1.64769e+02   4.81117e-05
-1.64269e+02   4.81466e-05
-1.63769e+02   4.81815e-05
-1.63269e+02   4.82165e-05
-1.62769e+02   4.82516e-05
-1.62269e+02   4.82867e-05
-1.61769e+02   4.83218e-05
-1.61269e+02   4.83570e-05
-1.60769e+02   4.83922e-05
-1.60269e+02   4.84274e-05
-1.59769e+02   4.84627e-05
-1.59269e+02   4.84981e-05
-1.58769e+02   4.85335e-05
-1.58269e+02   4.85689e-05
-1.57769e+02   4.86044e-05
-1.57269e+02   4.86400e-05
-1.56769e+02   4.86755e-05
-1.56269e+02   4.87112e-05
-1.55769e+02   4.87468e-05
-1.55269e+02   4.87826e-05
-1.54769e+02   4.88183e-05
-1.54269e+02   4.88541e-05
-1.53769e+02   4.88900e-05
-1.53269e+02   4.89259e-05
-1.52769e+02   4.89618e-05
-1.52269e+02   4.89978e-05
-1.51769e+02   4.90339e-05
-1.51269e+02   4.90700e-05
-1.50769e+02   4.91061e-05
-1.50269e+02   4.91423e-05
-1.49769e+02   4.91785e-05
-1.49269e+02   4.92148e-05
-1.48769e+02   4.92511e-05
-1.48269e+02   4.92875e-05
-1.47769e+02   4.93240e-05
-1.47269e+02   4.93604e-05
-1.46769e+02   4.93969e-05
-1.46269e+02   4.94335e-05
-1.45769e+02   4.94701e-05
-1.45269e+02   4.95068e-05
-1.44769e+02   4.95435e-05
-1.44269e+02   4.95803e-05
-1.43769e+02   4.96171e-05
-1.43269e+02   4.96539e-05
-1.42769e+02   4.96909e-05
-1.42269e+02   4.97278e-05
-1.41769e+02   4.97648e-05
-1.41269e+02   4.98019e-05
-1.40769e+02   4.98390e-05
-1.40269e+02   4.98761e-05
-1.39769e+02   4.99133e-05
-1.39269e+02   4.99506e-05
-1.38769e+02   4.99879e-05
-1.38269e+02   5.00253e-05
-1.37769e+02   5.00627e-05
-1.37269e+02   5.01001e-05
-1.36769e+02   5.01376e-05
-1.36269e+02   5.01752e-05
-1.35769e+02   5.02128e-05
-1.35269e+02   5.02505e-05
-1.34769e+02   5.02882e-05
-1.34269e+02   5.03259e-05
-1.33769e+02   5.03638e-05
-1.33269e+02   5.04016e-05
-1.32769e+02   5.04395e-05
-1.32269e+02   5.04775e-05
-1.31769e+02   5.05155e-05
-1.31269e+02   5.05536e-05
-1.30769e+02   5.05917e-05
-1.30269e+02   5.06299e-05
-1.29769e+02   5.06681e-05
-1.29269e+02   5.07064e-05
-1.28769e+02   5.07447e-05
-1.28269e+02   5.07831e-05
-1.27769e+02   5.08216e-05
-1.27269e+02   5.08601e-05
-1.26769e+02   5.08986e-05
-1.26269e+02   5.09372e-05
-1.25769e+02   5.09759e-05
-1.25269e+02   5.10146e-05
-1.24769e+02   5.10533e-05
-1.24269e+02   5.10921e-05
-1.23769e+02   5.11310e-05
-1.23269e+02   5.11699e-05
-1.22769e+02   5.12089e-05
-1.22269e+02   5.12479e-05
-1.21769e+02   5.12870e-05
-1.21269e+02   5.13262e-05
-1.20769e+02   5.13654e-05
-1.20269e+02   5.14046e-05
-1.19769e+02   5.14439e-05
-1.19269e+02   5.14833e-05
-1.18769e+02   5.15227e-05
-1.18269e+02   5.15622e-05
-1.17769e+02   5.16017e-05
-1.17269e+02   5.16413e-05
-1.16769e+02   5.16809e-05
-1.16269e+02   5.17206e-05
-1.15769e+02   5.17604e-05
-1.15269e+02   5.18002e-05
-1.14769e+02   5.18401e-05
-1.14269e+02   5.18800e-05
-1.13769e+02   5.19200e-05
-1.13269e+02   5.19600e-05
-1.12769e+02   5.20001e-05
-1.12269e+02   5.20403e-05
-1.11769e+02   5.20805e-05
-1.11269e+02   5.21207e-05
-1.10769e+02   5.21611e-05
-1.10269e+02   5.22015e-05
-1.09769e+02   5.22419e-05
-1.09269e+02   5.22824e-05
-1.08769e+02   5.23230e-05
-1.08269e+02   5.23636e-05
-1.07769e+02   5.24043e-05
-1.07269e+02   5.24450e-05
-1.06769e+02   5.24858e-05
-1.06269e+02   5.25267e-05
-1.05769e+02   5.25676e-05
-1.05269e+02   5.26086e-05
-1.04769e+02   5.26496e-05
-1.04269e+02   5.26907e-05
-1.03769e+02   5.27319e-05
-1.03269e+02   5.27731e-05
-1.02769e+02   5.28144e-05
-1.02269e+02   5.28558e-05
-1.01769e+02   5.28972e-05
-1.01269e+02   5.29386e-05
-1.00769e+02   5.29802e-05
-1.00269e+02   5.30218e-05
-9.97685e+01   5.30634e-05
-9.92685e+01   5.31051e-05
-9.87685e+01   5.31469e-05
-9.82685e+01   5.31888e-05
-9.77685e+01   5.32307e-05
-9.72685e+01   5.32727e-05
-9.67685e+01   5.33147e-05
-9.62685e+01   5.33568e-05
-9.57685e+01   5.33990e-05
-9.52685e+01   5.34412e-05
-9.47685e+01   5.34835e-05
-9.42685e+01   5.35258e-05
-9.37685e+01   5.35683e-05
-9.32685e+01   5.36107e-05
-9.27685e+01   5.36533e-05
-9.22685e+01   5.36959e-05
-9.17685e+01   5.37386e-05
-9.12685e+01   5.37813e-05
-9.07685e+01   5.38242e-05
-9.02685e+01   5.38670e-05
-8.97685e+01   5.39100e-05
-8.92685e+01   5.39530e-05
-8.87685e+01   5.39961e-05
-8.82685e+01   5.40392e-05
-8.77685e+01   5.40825e-05
-8.72685e+01   5.41258e-05
-8.67685e+01   5.41691e-05
-8.62685e+01   5.42125e-05
-8.57685e+01   5.42560e-05
-8.52685e+01   5.42996e-05
-8.47685e+01   5.43432e-05
-8.42685e+01   5.43869e-05
-8.37685e+01   5.44307e-05
-8.32685e+01   5.44745e-05
-8.27685e+01   5.45184e-05
-8.22685e+01   5.45624e-05
-8.17685e+01   5.46065e-05
-8.12685e+01   5.46506e-05
-8.07685e+01   5.46948e-05
-8.02685e+01   5.47391e-05
-7.97685e+01   5.47834e-05
-7.92685e+01   5.48278e-05
-7.87685e+01   5.48723e-05
-7.82685e+01   5.49169e-05
-7.77685e+01   5.49615e-05
-7.72685e+01   5.50062e-05
-7.67685e+01   5.50510e-05
-7.62685e+01   5.50958e-05
-7.57685e+01   5.51408e-05
-7.52685e+01   5.51858e-05
-7.47685e+01   5.52308e-05
-7.42685e+01   5.52760e-05
-7.37685e+01   5.53212e-05
-7.32685e+01   5.53665e-05
-7.27685e+01   5.54119e-05
-7.22685e+01   5.54574e-05
-7.17685e+01   5.55029e-05
-7.12685e+01   5.55485e-05
-7.07685e+01   5.55942e-05
-7.02685e+01   5.56400e-05
-6.97685e+01   5.56858e-05
-6.92685e+01   5.57318e-05
-6.87685e+01   5.57778e-05
-6.82685e+01   5.58239e-05
-6.77685e+01   5.58700e-05
-6.72685e+01   5.59163e-05
-6.67685e+01   5.59626e-05
-6.62685e+01   5.60090e-05
-6.57685e+01   5.60555e-05
-6.52685e+01   5.61021e-05
-6.47685e+01   5.61488e-05
-6.42685e+01   5.61955e-05
-6.37685e+01   5.62423e-05
-6.32685e+01   5.62892e-05
-6.27685e+01   5.63362e-05
-6.22685e+01   5.63833e-05
-6.17685e+01   5.64305e-05
-6.12685e+01   5.64777e-05
-6.07685e+01   5.65251e-05
-6.02685e+01   5.65725e-05
-5.97685e+01   5.66200e-05
-5.92685e+01   5.66676e-05
-5.87685e+01   5.67153e-05
-5.82685e+01   5.67631e-05
-5.77685e+01   5.68109e-05
-5.72685e+01   5.68589e-05
-5.67685e+01   5.69070e-05
-5.62685e+01   5.69551e-05
-5.57685e+01   5.70033e-05
-5.52685e+01   5.70517e-05
-5.47685e+01   5.71001e-05
-5.42685e+01   5.71486e-05
-5.37685e+01   5.71972e-05
-5.32685e+01   5.72459e-05
-5.27685e+01   5.72947e-05
-5.22685e+01   5.73436e-05
-5.17685e+01   5.73926e-05
-5.12685e+01   5.74417e-05
-5.07685e+01   5.74908e-05
-5.02685e+01   5.75401e-05
-4.97685e+01   5.75895e-05
-4.92685e+01   5.76390e-05
-4.87685e+01   5.76886e-05
-4.82685e+01   5.77383e-05
-4.77685e+01   5.77881e-05
-4.72685e+01   5.78380e-05
-4.67685e+01   5.78880e-05
