# freq/cm-1  Intensity 
-1.90406e+02   4.83164e-05
-1.89906e+02   4.83509e-05
-1.89406e+02   4.83854e-05
-1.88906e+02   4.84200e-05
-1.88406e+02   4.84547e-05
-1.87906e+02   4.84893e-05
-1.87406e+02   4.85241e-05
-1.86906e+02   4.85588e-05
-1.86406e+02   4.85936e-05
-1.85906e+02   4.86285e-05
-1.85406e+02   4.86634e-05
-1.84906e+02   4.86983e-05
-1.84406e+02   4.87333e-05
-1.83906e+02   4.87683e-05
-1.83406e+02   4.88034e-05
-1.82906e+02   4.88385e-05
-1.82406e+02   4.88736e-05
-1.81906e+02   4.89088e-05
-1.81406e+02   4.89440e-05
-1.80906e+02   4.89793e-05
-1.80406e+02   4.90146e-05
-1.79906e+02   4.90500e-05
-1.79406e+02   4.90854e-05
-1.78906e+02   4.91208e-05
-1.78406e+02   4.91563e-05
-1.77906e+02   4.91919e-05
-1.77406e+02   4.92275e-05
-1.76906e+02   4.92631e-05
-1.76406e+02   4.92987e-05
-1.75906e+02   4.93345e-05
-1.75406e+02   4.93702e-05
-1.74906e+02   4.94060e-05
-1.74406e+02   4.94419e-05
-1.73906e+02   4.94778e-05
-1.73406e+02   4.95137e-05
-1.72906e+02   4.95497e-05
-1.72406e+02   4.95857e-05
-1.71906e+02   4.96218e-05
-1.71406e+02   4.96579e-05
-1.70906e+02   4.96940e-05
-1.70406e+02   4.97302e-05
-1.69906e+02   4.97665e-05
-1.69406e+02   4.98028e-05
-1.68906e+02   4.98391e-05
-1.68406e+02   4.98755e-05
-1.67906e+02   4.99119e-05
-1.67406e+02   4.99484e-05
-1.66906e+02   4.99849e-05
-1.66406e+02   5.00215e-05
-1.65906e+02   5.00581e-05
-1.65406e+02   5.00948e-05
-1.64906e+02   5.01315e-05
-1.64406e+02   5.01683e-05
-1.63906e+02   5.02051e-05
-1.63406e+02   5.02419e-05
-1.62906e+02   5.02788e-05
-1.62406e+02   5.03157e-05
-1.61906e+02   5.03527e-05
-1.61406e+02   5.03898e-05
-1.60906e+02   5.04268e-05
-1.60406e+02   5.04640e-05
-1.59906e+02   5.05011e-05
-1.59406e+02   5.05384e-05
-1.58906e+02   5.05756e-05
-1.58406e+02   5.06129e-05
-1.57906e+02   5.06503e-05
-1.57406e+02   5.06877e-05
-1.56906e+02   5.07252e-05
-1.56406e+02   5.07627e-05
-1.55906e+02   5.08002e-05
-1.55406e+02   5.08379e-05
-1.54906e+02   5.08755e-05
-1.54406e+02   5.09132e-05
-1.53906e+02   5.09510e-05
-1.53406e+02   5.09888e-05
-1.52906e+02   5.10266e-05
-1.52406e+02   5.10645e-05
-1.51906e+02   5.11024e-05
-1.51406e+02   5.11404e-05
-1.50906e+02   5.11785e-05
-1.50406e+02   5.12166e-05
-1.49906e+02   5.12547e-05
-1.49406e+02   5.12929e-05
-1.48906e+02   5.13311e-05
