# freq/cm-1  Intensity 
-1.99808e+02   3.22316e-05
-1.99308e+02   3.22542e-05
-1.98808e+02   3.22770e-05
-1.98308e+02   3.22997e-05
-1.97808e+02   3.23225e-05
-1.97308e+02   3.23452e-05
-1.96808e+02   3.23681e-05
-1.96308e+02   3.23909e-05
-1.95808e+02   3.24138e-05
-1.95308e+02   3.24367e-05
-1.94808e+02   3.24597e-05
-1.94308e+02   3.24826e-05
-1.93808e+02   3.25056e-05
-1.93308e+02   3.25286e-05
-1.92808e+02   3.25517e-05
-1.92308e+02   3.25748e-05
-1.91808e+02   3.25979e-05
-1.91308e+02   3.26211e-05
-1.90808e+02   3.26442e-05
-1.90308e+02   3.26674e-05
-1.89808e+02   3.26907e-05
-1.89308e+02   3.27139e-05
-1.88808e+02   3.27372e-05
-1.88308e+02   3.27606e-05
-1.87808e+02   3.27839e-05
-1.87308e+02   3.28073e-05
-1.86808e+02   3.28307e-05
-1.86308e+02   3.28542e-05
-1.85808e+02   3.28777e-05
-1.85308e+02   3.29012e-05
-1.84808e+02   3.29247e-05
-1.84308e+02   3.29483e-05
-1.83808e+02   3.29719e-05
-1.83308e+02   3.29955e-05
-1.82808e+02   3.30192e-05
-1.82308e+02   3.30429e-05
-1.81808e+02   3.30666e-05
-1.81308e+02   3.30904e-05
-1.80808e+02   3.31141e-05
-1.80308e+02   3.31380e-05
-1.79808e+02   3.31618e-05
-1.79308e+02   3.31857e-05
-1.78808e+02   3.32096e-05
-1.78308e+02   3.32336e-05
-1.77808e+02   3.32575e-05
-1.77308e+02   3.32816e-05
-1.76808e+02   3.33056e-05
-1.76308e+02   3.33297e-05
-1.75808e+02   3.33538e-05
-1.75308e+02   3.33779e-05
-1.74808e+02   3.34021e-05
-1.74308e+02   3.34263e-05
-1.73808e+02   3.34505e-05
-1.73308e+02   3.34748e-05
-1.72808e+02   3.34991e-05
-1.72308e+02   3.35234e-05
-1.71808e+02   3.35478e-05
-1.71308e+02   3.35722e-05
-1.70808e+02   3.35966e-05
-1.70308e+02   3.36211e-05
-1.69808e+02   3.36456e-05
-1.69308e+02   3.36701e-05
-1.68808e+02   3.36947e-05
-1.68308e+02   3.37193e-05
-1.67808e+02   3.37439e-05
-1.67308e+02   3.37686e-05
-1.66808e+02   3.37933e-05
-1.66308e+02   3.38180e-05
-1.65808e+02   3.38428e-05
-1.65308e+02   3.38676e-05
-1.64808e+02   3.38924e-05
-1.64308e+02   3.39173e-05
-1.63808e+02   3.39422e-05
-1.63308e+02   3.39671e-05
-1.62808e+02   3.39921e-05
-1.62308e+02   3.40171e-05
-1.61808e+02   3.40422e-05
-1.61308e+02   3.40672e-05
-1.60808e+02   3.40923e-05
-1.60308e+02   3.41175e-05
-1.59808e+02   3.41427e-05
-1.59308e+02   3.41679e-05
-1.58808e+02   3.41931e-05
