
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.6094      1.00000
      2     -24.0146      1.00000
      3     -23.7068      1.00000
      4     -23.6749      1.00000
      5     -23.6004      1.00000
      6     -23.5050      1.00000
      7     -23.4148      1.00000
      8     -23.0787      1.00000
      9     -22.7955      1.00000
     10     -22.7792      1.00000
     11     -22.7476      1.00000
     12     -22.7194      1.00000
     13     -22.6793      1.00000
     14     -22.5889      1.00000
     15     -22.3849      1.00000
     16     -22.3732      1.00000
     17     -22.2721      1.00000
     18     -22.1731      1.00000
     19     -22.0724      1.00000
     20     -21.5975      1.00000
     21     -21.4892      1.00000
     22     -21.4769      1.00000
     23     -21.4357      1.00000
     24     -21.4301      1.00000
     25     -21.4075      1.00000
     26     -21.4001      1.00000
     27     -21.2750      1.00000
     28     -21.2683      1.00000
     29     -21.2480      1.00000
     30     -21.1452      1.00000
     31     -21.1062      1.00000
     32     -21.0284      1.00000
     33     -20.9547      1.00000
     34     -20.9172      1.00000
     35     -20.8466      1.00000
     36     -20.7252      1.00000
     37     -20.6749      1.00000
     38     -20.5079      1.00000
     39     -20.4878      1.00000
     40     -20.4305      1.00000
     41     -20.4096      1.00000
     42     -20.3846      1.00000
     43     -20.3296      1.00000
     44     -20.2875      1.00000
     45     -20.2543      1.00000
     46     -20.1030      1.00000
     47     -20.0485      1.00000
     48     -17.8522      1.00000
     49     -14.7373      1.00000
     50     -14.1440      1.00000
     51     -14.1227      1.00000
     52     -14.0911      1.00000
     53     -14.0704      1.00000
     54     -14.0377      1.00000
     55     -14.0221      1.00000
     56     -13.9343      1.00000
     57     -13.8943      1.00000
     58     -13.8628      1.00000
     59     -13.6751      1.00000
     60     -13.5559      1.00000
     61     -13.4810      1.00000
     62     -13.3519      1.00000
     63     -13.3220      1.00000
     64     -13.2435      1.00000
     65     -13.1851      1.00000
     66     -13.0463      1.00000
     67     -13.0355      1.00000
     68     -12.6692      1.00000
     69     -12.5935      1.00000
     70     -12.5833      1.00000
     71     -12.5642      1.00000
     72     -12.5539      1.00000
     73     -12.5364      1.00000
     74     -12.4724      1.00000
     75     -12.4178      1.00000
     76     -12.3507      1.00000
     77     -12.3150      1.00000
     78     -12.0234      1.00000
     79     -11.9256      1.00000
     80     -11.8941      1.00000
     81     -11.8583      1.00000
     82     -11.7254      1.00000
     83     -11.5630      1.00000
     84     -11.5265      1.00000
     85     -11.4448      1.00000
     86     -11.0639      1.00000
     87     -11.0261      1.00000
     88     -10.9707      1.00000
     89     -10.9211      1.00000
     90     -10.7004      1.00000
     91     -10.5080      1.00000
     92     -10.3495      1.00000
     93     -10.3186      1.00000
     94     -10.3135      1.00000
     95     -10.2572      1.00000
     96     -10.2251      1.00000
     97     -10.1587      1.00000
     98     -10.1050      1.00000
     99      -9.9334      1.00000
    100      -9.9017      1.00000
    101      -9.8626      1.00000
    102      -9.8535      1.00000
    103      -9.8416      1.00000
    104      -9.8266      1.00000
    105      -9.8211      1.00000
    106      -9.8161      1.00000
    107      -9.7947      1.00000
    108      -9.7867      1.00000
    109      -9.7631      1.00000
    110      -9.7454      1.00000
    111      -9.7359      1.00000
    112      -9.7177      1.00000
    113      -9.6819      1.00000
    114      -9.6414      1.00000
    115      -9.6058      1.00000
    116      -9.5608      1.00000
    117      -9.5202      1.00000
    118      -9.4412      1.00000
    119      -9.3490      1.00000
    120      -9.3334      1.00000
    121      -9.1712      1.00000
    122      -9.1160      1.00000
    123      -9.0190      1.00000
    124      -8.9971      1.00000
    125      -8.9217      1.00000
    126      -8.8365      1.00000
    127      -8.6859      1.00000
    128      -8.6111      1.00000
    129      -8.6000      1.00000
    130      -8.5755      1.00000
    131      -8.5051      1.00000
    132      -8.4698      1.00000
    133      -8.4398      1.00000
    134      -8.3582      1.00000
    135      -8.3312      1.00000
    136      -8.3255      1.00000
    137      -8.3130      1.00000
    138      -8.2990      1.00000
    139      -8.2850      1.00000
    140      -8.2381      1.00000
    141      -8.1920      1.00000
    142      -8.1534      1.00000
    143      -8.0895      1.00000
    144      -8.0685      1.00000
    145      -8.0299      1.00000
    146      -7.9959      1.00000
    147      -7.9586      1.00000
    148      -7.8522      1.00000
    149      -7.7989      1.00000
    150      -7.7936      1.00000
    151      -7.7414      1.00000
    152      -7.7080      1.00000
    153      -7.6619      1.00000
    154      -7.5859      1.00000
    155      -7.2839      1.00000
    156      -7.2221      1.00000
    157      -7.0478      1.00000
    158      -6.9111      1.00000
    159      -6.8972      1.00000
    160      -6.8602      1.00000
    161      -6.7896      1.00000
    162      -6.7243      1.00000
    163      -6.7162      1.00000
    164      -6.6816      1.00000
    165      -6.6730      1.00000
    166      -6.6547      1.00000
    167      -6.6476      1.00000
    168      -6.5819      1.00000
    169      -6.4972      1.00000
    170      -6.4935      1.00000
    171      -6.3587      1.00000
    172      -6.3084      1.00000
    173      -6.2728      1.00000
    174      -6.2500      1.00000
    175      -6.1645      1.00000
    176      -6.0296      1.00000
    177      -5.9859      1.00000
    178      -5.9698      1.00000
    179      -5.9095      1.00000
    180      -5.6703      1.00000
    181      -5.6353      1.00000
    182      -5.2573      1.00000
    183      -5.2468      1.00000
    184      -5.2238      1.00000
    185      -5.1832      1.00000
    186      -5.1284      1.00000
    187      -5.0984      1.00000
    188      -5.0154      1.00000
    189      -4.9745      1.00000
    190      -4.9363      1.00000
    191      -4.8519      1.00000
    192      -4.5832      1.00000
    193      -4.2182      1.00000
    194      -2.8485      1.00000
    195      -2.1922      1.00000
    196       0.1872      1.00000
    197       0.6855      0.00000
    198       1.1567      0.00000
    199       1.2412      0.00000
    200       1.2826      0.00000
    201       1.3047      0.00000
    202       1.4037      0.00000
    203       1.4399      0.00000
    204       1.4861      0.00000
    205       1.5193      0.00000
    206       1.5886      0.00000
    207       1.6063      0.00000
    208       1.6122      0.00000
    209       1.6223      0.00000
    210       1.6488      0.00000
    211       1.6591      0.00000
    212       1.6817      0.00000
    213       1.8209      0.00000
    214       1.8254      0.00000
    215       1.8967      0.00000
    216       1.9450      0.00000
