
 Fermi energy:         0.3763780139

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.3695      1.00000
      2     -23.9755      1.00000
      3     -23.6727      1.00000
      4     -23.6320      1.00000
      5     -23.5537      1.00000
      6     -23.4234      1.00000
      7     -23.3428      1.00000
      8     -22.9771      1.00000
      9     -22.7677      1.00000
     10     -22.7371      1.00000
     11     -22.6681      1.00000
     12     -22.6464      1.00000
     13     -22.6311      1.00000
     14     -22.5134      1.00000
     15     -22.3343      1.00000
     16     -22.2251      1.00000
     17     -22.2023      1.00000
     18     -22.0085      1.00000
     19     -21.9448      1.00000
     20     -21.4899      1.00000
     21     -21.4510      1.00000
     22     -21.4390      1.00000
     23     -21.3849      1.00000
     24     -21.3818      1.00000
     25     -21.3511      1.00000
     26     -21.3193      1.00000
     27     -21.2024      1.00000
     28     -21.1867      1.00000
     29     -21.0865      1.00000
     30     -21.0422      1.00000
     31     -21.0362      1.00000
     32     -20.8967      1.00000
     33     -20.8473      1.00000
     34     -20.7401      1.00000
     35     -20.6750      1.00000
     36     -20.5796      1.00000
     37     -20.5232      1.00000
     38     -20.4548      1.00000
     39     -20.4438      1.00000
     40     -20.3557      1.00000
     41     -20.3331      1.00000
     42     -20.2667      1.00000
     43     -20.2256      1.00000
     44     -20.1213      1.00000
     45     -20.0034      1.00000
     46     -19.7736      1.00000
     47     -19.4191      1.00000
     48     -18.5657      1.00000
     49     -15.2478      1.00000
     50     -14.1211      1.00000
     51     -14.1002      1.00000
     52     -14.0657      1.00000
     53     -14.0038      1.00000
     54     -13.9611      1.00000
     55     -13.9419      1.00000
     56     -13.8370      1.00000
     57     -13.8329      1.00000
     58     -13.7524      1.00000
     59     -13.5875      1.00000
     60     -13.4360      1.00000
     61     -13.3727      1.00000
     62     -13.2838      1.00000
     63     -13.2628      1.00000
     64     -13.1590      1.00000
     65     -13.0472      1.00000
     66     -13.0234      1.00000
     67     -12.9367      1.00000
     68     -12.6962      1.00000
     69     -12.5504      1.00000
     70     -12.5346      1.00000
     71     -12.4848      1.00000
     72     -12.4721      1.00000
     73     -12.4274      1.00000
     74     -12.3894      1.00000
     75     -12.3029      1.00000
     76     -12.2138      1.00000
     77     -12.1426      1.00000
     78     -11.9331      1.00000
     79     -11.8755      1.00000
     80     -11.7710      1.00000
     81     -11.6865      1.00000
     82     -11.6176      1.00000
     83     -11.5305      1.00000
     84     -11.3115      1.00000
     85     -11.2360      1.00000
     86     -11.0380      1.00000
     87     -10.9345      1.00000
     88     -10.8533      1.00000
     89     -10.7628      1.00000
     90     -10.5141      1.00000
     91     -10.3687      1.00000
     92     -10.3030      1.00000
     93     -10.2752      1.00000
     94     -10.2369      1.00000
     95     -10.1720      1.00000
     96     -10.1044      1.00000
     97     -10.0775      1.00000
     98     -10.0150      1.00000
     99      -9.9759      1.00000
    100      -9.9144      1.00000
    101      -9.8453      1.00000
    102      -9.8190      1.00000
    103      -9.7934      1.00000
    104      -9.7760      1.00000
    105      -9.7653      1.00000
    106      -9.7478      1.00000
    107      -9.7124      1.00000
    108      -9.6914      1.00000
    109      -9.6807      1.00000
    110      -9.6754      1.00000
    111      -9.6042      1.00000
    112      -9.5027      1.00000
    113      -9.4898      1.00000
    114      -9.4775      1.00000
    115      -9.4715      1.00000
    116      -9.4351      1.00000
    117      -9.3851      1.00000
    118      -9.2885      1.00000
    119      -9.2394      1.00000
    120      -9.1223      1.00000
    121      -9.0570      1.00000
    122      -8.9508      1.00000
    123      -8.9487      1.00000
    124      -8.8716      1.00000
    125      -8.8203      1.00000
    126      -8.6909      1.00000
    127      -8.5759      1.00000
    128      -8.5420      1.00000
    129      -8.4805      1.00000
    130      -8.4508      1.00000
    131      -8.4221      1.00000
    132      -8.3985      1.00000
    133      -8.3749      1.00000
    134      -8.3056      1.00000
    135      -8.2480      1.00000
    136      -8.2261      1.00000
    137      -8.2187      1.00000
    138      -8.1932      1.00000
    139      -8.1294      1.00000
    140      -8.1177      1.00000
    141      -8.0317      1.00000
    142      -8.0108      1.00000
    143      -7.9747      1.00000
    144      -7.9056      1.00000
    145      -7.8917      1.00000
    146      -7.8886      1.00000
    147      -7.7707      1.00000
    148      -7.6817      1.00000
    149      -7.6769      1.00000
    150      -7.6443      1.00000
    151      -7.6149      1.00000
    152      -7.6011      1.00000
    153      -7.3890      1.00000
    154      -7.2953      1.00000
    155      -7.1769      1.00000
    156      -6.9533      1.00000
    157      -6.8209      1.00000
    158      -6.8196      1.00000
    159      -6.7773      1.00000
    160      -6.7018      1.00000
    161      -6.6573      1.00000
    162      -6.6247      1.00000
    163      -6.6166      1.00000
    164      -6.5986      1.00000
    165      -6.5693      1.00000
    166      -6.5177      1.00000
    167      -6.4190      1.00000
    168      -6.4166      1.00000
    169      -6.4007      1.00000
    170      -6.2806      1.00000
    171      -6.2248      1.00000
    172      -6.1915      1.00000
    173      -6.0118      1.00000
    174      -5.9989      1.00000
    175      -5.9033      1.00000
    176      -5.8862      1.00000
    177      -5.7819      1.00000
    178      -5.7635      1.00000
    179      -5.6985      1.00000
    180      -5.6420      1.00000
    181      -5.4943      1.00000
    182      -5.2854      1.00000
    183      -5.2365      1.00000
    184      -5.1695      1.00000
    185      -5.1041      1.00000
    186      -5.0886      1.00000
    187      -5.0232      1.00000
    188      -4.9402      1.00000
    189      -4.8306      1.00000
    190      -4.8043      1.00000
    191      -4.6838      1.00000
    192      -4.4412      1.00000
    193      -4.1398      1.00000
    194      -3.2210      1.00000
    195      -1.9329      1.00000
    196       0.0902      1.00000
    197       0.9041      0.00000
    198       1.4752      0.00000
    199       1.5027      0.00000
    200       1.5095      0.00000
    201       1.5312      0.00000
    202       1.5995      0.00000
    203       1.6371      0.00000
    204       1.6579      0.00000
    205       1.6780      0.00000
    206       1.7156      0.00000
    207       1.7220      0.00000
    208       1.7406      0.00000
    209       1.7474      0.00000
    210       1.8068      0.00000
    211       1.8540      0.00000
    212       1.9204      0.00000
    213       1.9866      0.00000
    214       1.9985      0.00000
    215       2.0515      0.00000
    216       2.1241      0.00000
    217       2.2264      0.00000
    218       2.2501      0.00000
    219       2.2738      0.00000
    220       2.2851      0.00000
    221       2.3059      0.00000
    222       2.3238      0.00000
    223       2.3882      0.00000
    224       2.4197      0.00000
    225       2.4316      0.00000
    226       2.4936      0.00000
    227       2.5589      0.00000
    228       2.5689      0.00000
    229       2.5876      0.00000
    230       2.6071      0.00000
    231       2.6359      0.00000
    232       2.6521      0.00000
    233       2.6731      0.00000
    234       2.7011      0.00000
    235       2.8138      0.00000
    236       2.8683      0.00000
    237       2.8878      0.00000
    238       2.8973      0.00000
    239       2.9057      0.00000
    240       2.9644      0.00000
    241       3.1638      0.00000
    242       3.3511      0.00000
    243       3.4032      0.00000
    244       3.4218      0.00000
    245       3.4584      0.00000
    246       3.4669      0.00000
    247       3.4879      0.00000
    248       3.4978      0.00000
    249       3.5163      0.00000
    250       3.5197      0.00000
    251       3.5292      0.00000
    252       3.5467      0.00000
 Fermi energy:        -2.4969461595

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.0135      1.00000
      2     -23.9690      1.00000
      3     -23.6685      1.00000
      4     -23.6286      1.00000
