
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -26.8458      1.00000
      2     -25.1909      1.00000
      3     -24.6396      1.00000
      4     -24.5350      1.00000
      5     -24.4430      1.00000
      6     -24.2930      1.00000
      7     -24.2590      1.00000
      8     -24.2072      1.00000
      9     -23.8918      1.00000
     10     -23.7897      1.00000
     11     -23.6556      1.00000
     12     -23.5603      1.00000
     13     -23.5058      1.00000
     14     -23.4016      1.00000
     15     -23.2932      1.00000
     16     -23.2658      1.00000
     17     -23.2318      1.00000
     18     -23.1400      1.00000
     19     -23.1100      1.00000
     20     -22.7890      1.00000
     21     -22.6047      1.00000
     22     -22.4602      1.00000
     23     -22.3777      1.00000
     24     -22.2718      1.00000
     25     -22.2432      1.00000
     26     -22.2050      1.00000
     27     -22.1518      1.00000
     28     -22.1452      1.00000
     29     -22.1358      1.00000
     30     -21.9796      1.00000
     31     -21.9564      1.00000
     32     -21.9073      1.00000
     33     -21.7581      1.00000
     34     -21.7206      1.00000
     35     -21.6796      1.00000
     36     -21.6625      1.00000
     37     -21.6426      1.00000
     38     -21.3588      1.00000
     39     -21.3380      1.00000
     40     -21.3116      1.00000
     41     -21.2592      1.00000
     42     -21.1268      1.00000
     43     -21.1190      1.00000
     44     -21.0193      1.00000
     45     -21.0045      1.00000
     46     -20.9759      1.00000
     47     -20.9672      1.00000
     48     -20.4920      1.00000
     49     -17.3465      1.00000
     50     -15.7766      1.00000
     51     -15.3123      1.00000
     52     -15.0946      1.00000
     53     -14.9702      1.00000
     54     -14.8179      1.00000
     55     -14.8041      1.00000
     56     -14.7509      1.00000
     57     -14.7441      1.00000
     58     -14.6654      1.00000
     59     -14.6524      1.00000
     60     -14.5843      1.00000
     61     -14.4440      1.00000
     62     -14.3789      1.00000
     63     -14.3181      1.00000
     64     -14.1359      1.00000
     65     -14.0780      1.00000
     66     -13.9826      1.00000
     67     -13.8708      1.00000
     68     -13.7182      1.00000
     69     -13.6741      1.00000
     70     -13.5818      1.00000
     71     -13.5089      1.00000
     72     -13.4435      1.00000
     73     -13.4082      1.00000
     74     -13.3513      1.00000
     75     -13.3322      1.00000
     76     -13.2951      1.00000
     77     -13.2471      1.00000
     78     -13.1367      1.00000
     79     -13.0604      1.00000
     80     -12.7773      1.00000
     81     -12.7323      1.00000
     82     -12.6104      1.00000
     83     -12.5901      1.00000
     84     -12.5189      1.00000
     85     -12.3861      1.00000
     86     -12.1670      1.00000
     87     -12.1174      1.00000
     88     -11.9731      1.00000
     89     -11.8328      1.00000
     90     -11.7202      1.00000
     91     -11.6513      1.00000
     92     -11.5497      1.00000
     93     -11.4168      1.00000
     94     -11.2846      1.00000
     95     -11.2344      1.00000
     96     -11.1196      1.00000
     97     -11.0918      1.00000
     98     -11.0473      1.00000
     99     -10.9726      1.00000
    100     -10.9386      1.00000
    101     -10.8850      1.00000
    102     -10.8341      1.00000
    103     -10.8034      1.00000
    104     -10.7606      1.00000
    105     -10.6981      1.00000
    106     -10.6892      1.00000
    107     -10.6470      1.00000
    108     -10.6136      1.00000
    109     -10.5816      1.00000
    110     -10.5722      1.00000
    111     -10.5416      1.00000
    112     -10.5348      1.00000
    113     -10.4985      1.00000
    114     -10.4850      1.00000
    115     -10.4654      1.00000
    116     -10.4439      1.00000
    117     -10.3703      1.00000
    118     -10.3322      1.00000
    119     -10.3172      1.00000
    120     -10.2039      1.00000
    121     -10.0890      1.00000
    122      -9.9771      1.00000
    123      -9.9431      1.00000
    124      -9.8761      1.00000
    125      -9.8345      1.00000
    126      -9.7642      1.00000
    127      -9.7303      1.00000
    128      -9.7023      1.00000
    129      -9.5708      1.00000
    130      -9.5349      1.00000
    131      -9.4985      1.00000
    132      -9.4180      1.00000
    133      -9.3517      1.00000
    134      -9.3258      1.00000
    135      -9.3011      1.00000
    136      -9.2532      1.00000
    137      -9.1306      1.00000
    138      -9.0940      1.00000
    139      -9.0599      1.00000
    140      -9.0063      1.00000
    141      -8.9727      1.00000
    142      -8.9312      1.00000
    143      -8.9189      1.00000
    144      -8.8962      1.00000
    145      -8.8855      1.00000
    146      -8.8814      1.00000
    147      -8.8720      1.00000
    148      -8.8527      1.00000
    149      -8.8192      1.00000
    150      -8.7608      1.00000
    151      -8.7228      1.00000
    152      -8.6169      1.00000
    153      -8.6037      1.00000
    154      -8.5232      1.00000
    155      -8.4115      1.00000
    156      -8.0782      1.00000
    157      -8.0349      1.00000
    158      -7.9359      1.00000
    159      -7.8662      1.00000
    160      -7.7142      1.00000
    161      -7.6420      1.00000
    162      -7.6212      1.00000
    163      -7.5847      1.00000
    164      -7.5494      1.00000
    165      -7.5399      1.00000
    166      -7.4617      1.00000
    167      -7.3916      1.00000
    168      -7.3864      1.00000
    169      -7.3380      1.00000
    170      -7.3179      1.00000
    171      -7.3094      1.00000
    172      -7.2602      1.00000
    173      -7.1847      1.00000
    174      -7.1143      1.00000
    175      -7.0050      1.00000
    176      -6.9329      1.00000
    177      -6.8071      1.00000
    178      -6.7571      1.00000
    179      -6.6793      1.00000
    180      -6.6741      1.00000
    181      -6.6498      1.00000
    182      -6.5824      1.00000
    183      -6.1049      1.00000
    184      -6.0683      1.00000
    185      -6.0556      1.00000
    186      -6.0289      1.00000
    187      -5.9370      1.00000
    188      -5.7984      1.00000
    189      -5.7724      1.00000
    190      -5.6607      1.00000
    191      -5.6454      1.00000
    192      -5.6132      1.00000
    193      -5.6035      1.00000
    194      -4.5439      1.00000
    195      -2.2910      0.00000
    196      -0.8990      1.00000
