
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.3450      1.00000
      2     -24.8840      1.00000
      3     -24.7310      1.00000
      4     -24.5658      1.00000
      5     -24.4578      1.00000
      6     -24.4375      1.00000
      7     -24.3543      1.00000
      8     -23.9613      1.00000
      9     -23.9604      1.00000
     10     -23.7889      1.00000
     11     -23.7884      1.00000
     12     -23.7121      1.00000
     13     -23.5924      1.00000
     14     -23.4126      1.00000
     15     -23.3592      1.00000
     16     -23.3467      1.00000
     17     -23.3315      1.00000
     18     -23.3237      1.00000
     19     -23.1914      1.00000
     20     -22.6836      1.00000
     21     -22.6511      1.00000
     22     -22.5655      1.00000
     23     -22.4973      1.00000
     24     -22.4477      1.00000
     25     -22.3712      1.00000
     26     -22.3016      1.00000
     27     -22.2731      1.00000
     28     -22.2634      1.00000
     29     -22.2376      1.00000
     30     -22.2339      1.00000
     31     -22.0756      1.00000
     32     -22.0020      1.00000
     33     -21.9806      1.00000
     34     -21.8090      1.00000
     35     -21.7932      1.00000
     36     -21.7925      1.00000
     37     -21.7542      1.00000
     38     -21.6375      1.00000
     39     -21.4292      1.00000
     40     -21.4237      1.00000
     41     -21.3956      1.00000
     42     -21.3888      1.00000
     43     -21.2177      1.00000
     44     -21.2173      1.00000
     45     -21.1190      1.00000
     46     -21.1179      1.00000
     47     -21.1117      1.00000
     48     -21.1104      1.00000
     49     -17.3337      1.00000
     50     -15.3933      1.00000
     51     -15.2919      1.00000
     52     -15.1856      1.00000
     53     -15.1184      1.00000
     54     -15.0354      1.00000
     55     -14.8809      1.00000
     56     -14.8418      1.00000
     57     -14.7767      1.00000
     58     -14.7690      1.00000
     59     -14.7455      1.00000
     60     -14.7384      1.00000
     61     -14.6007      1.00000
     62     -14.4347      1.00000
     63     -14.3388      1.00000
     64     -14.2483      1.00000
     65     -14.2058      1.00000
     66     -14.1157      1.00000
     67     -14.0994      1.00000
     68     -13.6194      1.00000
     69     -13.6172      1.00000
     70     -13.5946      1.00000
     71     -13.5736      1.00000
     72     -13.5318      1.00000
     73     -13.4986      1.00000
     74     -13.4849      1.00000
     75     -13.4809      1.00000
     76     -13.4542      1.00000
     77     -13.3915      1.00000
     78     -13.3160      1.00000
     79     -13.0559      1.00000
     80     -12.8700      1.00000
     81     -12.8572      1.00000
     82     -12.7335      1.00000
     83     -12.6928      1.00000
     84     -12.6758      1.00000
     85     -12.6680      1.00000
     86     -12.1011      1.00000
     87     -12.0601      1.00000
     88     -12.0476      1.00000
     89     -11.9310      1.00000
     90     -11.9228      1.00000
     91     -11.6390      1.00000
     92     -11.4611      1.00000
     93     -11.3553      1.00000
     94     -11.2929      1.00000
